Version	3																																																																																					
Starting Frame	0																																																																																					
Avg Step Width (cm)	11.26									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																								
R_Velocity	129.892	127.708	126.535							128.045	128.045	124.156	127.9555	123.086																																																																								
R_Stride_Len	126.115	123.769	122.032							123.972																																																																												
R_Cadence	125.217	122.034	125.217							124.156																																																																												
L_Velocity	129.353	126.558								127.9555																																																																												
L_Stride_Len	125.976	122.005								123.9905																																																																												
L_Cadence	124.138	122.034								123.086																																																																												
R_Support_Time	61.739	62.712	63.478							62.643																																																																												
L_Support_Time	62.931	63.559								63.245																																																																												
R_Non_Support	38.261	37.288	36.522							37.357																																																																												
L_Non_Support	37.069	36.441								36.755																																																																												
R_Step_Len	62.861	60.654	60.68							61.39833333																																																																												
L_Step_Len	63.254	63.115	61.351							62.57333333																																																																												
R_Dbl_Support	13.043	12.712	13.043							12.93266667																																																																												
L_Dbl_Support	12.069	13.559								12.814																																																																												
RHS	46	161	279	394																																																																																		
LHS	103	219	337																																																																																			
RTO	4	117	235	352																																																																																		
LTO	61	176	294	409																																																																																		
RHS FP	279																																																																																					
LHS FP	103																																																																																					
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR
-3.599	0.071	-3.065	-27.364	-2.442	25.552	17.159	14.587	-6.883	51.671	19.785	11.279	15.329	4.91	25.053	-28.763	-1.015	4.827	10.884	32.964	-12.809	3.691	18.646	-25.813	0	0	0	-0.911	-3.934	11.491	1.962	10.032	2.803	-10.58	40.097	0	-6.046	-3.868	0	-0.029	-0.003	-0.002	-0.012	-0.003	0	-0.004	0	-0.002	0	0	0	-0.023	0	-0.003	-0.009	-0.001	-0.001	-0.002	0	-0.002	0	0	0	-0.004	-0.014	-0.012	0	-0.009	0	-0.001	-0.001	-0.002	0	-0.014	-0.001	0	-0.002	-0.002	-0.001	0	-0.001	0.036	0.001	-0.013	0	0.002	0.002
-4.989	-0.697	-1.826	-26.652	-3.062	28.616	17.685	14.382	-10.113	51.637	19.426	10.82	15.356	5.386	24.602	-29.129	-0.738	5.637	11.161	32.063	-12.286	3.854	18.927	-25.478	0	0	0	-0.764	-3.945	11.228	2.401	9.879	2.812	-10.539	44.674	0	-5.918	-3.247	0	-0.063	-0.004	-0.005	-0.025	-0.005	-0.002	-0.008	0.002	-0.004	0	0	0	-0.05	-0.001	-0.007	-0.02	-0.002	-0.001	-0.005	0	-0.003	0	0	0	-0.006	-0.03	-0.04	0	-0.016	0.005	-0.002	-0.001	-0.004	0	-0.026	0	0	-0.003	-0.004	-0.001	0	-0.002	0.116	-0.035	-0.023	0	0.006	0.003
-6.29	-1.46	-0.587	-26.001	-3.763	31.64	18.109	13.948	-13.304	51.593	19.072	10.359	15.306	5.854	24.145	-29.426	-0.474	6.421	11.43	31.039	-11.719	4.037	19.19	-25.114	0	0	0	-0.618	-3.952	10.961	2.831	9.73	2.817	-10.474	49.25	0	-5.799	-2.649	0	-0.095	-0.003	-0.008	-0.038	-0.008	-0.003	-0.012	0.003	-0.006	0	0	0	-0.075	-0.002	-0.012	-0.031	-0.004	-0.002	-0.007	0	-0.005	0	0	0	-0.008	-0.044	-0.067	0	-0.022	0.01	-0.002	-0.001	-0.006	-0.001	-0.037	0.002	0	-0.005	-0.007	-0.002	-0.001	-0.003	0.198	-0.068	-0.03	0.001	0.009	0.004
-7.434	-2.205	0.656	-25.437	-4.479	34.581	18.339	13.308	-16.308	51.529	18.723	9.89	15.118	6.306	23.674	-29.605	-0.246	7.156	11.686	29.831	-11.09	4.227	19.413	-24.693	0	0	0	-0.476	-3.951	10.69	3.24	9.586	2.816	-10.442	53.654	0	-5.698	-2.093	0	-0.123	0	-0.01	-0.049	-0.01	-0.003	-0.016	0.003	-0.008	0	0	0	-0.098	-0.002	-0.016	-0.04	-0.006	-0.003	-0.009	0	-0.006	0	0	0	-0.01	-0.058	-0.094	0	-0.028	0.016	-0.003	-0.002	-0.007	-0.001	-0.047	0.004	0	-0.006	-0.01	-0.002	-0.001	-0.004	0.279	-0.098	-0.036	0.002	0.012	0.004
-8.359	-2.917	1.908	-24.979	-5.14	37.408	18.308	12.545	-19.004	51.433	18.379	9.412	14.773	6.734	23.182	-29.647	-0.071	7.823	11.929	28.431	-10.395	4.406	19.574	-24.194	0	0	0	-0.339	-3.941	10.41	3.619	9.452	2.806	-10.507	57.708	0	-5.62	-1.59	0	-0.147	0.004	-0.012	-0.058	-0.012	-0.004	-0.02	0.003	-0.01	0	0	0	-0.118	-0.003	-0.02	-0.048	-0.008	-0.003	-0.011	0	-0.007	0	0	0	-0.012	-0.069	-0.12	0	-0.034	0.021	-0.004	-0.002	-0.009	-0.001	-0.056	0.005	0	-0.007	-0.012	-0.003	-0.001	-0.004	0.359	-0.125	-0.039	0.003	0.014	0.005
-9.014	-3.578	3.174	-24.644	-5.685	40.102	17.975	11.788	-21.282	51.296	18.04	8.923	14.285	7.13	22.668	-29.558	0.042	8.409	12.148	26.86	-9.635	4.561	19.655	-23.599	0	0	0	-0.208	-3.922	10.121	3.959	9.332	2.786	-10.729	61.231	0	-5.565	-1.148	0	-0.166	0.01	-0.013	-0.065	-0.013	-0.005	-0.023	0.003	-0.011	0	0	0	-0.135	-0.004	-0.023	-0.054	-0.01	-0.003	-0.013	0	-0.008	0	0	0	-0.013	-0.078	-0.145	0	-0.039	0.026	-0.004	-0.002	-0.01	-0.002	-0.064	0.007	0	-0.008	-0.014	-0.003	-0.001	-0.005	0.435	-0.147	-0.038	0.004	0.015	0.005
-9.365	-4.173	4.464	-24.439	-6.06	42.655	17.336	11.145	-23.034	51.107	17.704	8.422	13.699	7.485	22.132	-29.359	0.094	8.908	12.334	25.171	-8.816	4.68	19.648	-22.901	0	0	0	-0.085	-3.896	9.82	4.251	9.228	2.752	-11.161	64.038	0	-5.529	-0.762	0	-0.18	0.016	-0.014	-0.07	-0.014	-0.005	-0.025	0.003	-0.012	0	0	0	-0.148	-0.005	-0.026	-0.06	-0.012	-0.003	-0.015	0	-0.008	0	0	0	-0.014	-0.084	-0.169	0.001	-0.043	0.032	-0.005	-0.002	-0.011	-0.002	-0.071	0.008	0	-0.008	-0.016	-0.003	-0.001	-0.006	0.506	-0.165	-0.035	0.005	0.015	0.005
-9.403	-4.685	5.782	-24.375	-6.23	45.059	16.418	10.656	-24.15	50.854	17.371	7.909	13.076	7.794	21.575	-29.081	0.092	9.323	12.473	23.445	-7.955	4.762	19.556	-22.094	0	0	0	0.031	-3.864	9.508	4.487	9.143	2.704	-11.839	65.971	0	-5.503	-0.429	0	-0.188	0.023	-0.015	-0.072	-0.013	-0.006	-0.027	0.004	-0.013	0	0	0	-0.157	-0.005	-0.027	-0.063	-0.013	-0.003	-0.016	0	-0.008	0	0	0	-0.014	-0.087	-0.191	0.001	-0.046	0.037	-0.005	-0.002	-0.012	-0.002	-0.075	0.008	0	-0.008	-0.017	-0.003	-0.001	-0.006	0.567	-0.177	-0.027	0.006	0.015	0.005
-9.145	-5.102	7.131	-24.45	-6.181	47.307	15.275	10.303	-24.549	50.527	17.042	7.382	12.481	8.051	21	-28.764	0.046	9.664	12.556	21.779	-7.074	4.812	19.389	-21.18	0	0	0	0.139	-3.828	9.188	4.663	9.077	2.639	-12.772	66.937	0	-5.48	-0.139	0	-0.19	0.029	-0.015	-0.072	-0.012	-0.006	-0.027	0.004	-0.014	0	0	0	-0.163	-0.005	-0.028	-0.066	-0.014	-0.003	-0.017	0	-0.008	0	0	0	-0.014	-0.087	-0.209	0.001	-0.048	0.042	-0.005	-0.003	-0.013	-0.002	-0.078	0.008	0	-0.008	-0.018	-0.003	-0.001	-0.007	0.618	-0.184	-0.018	0.007	0.014	0.005
-8.64	-5.418	8.513	-24.644	-5.929	49.386	13.973	10.024	-24.202	50.118	16.722	6.84	11.983	8.254	20.411	-28.448	-0.029	9.943	12.569	20.253	-6.19	4.842	19.159	-20.164	0	0	0	0.24	-3.787	8.867	4.775	9.028	2.558	-13.938	66.941	0	-5.452	0.117	0	-0.189	0.035	-0.014	-0.071	-0.01	-0.006	-0.027	0.005	-0.014	0	0	0	-0.167	-0.004	-0.029	-0.067	-0.014	-0.003	-0.017	0	-0.008	0	0	0	-0.013	-0.085	-0.224	0.001	-0.049	0.047	-0.005	-0.003	-0.013	-0.002	-0.078	0.008	0	-0.008	-0.019	-0.003	-0.001	-0.007	0.655	-0.184	-0.007	0.008	0.012	0.005
