Version	3																																																																																													
Starting Frame	122																																																																																													
Avg Step Width (cm)	9.21									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	137.305									137.305	137.305	98.63	138.066	99.315																																																																																
R_Stride_Len	166.159									166.159																																																																																				
R_Cadence	98.63									98.63																																																																																				
L_Velocity	140.637	135.495								138.066																																																																																				
L_Stride_Len	169.676	164.042								166.859																																																																																				
L_Cadence	100	98.63								99.315																																																																																				
R_Support_Time	59.589									59.589																																																																																				
L_Support_Time	60.417	61.644								61.0305																																																																																				
R_Non_Support	40.411									40.411																																																																																				
L_Non_Support	39.583	38.356								38.9695																																																																																				
R_Step_Len	84.371	80.854								82.6125																																																																																				
L_Step_Len	85.305	83.188								84.2465																																																																																				
R_Dbl_Support	10.274									10.274																																																																																				
L_Dbl_Support	11.111	10.274								10.6925																																																																																				
RHS	110	256																																																																																												
LHS	38	182	328																																																																																											
RTO	54	197	345																																																																																											
LTO	125	272																																																																																												
RHS FP																																																																																														
LHS FP	38																																																																																													
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
-8.157	3.721	16.967	-11.481	2.215	7.511	7.187	-19.774	7.42	37.549	16.164	-5.304	-6.733	-3	20.646	-9.468	-6.301	54.614	11.797	2.116	-0.14	28.904	17.593	-10.984	0	0	0	0.66	-1.985	3.488	-0.247	14.231	4.045	-8.765	0.945	0	-6.892	47.853	0	-0.021	0.001	-0.001	-0.009	-0.001	-0.001	-0.002	0	0.001	0	0	0	-0.016	0	-0.001	-0.005	-0.003	-0.001	-0.003	0	-0.001	0	0	0	0	-0.011	0.001	0	-0.003	-0.002	0	0	-0.002	-0.004	-0.011	0.001	0.001	-0.001	-0.015	-0.001	0	-0.002	0.001	-0.002	0	-0.003	-0.013	0.002	0.014	0.002	0.002	0.001	0.02	0.007	0.007	0.002
-7.751	3.654	15.971	-11.444	2.152	6.913	7.225	-19.673	7.538	38.084	16.235	-4.978	-7.118	-2.664	21.809	-9.458	-6.44	54.238	11.542	1.175	0.63	29.019	17.559	-11.702	0	0	0	0.666	-1.987	3.535	0.007	14.189	3.643	-8.762	1.144	0	-7.035	45.695	0	-0.045	0.001	-0.003	-0.019	-0.002	-0.002	-0.005	0	0.001	0	0	0	-0.035	-0.001	-0.001	-0.012	-0.008	-0.001	-0.006	0	-0.003	0	0	0	0	-0.018	0.006	0	-0.004	-0.004	0.001	0	-0.003	-0.005	-0.015	-0.001	0.001	-0.002	-0.022	-0.001	0	-0.004	0.012	-0.005	0.001	0.002	-0.025	0.003	1.665	0.252	0.289	0.114	2.581	0.786	0.845	0.276
-7.407	3.592	14.98	-11.364	2.08	6.322	7.258	-19.544	7.658	38.632	16.318	-4.652	-7.436	-2.365	22.939	-9.385	-6.492	53.703	11.353	0.33	1.42	29.137	17.506	-12.415	0	0	0	0.666	-1.983	3.568	0.243	14.146	3.251	-8.761	1.337	0	-7.032	43.381	0	-0.067	0	-0.005	-0.028	-0.004	-0.003	-0.008	0	0.002	0	0	0	-0.054	-0.001	-0.001	-0.019	-0.012	-0.001	-0.01	0	-0.003	0	0	0	0	-0.025	0.012	0	-0.006	-0.005	0.001	0.001	-0.004	-0.006	-0.017	-0.003	0.002	-0.003	-0.028	-0.002	-0.001	-0.006	0.023	-0.007	0.001	0.007	-0.039	0.005	5.043	0.801	0.9	0.361	8.406	2.381	2.614	0.887
-7.139	3.541	13.995	-11.246	1.999	5.735	7.295	-19.408	7.79	39.19	16.412	-4.327	-7.668	-2.107	24.033	-9.242	-6.445	53.015	11.218	-0.408	2.205	29.258	17.433	-13.122	0	0	0	0.657	-1.974	3.584	0.456	14.105	2.881	-8.767	1.524	0	-6.882	40.942	0	-0.088	-0.001	-0.007	-0.037	-0.005	-0.004	-0.01	0	0.002	0	0	0	-0.071	-0.001	-0.001	-0.025	-0.016	-0.001	-0.013	0	-0.004	0	0	0	0	-0.032	0.018	0	-0.008	-0.007	0.001	0.001	-0.005	-0.007	-0.019	-0.006	0.002	-0.003	-0.033	-0.002	-0.001	-0.007	0.034	-0.008	0.001	0.012	-0.055	0.006	8.839	1.478	1.627	0.661	15.757	4.428	4.756	1.65
-6.947	3.505	13.017	-11.103	1.913	5.151	7.345	-19.291	7.939	39.751	16.514	-4.002	-7.799	-1.892	25.093	-9.026	-6.292	52.181	11.117	-1.029	2.965	29.382	17.339	-13.817	0	0	0	0.64	-1.96	3.583	0.644	14.068	2.537	-8.78	1.701	0	-6.598	38.406	0	-0.106	-0.004	-0.009	-0.044	-0.006	-0.004	-0.012	0	0.003	0	0	0	-0.086	0	-0.001	-0.032	-0.019	-0.001	-0.016	0	-0.004	0	0	0	0	-0.038	0.024	0.001	-0.009	-0.008	0.001	0.001	-0.005	-0.008	-0.02	-0.009	0.002	-0.003	-0.038	-0.002	-0.001	-0.009	0.045	-0.01	0.002	0.017	-0.074	0.008	12.265	2.157	2.351	0.961	23.238	6.806	6.971	2.426
-6.817	3.484	12.047	-10.953	1.83	4.565	7.408	-19.219	8.109	40.313	16.622	-3.673	-7.826	-1.717	26.118	-8.741	-6.034	51.208	11.025	-1.52	3.676	29.509	17.224	-14.496	0	0	0	0.615	-1.941	3.564	0.806	14.039	2.222	-8.804	1.868	0	-6.202	35.794	0	-0.12	-0.006	-0.01	-0.05	-0.008	-0.005	-0.014	0	0.003	0	0	0	-0.1	0.001	0	-0.037	-0.022	-0.001	-0.018	0	-0.004	0	0	0	0	-0.043	0.029	0.001	-0.011	-0.01	0.002	0.001	-0.006	-0.008	-0.019	-0.012	0.002	-0.003	-0.042	-0.002	-0.001	-0.01	0.056	-0.012	0.002	0.023	-0.095	0.009	14.932	2.776	2.995	1.227	29.872	9.442	9.12	3.128
