Version	3.0
Starting Frame	53
Avg Step Width (cm)	  13.62
R_Velocity	148.083	146.086
R_Stride_Len	162.436	159.320
R_Cadence	109.924	109.924
L_Velocity	147.595	141.986
L_Stride_Len	161.350	155.762
L_Cadence	110.769	109.091
R_Support_Time	57.252	57.252
L_Support_Time	60.000	60.606
R_Non_Support	42.748	42.748
L_Non_Support	40.000	39.394
R_Step_Len	83.399	81.369
L_Step_Len	79.037	77.952	74.393
R_Dbl_Support	11.450	9.924
L_Dbl_Support	6.923	7.576
RHS	35.000	166.000	297.000
LHS	101.000	231.000	363.000
RTO	110.000	241.000
LTO	50.000	179.000	311.000
RHS FP	
LHS FP	232.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
3.175	-11.714	28.723	-13.158	7.513	57.997	8.272	3.223	-1.905	49.722	20.701	-4.736	-9.039	6.787	32.061	0.446	1.671	20.059	-0.239	-13.586	11.335	37.039	18.168	-10.557	0.000	0.000	0.000	0.965	4.087	0.433	6.585	23.831	-2.136	-10.276	54.135	0.000	-4.666	0.909	0.000	-0.018	0.001	0.002	-0.005	-0.004	0.001	-0.002	-0.001	0.000	0.000	0.000	0.000	-0.022	0.003	0.001	-0.008	-0.003	-0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.003	0.009	-0.003	0.000	0.004	-0.004	0.000	0.000	-0.001	0.000	0.002	-0.003	0.000	0.000	-0.007	0.000	0.000	-0.002	0.008	-0.009	0.002	-0.003	-0.007	0.001	0.006	0.004	0.012	0.002	0.012	0.002	0.003	0.002
3.209	-11.196	29.836	-14.084	7.949	57.235	8.002	2.435	-0.807	49.580	20.689	-4.982	-8.422	6.633	31.193	0.308	1.405	19.607	-0.037	-12.499	11.634	37.591	18.142	-9.600	0.000	0.000	0.000	0.968	4.115	0.255	6.089	23.821	-1.625	-11.112	51.222	0.000	-4.675	1.008	0.000	-0.037	0.002	0.004	-0.012	-0.008	0.003	-0.005	-0.001	0.000	0.000	0.000	0.000	-0.046	0.005	0.001	-0.018	-0.005	-0.000	-0.005	0.000	0.001	0.000	0.000	0.000	0.004	0.017	-0.013	-0.000	0.006	-0.003	0.000	0.000	-0.003	0.001	0.003	-0.001	0.000	0.001	-0.011	0.000	0.000	-0.003	0.029	-0.008	0.004	-0.001	-0.012	0.001	0.774	0.518	1.540	0.312	1.449	0.297	0.355	0.277
3.243	-10.700	30.942	-15.054	8.367	56.420	7.782	1.669	0.276	49.444	20.685	-5.231	-7.810	6.458	30.320	0.172	1.155	19.141	0.151	-11.467	11.920	38.155	18.121	-8.649	0.000	0.000	0.000	0.972	4.141	0.077	5.597	23.811	-1.127	-11.920	48.282	0.000	-4.683	1.106	0.000	-0.055	0.004	0.006	-0.018	-0.011	0.005	-0.008	-0.001	0.000	0.000	0.000	0.000	-0.070	0.007	0.002	-0.028	-0.008	-0.000	-0.008	0.000	0.001	0.000	0.000	0.000	0.005	0.025	-0.022	-0.000	0.007	-0.003	0.000	0.000	-0.004	0.001	0.003	0.000	0.000	0.001	-0.015	0.001	0.000	-0.004	0.049	-0.007	0.006	0.001	-0.017	0.001	2.464	1.751	5.046	1.023	4.351	0.953	1.116	0.890
3.283	-10.229	32.027	-16.077	8.762	55.510	7.630	0.946	1.305	49.316	20.695	-5.488	-7.200	6.258	29.429	0.038	0.936	18.648	0.316	-10.531	12.190	38.738	18.107	-7.709	0.000	0.000	0.000	0.978	4.163	-0.100	5.115	23.799	-0.651	-12.688	45.328	0.000	-4.688	1.199	0.000	-0.071	0.006	0.008	-0.025	-0.013	0.006	-0.011	-0.001	0.000	0.000	0.000	0.000	-0.091	0.008	0.003	-0.036	-0.011	0.000	-0.010	0.000	0.001	0.000	0.000	0.000	0.006	0.033	-0.032	-0.000	0.008	-0.002	0.000	0.000	-0.005	0.001	0.004	0.002	0.000	0.002	-0.019	0.001	0.000	-0.005	0.068	-0.005	0.007	0.003	-0.023	0.002	4.552	3.466	9.631	1.959	7.698	1.785	2.044	1.672
3.335	-9.784	33.076	-17.161	9.123	54.467	7.555	0.286	2.246	49.197	20.723	-5.754	-6.590	6.036	28.510	-0.094	0.761	18.115	0.452	-9.727	12.445	39.349	18.098	-6.785	0.000	0.000	0.000	0.987	4.180	-0.276	4.646	23.782	-0.205	-13.409	42.369	0.000	-4.690	1.287	0.000	-0.085	0.008	0.009	-0.031	-0.015	0.007	-0.013	-0.001	0.001	0.000	0.000	0.000	-0.109	0.008	0.003	-0.044	-0.013	0.000	-0.012	0.000	0.001	0.000	0.000	0.000	0.007	0.040	-0.042	-0.000	0.009	-0.001	0.000	0.000	-0.007	0.001	0.004	0.004	0.000	0.002	-0.023	0.001	0.000	-0.006	0.086	-0.002	0.008	0.006	-0.029	0.002	6.715	5.471	14.629	2.982	10.870	2.661	2.977	2.501
3.398	-9.362	34.078	-18.309	9.441	53.263	7.558	-0.298	3.076	49.090	20.774	-6.031	-5.974	5.791	27.558	-0.234	0.637	17.534	0.560	-9.074	12.683	39.994	18.095	-5.879	0.000	0.000	0.000	0.998	4.191	-0.450	4.195	23.759	0.205	-14.081	39.408	0.000	-4.689	1.367	0.000	-0.096	0.011	0.011	-0.037	-0.016	0.008	-0.016	0.000	0.001	0.000	0.000	0.000	-0.124	0.007	0.003	-0.050	-0.015	0.000	-0.014	0.000	0.002	0.000	0.000	0.000	0.008	0.047	-0.052	-0.000	0.010	0.000	0.001	0.000	-0.008	0.001	0.004	0.006	0.000	0.002	-0.025	0.001	0.000	-0.007	0.103	0.001	0.008	0.010	-0.035	0.002	8.746	7.651	19.560	3.982	13.527	3.491	3.813	3.299
3.470	-8.966	35.025	-19.521	9.701	51.877	7.636	-0.800	3.779	48.995	20.851	-6.320	-5.348	5.526	26.567	-0.399	0.571	16.895	0.650	-8.579	12.906	40.678	18.098	-4.993	0.000	0.000	0.000	1.013	4.197	-0.624	3.766	23.729	0.579	-14.708	36.451	0.000	-4.687	1.439	0.000	-0.104	0.013	0.012	-0.042	-0.016	0.009	-0.018	0.001	0.001	0.000	0.000	0.000	-0.136	0.006	0.003	-0.055	-0.016	0.000	-0.015	0.000	0.002	0.000	0.000	0.000	0.008	0.053	-0.062	-0.000	0.011	0.001	0.001	0.000	-0.009	0.001	0.003	0.009	0.000	0.002	-0.028	0.001	0.000	-0.008	0.116	0.005	0.008	0.014	-0.041	0.003	10.470	9.976	24.190	4.868	15.455	4.228	4.485	4.022
3.543	-8.592	35.914	-20.789	9.889	50.302	7.777	-1.217	4.343	48.913	20.955	-6.618	-4.707	5.246	25.538	-0.608	0.565	16.197	0.738	-8.234	13.114	41.406	18.108	-4.128	0.000	0.000	0.000	1.029	4.198	-0.796	3.363	23.694	0.917	-15.294	33.502	0.000	-4.683	1.503	0.000	-0.109	0.015	0.013	-0.047	-0.016	0.009	-0.020	0.001	0.002	0.000	0.000	0.000	-0.144	0.005	0.003	-0.058	-0.017	0.000	-0.016	0.000	0.002	0.000	0.000	0.000	0.009	0.058	-0.070	-0.000	0.011	0.002	0.001	0.000	-0.010	0.001	0.002	0.011	0.000	0.002	-0.029	0.001	0.000	-0.008	0.126	0.007	0.006	0.019	-0.046	0.003	11.840	12.469	28.544	5.559	16.560	4.857	4.974	4.642
3.607	-8.243	36.743	-22.100	9.989	48.538	7.964	-1.550	4.765	48.844	21.088	-6.923	-4.048	4.956	24.474	-0.885	0.617	15.437	0.841	-8.023	13.308	42.176	18.126	-3.280	0.000	0.000	0.000	1.047	4.198	-0.967	2.989	23.656	1.225	-15.849	30.563	0.000	-4.679	1.558	0.000	-0.113	0.017	0.014	-0.052	-0.016	0.010	-0.022	0.002	0.002	0.000	0.000	0.000	-0.149	0.004	0.003	-0.061	-0.017	0.000	-0.017	0.000	0.002	0.000	0.000	0.000	0.009	0.062	-0.077	-0.000	0.012	0.002	0.001	0.000	-0.011	0.001	0.001	0.013	0.000	0.001	-0.030	0.001	0.000	-0.009	0.133	0.008	0.005	0.023	-0.050	0.002	12.897	15.194	32.645	6.009	16.890	5.377	5.300	5.144
3.650	-7.918	37.514	-23.435	9.988	46.595	8.185	-1.802	5.043	48.788	21.248	-7.232	-3.371	4.660	23.383	-1.248	0.719	14.622	0.981	-7.921	13.489	42.989	18.151	-2.449	0.000	0.000	0.000	1.065	4.198	-1.137	2.648	23.616	1.507	-16.379	27.641	0.000	-4.676	1.607	0.000	-0.116	0.018	0.014	-0.056	-0.016	0.010	-0.024	0.002	0.002	0.000	0.000	0.000	-0.152	0.004	0.002	-0.062	-0.017	0.000	-0.017	0.000	0.002	0.000	0.000	0.000	0.009	0.064	-0.083	-0.000	0.013	0.001	0.001	0.000	-0.012	0.001	-0.001	0.014	0.000	0.001	-0.030	0.001	0.000	-0.009	0.136	0.006	0.003	0.027	-0.052	0.002	13.711	18.201	36.413	6.230	16.634	5.790	5.498	5.534
3.658	-7.619	38.232	-24.771	9.873	44.490	8.424	-1.979	5.182	48.744	21.432	-7.544	-2.681	4.367	22.273	-1.711	0.862	13.758	1.174	-7.900	13.660	43.842	18.183	-1.630	0.000	0.000	0.000	1.083	4.201	-1.307	2.343	23.579	1.768	-16.887	24.741	0.000	-4.675	1.652	0.000	-0.119	0.019	0.015	-0.060	-0.016	0.010	-0.026	0.002	0.002	0.000	0.000	0.000	-0.153	0.003	0.001	-0.063	-0.016	0.000	-0.018	0.000	0.002	0.000	0.000	0.000	0.009	0.065	-0.086	-0.000	0.013	0.000	0.001	0.000	-0.013	0.001	-0.003	0.015	0.000	0.000	-0.029	0.001	0.000	-0.010	0.134	-0.000	0.000	0.030	-0.053	0.002	14.349	21.472	39.650	6.255	15.977	6.098	5.633	5.841
3.619	-7.347	38.901	-26.081	9.636	42.242	8.676	-2.085	5.186	48.711	21.639	-7.856	-1.985	4.082	21.156	-2.272	1.032	12.856	1.432	-7.931	13.824	44.730	18.224	-0.822	0.000	0.000	0.000	1.099	4.207	-1.475	2.074	23.548	2.015	-17.372	21.872	0.000	-4.677	1.698	0.000	-0.121	0.021	0.016	-0.065	-0.016	0.010	-0.028	0.002	0.002	0.000	0.000	0.000	-0.152	0.003	0.000	-0.064	-0.016	-0.000	-0.018	0.000	0.002	0.000	0.000	0.000	0.008	0.065	-0.086	-0.000	0.014	-0.003	0.001	0.000	-0.013	0.001	-0.005	0.016	0.000	-0.001	-0.028	0.001	0.000	-0.010	0.128	-0.013	-0.003	0.032	-0.052	0.002	14.879	24.919	42.122	6.138	15.034	6.319	5.794	6.093
3.521	-7.103	39.526	-27.337	9.275	39.872	8.936	-2.128	5.062	48.689	21.864	-8.167	-1.297	3.811	20.040	-2.920	1.216	11.933	1.756	-7.984	13.983	45.650	18.274	-0.022	0.000	0.000	0.000	1.115	4.219	-1.642	1.845	23.526	2.250	-17.830	19.041	0.000	-4.680	1.749	0.000	-0.124	0.022	0.016	-0.069	-0.016	0.011	-0.030	0.002	0.002	0.000	0.000	0.000	-0.152	0.004	-0.001	-0.064	-0.014	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	0.008	0.063	-0.082	-0.000	0.015	-0.007	0.001	0.000	-0.014	0.000	-0.007	0.016	0.000	-0.002	-0.026	0.001	0.000	-0.010	0.117	-0.032	-0.005	0.033	-0.050	0.002	15.376	28.456	43.608	5.933	13.977	6.473	6.084	6.309
3.352	-6.891	40.111	-28.507	8.791	37.399	9.206	-2.117	4.821	48.674	22.101	-8.477	-0.633	3.560	18.937	-3.629	1.400	11.004	2.140	-8.033	14.141	46.594	18.333	0.772	0.000	0.000	0.000	1.130	4.235	-1.807	1.655	23.516	2.480	-18.248	16.253	0.000	-4.685	1.808	0.000	-0.128	0.022	0.016	-0.073	-0.017	0.011	-0.031	0.001	0.002	0.000	0.000	0.000	-0.151	0.004	-0.002	-0.064	-0.013	-0.001	-0.018	-0.000	0.002	0.000	0.000	0.000	0.007	0.059	-0.074	-0.000	0.016	-0.013	0.001	0.000	-0.014	0.000	-0.010	0.016	0.000	-0.002	-0.025	0.001	0.000	-0.010	0.101	-0.059	-0.008	0.033	-0.047	0.002	15.910	32.116	43.890	5.682	13.101	6.570	6.617	6.504
3.102	-6.712	40.657	-29.558	8.195	34.839	9.490	-2.062	4.475	48.667	22.346	-8.786	-0.009	3.332	17.854	-4.366	1.575	10.088	2.572	-8.056	14.303	47.557	18.400	1.561	0.000	0.000	0.000	1.143	4.254	-1.971	1.504	23.518	2.707	-18.613	13.513	0.000	-4.691	1.878	0.000	-0.132	0.023	0.016	-0.077	-0.018	0.011	-0.033	-0.000	0.002	0.000	0.000	0.000	-0.150	0.005	-0.003	-0.064	-0.012	-0.001	-0.018	-0.000	0.002	0.000	0.000	0.000	0.006	0.054	-0.062	-0.000	0.017	-0.020	0.001	0.000	-0.015	0.000	-0.012	0.016	0.000	-0.003	-0.023	0.001	0.001	-0.010	0.080	-0.097	-0.009	0.033	-0.043	0.001	16.492	36.064	42.874	5.416	12.676	6.616	7.529	6.689
2.762	-6.567	41.168	-30.457	7.499	32.205	9.789	-1.976	4.042	48.665	22.594	-9.094	0.558	3.130	16.798	-5.095	1.731	9.200	3.036	-8.036	14.471	48.531	18.478	2.345	0.000	0.000	0.000	1.156	4.277	-2.131	1.390	23.536	2.936	-18.908	10.817	0.000	-4.698	1.964	0.000	-0.137	0.023	0.015	-0.082	-0.020	0.011	-0.034	-0.002	0.002	0.000	0.000	0.000	-0.149	0.006	-0.004	-0.063	-0.011	-0.002	-0.018	-0.000	0.002	0.000	0.000	0.000	0.005	0.047	-0.045	-0.000	0.019	-0.029	0.001	0.000	-0.015	0.000	-0.014	0.016	0.000	-0.004	-0.021	0.001	0.001	-0.010	0.055	-0.145	-0.011	0.033	-0.038	0.001	17.077	40.561	40.699	5.152	12.912	6.618	8.974	6.856
2.325	-6.457	41.642	-31.165	6.723	29.508	10.101	-1.871	3.545	48.665	22.838	-9.404	1.054	2.952	15.776	-5.780	1.864	8.356	3.514	-7.966	14.648	49.512	18.567	3.125	0.000	0.000	0.000	1.169	4.300	-2.287	1.312	23.568	3.169	-19.115	8.157	0.000	-4.706	2.067	0.000	-0.143	0.023	0.014	-0.085	-0.022	0.012	-0.035	-0.004	0.002	0.000	0.000	0.000	-0.149	0.006	-0.004	-0.063	-0.010	-0.002	-0.017	-0.000	0.002	0.000	0.000	0.000	0.004	0.039	-0.022	-0.000	0.021	-0.040	0.001	0.000	-0.014	0.000	-0.015	0.017	0.000	-0.005	-0.019	0.001	0.001	-0.009	0.026	-0.204	-0.011	0.033	-0.034	0.002	17.596	46.013	37.744	4.906	13.946	6.593	11.119	6.998
1.786	-6.381	42.083	-31.647	5.892	26.757	10.421	-1.759	3.011	48.666	23.075	-9.714	1.469	2.800	14.790	-6.390	1.972	7.568	3.991	-7.846	14.835	50.493	18.665	3.900	0.000	0.000	0.000	1.182	4.322	-2.438	1.265	23.616	3.409	-19.218	5.518	0.000	-4.715	2.189	0.000	-0.149	0.022	0.013	-0.089	-0.024	0.012	-0.036	-0.006	0.002	0.000	0.000	0.000	-0.149	0.007	-0.005	-0.063	-0.009	-0.002	-0.017	-0.000	0.002	0.000	0.000	0.000	0.003	0.030	0.006	-0.000	0.024	-0.054	0.001	0.000	-0.014	-0.000	-0.016	0.018	0.000	-0.005	-0.018	0.001	0.001	-0.009	-0.007	-0.275	-0.011	0.035	-0.030	0.002	18.005	52.655	34.511	4.693	15.848	6.561	14.110	7.121
1.141	-6.341	42.490	-31.872	5.033	23.964	10.741	-1.655	2.475	48.666	23.300	-10.026	1.800	2.668	13.843	-6.903	2.057	6.845	4.452	-7.688	15.035	51.468	18.774	4.670	0.000	0.000	0.000	1.196	4.344	-2.583	1.245	23.679	3.658	-19.201	2.882	0.000	-4.725	2.331	0.000	-0.155	0.021	0.012	-0.091	-0.027	0.013	-0.036	-0.009	0.002	0.000	0.000	0.000	-0.150	0.007	-0.005	-0.063	-0.009	-0.003	-0.017	-0.001	0.002	0.000	0.000	0.000	0.002	0.021	0.040	-0.000	0.028	-0.069	0.001	0.001	-0.014	-0.000	-0.017	0.019	0.000	-0.005	-0.017	0.001	0.001	-0.009	-0.041	-0.358	-0.009	0.037	-0.026	0.002	18.271	60.451	31.372	4.525	18.635	6.543	18.041	7.239
0.394	-6.333	42.865	-31.815	4.178	21.141	11.051	-1.571	1.977	48.662	23.509	-10.340	2.044	2.555	12.935	-7.305	2.122	6.191	4.889	-7.506	15.247	52.430	18.893	5.433	0.000	0.000	0.000	1.212	4.362	-2.721	1.248	23.755	3.916	-19.053	0.225	0.000	-4.735	2.493	0.000	-0.162	0.019	0.010	-0.094	-0.031	0.013	-0.037	-0.012	0.002	0.000	0.000	0.000	-0.151	0.006	-0.005	-0.063	-0.009	-0.003	-0.017	-0.001	0.002	0.000	0.000	0.000	0.001	0.011	0.078	-0.001	0.033	-0.086	0.001	0.001	-0.013	-0.000	-0.018	0.021	0.000	-0.005	-0.016	0.001	0.001	-0.009	-0.076	-0.450	-0.007	0.040	-0.023	0.002	18.401	69.265	28.454	4.409	22.321	6.559	22.943	7.365
-0.448	-6.357	43.210	-31.469	3.360	18.306	11.343	-1.514	1.558	48.652	23.701	-10.653	2.208	2.456	12.065	-7.592	2.171	5.609	5.295	-7.321	15.473	53.373	19.019	6.190	0.000	0.000	0.000	1.232	4.379	-2.849	1.270	23.842	4.186	-18.768	-2.472	0.000	-4.747	2.677	0.000	-0.167	0.015	0.008	-0.095	-0.035	0.014	-0.036	-0.015	0.002	0.000	0.000	0.000	-0.153	0.005	-0.005	-0.064	-0.009	-0.003	-0.017	-0.001	0.002	0.000	0.000	0.000	0.000	0.001	0.122	-0.001	0.038	-0.105	0.001	0.001	-0.012	-0.000	-0.018	0.024	0.000	-0.005	-0.016	0.001	0.001	-0.009	-0.109	-0.548	-0.005	0.044	-0.020	0.003	18.459	78.822	25.708	4.345	27.049	6.615	28.775	7.500
-1.369	-6.411	43.528	-30.846	2.611	15.485	11.616	-1.490	1.256	48.633	23.872	-10.966	2.299	2.366	11.228	-7.765	2.208	5.098	5.664	-7.152	15.711	54.292	19.152	6.939	0.000	0.000	0.000	1.255	4.393	-2.969	1.306	23.936	4.465	-18.343	-5.225	0.000	-4.759	2.885	0.000	-0.173	0.012	0.006	-0.096	-0.039	0.016	-0.036	-0.019	0.002	0.000	0.000	0.000	-0.154	0.004	-0.005	-0.064	-0.009	-0.002	-0.018	-0.001	0.002	0.000	0.000	0.000	-0.001	-0.008	0.168	-0.001	0.044	-0.125	0.001	0.001	-0.011	-0.000	-0.018	0.027	-0.000	-0.005	-0.016	0.001	0.001	-0.009	-0.139	-0.648	-0.003	0.048	-0.018	0.003	18.522	88.566	23.006	4.323	32.941	6.703	35.477	7.633
-2.342	-6.490	43.820	-29.983	1.959	12.710	11.874	-1.492	1.101	48.604	24.022	-11.276	2.327	2.282	10.422	-7.833	2.236	4.656	5.997	-7.010	15.962	55.181	19.289	7.679	0.000	0.000	0.000	1.283	4.405	-3.078	1.353	24.035	4.752	-17.784	-8.037	0.000	-4.770	3.118	0.000	-0.177	0.007	0.004	-0.096	-0.044	0.017	-0.035	-0.023	0.003	0.000	0.000	0.000	-0.157	0.003	-0.005	-0.064	-0.009	-0.002	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.016	0.217	-0.001	0.051	-0.145	0.001	0.001	-0.010	-0.000	-0.017	0.029	-0.000	-0.004	-0.016	0.001	0.001	-0.009	-0.164	-0.740	-0.001	0.051	-0.016	0.003	18.620	97.796	20.255	4.336	39.985	6.818	42.915	7.741
-3.335	-6.592	44.089	-28.941	1.425	10.020	12.126	-1.510	1.110	48.561	24.150	-11.582	2.304	2.199	9.641	-7.807	2.257	4.282	6.290	-6.905	16.221	56.033	19.426	8.407	0.000	0.000	0.000	1.316	4.416	-3.177	1.406	24.132	5.044	-17.103	-10.896	0.000	-4.779	3.379	0.000	-0.181	0.002	0.003	-0.096	-0.049	0.018	-0.034	-0.027	0.003	0.000	0.000	0.000	-0.159	0.002	-0.005	-0.065	-0.009	-0.002	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.022	0.267	-0.001	0.058	-0.166	0.002	0.001	-0.009	0.000	-0.017	0.032	-0.000	-0.004	-0.016	0.001	0.001	-0.009	-0.183	-0.817	0.001	0.054	-0.013	0.003	18.727	105.929	17.428	4.377	48.075	6.948	50.760	7.795
-4.307	-6.710	44.338	-27.802	1.018	7.460	12.388	-1.526	1.285	48.503	24.258	-11.881	2.243	2.113	8.879	-7.701	2.271	3.972	6.545	-6.836	16.485	56.845	19.559	9.121	0.000	0.000	0.000	1.356	4.426	-3.266	1.461	24.225	5.337	-16.318	-13.771	0.000	-4.785	3.671	0.000	-0.184	-0.003	0.002	-0.096	-0.055	0.020	-0.033	-0.031	0.004	0.000	0.000	0.000	-0.161	0.000	-0.005	-0.066	-0.010	-0.002	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.027	0.316	-0.001	0.066	-0.186	0.002	0.001	-0.008	0.000	-0.016	0.033	-0.000	-0.004	-0.016	0.001	0.001	-0.009	-0.197	-0.868	0.002	0.056	-0.011	0.004	18.758	112.542	14.580	4.432	57.191	7.082	58.487	7.802
-5.212	-6.838	44.572	-26.658	0.735	5.078	12.676	-1.519	1.608	48.427	24.345	-12.171	2.154	2.021	8.132	-7.528	2.279	3.726	6.760	-6.799	16.749	57.613	19.686	9.817	0.000	0.000	0.000	1.401	4.436	-3.344	1.513	24.309	5.627	-15.458	-16.611	0.000	-4.784	4.000	0.000	-0.186	-0.007	0.001	-0.096	-0.060	0.021	-0.032	-0.035	0.004	0.000	0.000	0.000	-0.164	-0.001	-0.005	-0.066	-0.010	-0.001	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.030	0.361	-0.002	0.073	-0.205	0.002	0.001	-0.006	0.000	-0.015	0.034	-0.000	-0.003	-0.016	0.001	0.001	-0.009	-0.207	-0.884	0.003	0.055	-0.008	0.004	18.690	117.065	11.886	4.490	67.329	7.206	65.621	7.803
-6.005	-6.965	44.793	-25.607	0.560	2.924	13.001	-1.469	2.043	48.334	24.415	-12.451	2.051	1.916	7.397	-7.302	2.279	3.540	6.934	-6.784	17.006	58.338	19.803	10.489	0.000	0.000	0.000	1.452	4.447	-3.413	1.558	24.380	5.909	-14.556	-19.346	0.000	-4.776	4.371	0.000	-0.187	-0.011	0.001	-0.095	-0.065	0.023	-0.032	-0.038	0.005	0.000	0.000	0.000	-0.167	-0.001	-0.005	-0.067	-0.010	-0.001	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.031	0.402	-0.002	0.080	-0.222	0.002	0.001	-0.005	0.000	-0.015	0.033	-0.000	-0.003	-0.015	0.001	0.001	-0.009	-0.213	-0.860	0.003	0.052	-0.006	0.004	18.596	118.800	9.497	4.542	78.249	7.319	71.785	7.828
-6.643	-7.082	45.007	-24.732	0.469	1.042	13.371	-1.358	2.540	48.222	24.469	-12.716	1.943	1.794	6.672	-7.037	2.270	3.416	7.069	-6.777	17.248	59.018	19.907	11.132	0.000	0.000	0.000	1.508	4.458	-3.475	1.591	24.437	6.179	-13.648	-21.892	0.000	-4.756	4.790	0.000	-0.188	-0.015	0.002	-0.094	-0.069	0.024	-0.031	-0.041	0.005	0.000	0.000	0.000	-0.169	-0.001	-0.005	-0.068	-0.010	-0.001	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.030	0.436	-0.002	0.087	-0.236	0.002	0.001	-0.004	0.000	-0.014	0.029	-0.000	-0.002	-0.014	0.002	0.001	-0.009	-0.217	-0.791	0.002	0.046	-0.003	0.004	18.520	117.736	7.492	4.587	89.518	7.417	76.576	7.879
-7.094	-7.178	45.217	-24.097	0.429	-0.531	13.785	-1.174	3.039	48.090	24.509	-12.965	1.837	1.652	5.957	-6.747	2.249	3.351	7.166	-6.768	17.468	59.657	19.996	11.739	0.000	0.000	0.000	1.566	4.471	-3.530	1.605	24.480	6.432	-12.768	-24.162	0.000	-4.724	5.264	0.000	-0.189	-0.017	0.003	-0.093	-0.072	0.026	-0.030	-0.043	0.006	0.000	0.000	0.000	-0.173	-0.000	-0.006	-0.069	-0.009	-0.001	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.028	0.462	-0.002	0.092	-0.247	0.002	0.001	-0.003	0.000	-0.014	0.024	-0.000	-0.002	-0.012	0.002	0.001	-0.009	-0.220	-0.680	0.002	0.036	-0.001	0.003	18.484	114.594	5.892	4.630	100.661	7.494	79.788	7.948
-7.338	-7.240	45.429	-23.738	0.410	-1.764	14.233	-0.907	3.477	47.940	24.540	-13.195	1.739	1.482	5.253	-6.444	2.217	3.347	7.230	-6.742	17.657	60.258	20.067	12.301	0.000	0.000	0.000	1.626	4.486	-3.582	1.597	24.508	6.664	-11.948	-26.070	0.000	-4.676	5.801	0.000	-0.189	-0.017	0.004	-0.092	-0.073	0.027	-0.030	-0.045	0.006	0.000	0.000	0.000	-0.176	0.001	-0.006	-0.070	-0.008	-0.000	-0.019	-0.001	0.003	0.000	0.000	0.000	-0.001	-0.024	0.479	-0.002	0.097	-0.253	0.002	0.001	-0.003	0.000	-0.014	0.016	-0.000	-0.002	-0.010	0.002	0.001	-0.009	-0.221	-0.532	0.001	0.023	0.001	0.003	18.501	109.764	4.682	4.671	111.394	7.553	81.727	8.017
