Version	3																																																																																													
Starting Frame	12																																																																																													
Avg Step Width (cm)	14.92									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	142.38	134.831								138.6055	138.6055	109.924	141.596	110.769																																																																																
R_Stride_Len	155.143	145.221								150.182																																																																																				
R_Cadence	109.924	109.924								109.924																																																																																				
L_Velocity	144.522	138.67								141.596																																																																																				
L_Stride_Len	157.977	149.243								153.61																																																																																				
L_Cadence	110.769	110.769								110.769																																																																																				
R_Support_Time	62.595	63.359								62.977																																																																																				
L_Support_Time	56.154	57.692								56.923																																																																																				
R_Non_Support	37.405	36.641								37.023																																																																																				
L_Non_Support	43.846	42.308								43.077																																																																																				
R_Step_Len	79.717	76.883	72.862							76.48733333																																																																																				
L_Step_Len	78.26	72.36								75.31																																																																																				
R_Dbl_Support	8.397	9.16								8.7785																																																																																				
L_Dbl_Support	9.231	10.769								10																																																																																				
RHS	97	228	359																																																																																											
LHS	35	165	295																																																																																											
RTO	47	179	311																																																																																											
LTO	108	240	372																																																																																											
RHS FP	229																																																																																													
LHS FP																																																																																														
