Version	3																																																																																													
Starting Frame	49																																																																																													
Avg Step Width (cm)	8.83									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	141.626	135.305								138.4655	138.4655	100.359	140.587	100.699																																																																																
R_Stride_Len	167.181	163.847								165.514																																																																																				
R_Cadence	101.408	99.31								100.359																																																																																				
L_Velocity	140.587									140.587																																																																																				
L_Stride_Len	166.852									166.852																																																																																				
L_Cadence	100.699									100.699																																																																																				
R_Support_Time	61.268	60								60.634																																																																																				
L_Support_Time	61.538									61.538																																																																																				
R_Non_Support	38.732	40								39.366																																																																																				
L_Non_Support	38.462									38.462																																																																																				
R_Step_Len	83.849	80.844								82.3465																																																																																				
L_Step_Len	83.332	83.003								83.1675																																																																																				
R_Dbl_Support	11.268	11.034								11.151																																																																																				
L_Dbl_Support	11.888									11.888																																																																																				
RHS	54	196	341																																																																																											
LHS	124	267																																																																																												
RTO	141	283																																																																																												
LTO	70	212	359																																																																																											
RHS FP	196																																																																																													
LHS FP																																																																																														
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
10.392	-1.315	-5.813	-38.664	12.338	34.015	12.651	-4.264	-26.161	35.992	11.473	-2.906	5.704	4.487	27.842	-13.234	4.997	16.381	0.873	-0.104	-1.464	26.044	4.748	-15.246	0	0	0	-1.37	1.701	7.369	1.893	9.43	6.496	-8.755	75.252	0	-11.661	0.35	0	-0.022	-0.002	-0.001	-0.008	-0.001	-0.001	-0.004	0	-0.001	0	0	0	-0.023	0.005	-0.002	-0.009	-0.001	-0.001	-0.002	0	0	0	0	0	-0.002	-0.002	-0.022	0	-0.007	0.011	-0.001	-0.001	-0.004	-0.001	-0.012	-0.017	0	-0.003	-0.001	0	0	-0.002	0.054	-0.036	-0.005	-0.034	-0.001	0.003	0.002	0.04	0.009	0.003	0.042	0.004	0.003	0.002
10.629	-1.845	-4.408	-37.503	13.257	36.347	11.21	-5.182	-26.27	35.64	11.415	-3.232	6.229	4.537	26.849	-14.016	5.153	15.984	1.279	-0.476	-0.925	26.242	4.816	-15.033	0	0	0	-1.233	1.628	7.206	1.952	9.409	6.463	-9.502	75.851	0	-11.569	0.432	0	-0.046	-0.006	-0.003	-0.015	-0.003	-0.002	-0.008	0.001	-0.002	0	0	0	-0.051	0.008	-0.004	-0.02	-0.002	-0.002	-0.005	0	0	0	0	0	-0.004	0	-0.036	0.001	-0.013	0.019	-0.001	-0.001	-0.007	-0.001	-0.018	-0.022	0	-0.006	-0.002	0	0	-0.004	0.085	-0.06	-0.002	-0.045	-0.003	0.004	0.243	5.003	1.064	0.341	5.477	0.522	0.381	0.231
