Version	3.0
Starting Frame	31
Avg Step Width (cm)	  12.39
R_Velocity	137.770	135.388
R_Stride_Len	139.384	137.136
R_Cadence	119.008	118.033
L_Velocity	136.358	132.523
L_Stride_Len	138.625	136.163
L_Cadence	118.033	116.129
R_Support_Time	57.025	57.377
L_Support_Time	62.295	62.903
R_Non_Support	42.975	42.623
L_Non_Support	37.705	37.097
R_Step_Len	69.921	68.432
L_Step_Len	69.463	68.704	67.731
R_Dbl_Support	13.223	12.295
L_Dbl_Support	7.377	7.258
RHS	52.000	173.000	295.000
LHS	112.000	234.000	358.000
RTO	121.000	243.000	367.000
LTO	68.000	188.000	312.000
RHS FP	
LHS FP	112.000	235.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-14.857	-1.046	-10.433	-10.908	-0.875	18.174	13.481	-14.872	6.565	56.749	22.662	-7.162	-22.258	-1.220	24.380	-8.068	-0.131	2.429	19.395	-6.006	-3.588	14.266	20.599	-24.157	0.000	0.000	0.000	-2.235	-4.071	3.565	-0.139	7.646	-1.699	-13.978	32.494	0.000	-9.350	-8.828	0.000	-0.027	-0.001	-0.002	-0.013	-0.001	-0.002	-0.004	0.000	0.001	0.000	0.000	0.000	-0.026	-0.000	0.002	-0.010	-0.000	0.001	-0.003	0.000	0.000	0.000	0.000	0.000	-0.003	-0.023	-0.025	0.000	-0.010	0.002	0.000	0.000	-0.003	-0.000	0.009	-0.001	-0.000	-0.000	0.001	0.000	0.000	-0.002	0.056	-0.013	-0.018	-0.001	-0.003	0.001	0.007	0.004	0.006	0.003	0.006	0.004	0.003	0.004
-15.304	-1.437	-9.634	-11.544	-0.964	20.719	13.364	-14.306	3.637	56.411	22.507	-7.851	-22.018	-1.040	23.949	-7.106	-0.253	3.406	18.718	-6.495	-3.212	14.400	20.552	-23.936	0.000	0.000	0.000	-2.287	-4.237	3.622	-0.151	7.536	-1.357	-14.638	36.596	0.000	-9.135	-7.776	0.000	-0.060	0.000	-0.006	-0.029	-0.001	-0.005	-0.010	0.001	0.001	0.000	0.000	0.000	-0.056	-0.002	0.005	-0.022	-0.001	0.002	-0.007	-0.000	0.001	0.000	0.000	0.000	-0.006	-0.041	-0.060	0.001	-0.018	0.010	0.000	0.000	-0.006	0.000	0.014	0.006	-0.000	0.002	-0.001	0.001	0.000	-0.004	0.141	-0.055	-0.032	0.004	0.003	0.002	0.831	0.502	0.731	0.429	0.875	0.483	0.358	0.535
-15.747	-1.851	-8.800	-12.135	-1.075	23.290	13.187	-13.785	0.656	56.056	22.343	-8.531	-21.751	-0.855	23.518	-6.184	-0.376	4.372	18.032	-6.948	-2.826	14.535	20.509	-23.696	0.000	0.000	0.000	-2.332	-4.393	3.680	-0.152	7.435	-1.025	-15.235	40.709	0.000	-8.924	-6.761	0.000	-0.090	0.002	-0.009	-0.044	-0.001	-0.008	-0.015	0.002	0.001	0.000	0.000	0.000	-0.085	-0.004	0.007	-0.033	-0.003	0.003	-0.010	-0.000	0.002	0.000	0.000	0.000	-0.009	-0.059	-0.093	0.002	-0.026	0.017	0.000	0.000	-0.009	0.000	0.018	0.012	-0.000	0.004	-0.004	0.001	0.001	-0.005	0.236	-0.099	-0.045	0.009	0.007	0.003	2.702	1.801	2.179	1.384	3.072	1.512	1.200	1.645
-16.181	-2.300	-7.897	-12.626	-1.211	25.899	12.896	-13.334	-2.310	55.664	22.160	-9.195	-21.436	-0.657	23.088	-5.359	-0.494	5.309	17.358	-7.349	-2.410	14.669	20.471	-23.422	0.000	0.000	0.000	-2.364	-4.528	3.737	-0.136	7.353	-0.712	-15.771	44.743	0.000	-8.724	-5.816	0.000	-0.118	0.006	-0.012	-0.057	-0.001	-0.010	-0.020	0.002	0.001	0.000	0.000	0.000	-0.112	-0.007	0.009	-0.043	-0.005	0.004	-0.013	-0.001	0.002	0.000	0.000	0.000	-0.012	-0.077	-0.126	0.002	-0.034	0.025	0.000	0.000	-0.012	0.000	0.021	0.019	-0.000	0.005	-0.006	0.001	0.001	-0.007	0.340	-0.142	-0.055	0.014	0.011	0.005	5.130	3.812	3.755	2.591	6.367	2.728	2.333	2.900
-16.607	-2.790	-6.896	-12.969	-1.375	28.552	12.448	-12.969	-5.192	55.221	21.952	-9.839	-21.063	-0.439	22.658	-4.673	-0.600	6.198	16.716	-7.689	-1.947	14.805	20.441	-23.099	0.000	0.000	0.000	-2.380	-4.636	3.795	-0.097	7.295	-0.424	-16.250	48.602	0.000	-8.542	-4.967	0.000	-0.142	0.011	-0.014	-0.068	-0.002	-0.013	-0.024	0.002	0.001	0.000	0.000	0.000	-0.134	-0.010	0.011	-0.052	-0.007	0.005	-0.016	-0.001	0.003	0.000	0.000	0.000	-0.015	-0.093	-0.156	0.003	-0.041	0.032	0.000	0.000	-0.015	0.000	0.022	0.025	-0.000	0.006	-0.009	0.001	0.001	-0.008	0.449	-0.186	-0.062	0.020	0.015	0.007	7.724	6.476	5.088	3.836	10.587	3.856	3.583	4.080
-17.024	-3.325	-5.781	-13.134	-1.571	31.245	11.818	-12.692	-7.916	54.715	21.714	-10.457	-20.634	-0.197	22.227	-4.148	-0.688	7.023	16.123	-7.962	-1.426	14.943	20.421	-22.717	0.000	0.000	0.000	-2.375	-4.711	3.854	-0.030	7.265	-0.162	-16.684	52.192	0.000	-8.381	-4.230	0.000	-0.161	0.016	-0.016	-0.077	-0.003	-0.015	-0.028	0.003	0.001	0.000	0.000	0.000	-0.152	-0.013	0.011	-0.058	-0.009	0.006	-0.018	-0.001	0.003	0.000	0.000	0.000	-0.018	-0.108	-0.184	0.003	-0.048	0.040	-0.000	0.000	-0.017	0.000	0.022	0.032	-0.000	0.007	-0.012	0.002	0.001	-0.009	0.560	-0.228	-0.065	0.026	0.018	0.009	10.293	9.750	6.017	4.965	15.588	4.789	4.820	5.093
-17.429	-3.899	-4.544	-13.110	-1.801	33.966	11.006	-12.499	-10.413	54.138	21.443	-11.048	-20.163	0.069	21.790	-3.786	-0.754	7.770	15.595	-8.166	-0.847	15.087	20.408	-22.270	0.000	0.000	0.000	-2.349	-4.751	3.914	0.064	7.263	0.074	-17.083	55.420	0.000	-8.246	-3.612	0.000	-0.175	0.021	-0.018	-0.083	-0.003	-0.017	-0.031	0.003	-0.000	0.000	0.000	0.000	-0.166	-0.016	0.010	-0.064	-0.011	0.006	-0.020	-0.001	0.003	0.000	0.000	0.000	-0.022	-0.121	-0.209	0.004	-0.055	0.048	-0.001	0.000	-0.019	0.000	0.019	0.038	-0.000	0.007	-0.014	0.002	0.001	-0.010	0.665	-0.268	-0.065	0.032	0.019	0.012	12.806	13.616	6.596	5.866	21.220	5.523	5.976	5.904
-17.818	-4.503	-3.186	-12.907	-2.066	36.690	10.037	-12.381	-12.620	53.486	21.142	-11.613	-19.673	0.358	21.341	-3.574	-0.798	8.428	15.147	-8.301	-0.214	15.241	20.402	-21.756	0.000	0.000	0.000	-2.302	-4.757	3.974	0.182	7.289	0.286	-17.462	58.204	0.000	-8.137	-3.110	0.000	-0.185	0.026	-0.019	-0.086	-0.004	-0.019	-0.033	0.004	-0.001	0.000	0.000	0.000	-0.175	-0.019	0.008	-0.067	-0.013	0.005	-0.021	-0.001	0.004	0.000	0.000	0.000	-0.024	-0.131	-0.229	0.004	-0.060	0.055	-0.001	-0.000	-0.021	0.000	0.015	0.043	-0.000	0.007	-0.017	0.002	0.001	-0.011	0.758	-0.302	-0.060	0.038	0.019	0.013	15.314	18.051	6.949	6.486	27.278	6.080	7.021	6.534
-18.180	-5.123	-1.720	-12.557	-2.363	39.384	8.954	-12.333	-14.481	52.758	20.813	-12.152	-19.192	0.664	20.875	-3.486	-0.823	8.987	14.788	-8.369	0.462	15.410	20.399	-21.176	0.000	0.000	0.000	-2.237	-4.731	4.033	0.319	7.337	0.476	-17.831	60.478	0.000	-8.055	-2.717	0.000	-0.189	0.030	-0.020	-0.087	-0.004	-0.020	-0.035	0.004	-0.002	0.000	0.000	0.000	-0.180	-0.021	0.005	-0.069	-0.015	0.005	-0.021	-0.001	0.004	0.000	0.000	0.000	-0.027	-0.140	-0.244	0.005	-0.065	0.062	-0.001	-0.000	-0.022	0.000	0.009	0.047	-0.000	0.006	-0.019	0.002	0.001	-0.012	0.831	-0.328	-0.052	0.045	0.018	0.015	17.864	22.962	7.170	6.819	33.458	6.495	7.915	7.033
-18.504	-5.741	-0.160	-12.108	-2.684	42.007	7.822	-12.357	-15.953	51.956	20.463	-12.664	-18.749	0.978	20.384	-3.493	-0.835	9.441	14.520	-8.375	1.165	15.601	20.392	-20.536	0.000	0.000	0.000	-2.156	-4.675	4.091	0.466	7.405	0.645	-18.197	62.207	0.000	-7.997	-2.416	0.000	-0.189	0.032	-0.020	-0.085	-0.004	-0.021	-0.035	0.006	-0.003	0.000	0.000	0.000	-0.182	-0.022	0.002	-0.070	-0.016	0.004	-0.021	-0.001	0.004	0.000	0.000	0.000	-0.029	-0.145	-0.254	0.005	-0.069	0.068	-0.002	-0.001	-0.023	0.000	0.002	0.050	-0.000	0.004	-0.020	0.002	0.001	-0.012	0.879	-0.344	-0.040	0.051	0.016	0.016	20.488	28.163	7.326	6.902	39.408	6.786	8.637	7.440
