Version	3.0
Starting Frame	58
Avg Step Width (cm)	  13.08
R_Velocity	128.775	128.264
R_Stride_Len	134.263	133.747
R_Cadence	115.200	115.200
L_Velocity	128.278	126.271
L_Stride_Len	134.392	130.546
L_Cadence	114.286	115.200
R_Support_Time	63.200	63.200
L_Support_Time	57.937	57.600
R_Non_Support	36.800	36.800
L_Non_Support	42.063	42.400
R_Step_Len	66.288	65.643
L_Step_Len	67.976	68.104	64.904
R_Dbl_Support	7.200	8.000
L_Dbl_Support	13.492	12.800
RHS	30.000	155.000	280.000
LHS	92.000	218.000	343.000
RTO	109.000	234.000	359.000
LTO	39.000	165.000	290.000
RHS FP	155.000
LHS FP	
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-17.266	-7.864	18.192	-11.628	-4.620	56.068	7.231	-16.250	-5.516	38.330	17.516	-14.473	-17.356	2.824	9.881	-5.369	-0.885	7.381	17.093	-9.769	8.579	22.309	16.339	-9.457	0.000	0.000	0.000	-0.875	-3.499	3.537	0.191	7.068	1.960	-18.408	49.353	0.000	-7.601	-0.497	0.000	-0.017	0.002	-0.000	-0.006	-0.003	0.001	-0.003	-0.001	0.001	0.000	0.000	0.000	-0.022	0.005	-0.000	-0.009	-0.000	-0.000	-0.002	0.000	0.000	0.000	0.000	0.000	-0.003	-0.004	-0.007	0.000	-0.003	-0.004	0.000	0.000	-0.002	0.000	-0.002	-0.019	0.000	-0.001	0.000	0.000	0.000	-0.002	0.009	-0.008	0.004	-0.001	0.000	0.002	0.005	0.011	0.002	0.002	0.023	0.006	0.004	0.002
-17.372	-7.269	19.252	-11.711	-4.417	55.218	7.043	-16.010	-4.598	44.176	17.530	-14.586	-16.039	2.432	9.287	-5.898	-0.714	7.165	17.091	-9.301	8.809	23.030	16.085	-8.622	0.000	0.000	0.000	-1.039	-3.267	3.296	-0.205	7.109	2.794	-18.133	46.767	0.000	-7.704	-0.494	0.000	-0.037	0.004	-0.001	-0.013	-0.008	0.002	-0.006	-0.002	0.001	0.000	0.000	0.000	-0.048	0.012	-0.000	-0.020	-0.001	-0.000	-0.005	0.000	0.001	0.000	0.000	0.000	-0.002	-0.002	-0.014	0.000	-0.002	-0.006	0.001	0.001	-0.003	0.000	-0.002	-0.032	0.000	-0.001	0.001	0.001	0.000	-0.003	0.017	-0.013	0.007	-0.006	0.000	0.003	0.569	1.390	0.247	0.208	2.869	0.741	0.486	0.289
-17.463	-6.726	20.312	-11.785	-4.214	54.327	6.836	-15.792	-3.671	50.347	17.537	-14.705	-14.738	2.043	8.707	-6.434	-0.550	6.941	17.111	-8.904	9.046	23.768	15.843	-7.797	0.000	0.000	0.000	-1.198	-3.037	3.056	-0.583	7.160	3.621	-17.837	44.108	0.000	-7.793	-0.475	0.000	-0.056	0.007	-0.002	-0.020	-0.012	0.003	-0.009	-0.003	0.002	0.000	0.000	0.000	-0.073	0.019	-0.000	-0.030	-0.001	-0.001	-0.008	-0.000	0.001	0.000	0.000	0.000	-0.002	-0.001	-0.021	0.000	-0.001	-0.008	0.001	0.001	-0.005	0.000	-0.002	-0.044	0.000	-0.002	0.001	0.001	0.000	-0.004	0.026	-0.019	0.010	-0.014	0.001	0.004	1.808	4.424	0.773	0.666	9.236	2.523	1.578	0.920
-17.511	-6.254	21.356	-11.848	-3.988	53.349	6.590	-15.618	-2.751	56.012	17.530	-14.833	-13.464	1.680	8.139	-6.979	-0.398	6.707	17.162	-8.611	9.295	24.525	15.621	-6.988	0.000	0.000	0.000	-1.345	-2.814	2.812	-0.927	7.225	4.429	-17.540	41.366	0.000	-7.861	-0.430	0.000	-0.073	0.010	-0.003	-0.027	-0.015	0.004	-0.013	-0.003	0.003	0.000	0.000	0.000	-0.096	0.025	0.000	-0.039	-0.001	-0.001	-0.011	-0.000	0.002	0.000	0.000	0.000	-0.002	0.001	-0.027	0.000	0.001	-0.010	0.002	0.001	-0.006	-0.000	-0.002	-0.056	0.000	-0.003	0.002	0.001	0.000	-0.005	0.035	-0.026	0.013	-0.024	0.001	0.004	3.349	8.296	1.400	1.243	17.402	5.040	2.996	1.706
-17.495	-5.860	22.366	-11.903	-3.722	52.243	6.298	-15.496	-1.855	60.272	17.508	-14.976	-12.231	1.356	7.579	-7.529	-0.260	6.460	17.242	-8.421	9.554	25.300	15.422	-6.203	0.000	0.000	0.000	-1.473	-2.601	2.565	-1.226	7.305	5.207	-17.253	38.536	0.000	-7.907	-0.356	0.000	-0.088	0.013	-0.004	-0.034	-0.017	0.005	-0.016	-0.003	0.003	0.000	0.000	0.000	-0.115	0.031	0.001	-0.047	-0.002	-0.001	-0.013	-0.000	0.002	0.000	0.000	0.000	-0.001	0.003	-0.033	0.000	0.002	-0.012	0.002	0.001	-0.008	-0.000	-0.002	-0.065	0.000	-0.003	0.002	0.001	0.001	-0.006	0.043	-0.035	0.015	-0.038	0.001	0.005	4.937	12.510	2.010	1.845	26.031	8.044	4.541	2.517
-17.396	-5.545	23.324	-11.959	-3.410	50.977	5.963	-15.433	-0.997	62.326	17.471	-15.142	-11.060	1.080	7.020	-8.070	-0.140	6.200	17.343	-8.312	9.823	26.094	15.250	-5.446	0.000	0.000	0.000	-1.579	-2.401	2.313	-1.473	7.400	5.942	-16.985	35.619	0.000	-7.937	-0.257	0.000	-0.101	0.016	-0.004	-0.041	-0.019	0.006	-0.018	-0.003	0.004	0.000	0.000	0.000	-0.132	0.035	0.001	-0.053	-0.002	-0.001	-0.014	-0.000	0.002	0.000	0.000	0.000	-0.001	0.005	-0.038	0.000	0.003	-0.015	0.002	0.002	-0.009	-0.000	-0.003	-0.073	0.000	-0.004	0.002	0.001	0.001	-0.007	0.050	-0.046	0.017	-0.052	0.001	0.005	6.460	16.686	2.551	2.414	34.197	11.317	6.120	3.271
-17.203	-5.299	24.220	-12.026	-3.059	49.528	5.597	-15.425	-0.195	61.677	17.426	-15.338	-9.979	0.854	6.456	-8.587	-0.039	5.927	17.450	-8.249	10.101	26.905	15.104	-4.720	0.000	0.000	0.000	-1.660	-2.218	2.057	-1.668	7.506	6.619	-16.737	32.627	0.000	-7.957	-0.138	0.000	-0.113	0.019	-0.005	-0.047	-0.021	0.006	-0.021	-0.003	0.005	0.000	0.000	0.000	-0.144	0.039	0.002	-0.059	-0.002	-0.001	-0.016	0.000	0.003	0.000	0.000	0.000	-0.000	0.008	-0.041	0.000	0.004	-0.018	0.003	0.002	-0.010	-0.000	-0.003	-0.079	0.000	-0.004	0.002	0.001	0.001	-0.008	0.053	-0.061	0.017	-0.067	0.001	0.005	7.893	20.488	3.010	2.921	41.434	14.622	7.676	3.923
-16.915	-5.105	25.045	-12.118	-2.689	47.884	5.224	-15.457	0.533	58.321	17.375	-15.570	-9.019	0.676	5.878	-9.063	0.041	5.641	17.552	-8.204	10.388	27.731	14.985	-4.026	0.000	0.000	0.000	-1.715	-2.053	1.801	-1.815	7.622	7.217	-16.504	29.579	0.000	-7.976	-0.009	0.000	-0.122	0.022	-0.004	-0.052	-0.022	0.007	-0.023	-0.003	0.005	0.000	0.000	0.000	-0.153	0.041	0.002	-0.062	-0.002	-0.001	-0.017	0.000	0.003	0.000	0.000	0.000	0.000	0.011	-0.042	0.000	0.006	-0.021	0.003	0.002	-0.011	0.000	-0.005	-0.082	0.000	-0.005	0.002	0.001	0.001	-0.009	0.054	-0.080	0.017	-0.081	0.001	0.006	9.262	23.687	3.391	3.355	47.523	17.689	9.183	4.456
-16.542	-4.946	25.799	-12.243	-2.328	46.042	4.874	-15.512	1.169	52.896	17.321	-15.840	-8.214	0.542	5.280	-9.480	0.101	5.342	17.637	-8.157	10.689	28.572	14.889	-3.365	0.000	0.000	0.000	-1.743	-1.908	1.546	-1.917	7.746	7.717	-16.283	26.503	0.000	-8.002	0.122	0.000	-0.130	0.024	-0.003	-0.058	-0.024	0.008	-0.025	-0.003	0.006	0.000	0.000	0.000	-0.160	0.042	0.002	-0.065	-0.003	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.000	0.015	-0.041	-0.000	0.008	-0.026	0.003	0.002	-0.012	0.000	-0.006	-0.082	0.000	-0.005	0.002	0.001	0.001	-0.009	0.049	-0.106	0.016	-0.091	0.001	0.006	10.596	26.272	3.711	3.718	52.258	20.227	10.653	4.872
-16.106	-4.805	26.483	-12.398	-2.007	44.010	4.572	-15.574	1.692	46.610	17.266	-16.150	-7.596	0.451	4.655	-9.824	0.140	5.028	17.696	-8.109	11.011	29.424	14.813	-2.737	0.000	0.000	0.000	-1.743	-1.786	1.295	-1.981	7.874	8.098	-16.072	23.432	0.000	-8.042	0.251	0.000	-0.137	0.025	-0.001	-0.063	-0.025	0.009	-0.026	-0.004	0.007	0.000	0.000	0.000	-0.163	0.042	0.001	-0.066	-0.003	-0.002	-0.018	0.000	0.003	0.000	0.000	0.000	0.001	0.020	-0.036	-0.000	0.010	-0.031	0.004	0.003	-0.013	0.000	-0.008	-0.078	0.000	-0.005	0.001	0.002	0.001	-0.010	0.041	-0.138	0.014	-0.098	0.001	0.006	11.909	28.474	3.991	4.015	55.363	21.957	12.102	5.184
