,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,62.356,1.61,46.327,5.105,1.08831750837358,0.028099800957109,0.808558682571413,0.089099058314311,2.85256612945951,1.70693200845046,2.71852484290638,1.49330370800635,24.6300864041423,18.5982285092504,26.389378290156,17.0902640355277
MIN,,21.792,-27.481,13.579,-23.733,0.380342150594604,-0.479633931740562,0.23699825912831,-0.414218991375814,-2.71852484290637,-1.47235975698242,-2.19702046241047,-1.61268422884277,-30.1592894744603,-20.8601752198363,-31.1645991236113,-22.6194671058471
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
0,0,31.603,-8.753,22.619,-10.532,0.551576403507768,-0.152768669427064,0.394776023508597,-0.183818076820043,-2.519557308179,-1.21684355449045,0.456578132321719,1.13306775039472,3.26725635973446,-1.50796447372317,2.76460153515901,-0.502654824574256
1,0.008333333333333,32.806,-8.172,22.401,-11.073,0.57257271440926,-0.142628306472977,0.39097120573925,-0.193260308073332,-2.54678444451012,-1.20427718387609,0.433539786195394,1.1372565405995,5.0265482457449,-2.26194671058419,5.27787565803069,-0.753982236862356
2,0.016666666666667,34.022,-7.597,22.194,-11.616,0.593795918113511,-0.132592663274009,0.387358374187621,-0.202737445911661,-2.588672346558,-1.18542762795455,0.389557489045138,1.14353972590669,5.27787565802999,-2.76460153515933,5.5292030703196,-1.00530964914816
3,0.025,35.258,-7.031,22.008,-12.162,0.615368187668161,-0.122714099707721,0.384112061778912,-0.21226694362755,-2.63265464370825,-1.16238928182822,0.343480796792475,1.15191730631626,5.02654824574496,-3.26725635973348,6.03185789489107,-0.753982236861983
4,0.033333333333333,36.515,-6.476,21.844,-12.712,0.637306976365729,-0.113027522359153,0.381249721805641,-0.221866254513519,-2.67454254575612,-1.13516214549711,0.293215314335049,1.15820049162344,3.267256359731,-2.5132741228716,4.52389342116953,5.06261699229072E-13
5,0.041666666666667,37.792,-5.934,21.704,-13.265,0.659594830913697,-0.103567837813344,0.378806260852849,-0.231517925277048,-2.70176968208721,-1.11421819447318,0.25551620249197,1.15820049162344,1.75929188601076,-2.51327412287194,3.26725635973283,1.25663706143613
6,0.05,39.082,-5.402,21.582,-13.818,0.682109578264424,-0.094282686192734,0.376676959165416,-0.241169596040576,-2.71643044780397,-1.09327424344925,0.228289066160863,1.14772851611147,0.251327412288127,-0.753982236861397,1.25663706143744,2.51327412287048
7,0.058333333333333,40.379,-4.88,21.473,-14.366,0.70474649866279,-0.085172067497323,0.374774550280742,-0.250734000341505,-2.71852484290637,-1.08699105814207,0.217817090648884,1.12678456508755,-0.251327412288127,0,-0.753982236862783,4.02123859659565
8,0.066666666666667,41.677,-4.361,21.369,-14.904,0.727400872353677,-0.076113808679473,0.372959407858668,-0.260123871717235,-2.71643044780397,-1.08699105814207,0.224100275956074,1.09327424344925,-2.51327412286848,0.502654824574336,-2.51327412287168,4.27256600888297
9,0.075,42.974,-3.842,21.262,-15.426,0.750037792752043,-0.067055549861622,0.371091905559034,-0.269234490412645,-2.69548649678006,-1.09117984834685,0.245044226980005,1.05766952670856,-4.02123859659884,1.25663706143616,-3.01592894744633,5.27787565802989
10,0.083333333333333,44.261,-3.321,21.145,-15.931,0.77250018022521,-0.057962384458732,0.369049870334201,-0.278048403135217,-2.66197617514174,-1.10165182385882,0.270176968208724,1.01368722955831,-7.28849495632739,0.753982236861157,-4.52389342116944,4.5238934211697
11,0.091666666666667,45.532,-2.795,21.016,-16.415,0.794683315018058,-0.048781952593242,0.366798395599128,-0.286495796714869,-2.60123871717235,-1.107935009166,0.307876080051803,0.975988117715228,-9.29911425462504,0.502654824574628,-5.27787565802994,3.51858377202078
12,0.1,46.774,-2.266,20.869,-16.881,0.816360304327828,-0.039549160850192,0.364232761598697,-0.294629031029163,-2.5237460983838,-1.11212379937079,0.351858377202052,0.946666586281722,-11.058406140636,-2.01061929829748,-6.03185789489347,3.01592894744553
13,0.108333333333333,47.979,-1.735,20.701,-17.333,0.837391521814359,-0.030281462522102,0.361300608455346,-0.302517919248177,-2.4315927138785,-1.09536863855164,0.402123859659498,0.921533845053009,-12.0637157897869,-4.52389342116932,-7.28849495632771,2.01061929829782
14,0.116666666666667,49.14,-1.212,20.509,-17.773,0.857654794430014,-0.021153390534171,0.357949576291517,-0.310197367956952,-2.33106174896361,-1.05766952670856,0.462861317628895,0.90477868423386,-11.812388377494,-8.29380460547703,-7.53982236861584,1.50796447372317
15,0.125,50.253,-0.707,20.288,-18.205,0.87708030900471,-0.0123394778116,0.35409239864461,-0.317737190325568,-2.23262517915116,-0.988554488329589,0.525693170700694,0.8922123136195,-11.8123883775004,-11.0584061406361,-7.79114978090236,1.50796447372317
16,0.133333333333333,51.319,-0.235,20.037,-18.631,0.89568551883097,-0.004101523742187,0.349711622222104,-0.325172292939064,-2.13418860933866,-0.896401103824288,0.59061941887488,0.879645943005141,-10.8070787283495,-12.5663706143592,-7.53982236861504,3.26725635973366
17,0.141666666666667,52.338,0.193,19.755,-19.051,0.913470423908792,0.003368485456349,0.34478979373148,-0.33250267579744,-2.04412961993575,-0.791681348704628,0.653451271946672,0.852418806674027,-10.3044239037716,-13.3203528512207,-7.28849495632931,6.2831853071784
18,0.15,53.314,0.571,19.443,-19.458,0.930504837408257,0.009965830028888,0.339344366465257,-0.339606165853057,-1.95825942073765,-0.680678408277789,0.714188729916083,0.800058929114207,-10.3044239037764,-14.0743350880822,-5.52920307031723,7.79114978090398
19,0.158333333333333,54.249,0.896,19.102,-19.84,0.946823665914404,0.015638150097869,0.333392793715957,-0.346273323595675,-1.87238922153951,-0.56339228254377,0.760265422168727,0.735132680940007,-11.0584061406344,-14.8283173249439,-4.02123859659565,9.29911425462473
20,0.166666666666667,55.143,1.165,18.739,-20.191,0.962426909427233,0.020333085785734,0.327057248531217,-0.352399429270175,-1.78023583703423,-0.439822971502571,0.793775743807024,0.657640062151468,-11.5610609652123,-16.3362817986669,-1.25663706143584,9.29911425462633
21,0.175,55.993,1.375,18.36,-20.505,0.977262208069185,0.023998277214922,0.320442450666159,-0.357879763121437,-1.68389366232412,-0.303687289847013,0.804247719318989,0.580147443362915,-12.3150432020709,-16.5876092109541,1.25663706143696,9.29911425462653
22,0.183333333333333,56.797,1.52,17.976,-20.782,0.991294655255219,0.026529004630314,0.313740386338501,-0.362714325149462,-1.58126830230687,-0.165457213089062,0.793775743807015,0.502654824574361,-13.069025438934,-17.0902640355284,3.76991118430719,9.2991142546245
23,0.191666666666667,57.552,1.599,17.597,-21.022,1.00447189110778,0.027907814739389,0.307125588473442,-0.366903115354248,-1.47235975698242,-0.023038346126326,0.762359817271121,0.425162205785823,-13.0690254389347,-18.3469010969645,5.02654824574257,9.29911425462634
24,0.2,58.255,1.61,17.233,-21.225,1.0167415557493,0.028099800957109,0.300772589996183,-0.370446133735796,-1.36345121165796,0.129852496348379,0.720471915223266,0.34766958699727,-13.320352851218,-18.5982285092516,7.03716754404278,8.54513201776515
25,0.208333333333333,58.906,1.548,16.889,-21.391,1.02810364917978,0.027017696820872,0.294768657369322,-0.373343380294107,-1.25244827123114,0.284837733925475,0.661828852356243,0.276460153515894,-13.3203528512244,-19.8548655706874,9.0477868423366,7.03716754403878
26,0.216666666666667,59.504,1.412,16.573,-21.523,1.03854071810671,0.02464404903816,0.28925341693302,-0.375647214906739,-1.14144533080427,0.450294947014537,0.586430628670105,0.217817090648904,-13.823007675791,-20.6088478075491,9.80176907920179,6.53451271946893
27,0.225,60.049,1.197,16.293,-21.627,1.04805276253007,0.020891591146372,0.284366495027436,-0.377462357328814,-1.02625360017268,0.622035345410779,0.504749219676757,0.163362817986663,-13.5716802635109,-20.8601752198363,11.3097335529234,5.52920307031721
28,0.233333333333333,60.539,0.9,16.052,-21.705,1.05660487586485,0.015707963267949,0.28016025153013,-0.378823714145369,-0.913156264643425,0.795870138909415,0.410501440069062,0.11728612573402,-13.8230076757942,-20.1061929829747,11.3097335529226,4.77522083345603
29,0.241666666666667,60.975,0.52,15.856,-21.761,1.06421451140354,0.009075712110371,0.276739406196221,-0.379801098526486,-0.797964534011806,0.96342174710087,0.316253660461374,0.077492618788553,-13.8230076757945,-19.3522107461126,12.0637157897854,4.02123859659646
30,0.25,61.356,0.06,15.705,-21.798,1.07086421585364,0.001047197551197,0.274103959025709,-0.380446870349724,-0.682772803380185,1.12469016998514,0.215722695546496,0.043982297150249,-14.8283173249462,-17.844246272391,11.3097335529232,4.02123859659321
31,0.258333333333333,61.682,-0.477,15.602,-21.819,1.07655398921514,-0.008325220532013,0.272306269896155,-0.380813389492643,-0.559203492338966,1.27339222225507,0.121474915938802,0.010471975511972,-15.3309721495139,-16.0849543863787,10.3044239037733,4.02123859659565
32,0.266666666666667,61.949,-1.085,15.544,-21.824,1.08121401831797,-0.018936822384139,0.271293978929999,-0.380900655955242,-0.431445391093018,1.40743350880822,0.035604716740691,-0.023038346126325,-17.0902640355316,-13.5716802635091,8.29380460547779,4.52389342117032
33,0.275,62.155,-1.757,15.527,-21.813,1.08480939657708,-0.03066543495754,0.27099727295716,-0.380708669737523,-0.289026524130255,1.52053084433747,-0.033510321638291,-0.060737457969411,-18.8495559215378,-11.0584061406348,6.28318530717997,6.28318530717675
34,0.283333333333333,62.293,-2.483,15.543,-21.784,1.08721795094483,-0.043336525327019,0.271276525637479,-0.380202524254445,-0.131946891450773,1.61268422884276,-0.085870199198123,-0.113097335529217,-21.1115026321226,-7.2884949563296,4.52389342116957,7.79114978090565
35,0.291666666666667,62.356,-3.253,15.584,-21.73,1.08831750837358,-0.056775560567376,0.271992110630796,-0.379260046458368,0.043982297150249,1.67342168681217,-0.123569311041203,-0.178023583703431,-23.8761041672841,-4.02123859659371,3.26725635973196,9.55044166691192
36,0.3,62.335,-4.052,15.643,-21.645,1.08795098923067,-0.07072074129081,0.273021854889473,-0.377776516594173,0.242949831877616,1.70693200845045,-0.150796447372303,-0.257610597594364,-25.6353960532932,-1.57207580286922E-12,2.26194671058527,11.8123883774966
37,0.308333333333333,62.219,-4.867,15.715,-21.522,1.08592640729835,-0.084945174694564,0.274278491950909,-0.37562976161422,0.456578132321727,1.70693200845046,-0.169646003293847,-0.356047167406836,-27.8973427638746,3.76991118430948,2.51327412287234,13.8230076757972
38,0.316666666666667,62.001,-5.682,15.796,-21.352,1.082121589529,-0.099169608098318,0.275692208645024,-0.372662701885829,0.689055988687348,1.67551608191455,-0.190589954317783,-0.471238898038478,-28.6513250007415,6.28318530717827,3.01592894744649,15.0796447372297
39,0.325,61.672,-6.482,15.887,-21.127,1.07637945628994,-0.113132242114272,0.277280458264339,-0.368735711068842,0.927817030360195,1.62315620435473,-0.215722695546504,-0.596902604182059,-28.9026524130236,9.04778684233991,4.02123859659467,16.8389366232417
40,0.333333333333333,61.229,-7.257,15.99,-20.842,1.06864764770361,-0.126658543817228,0.279078147393893,-0.363761522700658,1.16867246713539,1.54775798066857,-0.249233017184793,-0.737227076042406,-28.3999975884554,10.5557513160605,4.77522083345543,17.0902640355277
41,0.341666666666667,60.671,-7.996,16.109,-20.49,1.05890871047748,-0.139556526989467,0.281155089203767,-0.357617963733638,1.40533911370585,1.45979338636806,-0.289026524130255,-0.879645943005137,-27.3946879392976,11.3097335529237,5.78053048260671,16.8389366232423
42,0.35,60,-8.693,16.247,-20.07,1.0471975511966,-0.151721471875867,0.283563643571519,-0.350287580875262,1.63362817986667,1.36554560676036,-0.33719761148531,-1.01997041486549,-25.6353960532976,11.0584061406362,7.28849495632638,15.5822995618055
43,0.358333333333333,59.22,-9.345,16.408,-19.583,1.03358398303104,-0.16310101859887,0.28637362366723,-0.34178782741805,1.84725648031081,1.27339222225506,-0.397935069454697,-1.14982291121387,-23.3734493427064,10.5557513160616,8.79645943005296,14.0743350880814
44,0.366666666666667,58.338,-9.953,16.598,-19.034,1.01819017902845,-0.173712620450996,0.289689749246019,-0.332205969824601,2.04203522483337,1.18542762795455,-0.471238898038471,-1.26710903694788,-21.1115026321226,9.55044166691357,10.8070787283494,11.0584061406352
45,0.375,57.363,-10.519,16.823,-18.429,1.00117321882151,-0.183591184017284,0.293616740063006,-0.321646727850035,2.21796441343439,1.1058406140636,-0.561297887441384,-1.35926242145317,-18.3469010969663,8.54513201776307,12.5663706143572,7.79114978090426
46,0.383333333333333,56.304,-11.047,17.091,-17.78,0.982690182042887,-0.192806522467814,0.298294222458351,-0.310319541004592,2.37085525590911,1.03463118058224,-0.666017642561028,-1.42418866962738,-15.0796447372298,7.53982236861627,14.0743350880842,4.52389342116837
47,0.391666666666667,55.172,-11.541,17.409,-17.1,0.962933054910311,-0.201428448972666,0.303844369479693,-0.29845130209103,2.49651896205269,0.971799327510441,-0.783303768295063,-1.46188778147045,-12.3150432020722,7.03716754404081,14.5769899126552,1.75929188601246
48,0.4,53.98,-12.005,17.783,-16.402,0.942128730226539,-0.209526776701919,0.310371900882152,-0.28626890391211,2.59914432206996,0.913156264643434,-0.904778684233857,-1.47654854718722,-9.80176907919809,6.78584013175418,12.8176980266466,0.251327412284531
49,0.408333333333333,52.739,-12.441,18.215,-15.697,0.920469194209289,-0.217136412240615,0.317911723250767,-0.27396433268555,2.68082573106327,0.856607596878816,-1.01159283445591,-1.47864294228959,-6.53451271946949,7.03716754404089,11.0584061406368,-0.753982236859982
50,0.416666666666667,51.459,-12.85,18.698,-14.991,0.898128979783762,-0.224274808881271,0.3263416635379,-0.26164230816647,2.73528000372552,0.797964534011809,-1.10374621896122,-1.47235975698242,-4.02123859659188,6.03185789489331,9.55044166691116,-1.00530964915009
