PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\br_20feb2013\trimmed_br1_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	464	31	mm	120	1	464																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-130.02438	232.35999	1109.79895	-31.90051	234.11688	979.34094	-221.3985	132.61552	988.79102	-270.54694	209.30458	597.04388	-272.79474	247.8266	603.11084	-270.65561	286.4787	598.57513	-180.37646	98.64628	658.95929	-168.09435	397.04068	665.71783	-108.19559	126.13645	631.9397	-97.25607	356.11664	630.91992	-61.37309	82.14792	1037.85791	7.61887	24.18321	903.10547	25.22596	-7.48398	734.18262	31.2152	-84.40336	788.34924	131.8699	-56.85684	810.56042	269.51108	-62.89651	756.95135	262.87573	2.78364	795.90961	-71.03135	384.23688	1067.12756	56.04798	453.55917	907.81671	-27.8089	480.22632	946.4895	30.61092	469.91919	782.84106	102.09222	506.3024	839.72333	160.17322	365.8913	846.21149	164.01065	269.56323	827.34497	222.54645	311.01248	795.31683	680.55591	-347.64825	748.63824	102.17094	-353.71851	751.39868	85.05727	832.56909	750.65192	664.33105	839.45764	749.1405	-103.98429	125.38502	633.45459	-87.93208	352.66931	632.81213	-103.9838	125.3859	633.45447	-87.93144	352.66983	632.81213	193.27855	290.28787	811.33087	66.35157	488.11078	811.28217
2	0.008	-129.97498	231.77086	1109.78577	-32.01063	233.47383	979.30865	-221.65689	132.34418	988.83899	-270.7002	209.22144	596.97668	-272.93503	247.7619	603.05914	-270.68448	286.41684	598.55115	-180.77086	98.5016	658.91394	-168.05283	396.73608	665.92706	-108.51677	125.86562	632.0462	-97.26778	355.88406	631.06335	-61.63982	81.63828	1037.88159	7.40248	23.92745	903.2121	25.12632	-7.58084	734.23315	31.27173	-84.53606	788.26685	131.87311	-56.95117	810.51056	269.44412	-62.89522	756.84973	262.94003	2.69164	795.93909	-70.69512	383.59116	1067.62817	56.43695	452.4346	908.25696	-27.08689	479.77316	947.71735	30.46867	469.92203	783.42407	102.35027	505.76825	840.25928	160.11179	365.18982	845.93286	164.19955	268.91217	826.29858	222.46065	310.78311	794.83441	680.54053	-347.64905	748.64471	102.1492	-353.72159	751.39008	85.0716	832.56171	750.6474	664.32489	839.46045	749.14557	-104.30878	125.14597	633.51959	-87.91933	352.27063	633.078	-104.30849	125.1468	633.51941	-87.91878	352.27124	633.078	193.33009	289.84763	810.56653	66.40947	487.84515	811.84167
3	0.017	-129.99989	231.17241	1109.79785	-32.16106	232.87	979.31921	-221.92346	132.04601	988.88397	-270.83026	209.13094	596.93872	-273.05762	247.68207	603.03607	-270.70471	286.34857	598.54315	-181.11702	98.37815	658.90613	-168.00046	396.42081	666.1532	-108.7923	125.61923	632.18561	-97.26829	355.66354	631.2099	-61.89428	81.14668	1037.90735	7.2017	23.67762	903.32446	25.03781	-7.66661	734.28021	31.3509	-84.66304	788.17798	131.88454	-57.01502	810.45941	269.38849	-62.87947	756.74548	262.99365	2.61404	795.96576	-70.47128	382.93481	1068.19482	56.72697	451.36511	908.83539	-26.47046	479.32019	949.00989	30.29364	469.95139	784.14392	102.50327	505.32257	840.95978	160.00954	364.60324	845.8689	164.3367	268.35852	825.49915	222.35669	310.64819	794.60809	680.526	-347.65024	748.6496	102.12724	-353.72507	751.38	85.08511	832.5545	750.64191	664.31891	839.46155	749.15015	-104.59015	124.93552	633.61548	-87.89272	351.86884	633.35834	-104.59002	124.93625	633.61523	-87.89226	351.86945	633.35834	193.34669	289.50336	810.05365	66.39845	487.63696	812.55182
4	0.025	-130.10593	230.55934	1109.83582	-32.35559	232.30745	979.38245	-222.19911	131.71739	988.92236	-270.93353	209.03369	596.93091	-273.15808	247.58313	603.04376	-270.71722	286.27264	598.55634	-181.41496	98.27579	658.94019	-167.92558	396.10248	666.38953	-109.01994	125.39041	632.36029	-97.25184	355.45139	631.35425	-62.14456	80.67178	1037.93982	7.01108	23.42509	903.44434	24.96079	-7.73909	734.32355	31.44734	-84.7883	788.07916	131.90341	-57.05316	810.40869	269.34317	-62.85083	756.64642	263.02979	2.551	795.99634	-70.37986	382.26666	1068.83032	56.91846	450.37753	909.57092	-26.00115	478.85837	950.33777	30.11601	469.98138	785.00195	102.57009	504.93658	841.8374	159.88904	364.10608	845.98145	164.42926	267.88266	824.91064	222.24968	310.56927	794.57941	680.51538	-347.65311	748.65302	102.10723	-353.7294	751.36932	85.09608	832.54755	750.63617	664.31281	839.4599	749.15466	-104.82816	124.74979	633.74335	-87.84325	351.46735	633.64575	-104.82816	124.7504	633.74298	-87.84286	351.46793	633.64563	193.33946	289.22595	809.74506	66.34305	487.45898	813.41968
5	0.033	-130.29616	229.92549	1109.89929	-32.59689	231.78853	979.505	-222.48166	131.3539	988.94904	-271.00632	208.93005	596.95349	-273.23239	247.46352	603.08398	-270.72189	286.18845	598.59583	-181.66975	98.19086	659.02039	-167.82462	395.78802	666.6308	-109.20209	125.16943	632.57501	-97.21456	355.24771	631.49585	-62.39905	80.2098	1037.98206	6.82762	23.16182	903.5722	24.89401	-7.79816	734.3631	31.5551	-84.9145	787.96936	131.92984	-57.07158	810.36017	269.3074	-62.81159	756.55878	263.04608	2.50147	796.03644	-70.43492	381.5863	1069.53308	57.01414	449.49377	910.47064	-25.71319	478.38797	951.67664	29.95558	469.99246	785.98938	102.56903	504.58105	842.89001	159.77016	363.67587	846.23169	164.47896	267.47638	824.48987	222.15303	310.51776	794.68964	680.51086	-347.65857	748.65558	102.09138	-353.73422	751.35883	85.10342	832.54095	750.63086	664.30658	839.45526	749.15936	-105.027	124.58224	633.90674	-87.76838	351.06982	633.93665	-105.02708	124.5827	633.90637	-87.76806	351.07028	633.93646	193.31599	288.99707	809.58978	66.26231	487.28674	814.4397
6	0.042	-130.573	229.26828	1109.98865	-32.88828	231.3159	979.68927	-222.76646	130.95203	988.95862	-271.04407	208.82181	597.00568	-273.27759	247.32411	603.15796	-270.71738	286.09702	598.66577	-181.88757	98.11709	659.14978	-167.70103	395.4845	666.87189	-109.34358	124.94724	632.8338	-97.15453	355.05475	631.63611	-62.66372	79.75552	1038.03418	6.65096	22.88108	903.70654	24.83604	-7.84515	734.39899	31.6682	-85.04145	787.85083	131.96449	-57.07762	810.3158	269.28122	-62.76472	756.48676	263.04541	2.46411	796.09021	-70.64322	380.89432	1070.29614	57.01812	448.72498	911.52515	-25.62085	477.91455	953.00745	29.82191	469.97034	787.09082	102.5155	504.23242	844.1012	159.66724	363.29285	846.58734	164.49132	267.13708	824.20001	222.07596	310.47614	794.88434	680.51282	-347.66663	748.65759	102.08128	-353.73871	751.34961	85.10666	832.5343	750.62683	664.30066	839.448	749.16412	-105.19215	124.42533	634.10956	-87.67126	350.68176	634.22888	-105.19228	124.42563	634.10913	-87.67103	350.6821	634.22852	193.28363	288.80661	809.54218	66.16871	487.10138	815.59601
7	0.05	-130.93973	228.59099	1110.10425	-33.23341	230.89102	979.93372	-223.04944	130.5117	988.94684	-271.04111	208.7123	597.08624	-273.29138	247.16841	603.26526	-270.70135	286.00119	598.76843	-182.07056	98.04718	659.32813	-167.56131	395.1998	667.10773	-109.44811	124.71901	633.13593	-97.07087	354.87439	631.77417	-62.94107	79.30424	1038.09436	6.48274	22.57839	903.84399	24.78616	-7.88232	734.43195	31.78012	-85.16608	787.72943	132.00787	-57.07962	810.27863	269.2659	-62.71372	756.43304	263.03519	2.43754	796.15936	-71.00409	380.19269	1071.10767	56.93447	448.06857	912.7085	-25.71381	477.44296	954.31628	29.71292	469.90656	788.28558	102.41742	503.87866	845.4422	159.58788	362.94308	847.01953	164.4819	266.86563	824.01691	222.02213	310.43869	795.11206	680.52014	-347.67651	748.659	102.07745	-353.7428	751.34241	85.10559	832.52722	750.62512	664.29517	839.4389	749.16833	-105.32579	124.27263	634.35199	-87.55711	350.31183	634.5191	-105.32599	124.27276	634.3515	-87.55704	350.31198	634.51862	193.25201	288.65216	809.56451	66.06517	486.89261	816.86389
8	0.058	-131.3996	227.9023	1110.24512	-33.63483	230.51277	980.23413	-223.32962	130.03679	988.91193	-270.99274	208.60498	597.19348	-273.27103	247.0023	603.40332	-270.67017	285.9043	598.90314	-182.21156	97.97471	659.54852	-167.4113	394.94229	667.33447	-109.51383	124.48756	633.47162	-96.96337	354.70712	631.90723	-63.23042	78.85286	1038.15979	6.32475	22.2528	903.98059	24.74475	-7.91256	734.46283	31.88402	-85.2843	787.6123	132.05966	-57.08568	810.2525	269.26321	-62.66201	756.39905	263.02524	2.42022	796.24402	-71.50855	379.48331	1071.9519	56.76329	447.51056	913.98187	-25.96357	476.97565	955.59357	29.61439	469.79984	789.54834	102.27279	503.52176	846.87415	159.53241	362.62317	847.49939	164.46916	266.66934	823.92511	221.98941	310.4118	795.32391	680.53113	-347.68732	748.65955	102.07929	-353.74704	751.33728	85.09976	832.51898	750.62689	664.29028	839.42914	749.17145	-105.42225	124.12157	634.62659	-87.43005	349.97238	634.80231	-105.42252	124.12154	634.62604	-87.43018	349.97244	634.8017	193.22929	288.54059	809.62451	65.94359	486.6608	818.21124
