PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\br_20feb2013\Trimmed_br5_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	400	31	mm	120	1	400																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-190.46803	222.78186	1111.0116	-71.19912	223.52454	1004.40924	-282.00336	134.71617	967.05481	-275.18222	210.04761	593.164	-276.48749	247.95233	599.6947	-274.97656	287.06393	595.3468	-186.21678	99.04478	656.20935	-173.35059	395.28458	668.67841	-108.86188	132.59509	632.60736	-102.48424	352.08481	634.87488	-140.51749	70.61556	1058.41272	-111.41888	-19.19121	930.39197	-154.89174	-83.75146	776.50812	-155.22462	-145.31506	849.23132	-49.52837	-157.39494	835.68463	62.0508	-227.92139	751.91968	81.93008	-157.83591	781.91791	-151.10698	361.44263	1100.09399	-4.71457	427.33401	952.47858	-95.12106	453.15408	973.50537	-8.64512	416.68738	826.14734	48.35014	471.65613	882.38635	136.76123	349.31775	908.70367	163.70683	257.08176	896.78613	216.96283	307.42551	869.88293	680.70343	-347.89487	748.69275	104.54901	-357.40228	750.8064	86.8196	832.9502	751.70923	664.48273	839.20203	749.64984	-108.90817	125.95599	633.83777	-92.23512	351.21594	637.7608	-108.90812	125.9563	633.83789	-92.23509	351.21609	637.76086	190.33484	282.25363	883.33453	19.85251	444.17175	854.26685
2	0.008	-189.89529	221.84106	1110.98999	-70.84644	222.52931	1004.21985	-281.77005	134.1729	967.03998	-275.16663	210.0323	593.14667	-276.44214	247.90564	599.70361	-274.96567	286.97739	595.47052	-186.30872	98.82778	656.04047	-173.17702	395.0249	668.90601	-108.9269	132.35228	632.49207	-102.44719	351.89096	634.99011	-140.26361	69.69238	1058.1123	-111.42223	-19.91322	929.86774	-155.3412	-84.37233	776.01019	-155.40869	-145.95514	848.73688	-49.72902	-157.74834	835.37402	62.11673	-227.83434	751.89288	81.87508	-157.82849	781.79083	-150.40762	360.4581	1100.4574	-4.01718	426.32666	952.79639	-94.42226	452.43765	974.19012	-7.57344	415.9761	826.21869	49.04697	470.75415	882.74811	137.33566	348.12714	908.31683	164.30081	256.02448	895.64807	217.55655	306.57748	869.242	680.70294	-347.88605	748.69318	104.54841	-357.38934	750.8042	86.81832	832.95398	751.70782	664.49078	839.19867	749.651	-108.97162	125.69867	633.71851	-92.09587	350.92389	637.94415	-108.97173	125.69904	633.71851	-92.09599	350.92419	637.94409	190.92868	281.30096	882.44507	20.73677	443.36511	854.4834
3	0.017	-189.32364	220.86267	1110.98315	-70.51817	221.55156	1004.05219	-281.5015	133.56319	967.04156	-275.13657	210.00621	593.12689	-276.38461	247.86147	599.71674	-274.93167	286.89392	595.59583	-186.36479	98.62025	655.86615	-173.02179	394.76486	669.1488	-108.96251	132.1357	632.37512	-102.40891	351.70145	635.13104	-139.95842	68.75821	1057.8103	-111.39301	-20.6511	929.35925	-155.82399	-85.02457	775.51422	-155.57368	-146.60547	848.24854	-49.92172	-158.1033	835.06921	62.19484	-227.76149	751.87122	81.83852	-157.80798	781.65057	-149.81941	359.4516	1100.86951	-3.42919	425.34586	953.17664	-93.854	451.82388	975.08093	-6.69181	415.44897	826.34436	49.56342	470.01401	883.19196	137.71408	347.09995	907.94208	164.68758	255.13065	894.49365	217.96257	305.90454	868.62219	680.7027	-347.87595	748.69354	104.54811	-357.37555	750.79913	86.81715	832.95819	751.70361	664.49829	839.19788	749.65216	-109.00359	125.46616	633.59766	-91.96631	350.64832	638.14154	-109.00381	125.46662	633.59753	-91.96652	350.64874	638.14136	191.32507	280.51761	881.55792	21.43581	442.73151	854.76819
4	0.025	-188.77013	219.85028	1110.99365	-70.23153	220.58888	1003.91669	-281.21161	132.88516	967.05585	-275.09113	209.96297	593.10803	-276.32159	247.81705	599.73773	-274.87006	286.81088	595.71991	-186.38937	98.42533	655.69556	-172.88535	394.5051	669.41205	-108.97272	131.94794	632.26532	-102.36357	351.51852	635.29504	-139.61855	67.81561	1057.51208	-111.33157	-21.40919	928.88293	-156.30951	-85.69257	775.0329	-155.71747	-147.26213	847.76813	-50.09921	-158.45688	834.77362	62.28256	-227.70273	751.85669	81.8187	-157.77167	781.50079	-149.35695	358.41452	1101.33447	-2.9367	424.35587	953.6488	-93.39059	451.28738	976.18268	-6.03745	415.09427	826.57428	49.92982	469.3999	883.75244	137.92998	346.19952	907.59662	164.89917	254.35646	893.33246	218.21329	305.36987	868.03229	680.7019	-347.86624	748.69391	104.54724	-357.36261	750.79083	86.81455	832.96143	751.69604	664.50433	839.19934	749.65332	-109.00792	125.26031	633.48425	-91.84731	350.38837	638.35919	-109.00819	125.26084	633.48407	-91.84759	350.38892	638.35901	191.55623	279.86316	880.68237	21.94619	442.24707	855.16333
5	0.033	-188.25499	218.80795	1111.0249	-70.00224	219.63748	1003.82275	-280.91769	132.13922	967.07965	-275.03018	209.89694	593.09552	-276.25888	247.76924	599.77307	-274.77631	286.72501	595.84003	-186.38663	98.24273	655.53784	-172.76801	394.24286	669.69946	-108.96194	131.78795	632.16992	-102.3055	351.34506	635.47614	-139.26363	66.86917	1057.22241	-111.24182	-22.19097	928.45508	-156.7637	-86.36074	774.57452	-155.84042	-147.92102	847.29718	-50.25533	-158.80859	834.49115	62.3778	-227.65556	751.85022	81.81366	-157.71851	781.34595	-149.03435	357.33923	1101.85498	-2.52952	423.32935	954.23914	-92.99399	450.79642	977.48615	-5.61191	414.88956	826.94617	50.17817	468.87524	884.45837	138.01938	345.39236	907.30914	164.97247	253.66595	892.19769	218.34317	304.94055	867.49579	680.69952	-347.85825	748.69507	104.54475	-357.35147	750.78088	86.80837	832.96283	751.68597	664.50842	839.20197	749.65436	-108.98879	125.07948	633.38586	-91.74029	350.13977	638.60028	-108.98909	125.08005	633.38562	-91.74057	350.14035	638.6001	191.65782	279.30325	879.84674	22.28313	441.88242	855.70227
6	0.042	-187.80049	217.73912	1111.07898	-69.84639	218.69495	1003.7796	-280.6402	131.32893	967.11102	-274.95517	209.80431	593.0968	-276.19873	247.71388	599.83087	-274.64703	286.63248	595.95532	-186.35844	98.06823	655.39984	-172.66963	393.97299	670.01111	-108.93253	131.6501	632.09216	-102.22777	351.18201	635.66742	-138.91539	65.92446	1056.94568	-111.13329	-22.99721	928.091	-157.16093	-87.01884	774.14191	-155.94432	-148.57945	846.83795	-50.38441	-159.16006	834.22534	62.47879	-227.61719	751.85132	81.82146	-157.65012	781.19171	-148.86589	356.21915	1102.43274	-2.19979	422.25131	954.9696	-92.62923	450.3125	978.96698	-5.3857	414.80075	827.48511	50.34095	468.40421	885.33313	138.02075	344.64868	907.11823	164.94931	253.03123	891.14233	218.3902	304.58679	867.05011	680.69464	-347.853	748.69775	104.53977	-357.34268	750.77155	86.79801	832.96246	751.67511	664.51086	839.20428	749.65552	-108.94885	124.91862	633.30566	-91.64652	349.8963	638.86261	-108.94913	124.91917	633.30536	-91.64681	349.89685	638.86237	191.66975	278.80902	879.09625	22.47762	441.60248	856.40912
7	0.05	-187.42882	216.64761	1111.15637	-69.77901	217.76077	1003.79565	-280.40216	130.46109	967.14764	-274.86801	209.68385	593.12048	-276.1387	247.64571	599.91827	-274.48184	286.52966	596.06732	-186.30315	97.89544	655.28473	-172.5876	393.69055	670.34381	-108.8829	131.52565	632.03125	-102.12183	351.02737	635.86346	-138.59909	64.98525	1056.68738	-111.02004	-23.8277	927.80261	-157.48653	-87.66282	773.73578	-156.03133	-149.23639	846.3938	-50.48201	-159.51437	833.97906	62.58304	-227.58568	751.85815	81.83991	-157.57112	781.04498	-148.86169	355.04944	1103.0675	-1.94244	421.12311	955.85675	-92.28106	449.79565	980.58606	-5.30866	414.7869	828.2063	50.44817	467.95355	886.39496	137.97397	343.94263	907.06598	164.87634	252.43033	890.22784	218.3956	304.28152	866.73853	680.68719	-347.85107	748.70258	104.53222	-357.33624	750.76477	86.78537	832.96082	751.66492	664.5127	839.20514	749.65698	-108.88751	124.77091	633.24237	-91.56501	349.6524	639.13971	-108.88774	124.77138	633.242	-91.56527	349.65286	639.13947	191.63597	278.35593	878.48322	22.56976	441.37024	857.30066
8	0.058	-187.16156	215.54025	1111.25781	-69.81022	216.83498	1003.87708	-280.22754	129.54488	967.18597	-274.76859	209.53804	593.17401	-276.07184	247.5593	600.03979	-274.28482	286.41403	596.18121	-186.21655	97.71795	655.19275	-172.51529	393.3931	670.69208	-108.80808	131.4044	631.98456	-101.97987	350.87759	636.06207	-138.34369	64.05273	1056.45325	-110.91879	-24.68275	927.59814	-157.73148	-88.29226	773.35785	-156.10358	-149.89203	845.96826	-50.54669	-159.87599	833.75452	62.68776	-227.56059	751.86804	81.86712	-157.48903	780.91364	-149.02371	353.82813	1103.755	-1.75711	419.96399	956.9118	-91.96199	449.21329	982.29346	-5.32054	414.80634	829.11853	50.52494	467.49442	887.65588	137.91957	343.25269	907.18878	164.80125	251.84602	889.50763	218.40051	304.00192	866.59882	680.67816	-347.85202	748.7088	104.52306	-357.33182	750.76068	86.77363	832.95856	751.65662	664.51471	839.20355	749.65887	-108.80143	124.62917	633.19238	-91.49075	349.40463	639.42328	-108.80159	124.62951	633.19202	-91.49094	349.405	639.42303	191.60088	277.92398	878.05322	22.6022	441.15036	858.38721
