PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\jf_13mar2013\Trimmed_jf1_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	562	31	mm	120	1	562																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-255.06404	268.87979	1126.62073	-109.65593	277.38626	1001.85437	-332.37555	164.02275	994.74512	-350.88605	234.21974	608.49622	-347.06027	276.98175	611.09888	-355.11728	321.33279	605.66602	-229.24294	95.98006	684.94287	-242.51616	467.0542	675.99615	-126.31187	151.30544	609.41583	-136.62778	412.02179	617.0528	-194.77705	107.61839	1062.2218	-70.35471	10.64612	893.77667	-34.40801	25.71527	731.21204	-32.78314	-49.94349	769.50757	118.56713	-42.47932	803.69073	217.84575	-61.54101	759.17389	222.54213	16.3019	784.02667	-186.33257	443.17999	1077.82568	-36.47158	483.10968	907.495	-153.36053	530.04626	886.13422	-25.66021	494.51349	742.75153	15.10361	546.61188	799.19287	75.23158	456.6926	841.92773	119.71391	311.47339	817.75299	186.36543	359.10556	803.14581	647.76294	-379.64774	719.65283	62.8777	-386.93683	723.76831	48.79558	853.51337	723.1488	635.30859	860.01691	719.54895	-126.31187	151.30544	609.41583	-136.62778	412.02179	617.0528	-126.31181	151.30583	609.41528	-136.62784	412.022	617.05219	153.03967	335.28949	810.4494	-5.2783	520.56268	770.97217
2	0.008	-255.01714	268.48389	1126.5835	-109.61095	276.92697	1001.8299	-332.46622	163.72469	994.65314	-350.88803	234.15691	608.46753	-347.07919	276.93393	611.11536	-355.0625	321.25909	605.67389	-229.34544	95.76371	684.86041	-242.45848	466.99973	676.2041	-126.36757	151.10466	609.40839	-136.57664	411.96829	617.24811	-194.96954	107.25453	1062.21899	-70.51668	10.34504	893.73242	-34.54345	25.5617	731.19696	-32.76274	-50.09283	769.44867	118.59033	-42.61452	803.63995	217.8004	-61.59919	759.14136	222.52348	16.22647	784.0365	-186.3318	442.71045	1077.9281	-36.16644	482.24216	907.68634	-153.11868	529.97455	886.67719	-25.75673	494.09467	742.80786	15.04902	545.98352	799.28552	75.53746	456.18195	841.70129	120.54296	311.27594	817.53888	186.77858	359.078	801.68695	647.76599	-379.64691	719.6557	62.88213	-386.94128	723.77533	48.78596	853.50934	723.13428	635.32111	860.013	719.58099	-126.36757	151.10466	609.40839	-136.57664	411.96829	617.24811	-126.36752	151.10489	609.40796	-136.57672	411.96838	617.24756	153.66077	335.17697	809.61292	-5.35386	520.03912	771.04669
3	0.017	-254.97278	268.07367	1126.55249	-109.57466	276.48245	1001.80963	-332.54102	163.39897	994.57526	-350.87802	234.08383	608.44257	-347.0979	276.87457	611.14117	-355.01404	321.17844	605.68134	-229.39343	95.51946	684.78204	-242.39348	466.94763	676.40259	-126.39066	150.88504	609.38177	-136.52359	411.92728	617.41486	-195.12852	106.88689	1062.2262	-70.66603	10.03204	893.69281	-34.68111	25.3955	731.19147	-32.74475	-50.25016	769.39447	118.62576	-42.75937	803.58179	217.76147	-61.66042	759.10883	222.51228	16.13267	784.05109	-186.36668	442.23218	1078.04211	-35.90032	481.43463	907.96588	-152.8844	530.0722	887.32843	-25.87819	493.78314	742.91461	14.86265	545.59076	799.41913	75.73991	456.13187	841.74854	121.39426	311.42755	818.02832	187.24074	359.45447	800.68323	647.77173	-379.6449	719.65302	62.8891	-386.94238	723.78558	48.78466	853.50903	723.13281	635.34149	860.01099	719.60583	-126.39066	150.88504	609.38177	-136.52359	411.92728	617.41486	-126.39063	150.88509	609.38153	-136.52365	411.92731	617.41431	154.3175	335.44101	809.35577	-5.50777	519.68695	771.16687
4	0.025	-254.93556	267.64331	1126.53149	-109.55451	276.06229	1001.79297	-332.59988	163.04614	994.51062	-350.85864	234.00531	608.42175	-347.11243	276.80682	611.17395	-354.97018	321.09738	605.68646	-229.39362	95.25537	684.70642	-242.32718	466.89252	676.58234	-126.38609	150.65298	609.33612	-136.47327	411.89215	617.54742	-195.25015	106.51121	1062.23706	-70.79435	9.71505	893.65741	-34.80502	25.21996	731.19281	-32.72368	-50.41555	769.34497	118.67728	-42.9125	803.51697	217.73454	-61.72354	759.07501	222.5143	16.02347	784.07227	-186.45145	441.74316	1078.18262	-35.69196	480.73102	908.34729	-152.68666	530.29193	888.0589	-26.03671	493.5798	743.09711	14.54979	545.42651	799.61224	75.88404	456.52548	842.00928	122.25409	311.90164	819.05121	187.74156	360.15964	800.02209	647.78162	-379.64114	719.64294	62.89841	-386.93912	723.79913	48.79267	853.51202	723.14429	635.36932	860.01178	719.62036	-126.38609	150.65298	609.33612	-136.47327	411.89215	617.54742	-126.38605	150.65294	609.33588	-136.47325	411.89215	617.54694	154.99782	336.03064	809.53668	-5.74346	519.50317	771.35468
5	0.033	-254.90482	267.18549	1126.52185	-109.55139	275.67285	1001.78076	-332.64072	162.66531	994.45569	-350.83234	233.92572	608.40625	-347.11908	276.73428	611.21118	-354.92841	321.02228	605.68884	-229.35506	94.98206	684.63171	-242.26509	466.82669	676.73468	-126.36047	150.41705	609.27112	-136.42995	411.85336	617.64093	-195.3334	106.12142	1062.24646	-70.89421	9.40222	893.6261	-34.90062	25.03874	731.19641	-32.69393	-50.58888	769.29895	118.74936	-43.07283	803.4472	217.72397	-61.78868	759.03802	222.53357	15.90449	784.10034	-186.59776	441.23901	1078.36621	-35.56551	480.18594	908.84174	-152.56384	530.58148	888.83997	-26.25352	493.48892	743.36353	14.11316	545.47241	799.87457	76.0275	457.32117	842.38885	123.10901	312.66397	820.38898	188.26825	361.1178	799.57391	647.79633	-379.63565	719.62549	62.90937	-386.93137	723.815	48.80923	853.51746	723.16626	635.40259	860.01526	719.62439	-126.36047	150.41705	609.27112	-136.42995	411.85336	617.64093	-126.36036	150.41693	609.271	-136.42984	411.85339	617.64063	155.68863	336.8909	809.98145	-6.07018	519.48065	771.61908
6	0.042	-254.87526	266.69336	1126.52258	-109.56056	275.3136	1001.77527	-332.65903	162.25331	994.40479	-350.80139	233.8492	608.39795	-347.11597	276.65991	611.25085	-354.88635	320.95776	605.68964	-229.28523	94.71181	684.55524	-242.2112	466.74484	676.8548	-126.31931	150.18834	609.18604	-136.39684	411.80453	617.69318	-195.3772	105.71066	1062.25159	-70.95918	9.10111	893.59863	-34.95921	24.85468	731.19794	-32.65171	-50.76925	769.25409	118.84338	-43.23945	803.37488	217.73149	-61.85812	758.99585	222.56958	15.78253	784.1344	-186.81067	440.71393	1078.60803	-35.55193	479.85587	909.45148	-152.55914	530.88861	889.64374	-26.56479	493.50928	743.70422	13.55122	545.70313	800.19879	76.21864	458.45779	842.78326	123.94237	313.67624	821.8266	188.80501	362.26892	799.22308	647.8136	-379.62939	719.60309	62.92016	-386.92032	723.83148	48.83155	853.52411	723.19434	635.43719	860.02069	719.62	-126.31931	150.18834	609.18604	-136.39684	411.80453	617.69318	-126.31915	150.1882	609.18597	-136.39662	411.80457	617.69305	156.37369	337.9726	810.52484	-6.50679	519.6062	771.95154
7	0.05	-254.83948	266.16187	1126.53125	-109.57658	274.97601	1001.77747	-332.64877	161.80602	994.35181	-350.76804	233.77962	608.39929	-347.10355	276.58618	611.29126	-354.8428	320.9061	605.69086	-229.18921	94.45675	684.47424	-242.17091	466.64716	676.94751	-126.26513	149.98082	609.08295	-136.37704	411.74731	617.71173	-195.38101	105.27395	1062.25085	-70.9841	8.81768	893.57446	-34.98265	24.66913	731.19489	-32.59649	-50.95475	769.2066	118.95519	-43.41179	803.30176	217.75552	-61.93644	758.94653	222.61642	15.66381	784.17249	-187.08473	440.16263	1078.9176	-35.6831	479.79086	910.1615	-152.71361	531.16632	890.44299	-27.01999	493.62775	744.0976	12.85636	546.09027	800.55597	76.47604	459.86227	843.10187	124.73319	314.90167	823.18903	189.32655	363.57187	798.88318	647.8288	-379.62411	719.58057	62.92776	-386.90845	723.84601	48.85504	853.53027	723.22235	635.46759	860.02667	719.61115	-126.26513	149.98082	609.08295	-136.37704	411.74731	617.71173	-126.26487	149.98071	609.08301	-136.37674	411.74738	617.71173	157.02988	339.23679	811.03607	-7.08181	519.85901	772.32678
8	0.058	-254.79051	265.58755	1126.54431	-109.59535	274.64581	1001.78546	-332.60547	161.32129	994.29242	-350.73483	233.72029	608.41254	-347.08371	276.51566	611.33026	-354.79755	320.86728	605.69464	-229.07011	94.2263	684.38568	-242.15045	466.53864	677.02618	-126.19725	149.80843	608.96741	-136.37286	411.69052	617.7135	-195.34773	104.81046	1062.245	-70.96566	8.55541	893.55212	-34.98313	24.4815	731.18591	-32.53134	-51.14285	769.15204	119.07497	-43.58996	803.22797	217.79173	-62.03045	758.8891	222.66466	15.55239	784.2121	-187.40329	439.5817	1079.29688	-35.98289	480.02643	910.93182	-153.05954	531.37775	891.21136	-27.66963	493.81677	744.51465	12.01446	546.6048	800.89673	76.77863	461.45868	843.28217	125.45758	316.30878	824.3595	189.79773	365.00427	798.50311	647.83691	-379.6214	719.56299	62.92929	-386.89841	723.85571	48.87468	853.53455	723.24432	635.48938	860.0318	719.60211	-126.19725	149.80843	608.96741	-136.37286	411.69052	617.7135	-126.19693	149.80836	608.96741	-136.3725	411.69058	617.71356	157.62766	340.65652	811.43127	-7.82759	520.21082	772.70569
