PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kw_5mar2013\Trimmed_kw5_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	314	31	mm	120	1	314																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-323.57129	177.89725	1066.0365	-186.17409	169.88498	965.92407	-383.61053	89.96268	934.26752	-395.28546	189.71855	610.0636	-386.58917	222.01169	608.6441	-392.97531	249.89413	606.31921	-314.63715	51.6156	679.34033	-319.94913	384.20325	681.90851	-203.6292	78.52438	654.93341	-209.62494	361.00635	657.48553	-273.74741	20.53658	1013.06946	-175.6792	-84.14244	872.18842	-147.16731	-55.76919	723.23596	-132.30324	-136.70131	786.27972	-40.33093	-121.43228	805.16321	85.84906	-139.49561	765.43799	85.67278	-63.72695	779.77399	-245.3476	321.95715	1049.22791	-113.44799	381.93948	903.59998	-203.70201	405.43744	892.21564	-105.35966	345.48038	753.98602	-69.90682	417.56042	805.55243	11.23314	317.44272	865.73523	51.41079	228.381	855.46613	95.2886	290.11374	862.05341	669.66479	-371.0448	720.87622	82.46564	-378.94101	726.83716	70.96317	861.48798	722.45172	656.99762	869.25317	719.76428	-208.08463	85.86365	669.47534	-206.95146	338.02286	675.70575	-208.08394	85.86401	669.47174	-206.95132	338.02344	675.70227	73.34969	259.24738	858.75977	-87.63324	381.52042	779.76923
2	0.008	-324.22067	176.51233	1065.98315	-186.80482	168.47556	966.09515	-384.24945	88.65449	933.93567	-395.32681	189.41338	610.0365	-386.62766	221.70955	608.60571	-392.97516	249.63011	606.34528	-314.61618	51.14128	679.04987	-320.04648	383.41138	682.29498	-203.77852	78.24247	654.77264	-209.81964	360.44641	658.00439	-274.50531	19.1691	1012.74512	-175.88374	-85.07922	871.94775	-147.07114	-56.13836	723.01245	-132.2388	-137.25845	785.81317	-40.2425	-122.04756	805.0976	85.97771	-139.59702	765.27771	85.62679	-63.91034	779.9989	-245.85555	320.37555	1049.81897	-113.70303	381.51617	904.7959	-204.07008	404.48889	893.48364	-105.59628	346.25925	754.83008	-70.11185	417.89322	807.1076	11.18868	317.17209	866.10126	51.64662	228.46686	854.71552	95.4465	290.15454	862.14966	669.66498	-371.04422	720.87701	82.46564	-378.94101	726.83716	70.96057	861.48804	722.45032	657.00903	869.25482	719.76556	-208.069	85.44848	669.33063	-207.02739	337.28503	676.0769	-208.06856	85.44872	669.32697	-207.02745	337.28558	676.07361	73.54656	259.3107	858.43262	-87.85407	382.07623	780.96881
3	0.017	-324.9281	175.10031	1065.94543	-187.48494	166.98535	966.29962	-384.97	87.37963	933.57764	-395.37289	189.11053	610.01373	-386.66327	221.40285	608.58478	-392.9617	249.34402	606.38855	-314.6095	50.6716	678.76862	-320.1033	382.59293	682.70483	-203.9453	77.93928	654.61725	-209.99036	359.8537	658.53625	-275.42279	17.78671	1012.39832	-176.16435	-86.04771	871.74054	-147.05717	-56.47367	722.90649	-132.18382	-137.81737	785.37012	-40.14506	-122.77313	805.06171	86.10442	-139.74799	765.06854	85.55953	-64.19566	780.34003	-246.43317	318.73212	1050.45532	-113.9626	381.07724	906.13879	-204.39465	403.59335	894.82825	-105.70811	347.02881	755.83069	-70.2384	418.18726	808.83673	11.18934	316.91171	866.73627	51.93311	228.56039	854.37976	95.64637	290.20636	862.52063	669.66699	-371.04257	720.87817	82.46564	-378.94101	726.83716	70.95929	861.48755	722.44965	657.01959	869.25647	719.7666	-208.06291	85.02057	669.18787	-207.07092	336.50241	676.46008	-208.06274	85.02077	669.18457	-207.07109	336.50299	676.45728	73.78974	259.38336	858.4502	-87.97325	382.60803	782.33374
4	0.025	-325.68643	173.66039	1065.91956	-188.21082	165.41905	966.53241	-385.77386	86.15257	933.19238	-395.42413	188.81253	609.99176	-386.68869	221.09145	608.58148	-392.92865	249.03294	606.44794	-314.6236	50.20578	678.50098	-320.10339	381.75647	683.13971	-204.13002	77.61427	654.46735	-210.13121	359.21622	659.08301	-276.50195	16.38956	1012.02429	-176.54369	-87.05042	871.55048	-147.14644	-56.76375	722.93005	-132.1557	-138.38148	784.94604	-40.06089	-123.62611	805.03461	86.21577	-139.96526	764.80548	85.46202	-64.61746	780.82928	-247.0808	317.02115	1051.13904	-114.22913	380.59857	907.62933	-204.67464	402.72	896.25	-105.69965	347.73441	756.99585	-70.30036	418.40796	810.7276	11.24479	316.65201	867.63641	52.25938	228.63663	854.46399	95.88341	290.25281	863.16357	669.67114	-371.0401	720.87921	82.46564	-378.94101	726.83716	70.95908	861.48682	722.4494	657.02808	869.25806	719.76703	-208.07019	84.57163	669.05481	-207.06885	335.67563	676.86078	-208.07025	84.57195	669.05219	-207.06902	335.67636	676.85889	74.0714	259.44473	858.81378	-88.00001	383.0712	783.86176
5	0.033	-326.487	172.19637	1065.901	-188.97957	163.78735	966.7854	-386.65683	84.98362	932.77972	-395.47803	188.5191	609.96637	-386.70023	220.77524	608.59534	-392.87198	248.70036	606.52197	-314.66544	49.74164	678.24951	-320.03476	380.9122	683.6004	-204.33321	77.26693	654.3233	-210.23569	358.52872	659.64587	-277.7327	14.97664	1011.62091	-177.03925	-88.0865	871.35852	-147.34605	-56.9977	723.08075	-132.17741	-138.95366	784.53003	-40.01805	-124.62032	804.99219	86.29349	-140.26709	764.48999	85.32435	-65.21006	781.49866	-247.79329	315.23837	1051.87183	-114.50175	380.0491	909.26764	-204.90921	401.83932	897.74829	-105.59054	348.32449	758.32971	-70.31387	418.52228	812.76605	11.36297	316.38306	868.78589	52.61268	228.66891	854.95068	96.15123	290.27396	864.06213	669.67676	-371.0372	720.87982	82.46563	-378.94101	726.83716	70.95945	861.48639	722.44934	657.03351	869.25946	719.76648	-208.09563	84.09325	668.93555	-207.01181	334.80838	677.2821	-208.09583	84.09377	668.93396	-207.01183	334.80923	677.28137	74.38196	259.47144	859.50641	-87.9522	383.42337	785.54785
6	0.042	-327.32022	170.71593	1065.88721	-189.78795	162.10316	967.04926	-387.60962	83.87662	932.34131	-395.53104	188.22974	609.93372	-386.69891	220.45575	608.62634	-392.79504	248.35512	606.61072	-314.74155	49.27789	678.01459	-319.89014	380.07233	684.08722	-204.55531	76.89672	654.18542	-210.29945	357.79279	660.22363	-279.09518	13.54658	1011.19061	-177.65884	-89.14915	871.14496	-147.65106	-57.16666	723.34088	-132.27798	-139.53499	784.10315	-40.04886	-125.76481	804.91193	86.31482	-140.6707	764.1308	85.13262	-66.00394	782.37769	-248.56116	313.38239	1052.6543	-114.77608	379.39224	911.0495	-205.10016	400.92694	899.3208	-105.40622	348.75266	759.83051	-70.29491	418.50027	814.93524	11.54679	316.09375	870.16119	52.9808	228.63071	855.80499	96.43967	290.24701	865.19092	669.68323	-371.03421	720.88013	82.46563	-378.94101	726.83716	70.95996	861.48645	722.44928	657.03564	869.26019	719.76471	-208.14449	83.57964	668.82916	-206.89465	333.90811	677.72296	-208.14468	83.58031	668.82867	-206.89436	333.909	677.72345	74.71024	259.43887	860.49799	-87.85056	383.62646	787.38287
7	0.05	-328.17657	169.22743	1065.87781	-190.63196	160.37663	967.31317	-388.62106	82.82867	931.88116	-395.57901	187.94411	609.89111	-386.68817	220.13631	608.6745	-392.70996	248.00826	606.71667	-314.85657	48.81502	677.79352	-319.66837	379.25046	684.5993	-204.79688	76.50314	654.05383	-210.32347	357.01501	660.81293	-280.56531	12.09881	1010.74036	-178.40535	-90.22757	870.88885	-148.04092	-57.26444	723.67407	-132.49301	-140.12241	783.63983	-40.18934	-127.06155	804.77563	86.25269	-141.18935	763.745	84.86582	-67.0243	783.49158	-249.37228	311.45486	1053.4845	-115.04614	378.59076	912.96124	-205.25195	399.96368	900.96185	-105.17134	348.97955	761.48755	-70.26084	418.31604	817.21399	11.79075	315.76935	871.73254	53.35022	228.49686	856.97778	96.73161	290.14801	866.51715	669.68951	-371.03152	720.88007	82.46562	-378.94101	726.83716	70.96046	861.48688	722.4494	657.03467	869.25983	719.76196	-208.22107	83.02939	668.7301	-206.71721	332.98657	678.17926	-208.2211	83.03011	668.73065	-206.71655	332.98724	678.18073	75.04092	259.32245	861.7475	-87.71609	383.6478	789.35077
8	0.058	-329.04657	167.73708	1065.87244	-191.50581	158.61322	967.56396	-389.67972	81.83229	931.40424	-395.61838	187.66159	609.83716	-386.67212	219.82106	608.73981	-392.6322	247.66995	606.84271	-315.01193	48.35382	677.58105	-319.37506	378.45987	685.13458	-205.05835	76.08567	653.92889	-210.31203	356.20438	661.40985	-282.11801	10.63423	1010.27917	-179.28127	-91.31058	870.56793	-148.47763	-57.2885	724.02557	-132.86284	-140.70695	783.11084	-40.4809	-128.50391	804.57074	86.07664	-141.83228	763.36017	84.49564	-68.29139	784.85889	-250.21288	309.45966	1054.35889	-115.30719	377.6127	914.97778	-205.37061	398.93414	902.66071	-104.90975	348.97601	763.27948	-70.23227	417.94943	819.57343	12.07879	315.3898	873.46301	53.70087	228.24483	858.40979	97.0024	289.95404	867.99988	669.69458	-371.02975	720.87939	82.46561	-378.94101	726.83716	70.96107	861.48737	722.44995	657.03064	869.25842	719.75848	-208.32753	82.44478	668.63013	-206.48483	332.05856	678.64496	-208.32732	82.4453	668.63153	-206.48378	332.05875	678.64709	75.35163	259.09943	863.20483	-87.57101	383.46271	791.42645
