PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kz_11mar2013\Trimmed_kz2_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	288	31	mm	120	1	288																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-243.58253	159.19353	1054.70166	-114.92528	163.13126	970.67316	-312.69855	92.04794	963.5647	-343.07974	186.40916	629.56439	-341.5925	218.48883	633.97693	-345.11346	258.78122	632.98688	-237.39525	51.4257	665.18243	-240.43109	373.59497	685.5885	-153.63498	94.49582	627.67303	-152.74815	350.15576	641.23895	-188.8502	24.54344	1018.2605	-66.53963	-57.79391	875.60938	-8.35645	-24.71758	734.81702	-5.07444	-94.81596	751.45203	129.47733	-104.08255	789.00513	239.60187	-117.42265	751.40057	240.25253	-48.71774	783.82666	-191.20435	291.41577	1067.61316	-112.96484	395.84927	882.27301	-204.42801	417.39215	934.0177	-148.74335	426.86136	735.80963	-119.6029	490.10074	783.07629	-41.1513	412.29865	823.71594	26.0432	296.83038	811.15808	65.78779	355.7674	786.60956	642.8728	-373.63107	720.76483	61.63214	-377.36731	723.03851	51.29341	862.88086	719.60254	635.82507	868.40845	720.12811	-148.95467	88.83577	622.88861	-146.78716	337.77066	635.57239	-238.42227	160.41556	672.08582	-146.78722	337.77005	635.57166	45.91549	326.29889	798.88385	-134.17313	458.48105	759.44293
2	0.008	-243.81464	158.2395	1054.56335	-115.14615	162.2635	970.67786	-312.99124	91.36651	963.28986	-343.11703	186.29878	629.52203	-341.58963	218.36429	633.96735	-345.12289	258.6741	633.00458	-237.40895	51.17614	664.97491	-240.27957	373.29736	685.74805	-153.62608	94.34448	627.49786	-152.70438	350.03687	641.38733	-189.24054	23.74251	1017.99762	-66.78475	-58.34791	875.41254	-8.49405	-24.97219	734.78467	-5.06557	-95.04655	751.20697	129.43507	-104.3917	788.83392	239.60591	-117.51029	751.36414	240.21764	-48.92217	783.93378	-191.32776	290.37494	1067.87756	-113.16826	394.64587	882.36597	-204.2905	417.12146	935.09961	-149.36349	426.56107	736.2666	-119.98808	489.65665	783.61285	-41.52571	411.70874	823.85681	25.90149	296.48639	810.66528	65.57761	355.65277	786.36383	642.86139	-373.62671	720.77307	61.6132	-377.36606	723.03058	51.28511	862.88062	719.60223	635.81934	868.4071	720.12744	-148.96118	88.59071	622.7002	-146.66678	337.48386	635.66602	-238.38008	160.14973	672.00244	-146.66687	337.48325	635.66516	45.73955	326.06958	798.51459	-134.67578	458.10886	759.93976
3	0.017	-244.05975	157.30896	1054.43286	-115.35843	161.41927	970.68439	-313.27206	90.70791	963.02826	-343.13498	186.20374	629.48505	-341.57132	218.26004	633.96271	-345.13535	258.58441	633.01904	-237.42088	50.93101	664.77435	-240.11024	373.00436	685.89685	-153.63876	94.17759	627.32452	-152.66689	349.9386	641.52283	-189.62447	22.96366	1017.74384	-67.02134	-58.88971	875.23804	-8.61745	-25.2178	734.7627	-5.05684	-95.27578	750.98584	129.38799	-104.68976	788.68201	239.60689	-117.58035	751.33295	240.18176	-49.1067	784.03699	-191.51089	289.34659	1068.14294	-113.34116	393.4201	882.51868	-204.11328	416.84396	936.16772	-149.86798	426.34094	736.79504	-120.28468	489.27554	784.25067	-41.92419	411.12772	824.19098	25.6795	296.1749	810.37396	65.39902	355.53046	786.44092	642.85046	-373.62201	720.78156	61.59753	-377.36444	723.02368	51.27581	862.88049	719.60181	635.81506	868.40686	720.12561	-148.96558	88.34351	622.51373	-146.532	337.19455	635.74774	-238.33069	159.88843	671.9201	-146.53207	337.19397	635.74683	45.53926	325.85266	798.40747	-135.07634	457.80823	760.52283
4	0.025	-244.32132	156.40172	1054.31055	-115.56252	160.60414	970.69647	-313.54938	90.07026	962.78082	-343.13782	186.12181	629.4563	-341.53961	218.17133	633.96136	-345.14532	258.50815	633.02917	-237.43219	50.69366	664.58588	-239.92828	372.71939	686.03314	-153.66653	94.00353	627.16071	-152.63528	349.85388	641.64984	-189.99776	22.20582	1017.5025	-67.24239	-59.41868	875.08246	-8.71994	-25.4488	734.74719	-5.04741	-95.50631	750.78607	129.33961	-104.9795	788.55164	239.60611	-117.63482	751.30585	240.14838	-49.26777	784.13214	-191.77048	288.33142	1068.40918	-113.47585	392.1828	882.74402	-203.89677	416.55432	937.20422	-150.22595	426.20972	737.40082	-120.46368	488.957	785.01013	-42.33202	410.55447	824.75281	25.3982	295.88574	810.35669	65.26589	355.38702	786.90118	642.841	-373.61688	720.7901	61.58822	-377.36203	723.01923	51.26697	862.88055	719.60095	635.81201	868.40735	720.12347	-148.9682	88.0976	622.33594	-146.3862	336.90604	635.81909	-238.27661	159.63495	671.84149	-146.38623	336.90558	635.81818	45.33204	325.63638	798.62891	-135.34482	457.58334	761.20544
5	0.033	-244.60194	155.51712	1054.19714	-115.76157	159.82608	970.7182	-313.83432	89.44993	962.54669	-343.1329	186.04887	629.43799	-341.49677	218.09373	633.96033	-345.14966	258.44006	633.03485	-237.44594	50.4677	664.41541	-239.74448	372.44659	686.15759	-153.70068	93.8351	627.01471	-152.60855	349.77466	641.77393	-190.35561	21.46856	1017.27625	-67.44048	-59.93276	874.9397	-8.79475	-25.65957	734.73431	-5.03778	-95.73888	750.60504	129.29378	-105.26356	788.44299	239.60521	-117.67635	751.28125	240.12132	-49.40331	784.21606	-192.11612	287.33011	1068.67871	-113.56867	390.95917	883.05695	-203.65341	416.2478	938.1944	-150.40498	426.16565	738.0849	-120.50119	488.69495	785.90521	-42.72458	409.99149	825.56207	25.09804	295.60318	810.68182	65.19429	355.2081	787.77759	642.83319	-373.61124	720.79889	61.58621	-377.35873	723.01825	51.25887	862.88092	719.59961	635.8092	868.40796	720.12201	-148.97015	87.85763	622.17798	-146.23624	336.62354	635.88745	-238.22353	159.39316	671.77081	-146.23621	336.62326	635.88654	45.14616	325.40564	799.22968	-135.45309	457.4303	761.99506
6	0.042	-244.9034	154.65466	1054.09204	-115.96426	159.09271	970.75238	-314.13516	88.84154	962.32245	-343.12698	185.97948	629.42999	-341.44513	218.02316	633.95593	-345.14828	258.37418	633.03748	-237.46548	50.25506	664.26727	-239.57368	372.18967	686.27393	-153.73257	93.68472	626.89252	-152.58604	349.69366	641.89972	-190.69429	20.75139	1017.06622	-67.6086	-60.42841	874.80322	-8.83342	-25.8451	734.7218	-5.0294	-95.97167	750.44019	129.25348	-105.54276	788.35394	239.60628	-117.7077	751.25769	240.10297	-49.5138	784.28754	-192.5489	286.34317	1068.95654	-113.61714	389.78693	883.47784	-203.40685	415.91797	939.12885	-150.37535	426.19681	738.84515	-120.3802	488.4787	786.93958	-43.06797	409.44727	826.62402	24.83092	295.31107	811.40417	65.19978	354.98135	789.07147	642.82648	-373.60522	720.8078	61.5902	-377.35501	723.02075	51.25097	862.88147	719.59796	635.80621	868.40826	720.12189	-148.97227	87.62809	622.05151	-146.09158	336.35336	635.96436	-238.1787	159.16553	671.7121	-146.09151	336.35333	635.96362	45.01535	325.14621	800.23779	-135.37778	457.33774	762.89233
7	0.05	-245.22636	153.81358	1053.99353	-116.18238	158.40979	970.79871	-314.45114	88.23965	962.10211	-343.12384	185.90852	629.42981	-341.38812	217.95557	633.94562	-345.14304	258.30487	633.03876	-237.49223	50.05576	664.14246	-239.42943	371.95081	686.38739	-153.75542	93.55976	626.79596	-152.5688	349.60541	642.02979	-191.01297	20.05325	1016.87219	-67.7419	-60.90128	874.66846	-8.82389	-26.00048	734.71008	-5.02315	-96.2011	750.28784	129.21925	-105.81579	788.28021	239.61143	-117.73158	751.23438	240.09354	-49.60221	784.34692	-193.06049	285.37088	1069.24707	-113.61526	388.71091	884.0343	-203.18893	415.55585	940.00488	-150.1156	426.2825	739.67896	-120.08926	488.29449	788.10718	-43.31993	408.93457	827.92975	24.64699	294.99802	812.55548	65.29721	354.69794	790.75452	642.82092	-373.59943	720.81616	61.5978	-377.35098	723.02551	51.24302	862.88214	719.59637	635.8031	868.40814	720.12323	-148.9747	87.41254	621.96344	-145.96153	336.10156	636.06049	-238.14758	158.95285	671.66791	-145.9614	336.10172	636.05988	44.9721	324.84796	801.65503	-135.10243	457.28848	763.89307
8	0.058	-245.57079	152.99281	1053.89856	-116.42562	157.7807	970.85461	-314.7702	87.64114	961.87769	-343.12405	185.83263	629.43243	-341.33179	217.88724	633.9295	-345.13626	258.22818	633.04028	-237.5251	49.86868	664.03839	-239.3179	371.72964	686.50269	-153.76529	93.46069	626.72247	-152.55992	349.5062	642.1637	-191.31273	19.37312	1016.69269	-67.83894	-61.34745	874.53381	-8.75133	-26.12026	734.70233	-5.0186	-96.42313	750.14301	129.18794	-106.07969	788.21631	239.62202	-117.75068	751.21143	240.09175	-49.67318	784.39581	-193.63309	284.4133	1069.5531	-113.54896	387.77686	884.76056	-203.03307	415.15018	940.82532	-149.61633	426.39584	740.58557	-119.61973	488.12717	789.39569	-43.43244	408.46622	829.45825	24.58676	294.65479	814.13885	65.50081	354.35071	792.77679	642.81683	-373.59476	720.82269	61.60625	-377.34689	723.03094	51.23596	862.88293	719.59552	635.80035	868.40784	720.12524	-148.97723	87.21278	621.9118	-145.85155	335.87097	636.17944	-238.13161	158.75424	671.63806	-145.85141	335.87131	636.17896	45.04379	324.50275	803.45782	-134.61803	457.26151	764.9906
