PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kz_11mar2013\Trimmed_Trimmed_kz3_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1019	31	mm	120	1	1019																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31												
																																																																																																										
1	0	-219.93541	229.98227	1056.0509	-93.95296	218.98103	966.97742	-291.85965	147.61961	976.28021	-343.17703	193.20946	632.17651	-342.50281	225.8502	635.13556	-347.7027	265.70526	630.99738	-235.52068	67.57283	678.33527	-243.84419	390.80756	671.49304	-153.65395	99.97365	636.52722	-154.80553	358.19791	628.4024	-163.71384	82.77155	1029.45447	-56.59188	-19.54224	883.07379	-15.77308	-9.58988	730.85828	-11.15574	-76.33469	761.2392	123.86631	-76.21529	794.96332	233.24461	-96.96781	753.50854	234.29678	-25.7952	779.50708	-157.63634	368.70953	1036.47864	-57.47006	463.99652	867.46118	-155.16333	486.58023	910.26294	-76.76417	511.96527	722.44592	-39.8686	566.29224	778.29071	20.61544	472.67728	816.11755	64.66769	347.72156	804.35052	116.29802	392.15225	774.52014	642.86798	-373.52237	720.81805	61.6698	-377.34912	723.1167	51.32754	862.88342	719.56744	635.80798	868.40094	720.15533	-148.39894	102.67294	631.56195	-150.36884	352.37473	623.12476	-238.33652	176.92314	676.02057	-150.36887	352.37476	623.12396	90.48286	369.93689	789.43536	-58.31638	539.12878	750.36835
2	0.008	-219.92038	229.80215	1056.10583	-93.86813	218.92218	967.09534	-291.83087	147.56938	976.31091	-343.16595	193.21439	632.18768	-342.47592	225.84227	635.15125	-347.69073	265.72836	631.04095	-235.44791	67.57475	678.34692	-243.73849	390.7301	671.50293	-153.60551	99.97773	636.51556	-154.80698	358.18985	628.4046	-163.69449	82.73895	1029.51208	-56.58839	-19.55715	883.12494	-15.71701	-9.61166	730.91241	-11.17859	-76.34049	761.27979	123.85563	-76.19469	794.96899	233.22865	-96.94366	753.5213	234.28123	-25.74084	779.47284	-157.43488	368.50266	1036.70947	-57.12207	463.41016	867.39374	-154.33907	487.00067	911.3092	-76.77686	512.24634	722.84833	-39.71099	566.41711	778.70709	20.52225	472.64975	816.35931	64.84397	347.78851	804.37048	116.30295	392.34192	774.40729	642.85144	-373.52386	720.8252	61.64425	-377.34293	723.10553	51.33135	862.88483	719.55804	635.80444	868.39996	720.1571	-148.33412	102.66525	631.5517	-150.27892	352.28699	623.11243	-238.25261	176.89819	676.03162	-150.27895	352.28705	623.11151	90.57346	370.06522	789.38885	-58.24393	539.33173	750.77771
3	0.017	-219.92941	229.61458	1056.16064	-93.80629	218.86693	967.24237	-291.80875	147.52377	976.33374	-343.14606	193.2179	632.20343	-342.44794	225.8342	635.16888	-347.67075	265.75372	631.0871	-235.35391	67.58187	678.37421	-243.60013	390.64777	671.51294	-153.54529	99.99782	636.51166	-154.79874	358.18939	628.40765	-163.70193	82.70665	1029.57629	-56.602	-19.5597	883.18549	-15.60059	-9.62303	730.97913	-11.20648	-76.33488	761.32623	123.83547	-76.15848	794.9798	233.22203	-96.91705	753.54303	234.2623	-25.67757	779.43542	-157.27936	368.28479	1036.96558	-56.75005	462.75687	867.33423	-153.45348	487.38208	912.31763	-76.70298	512.51813	723.30981	-39.47702	566.5011	779.18994	20.42742	472.61203	816.74384	64.96998	347.82425	804.59021	116.31158	392.48438	774.58508	642.83173	-373.52908	720.8324	61.62235	-377.33594	723.09363	51.33542	862.88629	719.54926	635.8006	868.39905	720.1571	-148.24834	102.65736	631.55267	-150.15923	352.18872	623.09924	-238.1436	176.87505	676.05304	-150.15927	352.18878	623.09808	90.64078	370.1543	789.58765	-58.09	539.50964	751.24988
4	0.025	-219.9548	229.42401	1056.20923	-93.75774	218.80991	967.41614	-291.79498	147.48604	976.34808	-343.1174	193.22006	632.22729	-342.41779	225.82622	635.19019	-347.64609	265.78067	631.13776	-235.23926	67.59641	678.4176	-243.42496	390.56583	671.52393	-153.47269	100.03339	636.51538	-154.77734	358.19931	628.41187	-163.73784	82.67435	1029.64734	-56.63187	-19.55239	883.25519	-15.43133	-9.62293	731.05884	-11.23601	-76.31783	761.37775	123.80753	-76.10768	794.99658	233.22774	-96.88911	753.57654	234.23877	-25.60524	779.39514	-157.17203	368.05899	1037.24915	-56.37796	462.06097	867.3017	-152.53462	487.71359	913.2724	-76.53244	512.784	723.82629	-39.15936	566.54254	779.74219	20.34739	472.55402	817.26373	65.03076	347.81009	804.99023	116.32635	392.56219	775.03821	642.81195	-373.53653	720.83923	61.60697	-377.32913	723.08368	51.33931	862.88757	719.54254	635.79651	868.39819	720.15576	-148.14218	102.65022	631.56427	-150.00679	352.08374	623.0849	-238.00848	176.85696	676.08545	-150.00682	352.08386	623.0835	90.67855	370.18613	790.01422	-57.8459	539.66327	751.78424
5	0.033	-219.98827	229.2354	1056.24646	-93.71295	218.74684	967.6123	-291.79089	147.45767	976.35425	-343.07849	193.22327	632.26147	-342.38226	225.81992	635.21478	-347.61975	265.80905	631.19336	-235.10596	67.62046	678.47522	-243.21049	390.49084	671.53461	-153.38705	100.08216	636.526	-154.74226	358.21982	628.4176	-163.80283	82.64051	1029.72461	-56.67292	-19.53821	883.3324	-15.22328	-9.6112	731.15143	-11.26334	-76.29028	761.43298	123.77441	-76.04449	795.02069	233.24707	-96.8613	753.62421	234.2101	-25.52382	779.35175	-157.1111	367.82861	1037.56067	-56.02084	461.35477	867.32574	-151.62039	487.98584	914.16315	-76.25825	513.04419	724.39178	-38.75616	566.54626	780.36499	20.29972	472.46277	817.90662	65.02103	347.73236	805.54083	116.34941	392.56064	775.73596	642.79498	-373.54449	720.84515	61.5997	-377.32391	723.07764	51.34232	862.88831	719.53882	635.7923	868.39709	720.1535	-148.01709	102.64478	631.58478	-149.81963	351.97748	623.06812	-237.84772	176.8475	676.1272	-149.81961	351.9776	623.06647	90.68522	370.14648	790.63843	-57.5072	539.79523	752.37842
6	0.042	-220.02246	229.05351	1056.2677	-93.66671	218.67519	967.8233	-291.797	147.43761	976.35284	-343.02667	193.23116	632.30591	-342.3364	225.81827	635.23962	-347.59253	265.83865	631.25226	-234.95656	67.65474	678.5426	-242.95689	390.42853	671.54169	-153.28781	100.1405	636.54102	-154.69585	358.24872	628.42487	-163.89557	82.60317	1029.80627	-56.71679	-19.52053	883.41492	-14.99918	-9.58862	731.25519	-11.28471	-76.25481	761.49048	123.73987	-75.97229	795.05322	233.27948	-96.83593	753.68689	234.17696	-25.43366	779.30511	-157.09106	367.59647	1037.89783	-55.68193	460.67749	867.44293	-150.75507	488.19067	914.98322	-75.88194	513.29681	725.00165	-38.26948	566.52032	781.05725	20.30347	472.32932	818.65784	64.9463	347.58868	806.20801	116.38266	392.47028	776.63593	642.78278	-373.552	720.84943	61.60014	-377.32175	723.07605	51.34378	862.88831	719.53815	635.78766	868.39557	720.15039	-147.87477	102.64131	631.61102	-149.59753	351.87509	623.04657	-237.66307	176.84912	676.17419	-149.59746	351.87521	623.04486	90.66447	370.02948	791.422	-57.07571	539.90857	753.02942
7	0.05	-220.05254	228.8826	1056.27075	-93.62077	218.59454	968.03839	-291.81277	147.42244	976.3446	-342.9574	193.24852	632.35577	-342.27271	225.82619	635.25824	-347.56323	265.8689	631.31195	-234.7952	67.69781	678.61383	-242.66827	390.38214	671.5415	-153.17453	100.20277	636.56012	-154.64197	358.28259	628.43304	-164.01227	82.56049	1029.89099	-56.75443	-19.50335	883.50104	-14.78636	-9.55711	731.36664	-11.29673	-76.21577	761.54907	123.70837	-75.89523	795.09497	233.32283	-96.81586	753.76276	234.14163	-25.33576	779.25543	-157.10349	367.36526	1038.25598	-55.35559	460.07144	867.69318	-149.98349	488.32349	915.72949	-75.41497	513.53821	725.65314	-37.70501	566.47302	781.81604	20.37649	472.15387	819.50134	64.81789	347.39001	806.96063	116.428	392.29126	777.69073	642.77563	-373.55881	720.85138	61.60622	-377.32358	723.07904	51.34339	862.8877	719.53986	635.7821	868.39343	720.14612	-147.71696	102.63881	631.64185	-149.34216	351.78033	623.021	-237.45866	176.86191	676.22125	-149.34193	351.78043	623.01947	90.62294	369.84064	792.32568	-56.55999	540.00562	753.73462
8	0.058	-220.07771	228.72676	1056.25684	-93.58141	218.50677	968.24579	-291.83676	147.40709	976.33075	-342.86661	193.27885	632.40417	-342.18423	225.84875	635.26312	-347.52991	265.89877	631.3703	-234.62764	67.74654	678.68329	-242.35519	390.353	671.53357	-153.04759	100.26326	636.5863	-154.5851	358.31812	628.4411	-164.14664	82.51091	1029.97766	-56.77875	-19.49123	883.59033	-14.60759	-9.51993	731.48132	-11.29721	-76.17872	761.60889	123.68439	-75.81791	795.14612	233.37378	-96.80365	753.84729	234.10823	-25.23206	779.20386	-157.13835	367.13824	1038.62915	-55.02971	459.57855	868.11639	-149.34464	488.38599	916.40259	-74.87592	513.76428	726.34436	-37.0741	566.41388	782.63702	20.53065	471.94669	820.42065	64.64625	347.16003	807.7757	116.48815	392.03592	778.85516	642.77319	-373.565	720.85052	61.61531	-377.32953	723.08649	51.34125	862.88678	719.54309	635.77533	868.3905	720.1405	-147.54602	102.63644	631.67987	-149.05923	351.69693	622.99847	-237.24187	176.88429	676.26453	-149.05887	351.69702	622.99701	90.5672	369.59796	793.31543	-55.97501	540.08905	754.49066
