PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\ok_4mar2013\Trimmed_ok2_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	240	31	mm	120	1	240																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-256.47046	230.97182	1108.67017	-135.34573	221.83147	1008.3382	-365.17819	138.4762	978.85712	-340.41638	210.57849	595.77448	-342.1066	253.07408	597.5921	-336.1554	295.91199	604.65283	-241.99838	92.72421	649.18756	-248.99959	401.36948	652.92023	-168.99881	124.90824	611.43011	-147.67432	360.93423	634.69684	-239.14906	52.6556	1034.69641	-284.25	-29.97543	853.09058	-231.74687	1.05418	665.08215	-258.75131	-90.74958	699.37268	-106.28789	-123.39508	752.29993	8.04883	-143.70473	750.22552	10.20518	-61.68136	775.39056	-210.948	405.17511	1055.1228	-147.451	487.62982	862.00916	-234.85657	507.48099	889.88715	-180.06085	467.78033	694.29022	-144.64017	548.22363	746.75195	-76.01089	475.06387	807.08777	6.51839	321.17786	818.83722	61.61723	381.08585	799.03912	648.41174	-374.6983	721.4715	66.61182	-375.50754	723.26593	63.48436	864.9574	722.435	649.04492	866.42346	717.76715	-168.99881	124.90824	611.43011	-152.8616	361.63934	620.74127	-168.99843	124.90848	611.43042	-152.86121	361.63937	620.74164	34.06781	351.13187	808.93817	-162.35051	508.00198	720.52106
2	0.008	-256.71268	230.09587	1108.60657	-135.46619	220.86473	1008.33881	-365.58264	138.03079	978.5755	-340.45065	210.61147	595.72778	-342.12158	253.09584	597.56812	-336.13901	295.96432	604.62634	-242.24176	92.5881	648.94855	-248.77002	401.25351	653.07867	-169.1989	124.70886	611.22076	-147.63771	360.81024	634.85315	-239.74083	51.91175	1034.30066	-284.56216	-30.64387	852.66614	-231.79083	0.43303	664.72626	-258.71805	-91.41409	699.00708	-106.2643	-123.72667	752.16437	8.07842	-143.82596	750.21625	10.13491	-61.75692	775.38184	-210.9169	404.33646	1055.43372	-147.7289	487.07977	862.19312	-235.23143	506.8905	890.31439	-180.8821	467.34393	694.50397	-145.27295	547.71472	746.95837	-76.49181	474.47433	806.92151	6.29692	320.58395	818.00775	61.28236	380.59409	798.25696	648.41376	-374.69507	721.4718	66.61037	-375.50839	723.26166	63.47247	864.96301	722.43347	649.05048	866.42804	717.77155	-169.1989	124.70886	611.22076	-152.69797	361.41766	620.83344	-169.1985	124.70898	611.22125	-152.69762	361.41757	620.83392	33.78964	350.58902	808.13232	-163.07753	507.52933	720.73114
3	0.017	-256.94678	229.20132	1108.53833	-135.55527	219.91678	1008.32819	-365.96118	137.5444	978.28864	-340.47916	210.63795	595.67188	-342.13702	253.1057	597.54523	-336.12473	295.99915	604.59784	-242.46132	92.44193	648.7077	-248.55005	401.13315	653.23828	-169.38014	124.50761	611.00708	-147.63374	360.68997	635.00317	-240.28389	51.15126	1033.90771	-284.84592	-31.31968	852.23871	-231.88622	-0.14191	664.36127	-258.68423	-92.071	698.62946	-106.22942	-124.05804	752.0163	8.10256	-143.95093	750.19775	10.07325	-61.83014	775.36945	-210.95316	403.49149	1055.73279	-148.11511	486.51831	862.36871	-235.67998	506.28943	890.71014	-181.67215	466.8183	694.72363	-145.95758	547.1546	747.16553	-77.08064	473.93402	806.87201	5.99978	320.09332	817.54089	60.87442	380.18521	797.79059	648.41333	-374.69128	721.47217	66.61091	-375.50891	723.25519	63.46109	864.96777	722.4325	649.05896	866.43286	717.77448	-169.38014	124.50761	611.00708	-152.54099	361.20245	620.92267	-169.37984	124.50761	611.00745	-152.54074	361.2023	620.92303	33.4371	350.13925	807.66577	-163.81487	506.98645	720.94458
4	0.025	-257.17914	228.29175	1108.46838	-135.63554	218.99281	1008.30273	-366.31454	137.01602	977.99451	-340.50485	210.65656	595.60406	-342.15488	253.1048	597.52087	-336.1134	296.01498	604.56543	-242.64891	92.29184	648.46002	-248.35179	401.00702	653.40057	-169.53616	124.31629	610.78528	-147.66266	360.57349	635.14197	-240.77531	50.37402	1033.51672	-285.0965	-32.00183	851.80688	-232.03139	-0.67039	663.9903	-258.64728	-92.71521	698.23523	-106.19167	-124.38613	751.85608	8.12552	-144.07744	750.17139	10.01628	-61.9057	775.35431	-211.05742	402.63733	1056.03027	-148.60239	485.92261	862.5506	-236.17972	505.66956	891.07971	-182.39619	466.19107	694.96252	-146.66827	546.53479	747.38373	-77.73227	473.4332	806.95068	5.66669	319.68863	817.43713	60.42789	379.84402	797.63239	648.41095	-374.68671	721.47205	66.61357	-375.5083	723.24725	63.45067	864.97162	722.43195	649.06921	866.43695	717.77551	-169.53616	124.31629	610.78528	-152.39978	360.99942	621.01038	-169.53596	124.31615	610.78564	-152.39967	360.99918	621.01074	33.04729	349.76633	807.53479	-164.53224	506.36292	721.1731
5	0.033	-257.41507	227.36818	1108.39734	-135.73454	218.09737	1008.26031	-366.64624	136.44334	977.69373	-340.53094	210.6655	595.52313	-342.17813	253.0941	597.49304	-336.10641	296.01071	604.52618	-242.7972	92.14636	648.2019	-248.19051	400.87549	653.56805	-169.66118	124.14956	610.55402	-147.72202	360.4584	635.26617	-241.21516	49.5818	1033.125	-285.30951	-32.68926	851.36877	-232.21544	-1.15963	663.61499	-258.60135	-93.34196	697.82141	-106.15462	-124.70826	751.68408	8.15336	-144.20163	750.13922	9.96208	-61.9853	775.3374	-211.22717	401.77081	1056.33557	-149.16795	485.27652	862.75775	-236.70924	505.02176	891.43365	-183.03383	465.46146	695.2337	-147.38002	545.85291	747.62506	-78.39935	472.95969	807.16083	5.3356	319.34363	817.6629	59.9801	379.5513	797.75378	648.40802	-374.68082	721.4707	66.61837	-375.5062	723.23914	63.44214	864.97437	722.43213	649.08026	866.43951	717.77496	-169.66118	124.14956	610.55402	-152.286	360.81662	621.1004	-169.66113	124.14931	610.55426	-152.28606	360.81628	621.10065	32.65785	349.44748	807.70831	-165.20692	505.65717	721.42938
6	0.042	-257.65686	226.42842	1108.32471	-135.87543	217.23183	1008.20123	-366.96204	135.82341	977.38916	-340.56039	210.66212	595.43011	-342.21042	253.07425	597.46112	-336.10602	295.98514	604.47748	-242.90167	92.01316	647.93182	-248.07997	400.73972	653.74359	-169.75194	124.01998	610.31354	-147.80823	360.34009	635.37457	-241.6078	48.77625	1032.72852	-285.48376	-33.38071	850.92175	-232.41898	-1.62177	663.23346	-258.53937	-93.94952	697.38678	-106.11647	-125.02242	751.49835	8.19317	-144.31805	750.10303	9.91054	-62.0676	775.31934	-211.45586	400.88879	1056.65613	-149.77594	484.57565	863.00983	-237.24831	504.33936	891.78503	-183.57686	464.64011	695.54932	-148.06886	545.11011	747.90332	-79.039	472.49744	807.49768	5.03613	319.02753	818.15985	59.56398	379.28268	798.11169	648.40558	-374.67343	721.46796	66.62556	-375.50293	723.23199	63.43727	864.97552	722.43323	649.09167	866.43982	717.77338	-169.75194	124.01998	610.31354	-152.21045	360.66132	621.19659	-169.752	124.01962	610.3136	-152.21066	360.66092	621.19672	32.30005	349.15509	808.1358	-165.82286	504.87512	721.72632
7	0.05	-257.90512	225.46977	1108.25024	-136.07358	216.39389	1008.12677	-367.26767	135.15421	977.08429	-340.59555	210.64259	595.32776	-342.25525	253.04573	597.42603	-336.11545	295.93716	604.41748	-242.96356	91.89525	647.65045	-248.02869	400.60052	653.92914	-169.81	123.93247	610.06549	-147.91792	360.21365	635.46863	-241.9612	47.95736	1032.323	-285.62225	-34.07475	850.46338	-232.61975	-2.06742	662.8399	-258.4538	-94.53957	696.93103	-106.07201	-125.32716	751.29419	8.25229	-144.42056	750.06342	9.86232	-62.14893	775.29944	-211.73563	399.98993	1056.99878	-150.39015	483.8259	863.32245	-237.77853	503.6192	892.14661	-184.02405	463.74496	695.91907	-148.7122	544.31042	748.23126	-79.61613	472.02667	807.94763	4.78605	318.70963	818.85834	59.20179	379.00958	798.65442	648.40424	-374.66486	721.46381	66.63541	-375.4993	723.2265	63.4383	864.97479	722.43567	649.10297	866.43774	717.77106	-169.81	123.93247	610.06549	-152.18036	360.53677	621.30188	-169.81013	123.93202	610.06531	-152.18066	360.53625	621.30176	31.99392	348.85962	808.75635	-166.36813	504.02768	722.07513
8	0.058	-258.16083	224.49121	1108.17505	-136.33821	215.57816	1008.03766	-367.56705	134.43581	976.7807	-340.63806	210.60239	595.21893	-342.31467	253.00873	597.38922	-336.13876	295.86636	604.34619	-242.98991	91.78986	647.36066	-248.03835	400.45804	654.12476	-169.84149	123.88261	609.81317	-148.04805	360.07675	635.55145	-242.28542	47.12278	1031.90552	-285.72983	-34.77027	849.99139	-232.79987	-2.50178	662.42633	-258.33887	-95.11446	696.45325	-106.01531	-125.62157	751.06586	8.33652	-144.5034	750.01996	9.81761	-62.22523	775.27673	-212.05965	399.07349	1057.36963	-150.98318	483.03604	863.70319	-238.28587	502.86026	892.52789	-184.37921	462.79547	696.34894	-149.2896	543.45996	748.61804	-80.10594	471.52518	808.48907	4.59005	318.35983	819.69147	58.90346	378.70041	799.32751	648.40405	-374.65625	721.45862	66.64777	-375.49622	723.22314	63.44638	864.97205	722.43964	649.11377	866.43329	717.76831	-169.84149	123.88261	609.81317	-152.1978	360.44107	621.41754	-169.84167	123.8821	609.81281	-152.19815	360.44043	621.41724	31.74676	348.53012	809.50952	-166.8344	503.12772	722.48352
