PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk4_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	256	31	mm	120	1	256																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-328.11362	270.9668	1045.39063	-177.55731	270.33377	964.88831	-361.20059	132.80518	904.31787	-372.84311	215.27156	613.92505	-369.49362	253.03746	613.46289	-382.14136	293.86252	616.72437	-260.96796	63.24625	665.94537	-258.17188	469.28528	661.45929	-114.62177	128.48892	618.82129	-131.36513	403.66342	610.61389	-223.34778	111.98678	1027.32751	-105.42172	62.46015	877.52307	-99.56968	84.51314	705.88348	-59.54853	17.55334	783.54053	-3.6499	75.79793	811.89417	102.88852	155.15669	803.67218	51.84451	211.44659	811.79407	-238.08669	440.91678	1016.1958	-162.51727	534.32697	826.17651	-249.35599	540.8938	847.08057	-182.86696	490.81146	677.0625	-174.13524	580.034	724.16833	-20.5024	550.77155	778.53503	45.69477	505.97272	766.10583	41.95559	580.79291	746.62378	646.47308	-368.88239	721.18439	63.23613	-366.18857	722.13202	69.57496	875.6908	723.29285	653.1098	872.36859	719.75366	-114.62175	128.48839	618.82141	-131.36519	403.66299	610.61395	-114.62177	128.48892	618.82129	-131.36513	403.66342	610.61389	77.36652	183.30164	807.73309	-79.5591	51.03324	744.71198
2	0.008	-327.90326	271.06638	1045.37488	-177.476	270.89365	964.83783	-360.64871	132.79591	904.56494	-372.71265	215.2635	614.05499	-369.42764	253.03922	613.55591	-382.07227	293.8613	616.75934	-260.73029	63.31281	666.0943	-258.23486	469.39679	661.35211	-114.4599	128.63342	618.84302	-131.40996	403.83624	610.4729	-222.73662	112.41536	1027.60144	-104.97192	62.72099	877.66467	-99.32231	84.30962	705.80347	-59.10505	17.7695	783.75574	-3.47084	76.44778	811.78455	103.15335	155.8503	802.95453	52.12472	212.14525	810.49377	-238.3439	441.25742	1016.11121	-162.69888	534.66034	826.13501	-249.62457	541.16943	846.97015	-182.78033	491.07803	676.93091	-174.11456	580.24939	724.09662	-20.52092	550.90753	778.52179	45.63845	506.04947	766.14136	41.97947	580.81335	746.5993	646.47662	-368.87857	721.18365	63.22832	-366.19748	722.12946	69.5707	875.69299	723.29279	653.10712	872.3703	719.75146	-114.45987	128.63289	618.8432	-131.40999	403.83582	610.47302	-114.4599	128.63342	618.84302	-131.40996	403.83624	610.4729	77.63904	183.99777	806.72418	-79.21368	51.03956	744.7796
3	0.017	-327.655	271.17865	1045.36243	-177.38208	271.43427	964.77606	-360.14899	132.82127	904.81293	-372.56787	215.26363	614.18903	-369.35443	253.04564	613.65558	-382.01389	293.87738	616.80768	-260.49271	63.40361	666.24506	-258.28113	469.52625	661.2486	-114.29685	128.79602	618.86261	-131.44238	404.02185	610.3316	-222.18269	112.83146	1027.86426	-104.62478	62.85334	877.81262	-99.20682	83.95821	705.73297	-58.78038	17.81526	783.98199	-3.63452	76.91745	811.94043	103.15031	156.45551	802.84943	52.05542	212.67282	809.81799	-238.55255	441.60214	1016.02747	-162.86583	534.99609	826.104	-249.8511	541.45581	846.86578	-182.82184	491.34445	676.83984	-174.08168	580.47992	724.03345	-20.53545	551.06543	778.51166	45.59439	506.12363	766.18164	42.00544	580.8371	746.57965	646.47937	-368.87589	721.18347	63.21976	-366.20801	722.12903	69.56587	875.69476	723.29211	653.10559	872.37115	719.74847	-114.29684	128.79552	618.86285	-131.4424	404.02145	610.33179	-114.29685	128.79602	618.86261	-131.44238	404.02185	610.3316	77.60286	184.56416	806.33374	-78.9936	50.88674	744.85748
4	0.025	-327.3801	271.30771	1045.35522	-177.26993	271.94467	964.70721	-359.70825	132.88396	905.05762	-372.41525	215.27594	614.32019	-369.27762	253.05783	613.75848	-381.96365	293.91095	616.86566	-260.25824	63.51846	666.3949	-258.31262	469.6745	661.14838	-114.13504	128.97647	618.87909	-131.46404	404.22107	610.19037	-221.71053	113.23835	1028.12683	-104.37148	62.88335	877.99487	-99.17924	83.52499	705.72308	-58.54402	17.73004	784.25616	-4.09328	77.23518	812.39459	102.93778	157.00645	803.35327	51.7101	213.07999	809.84479	-238.70439	441.94598	1015.94312	-163.01305	535.32916	826.08319	-250.02995	541.75049	846.76984	-182.97635	491.60956	676.78949	-174.03737	580.7298	723.9798	-20.5442	551.24127	778.50391	45.56355	506.19312	766.22357	42.03347	580.86432	746.56366	646.48053	-368.87512	721.1839	63.20977	-366.21994	722.13049	69.56006	875.69586	723.29071	653.1048	872.37109	719.74579	-114.13501	128.976	618.87952	-131.464	404.2207	610.19073	-114.13504	128.97647	618.87909	-131.46404	404.22107	610.19037	77.32394	185.04323	806.59906	-78.86163	50.62751	744.98962
5	0.033	-327.0946	271.4614	1045.35498	-177.1362	272.41788	964.6366	-359.33319	132.98892	905.29382	-372.26279	215.30495	614.4436	-369.20102	253.07826	613.86121	-381.91595	293.96121	616.92773	-260.03088	63.65405	666.53894	-258.32965	469.84155	661.05103	-113.97789	129.17065	618.88824	-131.47583	404.43329	610.0481	-221.34239	113.6426	1028.40125	-104.19915	62.84404	878.24554	-99.17915	83.08288	705.82928	-58.3614	17.56046	784.61743	-4.75396	77.43372	813.14679	102.58798	157.54329	804.40491	51.17583	213.42551	810.59082	-238.79526	442.28473	1015.85754	-163.13405	535.6571	826.07019	-250.15926	542.05164	846.68463	-183.23286	491.87106	676.77759	-173.98279	581.00208	723.93408	-20.54646	551.42926	778.4964	45.54487	506.25668	766.26324	42.06311	580.89423	746.55023	646.47937	-368.87674	721.18463	63.19764	-366.23328	722.13342	69.55323	875.69666	723.28888	653.10461	872.37012	719.74414	-113.97791	129.17026	618.88867	-131.47583	404.43292	610.04846	-113.97789	129.17065	618.88824	-131.47583	404.43329	610.0481	76.8819	185.48439	807.49786	-78.77027	50.32167	745.22339
6	0.042	-326.81461	271.65036	1045.36169	-176.98111	272.85065	964.5697	-359.02994	133.14211	905.51617	-372.11874	215.35545	614.55804	-369.12814	253.1111	613.96185	-381.86444	294.02689	616.98828	-259.81564	63.80582	666.67108	-258.33173	470.02588	660.95691	-113.83015	129.3728	618.88306	-131.47885	404.6561	609.90228	-221.0929	114.05296	1028.69788	-104.09056	62.77249	878.60352	-99.14501	82.70177	706.10474	-58.19307	17.35717	785.09827	-5.48142	77.54512	814.16443	102.17607	158.10754	805.91174	50.53551	213.76619	812.00842	-238.82484	442.61618	1015.77069	-163.2209	535.9787	826.05957	-250.24089	542.35718	846.6106	-183.58682	492.1264	676.79938	-173.91817	581.2962	723.89124	-20.54257	551.62225	778.48572	45.53623	506.31387	766.29736	42.09393	580.92578	746.53821	646.47577	-368.88055	721.1853	63.1831	-366.24789	722.13733	69.54599	875.69769	723.2876	653.10535	872.36816	719.74329	-113.83016	129.37248	618.88348	-131.47887	404.65573	609.90271	-113.83015	129.3728	618.88306	-131.47885	404.6561	609.90228	76.35579	185.93687	808.96008	-78.66904	50.02947	745.6015
7	0.05	-326.55231	271.88617	1045.37366	-176.80925	273.2431	964.51141	-358.80133	133.34862	905.72076	-371.99115	215.43176	614.66504	-369.06195	253.16188	614.05957	-381.80472	294.10709	617.04388	-259.61908	63.9706	666.78607	-258.31967	470.22473	660.86719	-113.69781	129.57846	618.85815	-131.47525	404.88571	609.7522	-220.96579	114.47853	1029.02295	-104.0237	62.70497	879.10638	-99.0262	82.44125	706.59174	-57.99493	17.17105	785.71765	-6.11741	77.59709	815.39471	101.76677	158.73561	807.776	49.8567	214.14948	813.99542	-238.79536	442.94202	1015.6828	-163.2648	536.29358	826.0426	-250.27885	542.66394	846.54437	-184.03757	492.37198	676.84662	-173.84297	581.60706	723.84283	-20.53332	551.81256	778.46759	45.53504	506.36478	766.32404	42.12526	580.95746	746.52649	646.47021	-368.88583	721.18555	63.16701	-366.2627	722.14172	69.53967	875.69916	723.2876	653.10742	872.36505	719.74261	-113.69786	129.57822	618.85858	-131.47528	404.88538	609.75262	-113.69781	129.57846	618.85815	-131.47525	404.88571	609.7522	75.81174	186.44254	810.88568	-78.51056	49.80615	746.15472
8	0.058	-326.3147	272.17859	1045.38892	-176.63007	273.59891	964.46503	-358.6452	133.61069	905.90564	-371.88641	215.53671	614.76697	-369.00403	253.23665	614.15417	-381.73627	294.20181	617.09363	-259.44995	64.14664	666.88116	-258.29675	470.43494	660.78424	-113.58812	129.78453	618.81366	-131.46849	405.11795	609.60107	-220.95445	114.92722	1029.37976	-103.97226	62.67227	879.78082	-98.78217	82.34785	707.31421	-57.72354	17.04929	786.48169	-6.51115	77.61402	816.78186	101.40545	159.45433	809.91107	49.18921	214.61034	816.41821	-238.71056	443.26767	1015.59332	-163.25731	536.60199	826.00922	-250.27638	542.96973	846.4798	-184.58092	492.60126	676.90753	-173.75662	581.92438	723.77771	-20.51963	551.99243	778.43866	45.53862	506.4097	766.34283	42.15583	580.98834	746.5144	646.46393	-368.89151	721.18542	63.15119	-366.27594	722.1463	69.53578	875.70105	723.28906	653.1109	872.36108	719.7417	-113.58819	129.78441	618.81396	-131.46854	405.11765	609.60144	-113.58812	129.78453	618.81366	-131.46849	405.11795	609.60107	75.29733	187.03233	813.16467	-78.25285	49.69857	746.89795
