PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_am2_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1739	31	mm	120	1	1739																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-232.84732	270.84702	1144.95898	-90.23685	274.08783	1066.31604	-286.93698	186.91302	1055.00159	-333.95953	222.44342	657.909	-335.32214	267.73096	663.00989	-336.961	316.5986	662.76721	-200.56854	98.25034	689.02795	-226.5385	450.66409	692.54633	-132.45793	140.68196	629.26355	-137.03793	405.1369	631.09949	-160.9071	114.56312	1120.78918	-66.9233	66.06832	912.42828	-112.00077	101.25969	763.75293	-45.60952	19.5442	818.35162	24.20117	86.55304	843.38715	144.45569	179.66771	789.95581	110.24925	211.0222	854.45367	-157.34726	458.81033	1097.01025	-78.67173	539.8913	899.00482	-169.38637	545.93835	940.1983	-86.91787	512.66492	740.28705	-81.81158	597.65253	776.22693	52.13935	608.36108	790.3739	172.37375	545.18396	787.57507	173.38861	618.96338	742.46899	671.83582	-355.26163	721.40002	84.63789	-357.81931	722.01691	79.40075	885.11407	720.03412	664.11316	886.95282	718.70679	-129.14182	146.04755	616.53119	-135.15498	405.77802	617.0647	-129.14182	146.04755	616.53119	-135.15498	405.77802	617.0647	127.35247	195.34496	822.20471	-78.80515	60.40195	791.05225
2	0.008	-232.84732	270.84702	1144.95898	-90.23685	274.08783	1066.31604	-286.93698	186.91302	1055.00159	-333.95953	222.44342	657.909	-335.32214	267.73096	663.00989	-336.961	316.5986	662.76721	-200.56854	98.25034	689.02795	-226.5385	450.66409	692.54633	-132.45793	140.68196	629.26355	-137.03793	405.1369	631.09949	-160.9071	114.56312	1120.78918	-66.9233	66.06832	912.42828	-112.00077	101.25969	763.75293	-45.60952	19.5442	818.35162	24.20117	86.55304	843.38715	144.45569	179.66771	789.95581	110.24925	211.0222	854.45367	-157.34726	458.81033	1097.01025	-78.67173	539.8913	899.00482	-169.38637	545.93835	940.1983	-86.91787	512.66492	740.28705	-81.81158	597.65253	776.22693	52.13935	608.36108	790.3739	172.37375	545.18396	787.57507	173.38861	618.96338	742.46899	671.83582	-355.26163	721.40002	84.63789	-357.81931	722.01691	79.40075	885.11407	720.03412	664.11316	886.95282	718.70679	-129.14182	146.04755	616.53119	-135.15498	405.77802	617.0647	-129.14182	146.04755	616.53119	-135.15498	405.77802	617.0647	127.35247	195.34496	822.20471	-78.80515	60.40195	791.05225
3	0.017	-232.38176	271.32663	1145.03198	-89.85354	274.61783	1066.2478	-286.42624	187.17636	1055.23328	-333.82779	222.54988	658.02325	-335.20584	267.871	663.09119	-336.83304	316.73526	662.82269	-200.43269	98.41167	689.17139	-226.42053	450.79666	692.47992	-132.36986	140.77597	629.34039	-136.89621	405.24313	631.01276	-160.24046	115.16444	1121.15723	-66.16606	66.84289	912.90906	-111.35107	101.85273	764.22675	-44.72826	20.36277	818.86957	25.00739	87.54945	843.66962	144.99274	180.79594	789.88086	110.82857	212.1931	854.35437	-157.16969	459.22037	1096.85901	-78.6453	540.19391	898.79559	-169.34752	546.25702	940.03265	-86.98909	512.87152	740.07294	-81.80051	597.92511	776.02283	52.10956	608.54382	790.24774	172.362	545.28882	787.61664	173.41672	619.01105	742.40887	671.83398	-355.26163	721.40198	84.63617	-357.81473	722.01746	79.39772	885.11609	720.03522	664.11536	886.95251	718.70813	-129.03186	146.16833	616.62244	-135.05829	405.86942	616.99701	-129.03186	146.16833	616.62244	-135.05829	405.86942	616.99701	127.91065	196.49452	822.11761	-78.03967	61.10775	791.54816
4	0.025	-231.89926	271.8157	1145.10376	-89.46764	275.14233	1066.17395	-285.91986	187.45866	1055.46399	-333.69299	222.65599	658.13751	-335.09198	268.01413	663.17511	-336.70084	316.87296	662.87854	-200.30269	98.56389	689.30682	-226.28041	450.92548	692.41211	-132.282	140.86008	629.4115	-136.75974	405.34991	630.93054	-159.58495	115.76766	1121.52429	-65.45707	67.5613	913.3819	-110.75042	102.37767	764.6853	-43.91773	21.10267	819.38245	25.75276	88.45713	843.93817	145.47942	181.8047	789.79163	111.36427	213.25725	854.23883	-156.97055	459.62787	1096.7085	-78.60696	540.4906	898.58099	-169.29475	546.57196	939.86572	-87.04962	513.0769	739.85553	-81.78674	598.19183	775.81415	52.0769	608.7251	790.11786	172.35115	545.39655	787.65991	173.4455	619.05682	742.34851	671.83252	-355.26117	721.40295	84.63515	-357.81171	722.0177	79.39439	885.11768	720.03638	664.11743	886.95245	718.70898	-128.92946	146.27522	616.70087	-134.94875	405.95074	616.92047	-128.92946	146.27522	616.70087	-134.94875	405.95074	616.92047	128.42184	197.53098	822.0152	-77.33408	61.74017	792.03387
5	0.033	-231.39859	272.31033	1145.17358	-89.08133	275.66031	1066.09216	-285.41501	187.7567	1055.69287	-333.55637	222.76221	658.25055	-334.97839	268.1593	663.26099	-336.56528	317.00964	662.93591	-200.18135	98.70799	689.43365	-226.1198	451.0527	692.34161	-132.18848	140.94092	629.47717	-136.64088	405.4642	630.8559	-158.93916	116.37094	1121.88794	-64.79617	68.22343	913.84119	-110.20529	102.83171	765.12701	-43.17727	21.76298	819.88361	26.43388	89.27675	844.19196	145.90953	182.70152	789.69189	111.84699	214.2184	854.11194	-156.75171	460.03293	1096.55701	-78.55449	540.78119	898.35992	-169.22868	546.88043	939.69635	-87.10088	513.28271	739.63715	-81.77051	598.45166	775.599	52.04337	608.90503	789.98444	172.33876	545.50696	787.70325	173.47482	619.10022	742.28687	671.83191	-355.26041	721.4032	84.63508	-357.81015	722.0177	79.39141	885.11847	720.03754	664.11932	886.9527	718.70923	-128.8369	146.36885	616.7663	-134.82779	406.02374	616.83435	-128.8369	146.36885	616.7663	-134.82779	406.02374	616.83435	128.87827	198.45996	821.90192	-76.69128	62.29734	792.50531
6	0.042	-230.8797	272.80707	1145.24036	-88.69462	276.17072	1066.00244	-284.90921	188.06772	1055.91882	-333.41907	222.86934	658.36163	-334.86218	268.30539	663.34875	-336.42621	317.14401	662.99615	-200.07135	98.8443	689.55212	-225.94084	451.18039	692.26746	-132.08482	141.02405	629.53894	-136.54451	405.58902	630.78851	-158.30284	116.97259	1122.24658	-64.18262	68.82894	914.28143	-109.72344	103.21269	765.55188	-42.50766	22.34405	820.36713	27.0473	90.009	844.43152	146.27879	183.49428	789.58661	112.27138	215.08107	853.97992	-156.51297	460.43417	1096.40271	-78.48714	541.06641	898.13153	-169.15048	547.18018	939.52325	-87.14326	513.48975	739.41913	-81.75258	598.7041	775.37579	52.01118	609.0835	789.84784	172.32225	545.61975	787.74567	173.50505	619.14093	742.22321	671.83221	-355.25955	721.40295	84.63567	-357.80969	722.01764	79.38889	885.11859	720.03833	664.12054	886.95325	718.7088	-128.7563	146.44919	616.81927	-134.69717	406.09003	616.7384	-128.7563	146.44919	616.81927	-134.69717	406.09003	616.7384	129.27509	199.28767	821.78326	-76.11555	62.77837	792.95947
7	0.05	-230.34296	273.30344	1145.30334	-88.30556	276.67255	1065.90613	-284.40125	188.38977	1056.14099	-333.2818	222.97792	658.47015	-334.74103	268.45096	663.43842	-336.28278	317.27527	663.06018	-199.97426	98.97211	689.66327	-225.74603	451.31018	692.18903	-131.96997	141.11171	629.59937	-136.46822	405.72256	630.72601	-157.67705	117.5711	1122.59924	-63.61481	69.37776	914.69861	-109.31169	103.52039	765.96002	-41.91103	22.84758	820.8291	27.59036	90.6553	844.65918	146.58565	184.19061	789.48138	112.63662	215.85028	853.84967	-156.25363	460.8299	1096.24463	-78.40606	541.34711	897.89581	-169.06152	547.46979	939.34528	-87.1759	513.69794	739.20197	-81.73408	598.94897	775.14362	51.9822	609.25989	789.70911	172.29939	545.73499	787.78693	173.53664	619.17865	742.15765	671.83374	-355.25891	721.40283	84.63633	-357.81018	722.01794	79.38663	885.11835	720.0387	664.12085	886.95416	718.70819	-128.68867	146.51538	616.86127	-134.55862	406.15118	616.63306	-128.68867	146.51538	616.86127	-134.55862	406.15118	616.63306	129.61113	200.02045	821.66553	-75.61136	63.18399	793.39453
8	0.058	-229.78864	273.79758	1145.36157	-87.91121	277.16501	1065.80579	-283.89072	188.72136	1056.35876	-333.14426	223.08789	658.57587	-334.61353	268.59412	663.53021	-336.13373	317.40271	663.12823	-199.8894	99.09034	689.76855	-225.53833	451.44284	692.10626	-131.84727	141.20189	629.66132	-136.40483	405.85925	630.66498	-157.06323	118.16496	1122.9458	-63.09128	69.87012	915.09088	-108.97316	103.75716	766.34985	-41.3888	23.27587	821.26855	28.06074	91.21844	844.87836	146.8311	184.79753	789.38214	112.94454	216.53139	853.72778	-155.97343	461.21838	1096.08179	-78.31384	541.62469	897.65363	-168.96254	547.74878	939.16144	-87.19753	513.90674	738.98486	-81.71603	599.18665	774.90234	51.95774	609.43323	789.56952	172.269	545.85272	787.82745	173.56953	619.21326	742.09076	671.83624	-355.25864	721.40326	84.63663	-357.81174	722.01874	79.38454	885.11792	720.03888	664.11981	886.95532	718.70776	-128.63324	146.56679	616.89417	-134.41406	406.20859	616.5191	-128.63324	146.56679	616.89417	-134.41406	406.20859	616.5191	129.88782	200.66446	821.55493	-75.18098	63.51652	793.8092
