PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\aw_31oct2013\Trimmed_aw3_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	2738	31	mm	120	1	2738																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-235.14398	265.83475	1093.71753	-88.82087	294.28525	990.45947	-293.37415	166.23344	945.14404	-294.1199	222.11644	616.05219	-287.83618	258.30319	619.44098	-291.02255	296.05725	611.18896	-194.67555	72.98755	684.81488	-194.79391	459.44482	654.19373	-76.17046	110.49371	643.92468	-83.95235	421.0112	631.02911	-129.20914	132.25484	1051.92773	-40.1825	42.82267	950.2251	18.9487	43.99577	756.11615	20.80107	-30.71978	832.35474	163.1882	-29.90668	822.22095	255.64735	-53.5895	779.72968	259.35825	23.59225	789.77356	-192.78993	415.44049	1072.07312	-99.7143	502.97153	922.5683	-197.52969	509.3754	959.01282	-84.65428	479.82971	773.59924	-49.18977	555.66199	836.59412	63.33724	464.54092	777.17792	112.03706	376.50537	867.22803	121.61011	373.70853	786.91174	663.89661	-339.48953	735.9729	79.09243	-346.73502	734.08948	65.91415	896.42462	731.71686	647.3858	904.03802	737.51862	-76.17046	110.49371	643.92468	-83.95235	421.0112	631.02911	-76.17046	110.49371	643.92468	-83.95235	421.0112	631.02911	116.82359	375.10693	827.06989	-66.92203	517.74585	805.09668
2	0.008	-235.1489	265.5853	1093.66797	-88.80057	294.00739	990.43396	-293.45258	166.05861	945.0611	-294.11447	222.03825	616.00818	-287.82602	258.21188	619.41443	-291.00418	295.97409	611.17169	-194.69135	72.83904	684.73633	-194.78407	459.33847	654.25671	-76.17677	110.35429	643.88202	-83.94023	420.90771	631.09827	-129.29378	131.97784	1051.80359	-40.26929	42.62115	950.08618	18.78934	43.81726	755.96729	20.7218	-30.87514	832.21973	163.13124	-30.04996	822.13702	255.64392	-53.65212	779.69342	259.28864	23.52442	789.78961	-192.75169	415.29141	1071.93469	-99.46494	502.17532	922.09253	-197.13521	509.15103	958.95258	-84.61294	478.6748	773.95612	-49.76656	555.46454	836.07819	63.4763	464.08765	778.65601	112.16441	377.60574	870.11096	122.12417	373.77582	789.86609	663.89972	-339.48471	735.96942	79.10515	-346.7269	734.09277	65.93304	896.43835	731.72937	647.39398	904.04498	737.50818	-76.17677	110.35429	643.88202	-83.94023	420.90771	631.09827	-76.17677	110.35429	643.88202	-83.94023	420.90771	631.09827	117.14429	375.6908	829.98853	-67.18975	517.0697	805.01715
3	0.017	-235.13788	265.31424	1093.63171	-88.77065	293.75464	990.41522	-293.48035	165.83591	944.9942	-294.09082	221.95525	615.97766	-287.80853	258.1181	619.40466	-290.97919	295.88852	611.17096	-194.6665	72.69633	684.66711	-194.79065	459.21912	654.31793	-76.15338	110.2355	643.83057	-83.94257	420.80563	631.15106	-129.3148	131.7281	1051.70422	-40.31234	42.4399	949.96405	18.66047	43.65258	755.81866	20.64725	-31.02917	832.08807	163.08191	-30.20014	822.05408	255.64548	-53.71408	779.65576	259.22604	23.45901	789.80994	-192.7607	415.11014	1071.84729	-99.28986	501.50244	921.78455	-196.82198	508.83606	958.84973	-84.27499	477.57413	774.48804	-50.23594	555.31201	835.87146	63.88109	463.67874	780.79834	112.21728	378.72525	873.79376	122.82955	373.88019	793.66144	663.9079	-339.47678	735.96283	79.12066	-346.71719	734.09833	65.95057	896.45624	731.74268	647.40393	904.05243	737.49677	-76.15338	110.2355	643.83057	-83.94257	420.80563	631.15106	-76.15338	110.2355	643.83057	-83.94257	420.80563	631.15106	117.52341	376.30273	833.7276	-67.25546	516.44305	805.17975
4	0.025	-235.11424	265.01431	1093.61255	-88.73592	293.52316	990.40607	-293.46243	165.56129	944.94293	-294.05078	221.86777	615.96313	-287.78632	258.02286	619.41278	-290.94836	295.80154	611.18793	-194.60751	72.55942	684.60687	-194.8125	459.08762	654.37817	-76.10625	110.13509	643.76947	-83.95916	420.70361	631.18768	-129.27728	131.49937	1051.62903	-40.31364	42.27652	949.85779	18.5828	43.51226	755.67462	20.57961	-31.18303	831.95911	163.04054	-30.35445	821.97125	255.65067	-53.77311	779.61835	259.17126	23.3979	789.83173	-192.81857	414.88281	1071.8208	-99.22319	500.9935	921.72406	-196.64763	508.4191	958.71552	-83.63161	476.58813	775.14758	-50.57748	555.20496	836.00726	64.55183	463.41489	783.43591	112.23317	379.82227	877.96515	123.71671	374.09335	797.97437	663.9184	-339.4679	735.95514	79.13435	-346.70773	734.10486	65.96243	896.47467	731.75439	647.41364	904.05853	737.48682	-76.10625	110.13509	643.76947	-83.95916	420.70361	631.18768	-76.10625	110.13509	643.76947	-83.95916	420.70361	631.18768	117.97494	376.95782	837.96979	-67.10455	515.89655	805.57745
5	0.033	-235.07671	264.68204	1093.6123	-88.69588	293.30774	990.41058	-293.40378	165.23239	944.90741	-293.99731	221.77614	615.96576	-287.76114	257.92679	619.43799	-290.91229	295.71384	611.22211	-194.51822	72.42743	684.55493	-194.84637	458.94476	654.43884	-76.03838	110.05029	643.69879	-83.98734	420.60059	631.20972	-129.18768	131.28229	1051.57568	-40.2745	42.12735	949.76501	18.56784	43.40274	755.53821	20.5211	-31.33833	831.83087	163.00711	-30.51011	821.88721	255.65857	-53.82773	779.58258	259.12393	23.34151	789.85175	-192.91687	414.6069	1071.85815	-99.27356	500.66498	921.94934	-196.645	507.90161	958.56067	-82.69928	475.74399	775.90582	-50.77967	555.15442	836.47388	65.45344	463.34207	786.40222	112.25451	380.88828	882.36938	124.76366	374.45966	802.53772	663.92834	-339.46085	735.94739	79.14165	-346.70047	734.11072	65.96584	896.48993	731.7627	647.42108	904.06128	737.47986	-76.03838	110.05029	643.69879	-83.98734	420.60059	631.20972	-76.03838	110.05029	643.69879	-83.98734	420.60059	631.20972	118.50909	377.67395	842.45355	-66.73948	515.44922	806.18988
6	0.042	-235.02037	264.31741	1093.63086	-88.64619	293.10245	990.4325	-293.30826	164.85028	944.88733	-293.93335	221.68097	615.98499	-287.73401	257.83054	619.47827	-290.871	295.62604	611.27112	-194.4007	72.29845	684.51031	-194.88638	458.79092	654.50177	-75.95081	109.97716	643.61884	-84.02182	420.49493	631.2196	-129.05319	131.06645	1051.54041	-40.19633	41.98697	949.68219	18.61644	43.32581	755.41113	20.47317	-31.49651	831.70001	162.98265	-30.66637	821.80066	255.66833	-53.87781	779.54938	259.08319	23.28846	789.86743	-193.04198	414.28677	1071.9574	-99.42331	500.51239	922.44727	-196.81384	507.2962	958.39874	-81.52119	475.04349	776.74823	-50.84254	555.17523	837.22583	66.51859	463.45157	789.54181	112.31956	381.93704	886.81244	125.93628	374.99515	807.14752	663.93628	-339.45767	735.93958	79.14038	-346.69727	734.11438	65.96026	896.49878	731.76636	647.42438	904.05975	737.47632	-75.95081	109.97716	643.61884	-84.02182	420.49493	631.2196	-75.95081	109.97716	643.61884	-84.02182	420.49493	631.2196	119.12792	378.46609	846.97998	-66.18187	515.10938	806.987
7	0.05	-234.93945	263.92206	1093.66577	-88.5814	292.90131	990.47375	-293.17831	164.41986	944.88159	-293.8616	221.58356	616.01929	-287.70499	257.73511	619.53137	-290.8237	295.53882	611.33197	-194.25621	72.16986	684.47211	-194.92424	458.6264	654.56921	-75.84355	109.91056	643.52997	-84.05505	420.38449	631.22021	-128.88084	130.8425	1051.51819	-40.08146	41.84851	949.60486	18.71736	43.27745	755.29315	20.43567	-31.65837	831.56232	162.96994	-30.82515	821.71118	255.67923	-53.9247	779.51807	259.04855	23.2361	789.87805	-193.17932	413.92801	1072.11475	-99.63674	500.51468	923.16547	-197.12469	506.6236	958.24908	-80.16471	474.47772	777.66614	-50.77896	555.27777	838.19934	67.67387	463.71381	792.72491	112.45463	382.99225	891.15778	127.19242	375.69473	811.65942	663.94214	-339.45892	735.93054	79.13191	-346.69901	734.11505	65.9472	896.49908	731.7655	647.42255	904.05414	737.47552	-75.84355	109.91056	643.52997	-84.05505	420.38449	631.22021	-75.84355	109.91056	643.52997	-84.05505	420.38449	631.22021	119.82352	379.34351	851.40863	-65.47184	514.87775	807.93274
8	0.058	-234.83049	263.49823	1093.71509	-88.49635	292.69858	990.53418	-293.01584	163.94884	944.88849	-293.78473	221.48567	616.06708	-287.67325	257.64182	619.59552	-290.76907	295.45325	611.40192	-194.08575	72.03869	684.43903	-194.95087	458.45126	654.64423	-75.71635	109.84502	643.43243	-84.07878	420.26682	631.21515	-128.67715	130.6035	1051.50378	-39.93385	41.7046	949.52759	18.8475	43.2469	755.18091	20.40707	-31.82464	831.41272	162.97119	-30.98823	821.61859	255.69133	-53.97067	779.48694	259.02039	23.18182	789.88519	-193.31546	413.535	1072.32373	-99.87269	500.6394	924.03546	-197.53174	505.91	958.13507	-78.71461	474.04132	778.64825	-50.61327	555.46381	839.32684	68.86246	464.11102	795.85822	112.67055	384.07758	895.31714	128.48801	376.54153	815.97961	663.94757	-339.46387	735.91864	79.11996	-346.70529	734.11304	65.92994	896.49066	731.76178	647.41638	904.04608	737.47577	-75.71635	109.84502	643.43243	-84.07878	420.26682	631.21515	-75.71635	109.84502	643.43243	-84.07878	420.26682	631.21515	120.57928	380.30957	855.64838	-64.66394	514.75256	808.98755
