PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\em_22aug2013\Trimmed_em5_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	761	31	mm	120	1	761																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-265.96121	345.27371	1090.79468	-125.80782	334.3537	941.34412	-350.46405	230.42516	985.04993	-407.86398	259.22647	583.66913	-408.54706	305.21408	586.04657	-409.05029	352.46307	580.89777	-315.48273	121.34954	654.49835	-318.91779	498.26511	616.30682	-206.04082	153.1781	622.17743	-202.54062	453.5332	590.10938	-187.53035	205.31841	1074.60779	-47.2473	165.24646	1007.34796	73.21012	166.32617	840.10498	114.89429	129.23572	953.37195	164.06792	240.62956	951.70148	273.84293	306.86353	886.13635	209.02428	355.12399	911.55585	-179.40213	496.96982	1043.34741	-40.603	581.01556	888.22986	-130.0376	610.16321	892.40051	-12.27042	570.30255	739.90466	-11.39053	656.48132	790.00891	122.72704	643.862	805.25824	245.27347	563.66815	805.0553	254.65157	623.60236	747.51776	660.86566	-345.53061	732.61365	74.80974	-361.05658	730.48346	47.97417	882.19775	727.00159	630.02448	897.09186	728.94342	-206.04082	153.1781	622.17743	-202.54062	453.5332	590.10938	-206.04082	153.1781	622.17743	-202.54062	453.5332	590.10938	241.43361	330.99374	898.84607	94.05221	147.78094	896.73846
2	0.008	-265.92892	346.08536	1090.86194	-125.79081	335.28284	941.3504	-350.42923	230.92537	985.42883	-407.7991	259.30524	583.82745	-408.55219	305.28952	586.16919	-409.04483	352.53091	580.95972	-315.2991	121.54308	654.83899	-319.05719	498.47971	616.25757	-205.88182	153.43338	622.49561	-202.63901	453.82184	590.11609	-187.80624	206.23874	1074.80054	-47.52042	166.18639	1009.47327	73.87779	166.22618	843.34918	115.56181	131.14186	957.40033	164.57755	242.67786	953.86688	274.30722	308.05917	887.1601	209.38464	356.67242	911.77484	-179.56169	497.78922	1043.37805	-40.62232	581.53918	888.2749	-130.06017	610.7345	892.37305	-12.20016	570.46088	739.98505	-11.31299	656.76135	789.85626	122.77139	644.16162	805.17126	245.31001	563.75476	805.10315	254.68044	623.62579	747.51971	660.86646	-345.53891	732.59576	74.80763	-361.08224	730.49261	47.9292	882.17615	727.00421	629.99823	897.08075	728.9151	-205.88182	153.43338	622.49561	-202.63901	453.82184	590.11609	-205.88182	153.43338	622.49561	-202.63901	453.82184	590.11609	241.84593	332.36581	899.46747	94.7198	148.68402	900.37476
3	0.017	-265.99731	346.94504	1090.91541	-125.82188	336.11868	941.40491	-350.55719	231.45615	985.70264	-407.75305	259.37805	583.97205	-408.56464	305.36041	586.28076	-409.0408	352.59506	581.00671	-315.14688	121.73997	655.18939	-319.17987	498.67545	616.19843	-205.74724	153.67741	622.83282	-202.7233	454.07666	590.12726	-188.37714	207.30399	1075.15759	-47.91984	167.10487	1012.1452	74.62432	166.582	847.37164	116.44946	132.69606	961.86731	165.12637	244.42416	957.2702	274.63544	309.56622	889.8371	209.53178	358.26282	914.086	-179.72943	498.54755	1043.41406	-40.65676	582.02179	888.33118	-130.09123	611.26617	892.35773	-12.09757	570.61121	740.04053	-11.24539	657.03223	789.73022	122.79809	644.4364	805.11084	245.32942	563.83655	805.14856	254.70535	623.64795	747.52203	660.87805	-345.53528	732.57098	74.81142	-361.08783	730.50433	47.8978	882.16901	727.01202	629.98517	897.08313	728.87585	-205.74724	153.67741	622.83282	-202.7233	454.07666	590.12726	-205.74724	153.67741	622.83282	-202.7233	454.07666	590.12726	242.08362	333.91452	901.96155	95.53689	149.63904	904.61945
4	0.025	-266.16885	347.85736	1090.95801	-125.89927	336.87079	941.50891	-350.81686	232.02397	985.86444	-407.72397	259.44702	584.09955	-408.57962	305.4278	586.37799	-409.03622	352.65692	581.03821	-315.03152	121.94317	655.54468	-319.284	498.84634	616.12335	-205.64157	153.91104	623.18536	-202.79208	454.28952	590.13843	-189.15619	208.52525	1075.67749	-48.37907	168.03963	1015.12469	75.33312	167.39839	851.83527	117.46042	133.89336	966.42816	165.68527	245.84892	961.53107	274.8175	311.30438	893.73724	209.49701	359.85001	918.0647	-179.91261	499.25369	1043.45044	-40.70528	582.45721	888.39819	-130.12251	611.76013	892.35364	-11.97858	570.75659	740.07471	-11.1832	657.29126	789.63245	122.81611	644.68262	805.06848	245.33783	563.91797	805.18591	254.72464	623.67468	747.52301	660.89624	-345.51761	732.54413	74.81995	-361.07172	730.51569	47.87691	882.17902	727.02008	629.98309	897.10193	728.83197	-205.64157	153.91104	623.18536	-202.79208	454.28952	590.13843	-205.64157	153.91104	623.18536	-202.79208	454.28952	590.13843	242.15726	335.57721	905.901	96.39677	150.64587	909.13171
5	0.033	-266.43323	348.82108	1090.99658	-126.01761	337.55258	941.66144	-351.17001	232.6368	985.93378	-407.70795	259.51416	584.20825	-408.59317	305.49286	586.45959	-409.02893	352.71747	581.05524	-314.95813	122.15361	655.89789	-319.36932	498.98816	616.02917	-205.56958	154.13399	623.5462	-202.84586	454.4548	590.14575	-190.04762	209.87875	1076.33496	-48.8553	169.01732	1018.17828	75.95258	168.61954	856.41388	118.45322	134.78123	970.82349	166.17964	246.97879	966.29749	274.86084	313.17563	898.51141	209.3058	361.39487	923.25433	-180.11752	499.92282	1043.48291	-40.76431	582.84399	888.47296	-130.14534	612.21899	892.35699	-11.85052	570.89386	740.09119	-11.12659	657.53632	789.55646	122.83564	644.90643	805.02887	245.3416	564.00378	805.21356	254.73573	623.71008	747.52185	660.91388	-345.48721	732.51953	74.82846	-361.03763	730.52405	47.86054	882.20441	727.02454	629.987	897.13599	728.79034	-205.56958	154.13399	623.5462	-202.84586	454.4548	590.14575	-205.56958	154.13399	623.5462	-202.84586	454.4548	590.14575	242.08331	337.28525	910.88287	97.2029	151.70039	913.61865
6	0.042	-266.77011	349.83182	1091.04028	-126.16958	338.1781	941.86066	-351.57922	233.29784	985.95392	-407.69971	259.58081	584.2981	-408.60281	305.55695	586.52692	-409.01712	352.77716	581.06079	-314.92917	122.3707	656.2406	-319.43741	499.09894	615.91608	-205.53441	154.34583	623.90472	-202.88707	454.5705	590.14532	-190.96562	211.31487	1077.08594	-49.33047	170.04805	1021.11255	76.48553	170.15973	860.8241	119.27849	135.43428	974.87817	166.51547	247.86481	971.27856	274.78363	315.08395	903.90265	208.97493	362.86746	929.23505	-180.34915	500.57214	1043.50854	-40.8288	583.18756	888.55157	-130.15479	612.64636	892.36108	-11.71726	571.01611	740.09448	-11.07681	657.76483	789.49359	122.86468	645.1189	804.97809	245.34663	564.09698	805.23419	254.73738	623.75531	747.51837	660.92407	-345.44922	732.50061	74.83013	-360.99377	730.52753	47.84372	882.23926	727.02295	629.99146	897.17944	728.75745	-205.53441	154.34583	623.90472	-202.88707	454.5705	590.14532	-205.53441	154.34583	623.90472	-202.88707	454.5705	590.14532	241.87929	338.97571	916.56885	97.88201	152.79701	917.85114
7	0.05	-267.15533	350.88391	1091.09656	-126.34844	338.75861	942.10504	-352.01379	234.00084	985.98035	-407.69397	259.64722	584.37183	-408.60748	305.62097	586.58331	-409.00015	352.83585	581.05951	-314.9422	122.59267	656.56549	-319.49094	499.17889	615.78766	-205.53525	154.54675	624.25006	-202.91908	454.6387	590.13483	-191.84749	212.77481	1077.87634	-49.80584	171.12154	1023.78955	76.95816	171.93402	864.85004	119.8143	135.92625	978.48322	166.60939	248.55757	976.25708	274.60434	316.94818	909.72559	208.51231	364.24469	935.6665	-180.61012	501.21671	1043.52612	-40.89328	583.49884	888.62952	-130.15067	613.04657	892.35852	-11.58589	571.11871	740.09015	-11.03374	657.97369	789.43634	122.9052	645.32672	804.90955	245.35718	564.19843	805.2536	254.73175	623.80823	747.51331	660.92267	-345.41125	732.48914	74.8191	-360.95056	730.52527	47.82492	882.27521	727.01465	629.99292	897.22333	728.7373	-205.53525	154.54675	624.25006	-202.91908	454.6387	590.13483	-205.53525	154.54675	624.25006	-202.91908	454.6387	590.13483	241.55833	340.59644	922.69604	98.38623	153.93013	921.66663
8	0.058	-267.56683	351.96899	1091.17065	-126.55062	339.30182	942.39203	-352.45309	234.73209	986.06378	-407.68634	259.71262	584.43439	-408.60709	305.68506	586.63373	-408.97855	352.8931	581.05664	-314.9888	122.81694	656.86938	-319.53067	499.23035	615.64966	-205.5659	154.737	624.57434	-202.9431	454.66455	590.11304	-192.66084	214.20425	1078.65479	-50.29662	172.20442	1026.12268	77.38744	173.87842	868.35834	119.99199	136.30788	981.57233	166.41341	249.08815	981.08453	274.33286	318.70859	915.83624	207.92224	365.50336	942.3092	-180.89954	501.86688	1043.53601	-40.95262	583.79108	888.70135	-130.13611	613.42401	892.3432	-11.46753	571.20251	740.08374	-10.99639	658.16003	789.37775	122.95286	645.52948	804.82526	245.37531	564.30688	805.27881	254.72427	623.86438	747.508	660.91046	-345.38107	732.48505	74.79332	-360.91833	730.51794	47.80619	882.30457	727.00098	629.9903	897.258	728.73065	-205.5659	154.737	624.57434	-202.9431	454.66455	590.11304	-205.5659	154.737	624.57434	-202.9431	454.66455	590.11304	241.12755	342.10596	929.07269	98.68971	155.09314	924.96533
