PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\mo_12feb2014\Trimmed_mo5_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	947	31	mm	120	1	947																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-271.4234	244.4567	1101.16956	-162.48471	259.89725	984.22778	-370.99973	137.93892	996.88348	-395.24283	204.44775	617.18488	-402.39218	248.5168	612.67737	-400.27921	305.96518	614.35217	-300.31662	92.78778	682.57751	-301.24445	417.08014	680.21503	-209.77672	147.28046	644.01587	-214.27744	365.18948	647.93762	-221.27724	80.53862	1037.84082	-160.08759	-15.78075	918.27515	-87.37709	-9.36012	762.56213	-63.29615	-79.58057	834.40918	55.56586	-56.42618	838.52448	179.34236	-53.84956	776.88684	174.45148	19.55333	813.5058	-244.99858	412.43738	1064.64124	-143.52361	531.14911	990.03015	-236.25677	512.77838	982.66156	-85.95242	545.56036	855.81866	-42.96177	595.93085	941.25793	38.71966	444.79669	947.24719	76.59778	359.38348	936.13336	135.32469	395.04572	886.47174	636.1535	-346.94077	744.79303	49.66166	-350.65134	741.72351	43.3775	894.5188	739.07611	625.16962	896.23547	741.0459	-218.39142	136.55168	643.56665	-220.30061	374.56149	642.22168	-218.39142	136.55168	643.56665	-220.30061	374.56149	642.22168	105.96124	377.2146	911.30255	-64.45709	570.74561	898.53833
2	0.008	-271.92664	244.33551	1101.46167	-162.94914	260.04001	984.66223	-371.28781	137.74571	996.94348	-395.10495	204.38814	617.36731	-402.2399	248.47169	612.85822	-400.10892	305.92291	614.57635	-300.16187	92.72382	682.75458	-301.14737	417.06842	680.35278	-209.62825	147.22479	644.18622	-214.08528	365.09735	648.09222	-221.53601	80.54567	1037.90637	-160.3512	-15.72565	918.30194	-87.29774	-9.10378	762.80237	-63.33068	-79.50657	834.54211	55.65126	-56.39016	838.69464	179.35483	-53.82795	776.95422	174.50497	19.55695	813.59985	-245.8311	412.49918	1065.11865	-144.63235	531.20569	989.35107	-237.24289	512.6402	981.97534	-86.66436	544.31763	855.04651	-43.88978	595.24475	940.36902	38.23271	444.3783	947.31122	76.34886	359.01062	936.66516	135.05043	394.62659	886.9314	636.16815	-346.93875	744.79321	49.66464	-350.64908	741.73511	43.38121	894.52124	739.07745	625.17529	896.23566	741.04688	-218.24593	136.49754	643.73529	-220.19746	374.55954	642.36145	-218.24593	136.49754	643.73529	-220.19746	374.55954	642.36145	105.69965	376.8186	911.79828	-65.27707	569.78119	897.70776
3	0.017	-272.46393	244.20253	1101.73975	-163.43361	260.16605	985.09149	-371.61508	137.54312	996.98016	-394.9599	204.32481	617.53516	-402.07925	248.42236	613.03094	-399.93167	305.87656	614.79578	-300.01477	92.65307	682.91681	-301.05438	417.05566	680.48401	-209.47833	147.15289	644.35199	-213.88927	365.0206	648.2403	-221.83841	80.533	1037.96204	-160.66046	-15.68962	918.33588	-87.22718	-8.86821	763.07855	-63.36737	-79.44154	834.7049	55.74979	-56.37261	838.89532	179.37141	-53.81338	777.04169	174.55667	19.56274	813.69714	-246.69968	412.54727	1065.56445	-145.69847	531.20557	988.711	-238.22507	512.49115	981.40991	-87.41248	543.02997	854.32379	-44.81646	594.57593	939.47156	37.72246	443.98181	947.46887	76.05843	358.64832	937.34448	134.72775	394.1637	887.49078	636.18298	-346.9386	744.79504	49.66866	-350.64825	741.74683	43.38529	894.52307	739.0791	625.18164	896.23578	741.04956	-218.10577	136.43674	643.8941	-220.09708	374.55667	642.49738	-218.10577	136.43674	643.8941	-220.09708	374.55667	642.49738	105.3931	376.40601	912.4176	-66.11447	568.80298	896.89771
4	0.025	-273.03799	244.05908	1102.00208	-163.93439	260.27228	985.508	-371.98318	137.33444	996.99323	-394.80737	204.25769	617.68286	-401.91357	248.37074	613.19196	-399.75259	305.8269	615.00604	-299.88083	92.57252	683.05579	-300.96808	417.04169	680.60559	-209.33224	147.06152	644.5047	-213.68594	364.95734	648.38049	-222.18935	80.50133	1038.00818	-161.01212	-15.6733	918.38074	-87.17528	-8.66359	763.38989	-63.4098	-79.3837	834.89893	55.85789	-56.37735	839.12756	179.39195	-53.80931	777.15015	174.60516	19.56881	813.7984	-247.59851	412.57935	1065.97607	-146.72276	531.14758	988.11768	-239.20016	512.33582	980.95874	-88.18479	541.71014	853.66174	-45.73731	593.92285	938.58936	37.17962	443.59991	947.7287	75.72012	358.28973	938.18298	134.35287	393.65204	888.16632	636.19641	-346.93991	744.79712	49.67268	-350.64835	741.75909	43.389	894.52435	739.08093	625.18927	896.23645	741.05371	-217.97653	136.36617	644.03442	-220.00288	374.55258	642.62469	-217.97653	136.36617	644.03442	-220.00288	374.55258	642.62469	105.0365	375.97089	913.17462	-66.96105	567.81647	896.12555
5	0.033	-273.65079	243.9057	1102.24731	-164.4507	260.35608	985.90619	-372.39343	137.12144	996.98383	-394.64902	204.18631	617.80652	-401.74643	248.31827	613.33832	-399.57724	305.77524	615.2027	-299.76505	92.47901	683.16357	-300.88986	417.02563	680.7149	-209.19511	146.94742	644.63562	-213.47127	364.90231	648.51263	-222.59264	80.45202	1038.04565	-161.40092	-15.67502	918.44049	-87.14671	-8.49726	763.737	-63.46131	-79.3319	835.1239	55.97197	-56.40736	839.3924	179.41649	-53.81854	777.28094	174.64948	19.57271	813.90668	-248.52412	412.59198	1066.3551	-147.71291	531.03241	987.57648	-240.17249	512.17529	980.60492	-88.97047	540.37109	853.07184	-46.64804	593.28082	937.7486	36.59489	443.2211	948.09546	75.32555	357.92181	939.18524	133.9222	393.08337	888.96985	636.20752	-346.94208	744.79816	49.67523	-350.64847	741.77264	43.39137	894.52496	739.08295	625.19849	896.23798	741.05884	-217.86342	136.28236	644.14752	-219.91745	374.54611	642.73865	-217.86342	136.28236	644.14752	-219.91745	374.54611	642.73865	104.62387	375.50259	914.07758	-67.80926	566.82599	895.41022
6	0.042	-274.30331	243.74216	1102.47534	-164.9846	260.41507	986.28314	-372.84641	136.90439	996.95422	-394.48853	204.11052	617.90466	-401.58209	248.26578	613.46851	-399.40958	305.72287	615.38208	-299.67154	92.36974	683.23413	-300.82025	417.00595	680.81024	-209.07198	146.80814	644.73682	-213.24318	364.84982	648.63715	-223.05038	80.38605	1038.07642	-161.82014	-15.69143	918.51929	-87.13921	-8.37212	764.12201	-63.52432	-79.28635	835.3797	56.08939	-56.46533	839.69159	179.4453	-53.84298	777.43677	174.68964	19.57114	814.02856	-249.47545	412.58069	1066.70605	-148.67838	530.86041	987.09338	-241.1512	512.00671	980.3244	-89.75974	539.02472	852.56519	-47.54438	592.64203	936.97498	35.96101	442.82977	948.57153	74.86267	357.52533	940.34637	133.43245	392.44656	889.90796	636.21637	-346.94427	744.79718	49.67557	-350.64774	741.78845	43.39191	894.52466	739.08514	625.20892	896.24036	741.06445	-217.77104	136.18214	644.22589	-219.84271	374.53534	642.83496	-217.77104	136.18214	644.22589	-219.84271	374.53534	642.83496	104.14756	374.98596	915.12714	-68.65205	565.83337	894.77008
7	0.05	-274.9957	243.56741	1102.68689	-165.53978	260.44699	986.63879	-373.34119	136.68246	996.90692	-394.33032	204.03061	617.97778	-401.42496	248.21361	613.5824	-399.2514	305.67084	615.54163	-299.60327	92.24296	683.26465	-300.75897	416.98007	680.89185	-208.96706	146.64276	644.80322	-213.00284	364.79636	648.75665	-223.5639	80.3036	1038.10242	-162.26208	-15.71884	918.6217	-87.14566	-8.28747	764.54785	-63.59941	-79.24937	835.66852	56.20829	-56.55411	840.0282	179.47862	-53.88377	777.62274	174.7269	19.56041	814.1745	-250.45412	412.54007	1067.0354	-149.62654	530.63141	986.67615	-242.14641	511.82507	980.08899	-90.54355	537.68048	852.15253	-48.42169	591.99603	936.2923	35.27345	442.4068	949.15802	74.31686	357.07709	941.65253	132.88002	391.7283	890.98126	636.22394	-346.94556	744.79413	49.67451	-350.64587	741.80701	43.39078	894.52344	739.08789	625.2204	896.24353	741.07001	-217.70274	136.06328	644.26532	-219.77966	374.51718	642.91174	-217.70274	136.06328	644.26532	-219.77966	374.51718	642.91174	103.59843	374.40268	916.31689	-69.48262	564.83826	894.22241
8	0.058	-275.72784	243.37976	1102.88342	-166.12036	260.44983	986.97589	-373.87564	136.45464	996.84326	-394.17862	203.94719	618.02795	-401.27863	248.16154	613.68091	-399.10306	305.62006	615.68024	-299.56143	92.09818	683.25519	-300.70529	416.94473	680.96222	-208.88297	146.4523	644.83325	-212.75467	364.74124	648.87628	-224.13409	80.20415	1038.12512	-162.7191	-15.75465	918.75262	-87.15781	-8.24068	765.01752	-63.68404	-79.22599	835.99628	56.32674	-56.67662	840.40625	179.51596	-53.94141	777.84662	174.76349	19.53704	814.35748	-251.46475	412.46475	1067.35107	-150.56212	530.34497	986.33362	-243.16634	511.62469	979.87134	-91.31406	536.34344	851.84308	-49.27538	591.33051	935.72021	34.53009	441.93076	949.85327	73.67391	356.55261	943.0824	132.26096	390.91315	892.18451	636.23157	-346.94574	744.78955	49.67387	-350.64297	741.82831	43.3886	894.52161	739.09186	625.2326	896.24731	741.0752	-217.66	135.92508	644.26514	-219.72832	374.48822	642.96997	-217.66	135.92508	644.26514	-219.72832	374.48822	642.96997	102.96743	373.73288	917.63348	-70.29472	563.83698	893.78162
