PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\re_7jun2013\Trimmed_re2_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	822	31	mm	120	1	822																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-316.46121	288.48657	1082.2168	-179.27989	266.69803	915.94855	-397.46725	170.92001	1003.34094	-457.51205	204.64299	560.37598	-449.4115	239.94742	554.01874	-462.2204	281.8349	548.7207	-342.93942	48.66315	655.55383	-323.27185	434.24695	627.45551	-261.5311	62.98359	628.00214	-226.62758	384.40115	597.30792	-223.05081	149.12071	1070.41492	-131.47614	33.03746	959.00513	-84.75247	7.08791	757.21185	-42.51744	-61.34339	862.75916	54.81953	52.30997	862.966	174.79533	78.40581	796.57764	134.56131	136.19342	843.84039	-239.54601	437.24149	1023.7041	-86.00361	489.2757	877.19031	-193.47342	527.49341	882.43945	-32.38588	450.37076	733.63904	-32.56534	544.2301	761.34967	121.90248	537.88	790.29315	232.12366	484.02008	792.71539	233.81247	547.57037	736.33191	669.16479	-375.02017	719.53607	82.07872	-382.97696	720.41669	70.03843	860.19879	717.77423	649.71222	867.573	717.84595	-259.65286	66.58814	619.2796	-228.97307	383.84595	604.50287	-259.65286	66.58814	619.2796	-228.97307	383.84595	604.50287	154.67831	107.29961	820.20905	-63.63496	-27.12774	809.98547
2	0.008	-316.48227	289.18588	1082.02539	-179.48224	267.31696	915.64746	-397.46344	171.39758	1003.39124	-457.60898	204.6019	560.29443	-449.52234	239.89914	553.89471	-462.33289	281.81528	548.57013	-343.03116	48.76096	655.67017	-323.48267	434.31735	627.29828	-261.60281	63.06531	628.03369	-227.14009	384.5036	596.98077	-223.02109	150.09215	1070.50098	-131.20914	33.84742	959.4903	-84.83368	6.79679	757.76984	-42.27776	-61.83908	863.03534	55.03354	51.85979	863.02942	174.71069	78.11436	796.19049	134.74457	135.79341	843.70209	-239.83163	437.81573	1023.47992	-86.17622	489.54898	877.16473	-193.64738	527.84076	882.19727	-32.48948	450.46436	733.70734	-32.55761	544.31055	761.31799	121.91375	537.95776	790.2738	232.12286	484.04855	792.73462	233.82698	547.58167	736.32611	669.16681	-375.02155	719.53027	82.07961	-382.97833	720.41455	70.04293	860.19702	717.77271	649.71899	867.56909	717.84265	-259.72375	66.68893	619.44531	-229.14835	383.93335	604.45465	-259.72375	66.68893	619.44531	-229.14835	383.93335	604.45465	154.72763	106.95389	819.94629	-63.55572	-27.52114	810.40259
3	0.017	-316.5108	289.86646	1081.83667	-179.69675	267.9241	915.34729	-397.48227	171.86595	1003.43353	-457.70355	204.55832	560.20685	-449.62869	239.85156	553.76648	-462.45343	281.79834	548.41589	-343.13504	48.85806	655.78406	-323.716	434.38104	627.12921	-261.6636	63.14393	628.06128	-227.71809	384.59482	596.61322	-223.0145	151.05156	1070.57446	-130.91812	34.68987	959.9776	-84.86887	6.49059	758.34381	-42.00595	-62.31526	863.35333	55.26309	51.44519	863.14624	174.66374	77.86162	795.89996	134.93123	135.43501	843.63507	-240.10742	438.37119	1023.26416	-86.33437	489.80182	877.1463	-193.80595	528.18372	881.97284	-32.59607	450.54999	733.78027	-32.546	544.38599	761.29309	121.93074	538.0282	790.2572	232.12701	484.0737	792.75366	233.84544	547.59113	736.32056	669.16998	-375.02246	719.52661	82.08105	-382.97943	720.4137	70.04727	860.19586	717.77069	649.72449	867.56561	717.8399	-259.80493	66.79066	619.61377	-229.34308	384.01645	604.4024	-259.80493	66.79066	619.61377	-229.34308	384.01645	604.4024	154.79749	106.64832	819.76752	-63.43741	-27.91234	810.84857
4	0.025	-316.54599	290.52927	1081.65027	-179.92201	268.5195	915.05145	-397.52414	172.32719	1003.46521	-457.79587	204.51407	560.11212	-449.73026	239.80611	553.63428	-462.58154	281.78513	548.25757	-343.25092	48.9539	655.89453	-323.97546	434.44095	626.94495	-261.7164	63.21736	628.09027	-228.33998	384.68924	596.22021	-223.0349	151.99829	1070.63501	-130.61351	35.5569	960.46973	-84.86208	6.16626	758.94153	-41.69738	-62.76046	863.72986	55.50763	51.0773	863.31213	174.65317	77.65114	795.69318	135.12193	135.12578	843.62152	-240.37521	438.9118	1023.05481	-86.47989	490.03604	877.13342	-193.95238	528.52289	881.76349	-32.69502	450.62354	733.85803	-32.53086	544.45569	761.27368	121.95193	538.09174	790.24237	232.13593	484.09549	792.77142	233.86537	547.59967	736.31549	669.17236	-375.02246	719.5257	82.08194	-382.97998	720.41327	70.04949	860.19592	717.76776	649.72797	867.56238	717.83832	-259.89664	66.89345	619.78339	-229.56055	384.09909	604.34259	-259.89664	66.89345	619.78339	-229.56055	384.09909	604.34259	154.88756	106.38846	819.65735	-63.27974	-28.2971	811.33569
5	0.033	-316.5871	291.17535	1081.4657	-180.1572	269.10272	914.76306	-397.58948	172.78311	1003.48334	-457.88654	204.47099	560.01007	-449.8273	239.76337	553.4978	-462.71622	281.77606	548.09448	-343.37772	49.04799	656.00037	-324.26215	434.5004	626.7439	-261.76468	63.28495	628.12469	-228.98746	384.79681	595.81427	-223.08543	152.93001	1070.68225	-130.30608	36.43899	960.96753	-84.81588	5.82583	759.56757	-41.34991	-63.16526	864.17645	55.76754	50.7619	863.5249	174.67862	77.48131	795.56085	135.32005	134.86694	843.65015	-240.63756	439.44104	1022.84888	-86.61614	490.25476	877.12366	-194.09081	528.85754	881.56531	-32.77802	450.68298	733.93866	-32.51339	544.51984	761.25769	121.97541	538.14917	790.22803	232.14885	484.1142	792.78705	233.88371	547.60931	736.31067	669.17169	-375.02142	719.52698	82.08134	-382.97986	720.41205	70.04798	860.1983	717.76318	649.72968	867.55939	717.83813	-259.9982	66.99728	619.95245	-229.80171	384.18509	604.27295	-259.9982	66.99728	619.95245	-229.80171	384.18509	604.27295	154.99934	106.17413	819.60547	-63.08289	-28.66971	811.87201
6	0.042	-316.63498	291.80545	1081.28259	-180.40192	269.67334	914.48486	-397.67831	173.2352	1003.48505	-457.97635	204.43066	559.90125	-449.92044	239.72345	553.35754	-462.85571	281.77097	547.92639	-343.5134	49.1398	656.1001	-324.57175	434.56229	626.52802	-261.81186	63.34719	628.16833	-229.64331	384.92078	595.40747	-223.16774	153.84305	1070.71631	-130.00426	37.32669	961.47119	-84.73122	5.47116	760.22424	-40.96588	-63.52047	864.70221	56.04203	50.50352	863.78394	174.73959	77.34819	795.49872	135.52924	134.65808	843.71417	-240.89758	439.96152	1022.64307	-86.74784	490.46231	877.1145	-194.22562	529.18665	881.37457	-32.84365	450.73053	734.01874	-32.49508	544.57916	761.24274	121.9994	538.20184	790.21277	232.16431	484.13104	792.80029	233.89827	547.62225	736.3056	669.16663	-375.01962	719.52966	82.07912	-382.979	720.40924	70.04266	860.20343	717.75702	649.73053	867.55682	717.83899	-260.10797	67.10147	620.11835	-230.06297	384.27701	604.19354	-260.10797	67.10147	620.11835	-230.06297	384.27701	604.19354	155.13441	106.00314	819.60645	-62.84855	-29.02465	812.46326
7	0.05	-316.69315	292.42007	1081.10168	-180.65715	270.23178	914.21893	-397.78976	173.6842	1003.46857	-458.06592	204.39433	559.78735	-450.01016	239.68617	553.21484	-462.99725	281.76941	547.75372	-343.65536	49.22889	656.19312	-324.89346	434.6286	626.30408	-261.86105	63.40485	628.2254	-230.28943	385.05664	595.01294	-223.28214	154.73315	1070.73792	-129.71355	38.21113	961.98114	-84.60944	5.10224	760.91284	-40.5518	-63.81801	865.31409	56.32815	50.30641	864.09015	174.83498	77.24796	795.50708	135.7515	134.49896	843.81091	-241.1588	440.47522	1022.43445	-86.88032	490.66397	877.1037	-194.36159	529.50916	881.18793	-32.89684	450.77158	734.09491	-32.47716	544.63477	761.22723	122.0227	538.25153	790.19574	232.18025	484.14804	792.81165	233.90865	547.63995	736.29999	669.15759	-375.0174	719.53284	82.07594	-382.97745	720.40472	70.03493	860.21063	717.75024	649.73126	867.55487	717.84021	-260.22357	67.20447	620.27948	-230.33502	384.37521	604.10846	-260.22357	67.20447	620.27948	-230.33502	384.37521	604.10846	155.29324	105.87346	819.659	-62.58062	-29.35789	813.11346
8	0.058	-316.76709	293.01941	1080.92456	-180.92558	270.7796	913.96674	-397.92169	174.12961	1003.43323	-458.15588	204.36273	559.67114	-450.09677	239.65131	553.07208	-463.13708	281.77081	547.5777	-343.80045	49.31522	656.27966	-325.21381	434.70007	626.08148	-261.9155	63.45757	628.3006	-230.90749	385.19574	594.64532	-223.42842	155.59648	1070.74951	-129.43782	39.08359	962.49927	-84.45308	4.71898	761.63409	-40.11636	-64.05192	866.01556	56.62064	50.17393	864.44525	174.96367	77.1777	795.59009	135.9863	134.38983	843.94189	-241.42529	440.98404	1022.22083	-87.01886	490.86569	877.09003	-194.50444	529.82501	881.0022	-32.94469	450.81183	734.16547	-32.46022	544.6875	761.21106	122.04443	538.30054	790.17688	232.19505	484.16757	792.82227	233.9158	547.66254	736.29382	669.14648	-375.01508	719.53583	82.07268	-382.97549	720.39941	70.02683	860.21875	717.74414	649.73248	867.55383	717.84076	-260.34201	67.30479	620.435	-230.60622	384.47833	604.02411	-260.34201	67.30479	620.435	-230.60622	384.47833	604.02411	155.47499	105.78376	819.76599	-62.28472	-29.66647	813.82483
