PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\sc_13feb2014\Trimmed_sc2_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1038	31	mm	120	1	1038																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-207.66986	279.25851	1110.28088	-94.85412	228.66951	982.52606	-321.4415	236.25728	1020.42981	-391.93231	242.37703	647.52509	-392.90842	283.53677	639.90955	-394.54065	328.77951	638.68378	-258.66977	103.30069	692.47906	-285.36002	450.28757	676.74457	-174.4839	117.72343	641.50787	-170.43669	411.14951	656.09406	-184.6873	136.17038	1074.03564	-129.26707	47.64947	976.13361	-108.19363	2.64493	785.04156	-102.40137	-71.81642	870.39807	22.96735	-47.60388	857.63934	111.32407	-104.19814	775.16284	134.08655	-29.48994	800.65942	-54.24545	348.19827	1056.69202	83.0441	354.79193	956.44489	2.92087	411.93542	975.026	140.40761	271.24622	815.4787	193.87679	336.33066	881.33197	273.7164	265.2431	873.84491	339.79211	182.50232	880.32269	318.3353	152.13428	810.87592	633.3299	-351.37952	746.37659	49.08751	-346.53555	742.25336	58.90505	897.6084	740.5257	639.90173	892.49365	741.43018	-177.24542	125.83141	638.51849	-153.92291	398.4711	639.73914	-177.24542	125.83141	638.51849	-153.92291	398.4711	639.73914	329.06372	167.3183	845.5993	167.1422	303.78842	848.40533
2	0.008	-207.58148	278.84354	1110.3219	-94.68333	228.42923	982.47583	-321.33325	236.02414	1020.40814	-391.80072	242.4919	647.62921	-392.74561	283.63953	640.04034	-394.35724	328.90393	638.83069	-258.57861	103.33472	692.49414	-285.00049	450.40375	676.88153	-174.36432	117.72146	641.36481	-170.1851	411.09763	656.07806	-184.5937	135.83089	1073.96094	-129.17702	47.42054	975.95209	-108.18625	2.29985	784.83826	-102.30315	-72.05505	870.26959	22.99472	-47.71589	857.56451	111.41676	-104.24466	775.19781	134.1006	-29.49197	800.6698	-54.08917	348.05655	1056.70349	83.14169	354.71951	956.88586	2.9653	411.98038	975.43774	140.55835	271.35031	815.78381	193.98524	336.63831	881.50885	273.74734	265.44299	874.40436	339.72861	182.65521	881.31689	318.32358	152.01535	811.96393	633.3634	-351.38281	746.36646	49.10883	-346.54242	742.27734	58.92935	897.60712	740.53992	639.92163	892.4942	741.41156	-177.16599	125.8165	638.49548	-153.62601	398.49246	639.78674	-177.16599	125.8165	638.49548	-153.62601	398.49246	639.78674	329.02609	167.33528	846.64038	167.27179	303.99429	848.6463
3	0.017	-207.60674	278.36902	1110.38257	-94.57467	228.20862	982.4798	-321.32205	235.6671	1020.36969	-391.67648	242.59178	647.71973	-392.58859	283.73236	640.16083	-394.1745	329.021	638.96997	-258.47449	103.36375	692.4928	-284.67014	450.51691	677.04852	-174.2603	117.72588	641.26697	-169.94514	411.06699	656.08765	-184.52872	135.48175	1073.92346	-129.09752	47.18953	975.80981	-108.19428	1.96167	784.68823	-102.19451	-72.30048	870.16522	23.03527	-47.83274	857.5022	111.49715	-104.28146	775.2309	134.11858	-29.49364	800.68103	-54.08723	347.99741	1056.72644	83.00433	354.76587	957.20862	2.77969	412.14679	975.88562	140.63075	271.47778	816.09814	193.90999	337.05988	881.72345	273.58954	265.75021	875.21997	339.46677	182.92276	882.79999	318.22861	151.91599	813.55377	633.38513	-351.37991	746.36157	49.12103	-346.54352	742.29572	58.94344	897.6109	740.55042	639.92987	892.49713	741.40106	-177.06892	125.81481	638.4707	-153.34654	398.53302	639.87524	-177.06892	125.81481	638.4707	-153.34654	398.53302	639.87524	328.84769	167.41937	848.17688	167.27037	304.26883	848.91077
4	0.025	-207.72144	277.85745	1110.45654	-94.52457	228.00006	982.51123	-321.39346	235.20186	1020.32208	-391.56104	242.67424	647.79272	-392.43881	283.81357	640.2674	-393.99246	329.1268	639.09589	-258.35825	103.38115	692.47064	-284.37973	450.62332	677.24341	-174.15942	117.74528	641.20496	-169.7193	411.06427	656.13074	-184.48511	135.13313	1073.91748	-129.03467	46.95174	975.71155	-108.22198	1.64252	784.59436	-102.0883	-72.54317	870.08881	23.07954	-47.94972	857.4491	111.56219	-104.30645	775.258	134.13249	-29.49054	800.68567	-54.23541	348.03299	1056.75085	82.63943	354.96985	957.36853	2.36786	412.40903	976.28046	140.60728	271.61771	816.42938	193.6476	337.56494	881.98077	273.24628	266.15225	876.24878	339.02661	183.30295	884.68353	318.05322	151.85312	815.55231	633.39185	-351.37103	746.36163	49.12283	-346.53867	742.30554	58.94456	897.61969	740.55634	639.92645	892.50226	741.39996	-176.95493	125.82244	638.4411	-153.09328	398.59302	640.00397	-176.95493	125.82244	638.4411	-153.09328	398.59302	640.00397	328.53992	167.57803	850.11792	167.12744	304.59131	849.20508
5	0.033	-207.90512	277.33618	1110.53552	-94.52868	227.80252	982.54565	-321.53241	234.64857	1020.26935	-391.45618	242.73717	647.84332	-392.29779	283.88116	640.35602	-393.81326	329.21686	639.20178	-258.23209	103.38154	692.42181	-284.1387	450.72144	677.46191	-174.0484	117.78693	641.16693	-169.50807	411.09265	656.21021	-184.45895	134.79396	1073.93335	-128.99422	46.70292	975.65784	-108.27398	1.35366	784.55682	-101.99754	-72.77263	870.04266	23.11602	-48.06376	857.40271	111.61225	-104.32027	775.27704	134.13889	-29.48119	800.67841	-54.53558	348.17245	1056.77661	82.06036	355.36066	957.36804	1.73276	412.7431	976.5578	140.47624	271.75952	816.80713	193.20564	338.12469	882.29456	272.73038	266.63522	877.44897	338.43463	183.78912	886.87341	317.79895	151.83859	817.86298	633.38403	-351.35855	746.36462	49.11509	-346.52945	742.30585	58.93391	897.63177	740.55798	639.91449	892.50885	741.40686	-176.82642	125.83589	638.40125	-152.87437	398.67371	640.16888	-176.82642	125.83589	638.40125	-152.87437	398.67371	640.16888	328.11679	167.81386	852.36816	166.84094	304.94211	849.55084
6	0.042	-208.14262	276.83224	1110.60999	-94.58163	227.62146	982.56622	-321.72531	234.02838	1020.21149	-391.3638	242.77882	647.8667	-392.16736	283.93268	640.42261	-393.64038	329.28647	639.28101	-258.09854	103.36083	692.34027	-283.95432	450.81171	677.69727	-173.91826	117.85336	641.14105	-169.31068	411.14996	656.32245	-184.44876	134.4707	1073.96021	-128.9799	46.43977	975.64368	-108.35372	1.10381	784.57141	-101.93172	-72.98109	870.02478	23.13538	-48.174	857.36194	111.65084	-104.32596	775.28839	134.13919	-29.4674	800.65796	-54.99324	348.41812	1056.8114	81.28455	355.94937	957.25171	0.87915	413.12671	976.68408	140.22923	271.89346	817.27454	192.59703	338.71506	882.68329	272.06	267.18484	878.78308	337.71814	184.37103	889.27716	317.46347	151.87988	820.39423	633.36627	-351.34622	746.3681	49.10094	-346.51907	742.29828	58.91576	897.64386	740.55646	639.89899	892.51508	741.41827	-176.68665	125.85188	638.34436	-152.69679	398.77701	640.36212	-176.68665	125.85188	638.34436	-152.69679	398.77701	640.36212	327.59082	168.12546	854.83569	166.41313	305.30426	849.97888
7	0.05	-208.4245	276.3678	1110.67065	-94.67698	227.46597	982.56708	-321.96179	233.36116	1020.14557	-391.28546	242.79779	647.85931	-392.04971	283.96524	640.46393	-393.47748	329.33136	639.3277	-257.95963	103.31632	692.22052	-283.83066	450.89578	677.94012	-173.76688	117.94129	641.1178	-169.12698	411.22961	656.45886	-184.45432	134.16673	1073.98706	-128.99231	46.16116	975.6579	-108.46175	0.89809	784.62738	-101.895	-73.16579	870.02649	23.13373	-48.28125	857.32727	111.68356	-104.32807	775.29462	134.13762	-29.45295	800.62787	-55.61461	348.76294	1056.8689	80.33054	356.72318	957.09259	-0.18417	413.53888	976.65729	139.85822	272.01196	817.8764	191.83543	339.3179	883.16754	271.25372	267.78714	880.22003	336.90195	185.03738	891.81116	317.04022	151.98166	823.06512	633.34601	-351.33752	746.37018	49.0852	-346.51138	742.28693	58.89547	897.65228	740.55359	639.88483	892.51892	741.43011	-176.53928	125.86726	638.26233	-152.56549	398.90451	640.57135	-176.53928	125.86726	638.26233	-152.56549	398.90451	640.57135	326.97107	168.50952	857.43811	165.84682	305.66492	850.52197
8	0.058	-208.7476	275.95639	1110.70862	-94.8083	227.34473	982.55261	-322.23541	232.66403	1020.06689	-391.22174	242.79283	647.81976	-391.94708	283.97592	640.47852	-393.32758	329.34766	639.33771	-257.81656	103.24703	692.0589	-283.76831	450.97543	678.17896	-173.6015	118.0412	641.09155	-168.95883	411.32227	656.60779	-184.47708	133.88208	1074.005	-129.02832	45.8695	975.68481	-108.59428	0.73782	784.70648	-101.88567	-73.3298	870.03375	23.1135	-48.38699	857.30029	111.71687	-104.33117	775.29987	134.13907	-29.44178	800.5954	-56.40509	349.19025	1056.96497	79.21521	357.64392	956.97388	-1.44363	413.96045	976.50403	139.35408	272.11069	818.64813	190.9323	339.92194	883.76624	270.32626	268.42938	881.7359	336.00568	185.77771	894.40546	316.51984	152.14832	825.80786	633.33118	-351.33487	746.37018	49.0731	-346.50967	742.27661	58.87777	897.65393	740.55145	639.87537	892.51904	741.43915	-176.38809	125.87921	638.14703	-152.48315	399.05637	640.78003	-176.38809	125.87921	638.14703	-152.48315	399.05637	640.78003	326.26276	168.96301	860.10663	165.14319	306.0163	851.20715
