PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\ts_19jul2013\Trimmed_ts2_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1354	31	mm	120	1	1354																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-213.18404	339.35117	1110.86267	-70.26512	329.41269	942.79474	-332.10162	182.46008	992.58618	-436.9151	277.21704	671.50104	-433.34097	307.23676	661.5415	-436.99536	348.05209	660.68384	-298.01779	79.83279	650.71692	-307.28305	509.17664	648.46228	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	-177.83992	180.36131	1101.06067	-70.37446	62.97373	961.05707	-71.43407	54.09906	774.10034	-32.73225	-19.08552	860.51392	68.10414	62.89975	879.8476	134.58066	147.02094	817.37805	98.47255	183.78445	895.3963	-161.24652	491.88525	1051.89038	-115.13803	619.8183	866.89868	-227.01001	604.99426	903.54456	-150.91812	621.40692	703.54651	-156.2861	713.34491	789.60016	-34.01432	715.23193	800.43555	92.91494	648.8797	786.88324	92.31445	738.8927	756.39905	661.39453	-350.10681	726.16266	78.59726	-356.22192	721.35101	65.03852	887.26404	723.91064	645.37457	894.01221	725.32532	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	116.5266	165.40269	856.38721	-52.08316	17.50677	817.30713
2	0.008	-213.18404	339.35117	1110.86267	-70.26512	329.41269	942.79474	-332.10162	182.46008	992.58618	-436.9151	277.21704	671.50104	-433.34097	307.23676	661.5415	-436.99536	348.05209	660.68384	-298.01779	79.83279	650.71692	-307.28305	509.17664	648.46228	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	-177.83992	180.36131	1101.06067	-70.37446	62.97373	961.05707	-71.43407	54.09906	774.10034	-32.73225	-19.08552	860.51392	68.10414	62.89975	879.8476	134.58066	147.02094	817.37805	98.47255	183.78445	895.3963	-161.24652	491.88525	1051.89038	-115.13803	619.8183	866.89868	-227.01001	604.99426	903.54456	-150.91812	621.40692	703.54651	-156.2861	713.34491	789.60016	-34.01432	715.23193	800.43555	92.91494	648.8797	786.88324	92.31445	738.8927	756.39905	661.39453	-350.10681	726.16266	78.59726	-356.22192	721.35101	65.03852	887.26404	723.91064	645.37457	894.01221	725.32532	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	-182.59912	136.49928	568.54956	-190.73071	450.69208	593.44348	116.5266	165.40269	856.38721	-52.08316	17.50677	817.30713
3	0.017	-212.92387	339.48721	1110.85449	-70.06366	329.57935	942.75824	-331.80133	182.49214	992.67877	-436.82004	277.21283	671.57813	-433.26984	307.23651	661.61023	-436.92441	348.05582	660.74762	-297.85477	79.8642	650.77411	-307.26889	509.19397	648.48047	-182.47516	136.56273	568.57397	-190.70935	450.74445	593.43976	-177.48932	180.56564	1101.07935	-70.02464	63.0328	961.13666	-71.37731	53.57329	774.17395	-32.59928	-19.42839	860.69183	68.2076	62.65376	879.78192	134.52731	146.73018	817.11395	98.50162	183.56674	895.1142	-161.1059	492.0163	1051.89038	-115.1224	619.95142	866.88281	-226.98784	605.09998	903.55988	-150.98705	621.56055	703.5451	-156.26979	713.47778	789.61609	-33.99739	715.29626	800.45624	92.91785	648.86975	786.87036	92.33296	738.89917	756.40308	661.40192	-350.1066	726.15411	78.59	-356.22318	721.35089	65.03561	887.26746	723.914	645.37958	894.00433	725.32953	-182.47516	136.56273	568.57397	-190.70935	450.74445	593.43976	-182.47516	136.56273	568.57397	-190.70935	450.74445	593.43976	116.51447	165.14847	856.11407	-51.9883	17.07245	817.43286
4	0.025	-212.67368	339.6344	1110.85205	-69.86403	329.74939	942.72827	-331.50497	182.53508	992.76917	-436.72375	277.20996	671.65717	-433.19144	307.23688	661.67938	-436.85425	348.06335	660.81555	-297.6842	79.90481	650.83411	-307.25351	509.21454	648.50409	-182.34235	136.63763	568.60468	-190.68442	450.80219	593.44409	-177.15959	180.77502	1101.10986	-69.67884	63.06573	961.2843	-71.36269	52.8922	774.31354	-32.45988	-19.87103	860.96533	68.29408	62.3556	879.72968	134.42696	146.35963	816.80365	98.48478	183.31165	894.76813	-160.97206	492.15509	1051.89099	-115.10222	620.08453	866.86798	-226.95108	605.21265	903.57642	-151.04651	621.72003	703.54523	-156.24629	713.61603	789.63586	-33.97365	715.36371	800.47516	92.92715	648.86261	786.85364	92.35257	738.91174	756.40533	661.40631	-350.10272	726.14728	78.5855	-356.22211	721.35083	65.03528	887.27344	723.91724	645.38574	893.99982	725.33386	-182.34235	136.63763	568.60468	-190.68442	450.80219	593.44409	-182.34235	136.63763	568.60468	-190.68442	450.80219	593.44409	116.45587	164.83563	855.78589	-51.91128	16.51058	817.6394
5	0.033	-212.43341	339.79123	1110.85571	-69.66731	329.92703	942.70349	-331.20947	182.58839	992.85632	-436.62265	277.20801	671.73615	-433.10379	307.237	661.74805	-436.78275	348.0741	660.88739	-297.5076	79.95415	650.89655	-307.23544	509.2388	648.53217	-182.20174	136.72264	568.64124	-190.65485	450.86487	593.45581	-176.85002	180.98633	1101.15149	-69.34085	63.0667	961.49146	-71.38731	52.07603	774.51495	-32.31662	-20.40907	861.32263	68.3603	62.00499	879.69446	134.28145	145.91473	816.46045	98.42086	183.01845	894.37604	-160.84599	492.30219	1051.89075	-115.07639	620.21735	866.85089	-226.90804	605.3371	903.59344	-151.09393	621.8844	703.54425	-156.21461	713.76019	789.65576	-33.94443	715.43658	800.48962	92.94321	648.8598	786.83386	92.37425	738.93024	756.40454	661.4068	-350.09592	726.14349	78.58436	-356.21948	721.35114	65.039	887.28125	723.91998	645.39233	893.99908	725.33691	-182.20174	136.72264	568.64124	-190.65485	450.86487	593.45581	-182.20174	136.72264	568.64124	-190.65485	450.86487	593.45581	116.35116	164.46658	855.41821	-51.85196	15.83348	817.91882
6	0.042	-212.20222	339.9556	1110.86499	-69.47562	330.11499	942.68243	-330.91211	182.65146	992.93915	-436.51212	277.2067	671.81201	-433.00534	307.23633	661.81488	-436.70786	348.08749	660.96234	-297.3262	80.01068	650.96039	-307.21231	509.26706	648.56274	-182.05424	136.81503	568.68231	-190.61885	450.93167	593.47278	-176.55887	181.19691	1101.203	-69.01931	63.02858	961.74756	-71.44716	51.15548	774.77283	-32.1747	-21.0333	861.74878	68.40327	61.60167	879.68243	134.0937	145.40329	816.10382	98.30926	182.68604	893.9621	-160.72728	492.45682	1051.88818	-115.04446	620.35052	866.8291	-226.86687	605.47736	903.60974	-151.1286	622.05286	703.53906	-156.17496	713.9104	789.67181	-33.91148	715.51709	800.49774	92.96554	648.86273	786.81293	92.39837	738.95361	756.39948	661.40369	-350.08804	726.14301	78.58643	-356.21674	721.35181	65.04722	887.28943	723.92181	645.39862	894.00122	725.33789	-182.05424	136.81503	568.68231	-190.61885	450.93167	593.47278	-182.05424	136.81503	568.68231	-190.61885	450.93167	593.47278	116.20148	164.04466	855.03296	-51.81093	15.06109	818.2608
7	0.05	-211.97923	340.12579	1110.87769	-69.29065	330.31308	942.66479	-330.61191	182.72369	993.01666	-436.38821	277.20602	671.88165	-432.89548	307.2348	661.87817	-436.62842	348.10324	661.03925	-297.14093	80.0723	651.02478	-307.18127	509.29895	648.59308	-181.90038	136.91133	568.72668	-190.57414	451.00098	593.49243	-176.28413	181.40565	1101.26282	-68.72691	62.94539	962.04175	-71.53642	50.16917	775.08136	-32.04071	-21.72988	862.22742	68.42072	61.1479	879.70093	133.86853	144.83533	815.75635	98.15207	182.31444	893.55316	-160.61516	492.61807	1051.88159	-115.0061	620.48486	866.80115	-226.83102	605.63391	903.62225	-151.15202	622.22479	703.5271	-156.12926	714.06531	789.6806	-33.87679	715.60626	800.49829	92.99337	648.8717	786.7923	92.42449	738.9798	756.38922	661.39795	-350.08142	726.14471	78.59061	-356.21533	721.35272	65.05876	887.2959	723.92273	645.40417	894.00427	725.33679	-181.90038	136.91133	568.72668	-190.57414	451.00098	593.49243	-181.90038	136.91133	568.72668	-190.57414	451.00098	593.49243	116.0103	163.57487	854.65472	-51.78856	14.21965	818.65436
8	0.058	-211.7641	340.30075	1110.89124	-69.11237	330.51831	942.65161	-330.31082	182.80435	993.08844	-436.24969	277.20648	671.94299	-432.77515	307.23328	661.93616	-436.54425	348.12125	661.11676	-296.95322	80.13678	651.08936	-307.14029	509.33371	648.62	-181.74106	137.00783	568.77362	-190.51915	451.07071	593.51202	-176.02458	181.61276	1101.32898	-68.4775	62.81379	962.36383	-71.64671	49.15921	775.43427	-31.91998	-22.48117	862.74274	68.41167	60.65006	879.7561	133.61371	144.22371	815.44006	97.9543	181.90663	893.17328	-160.50938	492.78516	1051.86951	-114.96125	620.62109	866.76691	-226.79671	605.80219	903.62585	-151.16763	622.39941	703.50647	-156.08104	714.2226	789.6792	-33.84242	715.70349	800.49097	93.02576	648.88568	786.77216	92.45164	739.00604	756.3736	661.39075	-350.07831	726.14728	78.59501	-356.21631	721.35345	65.07123	887.29846	723.92261	645.40863	894.0058	725.33459	-181.74106	137.00783	568.77362	-190.51915	451.07071	593.51202	-181.74106	137.00783	568.77362	-190.51915	451.07071	593.51202	115.784	163.06517	854.3067	-51.78334	13.33902	819.0885
