Version	3																																																																																					
Starting Frame	12																																																																																					
Avg Step Width (cm)	10.74									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																								
R_Velocity	124.205	127.258	129.883							127.1153333	127.1153333	123.077	127.9743333	123.4366667																																																																								
R_Stride_Len	121.73	123.317	126.31							123.7856667																																																																												
R_Cadence	123.077	123.077	123.077							123.077																																																																												
L_Velocity	126.313	128.318	129.292							127.9743333																																																																												
L_Stride_Len	123.998	123.214	126.703							124.6383333																																																																												
L_Cadence	122.034	124.138	124.138							123.4366667																																																																												
R_Support_Time	63.248	63.248	61.538							62.678																																																																												
L_Support_Time	63.559	62.931	62.931							63.14033333																																																																												
R_Non_Support	36.752	36.752	38.462							37.322																																																																												
L_Non_Support	36.441	37.069	37.069							36.85966667																																																																												
R_Step_Len	60.843	60.162	63.258							61.421																																																																												
L_Step_Len	60.888	63.155	63.052	63.444						62.63475																																																																												
R_Dbl_Support	15.385	14.53	13.675							14.53																																																																												
L_Dbl_Support	12.712	12.069	11.207							11.996																																																																												
RHS	20	137	254	371																																																																																		
LHS	79	197	313	429																																																																																		
RTO	94	211	326	444																																																																																		
LTO	38	154	270	386																																																																																		
RHS FP	254																																																																																					
LHS FP	197																																																																																					
