Version	3																																																																																													
Starting Frame	76																																																																																													
Avg Step Width (cm)	13.49									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	143.676	137.798								140.737	140.737	111.655	144.185	111.628																																																																																
R_Stride_Len	153.412	149.128								151.27																																																																																				
R_Cadence	113.386	109.924								111.655																																																																																				
L_Velocity	148.149	140.221								144.185																																																																																				
L_Stride_Len	159.429	149.204								154.3165																																																																																				
L_Cadence	111.628	111.628								111.628																																																																																				
R_Support_Time	62.205	63.359								62.782																																																																																				
L_Support_Time	59.69	62.016								60.853																																																																																				
R_Non_Support	37.795	36.641								37.218																																																																																				
L_Non_Support	40.31	37.984								39.147																																																																																				
R_Step_Len	81.596	75.579	75.503							77.55933333																																																																																				
L_Step_Len	77.833	73.625								75.729																																																																																				
R_Dbl_Support	10.236	13.74								11.988																																																																																				
L_Dbl_Support	11.628	10.853								11.2405																																																																																				
RHS	74	201	332																																																																																											
LHS	10	139	268																																																																																											
RTO	25	153	284																																																																																											
LTO	87	219	350																																																																																											
RHS FP	201																																																																																													
LHS FP																																																																																														
