Version	3.0
Starting Frame	69
Avg Step Width (cm)	  13.43
R_Velocity	123.957	125.428	124.862
R_Stride_Len	140.783	144.814	144.013
R_Cadence	105.109	104.348	105.109
L_Velocity	124.346	126.464
L_Stride_Len	143.781	141.139
L_Cadence	104.348	105.882
R_Support_Time	64.964	65.942	64.964
L_Support_Time	63.768	63.235
R_Non_Support	35.036	34.058	35.036
L_Non_Support	36.232	36.765
R_Step_Len	70.695	71.728	74.601
L_Step_Len	70.088	73.086	69.411
R_Dbl_Support	16.058	15.217	13.869
L_Dbl_Support	13.768	14.706
RHS	32.000	169.000	307.000	444.000
LHS	102.000	240.000	376.000
RTO	121.000	260.000	396.000
LTO	54.000	190.000	326.000	466.000
RHS FP	
LHS FP	102.000	240.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-17.361	-6.217	24.361	-31.019	-5.835	60.053	29.221	-11.685	-3.388	31.861	21.339	-5.656	-13.246	1.541	7.944	-13.157	-0.572	2.738	25.130	-16.900	7.473	37.139	22.402	-1.128	0.000	0.000	0.000	-0.739	-5.245	-1.102	-0.813	5.070	1.998	-14.215	0.000	0.000	-4.357	0.000	0.000	-0.016	0.002	0.002	-0.005	-0.002	0.002	-0.002	0.000	0.000	0.000	0.000	0.000	-0.022	-0.001	-0.001	-0.009	-0.002	0.000	-0.002	-0.000	0.001	0.000	0.000	0.000	0.000	0.006	-0.008	0.000	-0.003	0.005	0.000	0.000	-0.002	-0.000	-0.005	0.008	0.000	0.000	-0.003	0.000	-0.000	-0.001	0.012	0.008	-0.001	0.012	-0.002	0.003	0.012	0.018	0.001	0.002	0.002	0.002	0.004	0.002
-17.168	-5.989	25.401	-30.564	-5.464	59.609	28.357	-12.697	-2.568	31.639	21.431	-5.688	-13.554	1.392	7.155	-13.928	-0.604	2.287	25.876	-14.402	7.087	37.847	22.556	-0.592	0.000	0.000	0.000	-0.694	-5.187	-1.409	-1.041	5.035	2.066	-14.626	0.000	0.000	-4.518	0.000	0.000	-0.035	0.006	0.004	-0.011	-0.005	0.005	-0.005	-0.000	0.001	0.000	0.000	0.000	-0.047	-0.001	-0.004	-0.020	-0.003	-0.000	-0.005	-0.001	0.001	0.000	0.000	0.000	0.002	0.012	-0.013	0.000	0.000	0.004	0.001	0.000	-0.003	-0.000	-0.011	0.012	0.000	-0.001	-0.004	0.000	-0.000	-0.002	0.020	0.007	-0.001	0.017	-0.003	0.005	1.536	2.443	0.148	0.224	0.292	0.305	0.471	0.317
-16.930	-5.775	26.352	-30.255	-5.016	58.961	27.555	-13.718	-1.750	31.450	21.519	-5.739	-13.728	1.258	6.361	-14.571	-0.619	1.855	26.456	-12.200	6.701	38.597	22.724	-0.060	0.000	0.000	0.000	-0.649	-5.130	-1.701	-1.252	4.996	2.166	-15.106	0.000	0.000	-4.661	0.000	0.000	-0.054	0.009	0.007	-0.017	-0.007	0.008	-0.008	-0.001	0.002	0.000	0.000	0.000	-0.072	-0.002	-0.006	-0.030	-0.005	-0.000	-0.008	-0.001	0.002	0.000	0.000	0.000	0.003	0.018	-0.018	0.000	0.003	0.002	0.001	0.000	-0.004	-0.000	-0.017	0.016	0.000	-0.002	-0.005	0.001	-0.001	-0.003	0.028	0.005	-0.000	0.022	-0.004	0.006	4.816	8.431	0.478	0.731	0.932	0.965	1.475	1.025
-16.642	-5.586	27.215	-30.108	-4.496	58.102	26.853	-14.666	-0.950	31.292	21.602	-5.811	-13.748	1.143	5.566	-15.049	-0.615	1.439	26.833	-10.433	6.394	39.389	22.904	0.467	0.000	0.000	0.000	-0.607	-5.074	-1.979	-1.438	4.961	2.299	-15.621	0.000	0.000	-4.778	0.000	0.000	-0.072	0.013	0.008	-0.023	-0.010	0.010	-0.011	-0.001	0.003	0.000	0.000	0.000	-0.094	-0.003	-0.008	-0.039	-0.006	-0.001	-0.011	-0.001	0.002	0.000	0.000	0.000	0.005	0.024	-0.024	0.000	0.007	0.000	0.001	0.001	-0.005	-0.000	-0.022	0.019	0.000	-0.002	-0.006	0.001	-0.001	-0.004	0.034	0.000	0.000	0.026	-0.005	0.006	8.561	16.949	0.898	1.406	1.740	1.775	2.684	1.945
-16.301	-5.425	27.998	-30.122	-3.909	57.030	26.266	-15.514	-0.169	31.162	21.680	-5.904	-13.620	1.049	4.773	-15.323	-0.591	1.038	26.965	-9.178	6.229	40.212	23.091	0.985	0.000	0.000	0.000	-0.568	-5.020	-2.242	-1.596	4.941	2.465	-16.144	0.000	0.000	-4.867	0.000	0.000	-0.087	0.016	0.010	-0.029	-0.012	0.012	-0.014	-0.001	0.003	0.000	0.000	0.000	-0.114	-0.004	-0.009	-0.047	-0.007	-0.001	-0.013	-0.001	0.002	0.000	0.000	0.000	0.006	0.029	-0.029	0.000	0.010	-0.002	0.002	0.001	-0.006	-0.000	-0.027	0.021	0.000	-0.003	-0.006	0.001	-0.001	-0.004	0.040	-0.007	0.001	0.030	-0.005	0.006	11.696	27.000	1.346	2.158	2.582	2.595	3.892	2.962
-15.909	-5.291	28.706	-30.285	-3.269	55.752	25.797	-16.265	0.586	31.057	21.751	-6.017	-13.371	0.973	3.986	-15.345	-0.549	0.658	26.813	-8.472	6.249	41.052	23.279	1.495	0.000	0.000	0.000	-0.532	-4.968	-2.488	-1.727	4.939	2.653	-16.656	0.000	0.000	-4.933	0.000	0.000	-0.101	0.019	0.012	-0.035	-0.014	0.014	-0.016	-0.002	0.004	0.000	0.000	0.000	-0.131	-0.005	-0.011	-0.053	-0.007	-0.001	-0.015	-0.002	0.002	0.000	0.000	0.000	0.007	0.034	-0.034	-0.000	0.013	-0.005	0.002	0.001	-0.007	-0.000	-0.031	0.023	0.000	-0.004	-0.006	0.001	-0.001	-0.005	0.045	-0.017	0.001	0.032	-0.005	0.006	13.772	37.604	1.787	2.924	3.364	3.341	5.029	4.008
-15.477	-5.175	29.348	-30.573	-2.597	54.274	25.439	-16.931	1.304	30.978	21.814	-6.147	-13.052	0.907	3.212	-15.062	-0.489	0.312	26.353	-8.343	6.488	41.892	23.465	2.000	0.000	0.000	0.000	-0.499	-4.919	-2.718	-1.835	4.958	2.852	-17.140	0.000	0.000	-4.978	0.000	0.000	-0.112	0.022	0.013	-0.040	-0.015	0.015	-0.018	-0.002	0.005	0.000	0.000	0.000	-0.144	-0.005	-0.012	-0.059	-0.007	-0.002	-0.016	-0.002	0.002	0.000	0.000	0.000	0.008	0.037	-0.039	-0.000	0.017	-0.008	0.003	0.001	-0.008	0.000	-0.035	0.024	0.000	-0.005	-0.006	0.001	-0.000	-0.006	0.048	-0.031	0.001	0.032	-0.004	0.005	14.832	47.899	2.201	3.661	4.021	3.963	6.091	5.041
-15.014	-5.065	29.929	-30.961	-1.916	52.609	25.180	-17.535	1.973	30.922	21.870	-6.290	-12.722	0.842	2.454	-14.435	-0.408	0.015	25.583	-8.820	6.964	42.719	23.645	2.503	0.000	0.000	0.000	-0.471	-4.871	-2.930	-1.927	4.995	3.044	-17.588	0.000	0.000	-5.006	0.000	0.000	-0.121	0.025	0.013	-0.045	-0.017	0.016	-0.019	-0.003	0.006	0.000	0.000	0.000	-0.153	-0.005	-0.013	-0.062	-0.007	-0.002	-0.017	-0.001	0.003	0.000	0.000	0.000	0.008	0.040	-0.042	-0.000	0.020	-0.012	0.003	0.001	-0.008	0.000	-0.038	0.024	0.000	-0.006	-0.005	0.001	-0.000	-0.006	0.048	-0.048	0.001	0.032	-0.003	0.005	15.171	57.617	2.573	4.324	4.511	4.456	7.133	6.025
-14.522	-4.945	30.449	-31.430	-1.239	50.769	25.006	-18.115	2.588	30.887	21.917	-6.443	-12.435	0.772	1.714	-13.457	-0.307	-0.219	24.532	-9.899	7.660	43.522	23.819	3.008	0.000	0.000	0.000	-0.446	-4.823	-3.123	-2.012	5.043	3.211	-17.999	0.000	0.000	-5.021	0.000	0.000	-0.129	0.027	0.013	-0.050	-0.018	0.017	-0.021	-0.004	0.007	0.000	0.000	0.000	-0.160	-0.004	-0.014	-0.065	-0.006	-0.003	-0.018	-0.001	0.003	0.000	0.000	0.000	0.009	0.042	-0.044	-0.000	0.023	-0.015	0.003	0.002	-0.009	0.000	-0.040	0.023	0.000	-0.007	-0.004	0.001	0.000	-0.007	0.046	-0.070	0.001	0.030	-0.002	0.005	15.069	66.917	2.896	4.858	4.819	4.836	8.253	6.927
-13.991	-4.807	30.903	-31.971	-0.571	48.764	24.899	-18.704	3.146	30.869	21.960	-6.602	-12.225	0.694	0.990	-12.166	-0.188	-0.385	23.257	-11.488	8.502	44.292	23.986	3.521	0.000	0.000	0.000	-0.426	-4.773	-3.295	-2.091	5.094	3.342	-18.377	0.000	0.000	-5.025	0.000	0.000	-0.135	0.028	0.013	-0.055	-0.019	0.018	-0.022	-0.004	0.008	0.000	0.000	0.000	-0.165	-0.004	-0.014	-0.067	-0.005	-0.003	-0.018	-0.001	0.004	0.000	0.000	0.000	0.009	0.042	-0.045	-0.001	0.027	-0.019	0.004	0.002	-0.010	0.000	-0.041	0.021	0.000	-0.008	-0.004	0.002	0.000	-0.007	0.042	-0.095	0.000	0.027	-0.002	0.005	14.733	75.960	3.156	5.215	4.954	5.130	9.582	7.705
