Version	3.0
Starting Frame	51
Avg Step Width (cm)	  12.87
R_Velocity	119.466	120.579	118.634
R_Stride_Len	142.071	139.536	142.151
R_Cadence	100.699	103.597	100.699
L_Velocity	121.839	119.425
L_Stride_Len	141.287	139.280
L_Cadence	103.597	102.128
R_Support_Time	63.636	62.590	62.238
L_Support_Time	64.748	63.830
R_Non_Support	36.364	37.410	37.762
L_Non_Support	35.252	36.170
R_Step_Len	72.985	71.235	74.105
L_Step_Len	69.086	68.302	68.045
R_Dbl_Support	13.287	13.669	13.287
L_Dbl_Support	13.669	13.475
RHS	13.000	156.000	295.000	438.000
LHS	85.000	224.000	365.000
RTO	104.000	243.000	384.000
LTO	32.000	175.000	314.000	458.000
RHS FP	295.000
LHS FP	85.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-11.223	-2.964	33.349	-34.674	1.834	16.860	20.660	-27.406	7.035	32.759	22.385	-2.819	-16.134	1.060	-5.499	0.405	0.105	-0.828	15.374	-21.874	14.036	49.903	23.104	3.368	0.000	0.000	0.000	-0.043	-2.986	-4.273	-1.215	8.270	2.081	-25.588	0.000	0.000	-3.534	0.000	0.000	-0.023	0.005	0.000	-0.009	-0.006	0.004	-0.001	-0.004	0.002	0.000	0.000	0.000	-0.023	-0.002	-0.001	-0.009	-0.001	-0.000	-0.002	-0.000	0.001	0.000	0.000	0.000	0.000	0.004	0.044	-0.001	0.024	-0.033	0.001	0.001	0.000	0.000	-0.003	0.009	0.000	-0.000	-0.001	0.001	0.000	-0.001	0.048	-0.209	0.000	0.008	0.000	0.001	0.005	0.039	0.001	0.002	0.030	0.002	0.012	0.004
-11.378	-2.726	32.922	-34.866	1.657	14.012	21.052	-27.325	7.285	32.501	22.405	-2.798	-16.227	1.004	-6.024	0.513	0.065	-0.669	15.373	-22.327	14.396	50.011	23.206	3.567	0.000	0.000	0.000	-0.062	-2.919	-4.281	-1.178	8.250	2.156	-25.456	0.000	0.000	-3.618	0.000	0.000	-0.050	0.011	0.001	-0.021	-0.013	0.009	-0.003	-0.010	0.004	0.000	0.000	0.000	-0.051	-0.002	-0.003	-0.020	-0.001	-0.000	-0.005	-0.000	0.002	0.000	0.000	0.000	-0.000	0.008	0.074	-0.002	0.040	-0.054	0.002	0.001	0.000	0.000	-0.006	0.014	0.000	-0.000	-0.002	0.001	0.001	-0.002	0.081	-0.334	0.000	0.012	0.001	0.001	0.574	4.894	0.169	0.191	3.844	0.307	1.523	0.583
-11.546	-2.493	32.498	-34.988	1.474	11.223	21.534	-27.262	7.595	32.245	22.425	-2.776	-16.324	0.941	-6.535	0.631	0.021	-0.490	15.373	-22.772	14.749	50.127	23.312	3.761	0.000	0.000	0.000	-0.081	-2.855	-4.287	-1.142	8.233	2.241	-25.187	0.000	0.000	-3.702	0.000	0.000	-0.076	0.016	0.002	-0.032	-0.019	0.014	-0.005	-0.015	0.006	0.000	0.000	0.000	-0.077	-0.003	-0.005	-0.031	-0.002	-0.000	-0.007	-0.000	0.003	0.000	0.000	0.000	-0.001	0.012	0.103	-0.003	0.055	-0.075	0.003	0.001	0.001	0.000	-0.008	0.019	-0.000	-0.001	-0.003	0.002	0.001	-0.003	0.111	-0.442	-0.000	0.014	0.002	0.001	1.865	15.580	0.544	0.607	12.765	0.984	4.734	2.009
-11.729	-2.270	32.077	-34.950	1.287	8.547	22.002	-27.054	7.875	31.988	22.440	-2.757	-16.425	0.865	-7.020	0.769	-0.029	-0.272	15.371	-23.211	15.087	50.252	23.423	3.947	0.000	0.000	0.000	-0.100	-2.798	-4.288	-1.106	8.220	2.343	-24.750	0.000	0.000	-3.788	0.000	0.000	-0.099	0.021	0.003	-0.043	-0.024	0.018	-0.006	-0.019	0.008	0.000	0.000	0.000	-0.101	-0.003	-0.006	-0.040	-0.003	-0.001	-0.010	-0.001	0.005	0.000	0.000	0.000	-0.001	0.016	0.128	-0.004	0.068	-0.093	0.004	0.002	0.001	-0.000	-0.011	0.023	-0.000	-0.001	-0.004	0.002	0.001	-0.004	0.135	-0.524	-0.000	0.017	0.003	0.001	3.536	28.741	1.034	1.135	25.093	1.845	8.592	4.059
-11.915	-2.063	31.659	-34.711	1.100	6.029	22.382	-26.584	8.055	31.727	22.451	-2.739	-16.530	0.776	-7.473	0.935	-0.090	-0.001	15.365	-23.647	15.401	50.380	23.536	4.126	0.000	0.000	0.000	-0.117	-2.751	-4.285	-1.071	8.211	2.469	-24.132	0.000	0.000	-3.876	0.000	0.000	-0.120	0.026	0.004	-0.052	-0.027	0.021	-0.008	-0.023	0.010	0.000	0.000	0.000	-0.123	-0.004	-0.008	-0.049	-0.004	-0.001	-0.012	-0.001	0.006	0.000	0.000	0.000	-0.002	0.021	0.149	-0.005	0.080	-0.110	0.005	0.002	0.001	-0.000	-0.013	0.027	-0.000	-0.001	-0.006	0.002	0.001	-0.005	0.152	-0.571	-0.001	0.018	0.004	0.001	5.307	42.020	1.573	1.709	39.500	2.755	12.490	6.565
-12.085	-1.876	31.242	-34.274	0.915	3.709	22.639	-25.787	8.088	31.458	22.456	-2.724	-16.639	0.675	-7.895	1.130	-0.165	0.329	15.351	-24.078	15.680	50.500	23.649	4.293	0.000	0.000	0.000	-0.133	-2.720	-4.275	-1.033	8.204	2.618	-23.335	0.000	0.000	-3.968	0.000	0.000	-0.137	0.030	0.005	-0.060	-0.029	0.023	-0.010	-0.026	0.011	0.000	0.000	0.000	-0.141	-0.004	-0.009	-0.056	-0.005	-0.000	-0.014	-0.001	0.007	0.000	0.000	0.000	-0.003	0.026	0.163	-0.005	0.090	-0.123	0.005	0.002	0.001	-0.000	-0.015	0.030	-0.000	-0.001	-0.008	0.003	0.001	-0.006	0.160	-0.580	-0.001	0.018	0.006	0.001	6.978	54.049	2.118	2.294	54.834	3.621	15.975	9.378
-12.214	-1.707	30.827	-33.676	0.733	1.622	22.767	-24.641	7.951	31.172	22.455	-2.716	-16.760	0.563	-8.292	1.353	-0.259	0.717	15.329	-24.487	15.912	50.604	23.755	4.446	0.000	0.000	0.000	-0.145	-2.710	-4.260	-0.994	8.193	2.782	-22.387	0.000	0.000	-4.063	0.000	0.000	-0.151	0.035	0.006	-0.067	-0.030	0.024	-0.012	-0.028	0.013	0.000	0.000	0.000	-0.155	-0.004	-0.010	-0.062	-0.006	-0.000	-0.015	-0.001	0.008	0.000	0.000	0.000	-0.004	0.031	0.171	-0.006	0.097	-0.132	0.006	0.002	0.001	-0.000	-0.016	0.032	-0.000	-0.001	-0.009	0.003	0.002	-0.006	0.158	-0.549	-0.001	0.018	0.008	0.001	8.424	64.229	2.627	2.859	70.191	4.393	18.717	12.343
-12.283	-1.551	30.421	-32.971	0.557	-0.196	22.776	-23.172	7.641	30.869	22.447	-2.715	-16.902	0.438	-8.671	1.599	-0.374	1.161	15.300	-24.842	16.085	50.692	23.854	4.575	0.000	0.000	0.000	-0.154	-2.721	-4.242	-0.960	8.176	2.948	-21.333	0.000	0.000	-4.156	0.000	0.000	-0.161	0.039	0.007	-0.072	-0.030	0.024	-0.013	-0.030	0.013	0.000	0.000	0.000	-0.167	-0.004	-0.011	-0.067	-0.007	-0.000	-0.016	-0.002	0.008	0.000	0.000	0.000	-0.004	0.037	0.171	-0.006	0.101	-0.137	0.006	0.003	0.000	-0.000	-0.018	0.034	-0.000	-0.001	-0.011	0.003	0.002	-0.007	0.146	-0.484	-0.001	0.017	0.010	0.001	9.568	72.131	3.064	3.371	84.861	5.047	20.501	15.381
-12.281	-1.403	30.036	-32.223	0.389	-1.710	22.697	-21.471	7.175	30.552	22.431	-2.723	-17.070	0.295	-9.035	1.858	-0.512	1.657	15.267	-25.115	16.194	50.765	23.947	4.673	0.000	0.000	0.000	-0.159	-2.755	-4.223	-0.937	8.153	3.108	-20.232	0.000	0.000	-4.245	0.000	0.000	-0.169	0.044	0.008	-0.075	-0.028	0.023	-0.015	-0.030	0.013	0.000	0.000	0.000	-0.175	-0.003	-0.011	-0.070	-0.007	0.000	-0.017	-0.002	0.009	0.000	0.000	0.000	-0.005	0.042	0.164	-0.006	0.102	-0.138	0.006	0.003	0.000	-0.000	-0.019	0.034	-0.000	-0.001	-0.013	0.004	0.002	-0.007	0.126	-0.394	-0.000	0.015	0.013	0.001	10.383	77.206	3.408	3.796	98.217	5.567	21.321	18.486
-12.205	-1.259	29.680	-31.502	0.239	-2.895	22.579	-19.690	6.582	30.226	22.409	-2.741	-17.261	0.132	-9.388	2.124	-0.676	2.202	15.233	-25.294	16.241	50.824	24.034	4.735	0.000	0.000	0.000	-0.161	-2.810	-4.204	-0.931	8.121	3.254	-19.141	0.000	0.000	-4.322	0.000	0.000	-0.174	0.048	0.009	-0.077	-0.026	0.022	-0.015	-0.030	0.013	0.000	0.000	0.000	-0.181	-0.002	-0.012	-0.073	-0.008	0.000	-0.018	-0.002	0.009	0.000	0.000	0.000	-0.006	0.048	0.149	-0.006	0.101	-0.135	0.006	0.003	-0.000	-0.000	-0.021	0.034	-0.000	-0.001	-0.014	0.004	0.002	-0.007	0.103	-0.289	0.000	0.013	0.016	0.000	10.865	79.051	3.647	4.116	109.877	5.951	21.291	21.628
