Version	3																																																																																													
Starting Frame	36																																																																																													
Avg Step Width (cm)	5.35									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	136.482	137.334								136.908	136.908	98.3035	135.9155	98.2945																																																																																
R_Stride_Len	168.828	165.543								167.1855																																																																																				
R_Cadence	97.297	99.31								98.3035																																																																																				
L_Velocity	137.477	134.354								135.9155																																																																																				
L_Stride_Len	167.002	164.478								165.74																																																																																				
L_Cadence	98.63	97.959								98.2945																																																																																				
R_Support_Time	60.811	60								60.4055																																																																																				
L_Support_Time	59.589	59.184								59.3865																																																																																				
R_Non_Support	39.189	40								39.5945																																																																																				
L_Non_Support	40.411	40.816								40.6135																																																																																				
R_Step_Len	83.303	81.843								82.573																																																																																				
L_Step_Len	85.525	83.699	82.635							83.953																																																																																				
R_Dbl_Support	10.811	10.345								10.578																																																																																				
L_Dbl_Support	9.589	8.844								9.2165																																																																																				
RHS	23	171	316																																																																																											
LHS	99	245	392																																																																																											
RTO	113	258	407																																																																																											
LTO	39	186	332																																																																																											
RHS FP	171																																																																																													
LHS FP																																																																																														
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
-1.446	-0.225	34.244	-9.44	1.007	37.568	4.597	-17.332	8.655	29.135	14.697	-14.464	-5.916	3.304	3.89	-8.652	1.509	2.399	8.359	-5.359	9.478	43.365	20.451	7.37	0	0	0	-1.178	-1.121	-2.717	-0.435	14.474	-1.308	-7.793	10.506	0	-5.402	4.763	0	-0.023	0.003	0	-0.011	-0.006	0.001	-0.004	-0.002	0.002	0	0	0	-0.022	-0.003	0	-0.009	-0.002	0	-0.002	0	0	0	0	0	0	-0.002	0.008	0	0.003	-0.016	0.001	0.001	-0.003	0	-0.002	0.015	0	-0.001	-0.003	0	0	-0.002	-0.006	-0.092	-0.001	0.027	-0.003	0	0.019	0.003	0.032	0.002	0.018	0.002	0.004	0.002
