Version	3																																																																																													
Starting Frame	125																																																																																													
Avg Step Width (cm)	9.61									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	128.602	124.993								126.7975	126.7975	107.463	126.1276667	107.7403333																																																																																
R_Stride_Len	143.484	137.997								140.7405																																																																																				
R_Cadence	107.463	107.463								107.463																																																																																				
L_Velocity	130.849	126.083	121.451							126.1276667																																																																																				
L_Stride_Len	142.891	141.229	137.493							140.5376667																																																																																				
L_Cadence	109.091	107.463	106.667							107.7403333																																																																																				
R_Support_Time	61.94	62.687								62.3135																																																																																				
L_Support_Time	61.364	60.448	61.481							61.09766667																																																																																				
R_Non_Support	38.06	37.313								37.6865																																																																																				
L_Non_Support	38.636	39.552	38.519							38.90233333																																																																																				
R_Step_Len	70.593	71.186	67.954							69.911																																																																																				
L_Step_Len	72.298	70.042	69.539							70.62633333																																																																																				
R_Dbl_Support	13.433	11.94								12.6865																																																																																				
L_Dbl_Support	11.364	10.448	11.111							10.97433333																																																																																				
RHS	78	212	346																																																																																											
LHS	15	147	281	416																																																																																										
RTO	30	161	296																																																																																											
LTO	96	228	364																																																																																											
RHS FP	79	212																																																																																												
LHS FP																																																																																														
