Version	3																																																																																					
Starting Frame	0																																																																																					
Avg Step Width (cm)	16.64									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																								
R_Velocity	142.592	139.832								141.212	141.212	110.3465	142.491	109.9815																																																																								
R_Stride_Len	154.346	154.193								154.2695																																																																												
R_Cadence	110.769	109.924								110.3465																																																																												
L_Velocity	143.119	141.863								142.491																																																																												
L_Stride_Len	153.607	156.898								155.2525																																																																												
L_Cadence	112.5	107.463								109.9815																																																																												
R_Support_Time	65.385	64.885								65.135																																																																												
L_Support_Time	62.5	61.94								62.22																																																																												
R_Non_Support	34.615	35.115								34.865																																																																												
L_Non_Support	37.5	38.06								37.78																																																																												
R_Step_Len	76.715	77.454	74.749							76.306																																																																												
L_Step_Len	76.892	79.444								78.168																																																																												
R_Dbl_Support	13.846	14.504								14.175																																																																												
L_Dbl_Support	13.281	14.179								13.73																																																																												
RHS	98	228	359																																																																																			
LHS	36	164	298																																																																																			
RTO	53	183	313																																																																																			
LTO	116	247	379																																																																																			
RHS FP																																																																																						
LHS FP	164																																																																																					
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR
-9.358	3.322	30.747	-17.103	-2.181	24.225	19.97	16.767	1.184	29.874	17.514	0.112	-5.089	-3.202	24.508	-18.182	-7.294	61.683	33.996	35.773	-29.669	34.204	15.365	-0.74	0	0	0	2.68	5.398	2.684	-2.617	13.977	3.54	-1.762	1.067	0	3.081	58.708	0	-0.021	0.006	-0.003	-0.009	-0.001	-0.001	-0.002	0	-0.001	0	0	0	-0.016	0.001	0	-0.004	-0.003	0.001	-0.001	0	-0.001	0	0	0	-0.001	-0.013	-0.023	0	-0.002	-0.002	-0.001	0	-0.002	-0.002	-0.001	-0.007	0	0.001	-0.006	-0.001	0	-0.001	-0.051	-0.007	-0.001	0.016	-0.001	0.003
-8.501	3.418	29.418	-16.804	-1.897	23.08	19.277	16.348	1.624	30.607	17.404	0.851	-5.54	-3.03	25.612	-18.9	-7.434	61.328	34.98	35.605	-29.573	33.799	15.35	-1.419	0	0	0	2.679	5.342	2.636	-2.469	13.922	3.169	-1.776	1.061	0	3.1	56.488	0	-0.044	0.012	-0.007	-0.019	-0.002	-0.001	-0.005	0	-0.002	0	0	0	-0.033	0.002	0.001	-0.008	-0.005	0.003	-0.003	0	-0.003	0	0	0	-0.001	-0.021	-0.032	0	-0.004	-0.004	-0.001	-0.001	-0.003	-0.001	0	-0.015	0	0.003	-0.008	-0.002	-0.001	-0.002	-0.071	-0.011	-0.001	0.031	-0.003	0.006
-7.69	3.499	28.098	-16.512	-1.65	21.94	18.632	15.963	2.028	31.347	17.288	1.587	-5.993	-2.881	26.709	-19.568	-7.565	60.938	35.918	35.475	-29.463	33.407	15.341	-2.104	0	0	0	2.678	5.288	2.583	-2.326	13.867	2.794	-1.795	1.054	0	3.119	54.252	0	-0.066	0.017	-0.01	-0.029	-0.004	-0.002	-0.007	0	-0.003	0	0	0	-0.049	0.002	0.001	-0.013	-0.008	0.004	-0.005	0.001	-0.004	0	0	0	-0.002	-0.029	-0.04	0	-0.005	-0.005	-0.001	-0.001	-0.004	0	0.001	-0.022	-0.001	0.005	-0.009	-0.002	-0.001	-0.003	-0.09	-0.014	-0.001	0.045	-0.006	0.008
-6.953	3.569	26.795	-16.235	-1.451	20.812	18.068	15.635	2.384	32.102	17.163	2.315	-6.445	-2.761	27.786	-20.128	-7.676	60.481	36.733	35.367	-29.28	33.043	15.342	-2.801	0	0	0	2.679	5.239	2.522	-2.189	13.815	2.414	-1.824	1.046	0	3.138	51.987	0	-0.086	0.02	-0.012	-0.037	-0.005	-0.002	-0.01	0	-0.003	0	0	0	-0.063	0.003	0.002	-0.017	-0.009	0.005	-0.007	0.001	-0.005	0	0	0	-0.002	-0.035	-0.048	0.001	-0.006	-0.006	-0.002	-0.001	-0.005	0.001	0.003	-0.029	-0.001	0.007	-0.011	-0.003	-0.001	-0.004	-0.107	-0.017	-0.001	0.059	-0.01	0.009
-6.3	3.632	25.515	-15.997	-1.302	19.698	17.618	15.374	2.685	32.878	17.027	3.03	-6.892	-2.675	28.834	-20.536	-7.756	59.927	37.352	35.268	-28.961	32.715	15.357	-3.511	0	0	0	2.68	5.195	2.451	-2.062	13.768	2.028	-1.865	1.037	0	3.148	49.677	0	-0.103	0.022	-0.014	-0.045	-0.006	-0.003	-0.012	0	-0.004	0	0	0	-0.074	0.004	0.002	-0.021	-0.011	0.006	-0.009	0.002	-0.007	0	0	0	-0.002	-0.04	-0.054	0.001	-0.007	-0.008	-0.002	-0.001	-0.006	0.001	0.005	-0.036	-0.001	0.009	-0.012	-0.003	-0.002	-0.005	-0.121	-0.019	-0.001	0.07	-0.015	0.009
-5.724	3.69	24.258	-15.828	-1.197	18.6	17.3	15.177	2.927	33.682	16.881	3.73	-7.321	-2.62	29.847	-20.762	-7.796	59.259	37.715	35.181	-28.453	32.428	15.386	-4.233	0	0	0	2.68	5.16	2.37	-1.945	13.727	1.641	-1.917	1.03	0	3.136	47.307	0	-0.116	0.023	-0.015	-0.051	-0.007	-0.003	-0.013	0	-0.004	0	0	0	-0.083	0.005	0.002	-0.024	-0.012	0.006	-0.01	0.002	-0.008	0	0	0	-0.002	-0.044	-0.058	0.001	-0.007	-0.008	-0.002	-0.001	-0.007	0.002	0.007	-0.043	-0.001	0.011	-0.014	-0.004	-0.002	-0.006	-0.131	-0.021	-0.001	0.08	-0.021	0.009
-5.21	3.738	23.03	-15.752	-1.124	17.516	17.122	15.031	3.114	34.517	16.728	4.414	-7.72	-2.589	30.825	-20.79	-7.789	58.466	37.787	35.117	-27.727	32.182	15.429	-4.962	0	0	0	2.68	5.135	2.281	-1.835	13.696	1.26	-1.978	1.025	0	3.089	44.861	0	-0.126	0.023	-0.015	-0.056	-0.007	-0.003	-0.015	0	-0.005	0	0	0	-0.089	0.006	0.002	-0.027	-0.012	0.007	-0.012	0.003	-0.009	0	0	0	-0.002	-0.046	-0.062	0.001	-0.008	-0.009	-0.002	-0.001	-0.008	0.002	0.009	-0.049	-0.002	0.012	-0.015	-0.005	-0.002	-0.007	-0.138	-0.022	0	0.087	-0.027	0.008
-4.734	3.772	21.832	-15.772	-1.071	16.448	17.063	14.916	3.257	35.387	16.569	5.079	-8.081	-2.571	31.765	-20.625	-7.732	57.538	37.562	35.095	-26.787	31.976	15.484	-5.691	0	0	0	2.68	5.121	2.185	-1.726	13.677	0.889	-2.045	1.025	0	2.997	42.329	0	-0.133	0.023	-0.015	-0.06	-0.008	-0.003	-0.016	0	-0.005	0	0	0	-0.093	0.006	0.002	-0.03	-0.012	0.008	-0.013	0.003	-0.01	0	0	0	-0.002	-0.045	-0.064	0.001	-0.007	-0.009	-0.003	-0.001	-0.009	0.003	0.012	-0.054	-0.002	0.014	-0.016	-0.005	-0.003	-0.008	-0.141	-0.023	0	0.091	-0.036	0.006
-4.27	3.782	20.663	-15.874	-1.025	15.397	17.096	14.809	3.37	36.29	16.408	5.724	-8.399	-2.554	32.659	-20.292	-7.622	56.463	37.054	35.12	-25.659	31.803	15.55	-6.418	0	0	0	2.68	5.116	2.087	-1.609	13.675	0.524	-2.11	1.032	0	2.854	39.715	0	-0.137	0.022	-0.014	-0.062	-0.007	-0.002	-0.016	0	-0.005	0	0	0	-0.096	0.005	0.003	-0.033	-0.013	0.008	-0.015	0.004	-0.01	0	0	0	-0.002	-0.044	-0.065	0.001	-0.007	-0.01	-0.003	-0.001	-0.009	0.003	0.015	-0.057	-0.002	0.015	-0.018	-0.006	-0.003	-0.009	-0.142	-0.022	0	0.092	-0.046	0.003
-3.794	3.759	19.527	-16.038	-0.977	14.364	17.184	14.697	3.467	37.226	16.249	6.344	-8.675	-2.525	33.504	-19.825	-7.463	55.234	36.287	35.178	-24.38	31.655	15.623	-7.137	0	0	0	2.683	5.118	1.99	-1.479	13.693	0.161	-2.167	1.05	0	2.661	37.031	0	-0.138	0.021	-0.013	-0.063	-0.007	-0.002	-0.017	0	-0.005	0	0	0	-0.097	0.005	0.003	-0.035	-0.013	0.009	-0.016	0.004	-0.011	0	0	0	-0.002	-0.04	-0.066	0.001	-0.006	-0.009	-0.003	-0.001	-0.009	0.003	0.018	-0.059	-0.002	0.016	-0.021	-0.007	-0.003	-0.01	-0.141	-0.021	0.001	0.09	-0.06	0
