Version	2																																																																																													
Starting Frame	1																																																																																													
Avg Step Width (cm)	8.54									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	117.823	118.395								118.109	118.109	115.6645	117.226	115.2146667																																																																																
R_Stride_Len	122.53	122.942								122.736																																																																																				
R_Cadence	116.129	115.2								115.6645																																																																																				
L_Velocity	117.288	119.161	115.229							117.226																																																																																				
L_Stride_Len	122.456	123.462	121.069							122.329																																																																																				
L_Cadence	116.129	116.129	113.386							115.2146667																																																																																				
R_Support_Time	64.516	64								64.258																																																																																				
L_Support_Time	65.323	65.323	64.567							65.071																																																																																				
R_Non_Support	35.484	36								35.742																																																																																				
L_Non_Support	34.677	34.677	35.433							34.929																																																																																				
R_Step_Len	62.534	62.609	62.088							62.41033333																																																																																				
L_Step_Len	59.922	60.853	58.981							59.91866667																																																																																				
R_Dbl_Support	15.323	15.2								15.2615																																																																																				
L_Dbl_Support	13.71	14.516	14.173							14.133																																																																																				
RHS	78	202	327																																																																																											
LHS	16	140	264	391																																																																																										
RTO	33	158	282	409																																																																																										
LTO	97	221	346																																																																																											
RHS FP	78																																																																																													
LHS FP	140																																																																																													
