Version	2.0
Starting Frame	29
Avg Step Width (cm)	   9.24
R_Velocity	117.601	117.937
R_Stride_Len	122.436	121.170
R_Cadence	116.129	117.073
L_Velocity	113.425	118.825	116.489
L_Stride_Len	119.562	123.129	123.694
L_Cadence	115.200	116.129	115.200
R_Support_Time	63.710	64.228
L_Support_Time	67.200	65.323	64.800
R_Non_Support	36.290	35.772
L_Non_Support	32.800	34.677	35.200
R_Step_Len	60.122	62.996	61.036
L_Step_Len	59.441	60.134	62.658
R_Dbl_Support	15.323	13.821
L_Dbl_Support	16.800	15.323	15.200
RHS	106.000	230.000	353.000
LHS	41.000	166.000	290.000	415.000
RTO	62.000	185.000	309.000	436.000
LTO	125.000	247.000	371.000
RHS FP	106.000
LHS FP	290.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Null	R_Foot_Null	L_Foot_Orientation	L_Foot_Null	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
2.341	12.311	14.344	-3.596	-3.123	10.847	-2.965	0.052	-0.995	34.438	14.751	-15.287	-5.514	-2.442	-3.204	-19.801	3.598	41.560	8.382	-2.965	-19.345	41.438	22.245	-4.557				-4.707	-0.913	-2.379	4.298	2.005	-4.506	-6.193	0.000	0.000	-8.024	0.000	0.000	-0.018	0.002	-0.002	-0.007	-0.000	-0.000	-0.002	0.000	-0.000	0.000	0.000	0.000	-0.019	0.000	-0.001	-0.006	-0.001	-0.001	-0.002	0.001	-0.001	0.000	0.000	0.000	0.000	-0.007	-0.009	0.000	-0.002	0.002	-0.000	0.000	-0.002	-0.003	-0.008	-0.009	0.001	-0.005	-0.002	-0.001	0.000	-0.002	-0.012	0.001	0.002	0.034	0.011	0.001	0.173	0.004	0.212	0.087	0.016	0.011	0.047	0.010
2.662	12.301	13.591	-4.176	-3.152	10.621	-2.720	0.023	-0.487	34.662	14.964	-15.139	-5.701	-2.696	-1.424	-19.469	3.508	43.983	7.736	-2.710	-19.189	41.171	22.221	-5.045				-4.721	-0.838	-2.089	4.291	2.019	-4.348	-6.184	0.000	0.000	-8.663	0.000	0.000	-0.042	0.005	-0.006	-0.017	-0.001	-0.001	-0.005	0.000	-0.000	0.000	0.000	0.000	-0.043	0.000	-0.003	-0.013	-0.003	-0.002	-0.006	0.002	-0.001	0.000	0.000	0.000	0.000	-0.013	-0.015	0.000	-0.003	0.003	-0.000	0.000	-0.003	-0.006	-0.012	-0.019	0.001	-0.008	-0.003	-0.001	0.000	-0.003	-0.020	0.001	0.004	0.073	0.015	0.003	22.440	0.508	26.930	11.861	2.074	1.427	5.838	1.369
2.991	12.276	12.834	-4.753	-3.171	10.377	-2.497	-0.001	0.015	34.890	15.178	-14.991	-5.919	-2.907	0.391	-19.162	3.313	46.366	7.116	-2.456	-18.947	40.894	22.191	-5.525				-4.734	-0.762	-1.800	4.276	2.038	-4.180	-6.177	0.000	0.000	-9.323	0.000	0.000	-0.065	0.008	-0.009	-0.027	-0.001	-0.001	-0.007	0.000	-0.001	0.000	0.000	0.000	-0.066	0.001	-0.004	-0.020	-0.004	-0.003	-0.009	0.004	-0.002	0.000	0.000	0.000	0.000	-0.018	-0.021	0.000	-0.004	0.003	-0.000	0.000	-0.005	-0.008	-0.016	-0.030	0.002	-0.011	-0.004	-0.002	0.000	-0.005	-0.028	0.002	0.005	0.115	0.020	0.005	74.516	1.680	86.221	41.520	6.556	4.877	18.908	4.617
3.340	12.223	12.072	-5.319	-3.169	10.106	-2.318	-0.021	0.510	35.123	15.396	-14.836	-6.169	-3.052	2.249	-18.889	2.993	48.658	6.522	-2.197	-18.541	40.599	22.149	-5.997				-4.745	-0.684	-1.517	4.248	2.067	-3.992	-6.173	0.000	0.000	-10.016	0.000	0.000	-0.087	0.010	-0.011	-0.036	-0.002	-0.002	-0.010	0.000	-0.001	0.000	0.000	0.000	-0.087	0.003	-0.006	-0.026	-0.005	-0.004	-0.011	0.005	-0.003	0.000	0.000	0.000	0.000	-0.024	-0.027	0.000	-0.005	0.004	-0.000	0.000	-0.006	-0.010	-0.020	-0.041	0.002	-0.013	-0.005	-0.002	0.000	-0.006	-0.035	0.002	0.006	0.160	0.023	0.008	144.366	3.237	161.224	84.738	12.033	9.698	35.910	9.104
3.721	12.128	11.311	-5.856	-3.134	9.806	-2.212	-0.038	0.996	35.362	15.619	-14.665	-6.445	-3.112	4.153	-18.650	2.548	50.812	5.944	-1.931	-17.931	40.282	22.091	-6.468				-4.753	-0.600	-1.242	4.199	2.110	-3.788	-6.172	0.000	0.000	-10.742	0.000	0.000	-0.107	0.012	-0.014	-0.044	-0.002	-0.002	-0.012	0.000	-0.001	0.000	0.000	0.000	-0.105	0.006	-0.008	-0.031	-0.007	-0.005	-0.014	0.006	-0.004	0.000	0.000	0.000	0.000	-0.029	-0.032	0.001	-0.005	0.004	-0.001	0.001	-0.007	-0.011	-0.025	-0.053	0.002	-0.015	-0.006	-0.003	0.000	-0.007	-0.042	0.002	0.007	0.206	0.025	0.012	221.558	4.940	240.856	136.938	17.604	15.258	54.846	14.214
4.139	11.984	10.560	-6.340	-3.059	9.489	-2.204	-0.057	1.475	35.604	15.850	-14.467	-6.722	-3.073	6.093	-18.441	2.011	52.778	5.365	-1.656	-17.107	39.940	22.012	-6.946				-4.755	-0.507	-0.978	4.126	2.168	-3.574	-6.176	0.000	0.000	-11.489	0.000	0.000	-0.124	0.013	-0.016	-0.051	-0.003	-0.003	-0.013	0.000	-0.001	0.000	0.000	0.000	-0.120	0.009	-0.009	-0.035	-0.008	-0.006	-0.016	0.007	-0.005	0.000	0.000	0.000	0.000	-0.034	-0.037	0.001	-0.006	0.004	-0.001	0.001	-0.008	-0.012	-0.029	-0.065	0.003	-0.016	-0.006	-0.003	0.000	-0.008	-0.047	0.002	0.009	0.252	0.026	0.016	297.838	6.586	316.134	192.951	22.746	20.964	74.930	19.416
4.593	11.787	9.828	-6.737	-2.944	9.167	-2.315	-0.079	1.951	35.848	16.090	-14.238	-6.950	-2.933	8.049	-18.255	1.447	54.506	4.752	-1.374	-16.092	39.577	21.912	-7.439				-4.750	-0.401	-0.727	4.026	2.242	-3.361	-6.183	0.000	0.000	-12.236	0.000	0.000	-0.138	0.014	-0.017	-0.056	-0.003	-0.003	-0.015	0.000	-0.001	0.000	0.000	0.000	-0.131	0.012	-0.011	-0.038	-0.009	-0.006	-0.017	0.008	-0.006	0.000	0.000	0.000	0.000	-0.038	-0.040	0.001	-0.007	0.004	-0.001	0.001	-0.009	-0.013	-0.034	-0.077	0.003	-0.017	-0.007	-0.003	0.000	-0.009	-0.051	0.002	0.009	0.295	0.024	0.021	369.519	8.076	381.540	246.657	27.203	26.305	96.133	24.388
5.060	11.542	9.123	-7.020	-2.791	8.854	-2.555	-0.108	2.428	36.097	16.339	-13.978	-7.066	-2.695	9.990	-18.076	0.934	55.953	4.077	-1.088	-14.921	39.195	21.793	-7.954				-4.739	-0.279	-0.492	3.899	2.327	-3.151	-6.194	0.000	0.000	-12.961	0.000	0.000	-0.150	0.015	-0.018	-0.061	-0.003	-0.003	-0.016	0.000	-0.001	0.000	0.000	0.000	-0.138	0.016	-0.013	-0.040	-0.009	-0.006	-0.018	0.008	-0.006	0.000	0.000	0.000	-0.000	-0.043	-0.042	0.001	-0.008	0.004	-0.001	0.001	-0.010	-0.013	-0.038	-0.088	0.004	-0.017	-0.007	-0.004	0.000	-0.010	-0.055	0.002	0.010	0.331	0.021	0.025	434.171	9.404	435.713	290.709	30.853	30.998	118.259	28.987
5.507	11.259	8.444	-7.162	-2.612	8.561	-2.919	-0.149	2.911	36.353	16.595	-13.693	-7.015	-2.374	11.889	-17.891	0.534	57.093	3.334	-0.809	-13.627	38.802	21.659	-8.498				-4.721	-0.144	-0.272	3.753	2.422	-2.941	-6.206	0.000	0.000	-13.637	0.000	0.000	-0.159	0.016	-0.018	-0.064	-0.003	-0.004	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.142	0.019	-0.015	-0.041	-0.010	-0.006	-0.018	0.009	-0.006	0.000	0.000	0.000	-0.000	-0.047	-0.044	0.001	-0.008	0.004	-0.001	0.001	-0.011	-0.013	-0.041	-0.098	0.004	-0.017	-0.008	-0.004	0.000	-0.010	-0.057	0.002	0.011	0.359	0.018	0.028	488.917	10.573	477.764	317.101	33.622	35.011	140.645	33.249
5.887	10.958	7.786	-7.152	-2.425	8.292	-3.390	-0.202	3.403	36.619	16.852	-13.391	-6.764	-1.986	13.727	-17.706	0.276	57.921	2.551	-0.554	-12.245	38.400	21.517	-9.078				-4.699	0.002	-0.067	3.594	2.519	-2.718	-6.219	0.000	0.000	-14.242	0.000	0.000	-0.165	0.017	-0.018	-0.066	-0.004	-0.004	-0.017	0.000	-0.001	0.000	0.000	0.000	-0.144	0.022	-0.016	-0.042	-0.010	-0.005	-0.018	0.009	-0.006	0.000	0.000	0.000	-0.000	-0.050	-0.044	0.001	-0.008	0.003	-0.001	0.001	-0.011	-0.012	-0.043	-0.106	0.004	-0.015	-0.008	-0.004	0.000	-0.011	-0.058	0.002	0.011	0.378	0.013	0.030	531.534	11.577	507.415	321.006	35.401	38.309	162.156	37.223
