Version	3.0
Starting Frame	79
Avg Step Width (cm)	  11.90
R_Velocity	118.829	116.894
R_Stride_Len	147.719	146.849
R_Cadence	95.364	95.364
L_Velocity	117.982	115.915
L_Stride_Len	147.170	148.305
L_Cadence	96.000	93.506
R_Support_Time	58.940	58.940
L_Support_Time	64.000	62.987
R_Non_Support	41.060	41.060
L_Non_Support	36.000	37.013
R_Step_Len	76.797	76.476
L_Step_Len	70.922	70.373	71.830
R_Dbl_Support	11.921	13.245
L_Dbl_Support	9.333	9.740
RHS	67.000	218.000	369.000
LHS	142.000	292.000	446.000
RTO	156.000	307.000	459.000
LTO	85.000	238.000	389.000
RHS FP	
LHS FP	142.000	292.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-4.734	1.541	-11.415	-17.211	-1.414	7.652	15.576	1.718	5.821	39.965	16.683	10.461	-16.078	4.566	34.331	6.240	-2.930	9.374	0.381	1.644	-7.252	27.532	25.157	-13.120	0.000	0.000	0.000	-1.009	-3.677	4.792	1.244	11.924	0.054	-5.623	25.049	0.000	-7.644	-4.766	0.000	-0.026	-0.001	-0.001	-0.012	0.000	0.000	-0.003	-0.000	0.000	0.000	0.000	0.000	-0.026	-0.008	0.002	-0.010	-0.005	0.000	-0.003	-0.000	-0.000	0.000	0.000	0.000	0.000	0.003	-0.012	-0.000	0.001	-0.001	0.000	0.000	-0.002	-0.001	0.000	0.030	0.000	-0.003	-0.015	-0.000	0.000	-0.003	0.008	0.004	-0.006	-0.006	0.063	0.006	0.006	0.003	0.019	0.007	0.004	0.004	0.003	0.004
-5.257	1.035	-11.219	-16.907	-1.451	9.296	15.999	1.765	4.459	39.452	16.347	10.106	-15.789	4.836	34.413	6.386	-3.317	11.501	-0.243	1.448	-6.199	27.356	25.234	-13.265	0.000	0.000	0.000	-0.972	-3.883	4.647	1.509	11.695	0.075	-5.264	27.557	0.000	-7.554	-3.960	0.000	-0.059	-0.002	-0.001	-0.028	0.001	0.000	-0.008	-0.000	0.000	0.000	0.000	0.000	-0.056	-0.018	0.003	-0.021	-0.011	0.000	-0.006	-0.000	-0.001	0.000	0.000	0.000	0.000	0.001	-0.026	0.000	0.001	-0.001	0.000	0.000	-0.004	-0.001	-0.001	0.052	0.000	-0.003	-0.025	-0.000	-0.000	-0.005	0.021	0.005	-0.012	0.004	0.094	0.010	0.737	0.399	2.450	0.865	0.518	0.480	0.341	0.479
-5.762	0.523	-11.000	-16.603	-1.499	10.987	16.411	1.789	3.045	38.939	16.026	9.739	-15.439	5.103	34.413	6.532	-3.623	13.519	-0.930	1.218	-5.157	27.182	25.305	-13.400	0.000	0.000	0.000	-0.931	-4.095	4.512	1.766	11.461	0.095	-4.907	30.135	0.000	-7.468	-3.192	0.000	-0.090	-0.002	-0.001	-0.043	0.001	0.000	-0.012	-0.001	0.000	0.000	0.000	0.000	-0.086	-0.027	0.003	-0.031	-0.017	0.000	-0.009	-0.001	-0.001	0.000	0.000	0.000	0.000	-0.001	-0.040	0.000	0.001	-0.002	-0.000	-0.000	-0.006	-0.001	-0.003	0.073	0.000	-0.004	-0.035	-0.001	-0.000	-0.006	0.038	0.008	-0.019	0.025	0.115	0.013	2.203	1.429	8.014	2.684	1.768	1.531	1.102	1.572
-6.218	0.002	-10.736	-16.309	-1.548	12.762	16.784	1.768	1.535	38.425	15.733	9.352	-15.015	5.365	34.268	6.703	-3.825	15.325	-1.708	0.956	-4.142	27.014	25.363	-13.515	0.000	0.000	0.000	-0.882	-4.316	4.398	2.008	11.218	0.106	-4.565	32.839	0.000	-7.391	-2.492	0.000	-0.118	-0.002	-0.001	-0.057	0.001	0.000	-0.016	-0.001	0.000	0.000	0.000	0.000	-0.112	-0.035	0.003	-0.040	-0.023	-0.000	-0.012	-0.001	-0.001	0.000	0.000	0.000	-0.000	-0.003	-0.054	0.000	0.000	-0.002	-0.000	-0.000	-0.008	-0.002	-0.006	0.092	0.001	-0.004	-0.044	-0.001	-0.000	-0.008	0.060	0.010	-0.027	0.056	0.123	0.016	3.909	3.029	15.258	4.861	3.533	2.834	2.073	3.022
-6.577	-0.537	-10.398	-16.038	-1.586	14.652	17.096	1.689	-0.110	37.913	15.478	8.945	-14.571	5.619	33.946	6.958	-3.934	16.849	-2.594	0.695	-3.161	26.862	25.406	-13.600	0.000	0.000	0.000	-0.823	-4.545	4.306	2.231	10.968	0.087	-4.247	35.716	0.000	-7.330	-1.882	0.000	-0.143	-0.001	0.000	-0.070	0.000	0.000	-0.020	-0.002	-0.000	0.000	0.000	0.000	-0.135	-0.043	0.002	-0.047	-0.029	-0.001	-0.015	-0.002	-0.001	0.000	0.000	0.000	-0.001	-0.006	-0.066	0.000	-0.001	-0.003	-0.001	-0.000	-0.009	-0.002	-0.009	0.109	0.001	-0.005	-0.051	-0.001	-0.000	-0.009	0.085	0.013	-0.035	0.095	0.121	0.018	5.590	5.183	23.075	7.031	5.652	4.168	3.100	4.612
-6.793	-1.101	-9.958	-15.801	-1.608	16.683	17.331	1.548	-1.927	37.405	15.265	8.524	-14.209	5.859	33.442	7.367	-3.985	18.055	-3.575	0.473	-2.213	26.737	25.436	-13.651	0.000	0.000	0.000	-0.749	-4.776	4.233	2.433	10.716	0.012	-3.960	38.805	0.000	-7.289	-1.375	0.000	-0.164	-0.001	0.001	-0.081	-0.002	0.000	-0.023	-0.003	-0.001	0.000	0.000	0.000	-0.153	-0.048	0.000	-0.053	-0.032	-0.002	-0.016	-0.002	-0.001	0.000	0.000	0.000	-0.001	-0.009	-0.078	0.000	-0.002	-0.003	-0.001	-0.001	-0.011	-0.002	-0.013	0.124	0.001	-0.007	-0.056	-0.001	-0.000	-0.011	0.115	0.015	-0.043	0.139	0.109	0.020	7.107	7.914	30.608	8.952	8.117	5.382	4.083	6.178
-6.843	-1.686	-9.390	-15.601	-1.615	18.866	17.480	1.352	-3.945	36.901	15.094	8.106	-14.030	6.076	32.773	7.980	-4.022	18.940	-4.613	0.311	-1.296	26.654	25.455	-13.668	0.000	0.000	0.000	-0.659	-4.999	4.173	2.611	10.472	-0.134	-3.706	42.131	0.000	-7.264	-0.975	0.000	-0.181	0.000	0.002	-0.089	-0.004	0.000	-0.026	-0.004	-0.001	0.000	0.000	0.000	-0.166	-0.052	-0.003	-0.057	-0.035	-0.003	-0.018	-0.002	-0.001	0.000	0.000	0.000	-0.002	-0.014	-0.088	0.000	-0.004	-0.003	-0.001	-0.001	-0.012	-0.003	-0.018	0.135	0.001	-0.008	-0.060	-0.001	-0.000	-0.012	0.148	0.017	-0.051	0.183	0.091	0.021	8.329	11.256	37.382	10.585	11.042	6.393	4.961	7.644
-6.736	-2.268	-8.681	-15.436	-1.617	21.196	17.539	1.126	-6.181	36.396	14.961	7.704	-14.088	6.261	31.973	8.797	-4.075	19.529	-5.641	0.201	-0.413	26.625	25.466	-13.651	0.000	0.000	0.000	-0.558	-5.207	4.115	2.758	10.242	-0.340	-3.482	45.695	0.000	-7.253	-0.673	0.000	-0.194	0.001	0.003	-0.095	-0.006	0.000	-0.028	-0.005	-0.002	0.000	0.000	0.000	-0.176	-0.055	-0.006	-0.061	-0.035	-0.004	-0.019	-0.002	-0.001	0.000	0.000	0.000	-0.003	-0.019	-0.098	0.000	-0.007	-0.003	-0.001	-0.001	-0.014	-0.003	-0.023	0.142	0.001	-0.009	-0.062	-0.001	-0.000	-0.013	0.183	0.017	-0.058	0.221	0.069	0.022	9.159	15.267	43.301	12.012	14.578	7.183	5.706	8.969
-6.513	-2.809	-7.825	-15.303	-1.629	23.651	17.515	0.918	-8.630	35.886	14.864	7.335	-14.365	6.410	31.087	9.752	-4.155	19.869	-6.579	0.114	0.426	26.659	25.470	-13.602	0.000	0.000	0.000	-0.454	-5.391	4.047	2.866	10.037	-0.572	-3.284	49.466	0.000	-7.249	-0.451	0.000	-0.203	0.003	0.004	-0.099	-0.009	0.000	-0.030	-0.006	-0.002	0.000	0.000	0.000	-0.181	-0.055	-0.009	-0.063	-0.035	-0.005	-0.019	-0.002	-0.001	0.000	0.000	0.000	-0.005	-0.025	-0.106	0.000	-0.010	-0.003	-0.002	-0.001	-0.015	-0.004	-0.029	0.145	0.001	-0.011	-0.062	-0.001	-0.000	-0.014	0.221	0.016	-0.064	0.246	0.046	0.022	9.571	19.990	48.456	13.340	18.829	7.766	6.314	10.108
-6.235	-3.270	-6.826	-15.205	-1.668	26.199	17.424	0.790	-11.252	35.369	14.797	7.017	-14.782	6.522	30.165	10.737	-4.257	20.023	-7.351	0.026	1.209	26.758	25.470	-13.517	0.000	0.000	0.000	-0.360	-5.541	3.961	2.927	9.863	-0.781	-3.103	53.369	0.000	-7.249	-0.289	0.000	-0.208	0.004	0.005	-0.101	-0.012	-0.000	-0.031	-0.007	-0.003	0.000	0.000	0.000	-0.183	-0.053	-0.012	-0.064	-0.033	-0.006	-0.020	-0.002	-0.001	0.000	0.000	0.000	-0.007	-0.032	-0.113	0.000	-0.013	-0.002	-0.002	-0.001	-0.016	-0.004	-0.034	0.143	0.001	-0.012	-0.060	-0.001	-0.000	-0.014	0.258	0.011	-0.068	0.257	0.026	0.022	9.618	25.416	52.917	14.674	23.794	8.164	6.794	11.009
