Version	3																																																																																													
Starting Frame	91																																																																																													
Avg Step Width (cm)	14.99									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	142.872	135.648								139.26	139.26	119.504	142.2925	119.504																																																																																
R_Stride_Len	143.92	136.736								140.328																																																																																				
R_Cadence	120	119.008								119.504																																																																																				
L_Velocity	144.355	140.23								142.2925																																																																																				
L_Stride_Len	144.081	141.874								142.9775																																																																																				
L_Cadence	120	119.008								119.504																																																																																				
R_Support_Time	55.833	57.025								56.429																																																																																				
L_Support_Time	62.5	61.983								62.2415																																																																																				
R_Non_Support	44.167	42.975								43.571																																																																																				
L_Non_Support	37.5	38.017								37.7585																																																																																				
R_Step_Len	72.399	72.237	67.1							70.57866667																																																																																				
L_Step_Len	71.683	69.636								70.6595																																																																																				
R_Dbl_Support	11.667	11.57								11.6185																																																																																				
L_Dbl_Support	6.667	6.612								6.6395																																																																																				
RHS	94	214	335																																																																																											
LHS	33	153	274																																																																																											
RTO	41	161	283																																																																																											
LTO	108	228	353																																																																																											
RHS FP																																																																																														
LHS FP	33	153																																																																																												
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
