Version	3.0
Starting Frame	42
Avg Step Width (cm)	  12.27
R_Velocity	139.113	136.564
R_Stride_Len	140.383	138.896
R_Cadence	119.008	118.033
L_Velocity	137.648	135.568
L_Stride_Len	139.055	139.492
L_Cadence	118.033	117.073
R_Support_Time	57.025	57.377
L_Support_Time	62.295	61.789
R_Non_Support	42.975	42.623
L_Non_Support	37.705	38.211
R_Step_Len	69.932	69.773
L_Step_Len	70.451	69.123	69.719
R_Dbl_Support	11.570	12.295
L_Dbl_Support	7.377	7.317
RHS	57.000	178.000	300.000
LHS	117.000	239.000	362.000
RTO	3.000	126.000	248.000	371.000
LTO	71.000	193.000	315.000
RHS FP	
LHS FP	117.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-11.134	0.203	-11.302	-10.710	-1.061	9.318	10.159	-18.218	12.673	58.382	21.129	-3.660	-20.339	-3.085	29.424	-7.282	-0.750	3.381	18.106	-6.217	2.224	13.449	19.396	-25.300	0.000	0.000	0.000	-1.712	-3.044	2.873	-0.082	8.403	-1.578	-13.426	19.232	0.000	-8.328	-17.919	0.000	-0.029	0.003	0.000	-0.014	0.002	-0.001	-0.004	0.001	0.001	0.000	0.000	0.000	-0.028	0.004	0.004	-0.012	0.000	0.002	-0.004	-0.001	0.001	0.000	0.000	0.000	-0.001	-0.009	-0.044	0.000	-0.007	0.007	0.001	0.001	-0.003	0.000	0.022	-0.006	-0.000	0.007	0.003	0.001	0.000	-0.002	0.034	-0.032	-0.008	-0.013	-0.003	-0.005	0.013	0.003	0.002	0.007	0.003	0.003	0.002	0.003
-11.471	-0.424	-11.232	-10.968	-1.097	11.317	10.178	-18.244	11.661	58.543	21.180	-4.316	-20.691	-2.647	28.700	-7.197	-0.913	3.778	18.405	-5.922	0.842	13.484	19.414	-25.250	0.000	0.000	0.000	-1.727	-3.313	3.070	0.160	8.133	-1.507	-13.888	21.770	0.000	-8.275	-15.766	0.000	-0.065	0.009	-0.000	-0.033	0.005	-0.004	-0.009	0.002	0.002	0.000	0.000	0.000	-0.063	0.005	0.008	-0.026	-0.001	0.004	-0.008	-0.002	0.002	0.000	0.000	0.000	-0.002	-0.022	-0.085	0.001	-0.014	0.013	0.001	0.001	-0.006	0.000	0.035	-0.001	-0.001	0.011	0.001	0.001	0.000	-0.004	0.080	-0.060	-0.016	-0.001	-0.001	-0.008	1.614	0.339	0.277	0.902	0.397	0.370	0.275	0.424
-11.782	-1.029	-11.121	-11.275	-1.141	13.345	10.209	-18.227	10.567	58.683	21.226	-4.974	-21.042	-2.236	28.001	-7.000	-1.080	4.222	18.610	-5.759	-0.441	13.523	19.428	-25.188	0.000	0.000	0.000	-1.742	-3.577	3.262	0.375	7.876	-1.432	-14.372	24.368	0.000	-8.205	-13.646	0.000	-0.098	0.016	-0.001	-0.050	0.008	-0.006	-0.015	0.003	0.003	0.000	0.000	0.000	-0.096	0.005	0.013	-0.040	-0.002	0.007	-0.012	-0.003	0.003	0.000	0.000	0.000	-0.004	-0.036	-0.125	0.001	-0.020	0.019	0.001	0.001	-0.008	0.001	0.048	0.005	-0.001	0.015	-0.002	0.001	0.001	-0.006	0.140	-0.089	-0.025	0.009	0.002	-0.009	4.775	1.149	0.862	2.912	1.338	1.161	0.885	1.406
-12.047	-1.596	-10.931	-11.669	-1.180	15.427	10.229	-18.162	9.316	58.784	21.261	-5.633	-21.394	-1.876	27.347	-6.621	-1.250	4.746	18.668	-5.760	-1.534	13.570	19.438	-25.102	0.000	0.000	0.000	-1.755	-3.833	3.443	0.541	7.641	-1.346	-14.918	27.076	0.000	-8.113	-11.613	0.000	-0.129	0.022	-0.002	-0.067	0.010	-0.008	-0.020	0.004	0.004	0.000	0.000	0.000	-0.126	0.004	0.017	-0.052	-0.004	0.009	-0.016	-0.004	0.003	0.000	0.000	0.000	-0.006	-0.049	-0.163	0.002	-0.027	0.024	0.001	0.001	-0.011	0.001	0.058	0.012	-0.001	0.019	-0.004	0.002	0.001	-0.007	0.215	-0.118	-0.036	0.017	0.006	-0.009	8.296	2.299	1.567	5.437	2.652	2.111	1.675	2.723
-12.265	-2.118	-10.634	-12.163	-1.205	17.582	10.210	-18.062	7.848	58.826	21.277	-6.293	-21.723	-1.577	26.749	-6.033	-1.421	5.380	18.546	-5.909	-2.365	13.627	19.447	-24.981	0.000	0.000	0.000	-1.766	-4.077	3.609	0.652	7.433	-1.239	-15.552	29.934	0.000	-7.999	-9.720	0.000	-0.156	0.029	-0.003	-0.081	0.010	-0.010	-0.025	0.004	0.004	0.000	0.000	0.000	-0.152	0.003	0.020	-0.062	-0.007	0.011	-0.019	-0.005	0.004	0.000	0.000	0.000	-0.008	-0.063	-0.199	0.003	-0.034	0.029	0.002	0.001	-0.013	0.001	0.067	0.018	-0.001	0.022	-0.007	0.002	0.001	-0.008	0.304	-0.146	-0.047	0.024	0.011	-0.007	11.629	3.689	2.276	7.977	4.214	3.065	2.530	4.180
-12.449	-2.589	-10.210	-12.742	-1.208	19.825	10.127	-17.943	6.118	58.798	21.271	-6.951	-21.975	-1.339	26.212	-5.275	-1.586	6.137	18.241	-6.158	-2.890	13.693	19.456	-24.812	0.000	0.000	0.000	-1.775	-4.303	3.760	0.705	7.256	-1.097	-16.277	32.968	0.000	-7.867	-8.016	0.000	-0.178	0.036	-0.005	-0.094	0.010	-0.013	-0.029	0.004	0.005	0.000	0.000	0.000	-0.173	0.000	0.023	-0.070	-0.009	0.013	-0.022	-0.006	0.004	0.000	0.000	0.000	-0.010	-0.076	-0.231	0.003	-0.041	0.033	0.002	0.001	-0.015	0.001	0.073	0.025	-0.001	0.024	-0.010	0.002	0.001	-0.009	0.408	-0.174	-0.059	0.029	0.017	-0.005	14.687	5.256	2.924	10.208	6.003	3.948	3.384	5.608
-12.623	-3.006	-9.633	-13.364	-1.195	22.172	9.950	-17.819	4.103	58.690	21.237	-7.604	-22.071	-1.159	25.743	-4.453	-1.737	7.011	17.791	-6.453	-3.097	13.769	19.465	-24.581	0.000	0.000	0.000	-1.783	-4.501	3.899	0.702	7.116	-0.905	-17.075	36.181	0.000	-7.722	-6.538	0.000	-0.195	0.043	-0.007	-0.103	0.010	-0.015	-0.032	0.003	0.004	0.000	0.000	0.000	-0.190	-0.003	0.024	-0.076	-0.012	0.014	-0.023	-0.007	0.005	0.000	0.000	0.000	-0.013	-0.089	-0.259	0.004	-0.047	0.037	0.001	0.001	-0.017	0.001	0.077	0.031	-0.001	0.026	-0.014	0.003	0.001	-0.010	0.523	-0.202	-0.069	0.031	0.023	-0.002	17.683	6.980	3.485	11.942	8.084	4.705	4.214	6.833
-12.814	-3.373	-8.878	-13.956	-1.181	24.638	9.642	-17.694	1.800	58.497	21.173	-8.243	-21.945	-1.029	25.341	-3.704	-1.862	7.973	17.260	-6.751	-3.005	13.856	19.475	-24.272	0.000	0.000	0.000	-1.788	-4.660	4.027	0.650	7.021	-0.661	-17.909	39.557	0.000	-7.573	-5.304	0.000	-0.207	0.048	-0.009	-0.110	0.008	-0.017	-0.035	0.003	0.004	0.000	0.000	0.000	-0.201	-0.006	0.025	-0.080	-0.015	0.015	-0.025	-0.007	0.005	0.000	0.000	0.000	-0.015	-0.102	-0.282	0.004	-0.053	0.041	0.001	0.001	-0.019	0.001	0.077	0.038	-0.001	0.027	-0.018	0.003	0.001	-0.011	0.644	-0.228	-0.078	0.033	0.030	0.002	20.907	8.846	3.952	13.116	10.542	5.323	5.017	7.720
-13.053	-3.711	-7.937	-14.430	-1.186	27.234	9.168	-17.563	-0.761	58.215	21.077	-8.864	-21.569	-0.927	24.988	-3.152	-1.946	8.971	16.720	-7.021	-2.655	13.959	19.486	-23.882	0.000	0.000	0.000	-1.788	-4.776	4.147	0.570	6.968	-0.377	-18.734	43.048	0.000	-7.430	-4.313	0.000	-0.214	0.052	-0.011	-0.114	0.006	-0.019	-0.037	0.002	0.003	0.000	0.000	0.000	-0.208	-0.009	0.024	-0.081	-0.017	0.015	-0.025	-0.007	0.005	0.000	0.000	0.000	-0.018	-0.114	-0.299	0.005	-0.059	0.044	0.001	0.001	-0.021	0.002	0.073	0.044	-0.001	0.026	-0.022	0.003	0.001	-0.012	0.764	-0.254	-0.084	0.035	0.036	0.005	24.678	10.839	4.340	13.794	13.461	5.830	5.795	8.263
-13.372	-4.057	-6.821	-14.697	-1.235	29.954	8.507	-17.406	-3.516	57.841	20.948	-9.468	-20.977	-0.825	24.641	-2.866	-1.974	9.945	16.239	-7.246	-2.099	14.085	19.500	-23.415	0.000	0.000	0.000	-1.778	-4.853	4.261	0.491	6.946	-0.071	-19.501	46.571	0.000	-7.306	-3.548	0.000	-0.217	0.054	-0.014	-0.115	0.004	-0.020	-0.038	0.002	0.002	0.000	0.000	0.000	-0.211	-0.012	0.022	-0.081	-0.019	0.014	-0.025	-0.006	0.005	0.000	0.000	0.000	-0.021	-0.124	-0.311	0.006	-0.064	0.048	0.001	0.000	-0.022	0.001	0.067	0.049	-0.001	0.025	-0.025	0.003	0.002	-0.012	0.874	-0.278	-0.087	0.038	0.040	0.009	29.363	12.957	4.662	14.067	16.895	6.246	6.534	8.519
