Version	3																																																																																													
Starting Frame	11																																																																																													
Avg Step Width (cm)	12.01									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	143.275	133.606								138.4405	138.4405	103.227	142.4765	102.857																																																																																
R_Stride_Len	166.489	154.938								160.7135																																																																																				
R_Cadence	102.857	103.597								103.227																																																																																				
L_Velocity	145.274	139.679								142.4765																																																																																				
L_Stride_Len	168.702	162.519								165.6105																																																																																				
L_Cadence	102.857	102.857								102.857																																																																																				
R_Support_Time	60.714	61.151								60.9325																																																																																				
L_Support_Time	62.143	62.143								62.143																																																																																				
R_Non_Support	39.286	38.849								39.0675																																																																																				
L_Non_Support	37.857	37.857								37.857																																																																																				
R_Step_Len	83.803	81.59	74.009							79.80066667																																																																																				
L_Step_Len	84.898	80.928								82.913																																																																																				
R_Dbl_Support	11.429	11.511								11.47																																																																																				
L_Dbl_Support	11.429	11.429								11.429																																																																																				
RHS	131	271	410																																																																																											
LHS	60	200	340																																																																																											
RTO	76	216	356																																																																																											
LTO	8	147	287																																																																																											
RHS FP																																																																																														
LHS FP	60																																																																																													
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
-10.242	-0.05	32.285	-13.488	3.186	5.129	13.285	-14.302	-2.182	27.98	15.983	-16.123	-9.905	-3.04	-9.58	-16.162	0.439	23.701	24.86	-10.396	12.634	43.55	13.943	-2.272	0	0	0	0.759	-0.477	-5.974	-1.855	10.836	0.464	-9.373	-10.885	0	-1.448	36.615	0	-0.026	0.001	-0.001	-0.01	-0.002	0	-0.003	-0.001	0	0	0	0	-0.03	-0.001	-0.001	-0.014	-0.003	-0.001	-0.005	0	0.001	0	0	0	0	-0.005	0.009	0	-0.002	-0.005	0	0	-0.003	-0.002	-0.013	-0.001	0	-0.002	-0.008	0.001	0	-0.004	-0.005	0.012	-0.003	0.003	0.049	-0.021	0.018	0.003	0.001	0.003	0.011	0.011	0.006	0.004
-8.36	0.245	32.122	-15.517	3.417	6.478	13.463	-15.537	-2.014	27.907	15.994	-15.823	-10.169	-3.631	-8.743	-16.355	0.103	26.207	25.212	-10.206	9.102	43.018	13.751	-2.68	0	0	0	0.8	-0.532	-5.948	-2.162	10.659	0.423	-9.312	-9.283	0	-1.389	41.321	0	-0.056	-0.001	-0.002	-0.022	-0.005	-0.001	-0.007	-0.001	0.001	0	0	0	-0.068	-0.001	-0.003	-0.032	-0.006	-0.003	-0.012	0	0.002	0	0	0	0	-0.012	0.024	0	-0.002	-0.01	0.001	0	-0.004	-0.005	-0.023	-0.011	0	-0.006	-0.013	0.001	0	-0.006	-0.007	0.026	-0.003	0.025	0.076	-0.035	2.417	0.371	0.096	0.344	1.213	1.22	0.734	0.479
