Version	3																																																																																													
Starting Frame	59																																																																																													
Avg Step Width (cm)	9.25									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	131.376									131.376	131.376	96.644	129.9985	96.6615																																																																																
R_Stride_Len	162.466									162.466																																																																																				
R_Cadence	96.644									96.644																																																																																				
L_Velocity	133.798	126.199								129.9985																																																																																				
L_Stride_Len	163.887	157.686								160.7865																																																																																				
L_Cadence	97.959	95.364								96.6615																																																																																				
R_Support_Time	61.074									61.074																																																																																				
L_Support_Time	59.864	60.265								60.0645																																																																																				
R_Non_Support	38.926									38.926																																																																																				
L_Non_Support	40.136	39.735								39.9355																																																																																				
R_Step_Len	82.707	81.286								81.9965																																																																																				
L_Step_Len	81.179	76.4								78.7895																																																																																				
R_Dbl_Support	10.067									10.067																																																																																				
L_Dbl_Support	10.204	11.258								10.731																																																																																				
RHS	145	294																																																																																												
LHS	72	219	370																																																																																											
RTO	87	236	389																																																																																											
LTO	15	160	310																																																																																											
RHS FP																																																																																														
LHS FP	72																																																																																													
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
-6.982	0.207	37.699	-15.498	1.602	3.045	3.73	-18.389	8.096	32.055	15.537	-17.113	-8.183	-1.287	-12.243	-6.641	1.473	4.436	8.688	-3.81	9.088	47.703	19.338	9.891	0	0	0	-0.149	-0.58	-3.689	-1.039	14.479	2.344	-16.5	-25.615	0	-8.165	22.495	0	-0.029	0.008	0.004	-0.011	0.002	0.001	-0.003	0	0.002	0	0	0	-0.028	-0.004	0	-0.013	-0.001	0	-0.004	-0.001	0	0	0	0	0	0.025	-0.027	0	0.007	0.004	0.001	0.001	-0.002	0	-0.001	0.014	0	0.001	-0.001	0	0	-0.003	-0.029	-0.003	-0.008	-0.006	0.002	-0.007	0.001	0.002	0.003	0.002	0.026	0.006	0.027	0.004
