Version	3.0
Starting Frame	14
Avg Step Width (cm)	   6.55
R_Velocity	131.414
R_Stride_Len	162.461
R_Cadence	96.644
L_Velocity	133.091	128.766
L_Stride_Len	165.743	159.785
L_Cadence	96.000	97.297
R_Support_Time	60.403
L_Support_Time	60.000	60.811
R_Non_Support	39.597
L_Non_Support	40.000	39.189
R_Step_Len	83.952	80.670
L_Step_Len	81.791	79.116
R_Dbl_Support	9.396
L_Dbl_Support	11.333	10.811
RHS	146.000	295.000
LHS	70.000	220.000	368.000
RTO	87.000	236.000	386.000
LTO	11.000	160.000	310.000
RHS FP	
LHS FP	70.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-8.384	2.347	37.691	-13.522	1.783	4.128	4.438	-16.810	2.262	30.596	14.706	-16.912	-9.559	-1.283	-11.440	-6.424	1.005	7.186	10.502	-0.026	5.662	48.403	23.007	11.902	0.000	0.000	0.000	-0.413	-0.365	-4.137	-1.261	15.583	0.620	-16.403	-17.312	0.000	-5.712	28.425	0.000	-0.030	0.005	0.003	-0.012	0.001	0.001	-0.004	0.000	0.001	0.000	0.000	0.000	-0.029	0.000	-0.001	-0.014	0.001	-0.001	-0.004	-0.001	0.000	0.000	0.000	0.000	0.000	0.017	-0.014	0.000	0.003	0.000	0.001	0.001	-0.003	-0.000	-0.008	0.002	0.000	-0.002	0.006	0.000	0.000	-0.003	-0.007	-0.000	-0.006	-0.002	-0.016	-0.008	0.005	0.004	0.001	0.001	0.021	0.012	0.019	0.004
-8.466	2.421	37.470	-13.268	1.951	4.953	4.295	-16.873	1.208	30.591	14.736	-16.896	-10.182	-1.655	-11.370	-6.122	0.731	8.338	10.959	0.210	4.309	47.710	22.859	11.370	0.000	0.000	0.000	-0.331	-0.509	-4.197	-1.404	15.658	0.705	-16.130	-15.217	0.000	-5.569	30.856	0.000	-0.065	0.007	0.005	-0.026	0.000	0.001	-0.008	0.000	0.003	0.000	0.000	0.000	-0.063	0.001	-0.003	-0.031	0.002	-0.002	-0.009	-0.001	-0.000	0.000	0.000	0.000	0.000	0.013	-0.007	0.000	0.002	-0.002	0.001	0.001	-0.004	-0.001	-0.017	-0.007	0.000	-0.006	0.007	-0.000	-0.000	-0.005	-0.004	0.004	-0.007	0.006	-0.022	-0.015	0.652	0.448	0.184	0.158	2.555	1.524	2.363	0.450
-8.390	2.477	37.276	-13.136	2.164	5.823	4.141	-16.956	0.305	30.549	14.773	-16.845	-10.702	-2.046	-11.167	-5.851	0.449	9.651	11.319	0.501	3.007	46.954	22.680	10.821	0.000	0.000	0.000	-0.255	-0.650	-4.253	-1.549	15.756	0.762	-15.851	-13.228	0.000	-5.433	33.275	0.000	-0.096	0.008	0.006	-0.038	-0.001	0.001	-0.011	-0.000	0.004	0.000	0.000	0.000	-0.096	0.001	-0.005	-0.048	0.002	-0.004	-0.014	-0.001	-0.001	0.000	0.000	0.000	0.000	0.008	-0.001	0.000	0.001	-0.004	0.002	0.001	-0.006	-0.002	-0.025	-0.016	0.000	-0.010	0.008	-0.001	-0.000	-0.008	-0.000	0.008	-0.008	0.018	-0.028	-0.021	2.297	1.396	0.591	0.501	7.943	4.970	7.615	1.463
-8.229	2.531	37.109	-13.110	2.416	6.760	4.024	-17.038	-0.373	30.468	14.817	-16.748	-11.105	-2.466	-10.834	-5.609	0.166	11.143	11.564	0.783	1.722	46.144	22.469	10.258	0.000	0.000	0.000	-0.193	-0.781	-4.308	-1.704	15.867	0.792	-15.587	-11.397	0.000	-5.304	35.736	0.000	-0.125	0.008	0.007	-0.049	-0.004	0.000	-0.015	-0.001	0.005	0.000	0.000	0.000	-0.126	0.002	-0.007	-0.063	0.002	-0.005	-0.019	-0.002	-0.001	0.000	0.000	0.000	-0.000	0.003	0.007	0.000	0.000	-0.007	0.002	0.001	-0.007	-0.003	-0.033	-0.026	0.001	-0.014	0.009	-0.001	-0.000	-0.010	0.005	0.013	-0.007	0.034	-0.034	-0.027	4.735	2.492	1.111	0.925	14.031	9.441	14.563	2.766
-8.090	2.597	36.958	-13.142	2.686	7.763	3.988	-17.096	-0.792	30.349	14.866	-16.598	-11.384	-2.923	-10.376	-5.391	-0.113	12.825	11.693	0.990	0.425	45.290	22.228	9.681	0.000	0.000	0.000	-0.149	-0.896	-4.364	-1.879	15.975	0.800	-15.352	-9.750	0.000	-5.178	38.285	0.000	-0.149	0.005	0.006	-0.058	-0.007	0.000	-0.017	-0.001	0.005	0.000	0.000	0.000	-0.151	0.003	-0.008	-0.076	0.001	-0.006	-0.023	-0.003	-0.002	0.000	0.000	0.000	-0.000	-0.004	0.016	0.000	-0.001	-0.009	0.002	0.001	-0.008	-0.004	-0.040	-0.037	0.001	-0.017	0.009	-0.001	-0.001	-0.012	0.012	0.017	-0.006	0.055	-0.038	-0.033	7.773	3.454	1.672	1.356	19.026	14.202	22.322	4.154
-8.082	2.690	36.807	-13.161	2.944	8.811	4.058	-17.110	-0.955	30.200	14.918	-16.389	-11.546	-3.420	-9.799	-5.193	-0.386	14.697	11.724	1.064	-0.906	44.401	21.963	9.092	0.000	0.000	0.000	-0.129	-0.991	-4.424	-2.078	16.070	0.791	-15.154	-8.297	0.000	-5.041	40.951	0.000	-0.168	0.002	0.005	-0.065	-0.010	-0.001	-0.020	-0.002	0.006	0.000	0.000	0.000	-0.173	0.005	-0.009	-0.087	0.000	-0.007	-0.026	-0.003	-0.002	0.000	0.000	0.000	-0.001	-0.012	0.027	0.000	-0.003	-0.012	0.003	0.001	-0.009	-0.006	-0.047	-0.047	0.001	-0.020	0.009	-0.001	-0.001	-0.014	0.023	0.022	-0.004	0.080	-0.040	-0.038	11.211	4.130	2.223	1.749	22.023	18.635	30.129	5.513
-8.284	2.818	36.631	-13.104	3.159	9.871	4.243	-17.080	-0.893	30.031	14.968	-16.123	-11.606	-3.950	-9.113	-5.014	-0.657	16.754	11.691	0.983	-2.281	43.487	21.680	8.492	0.000	0.000	0.000	-0.134	-1.061	-4.489	-2.299	16.141	0.772	-14.996	-7.028	0.000	-4.881	43.747	0.000	-0.181	-0.002	0.002	-0.070	-0.014	-0.001	-0.021	-0.002	0.006	0.000	0.000	0.000	-0.190	0.006	-0.010	-0.096	-0.002	-0.008	-0.029	-0.004	-0.003	0.000	0.000	0.000	-0.001	-0.021	0.038	0.000	-0.004	-0.014	0.003	0.002	-0.010	-0.007	-0.052	-0.058	0.001	-0.023	0.009	-0.002	-0.001	-0.015	0.037	0.027	-0.002	0.108	-0.039	-0.042	14.806	4.496	2.732	2.078	22.949	22.366	37.334	6.749
-8.724	2.988	36.407	-12.932	3.303	10.903	4.529	-17.024	-0.652	29.857	15.012	-15.807	-11.582	-4.501	-8.326	-4.851	-0.936	18.981	11.630	0.763	-3.699	42.553	21.385	7.884	0.000	0.000	0.000	-0.163	-1.107	-4.556	-2.539	16.183	0.748	-14.874	-5.926	0.000	-4.684	46.658	0.000	-0.190	-0.007	-0.001	-0.073	-0.018	-0.002	-0.022	-0.003	0.006	0.000	0.000	0.000	-0.203	0.008	-0.010	-0.102	-0.004	-0.009	-0.031	-0.004	-0.003	0.000	0.000	0.000	-0.001	-0.031	0.049	0.000	-0.006	-0.017	0.003	0.002	-0.011	-0.008	-0.056	-0.070	0.001	-0.025	0.007	-0.002	-0.001	-0.017	0.054	0.030	0.001	0.140	-0.036	-0.045	18.257	4.605	3.182	2.337	22.271	25.408	43.528	7.797
-9.381	3.199	36.118	-12.637	3.360	11.867	4.887	-16.959	-0.286	29.696	15.048	-15.449	-11.488	-5.057	-7.445	-4.704	-1.231	21.360	11.571	0.454	-5.143	41.603	21.082	7.274	0.000	0.000	0.000	-0.213	-1.130	-4.623	-2.791	16.194	0.724	-14.779	-4.969	0.000	-4.440	49.645	0.000	-0.194	-0.012	-0.006	-0.074	-0.021	-0.003	-0.023	-0.003	0.006	0.000	0.000	0.000	-0.211	0.010	-0.010	-0.106	-0.006	-0.010	-0.033	-0.004	-0.004	0.000	0.000	0.000	-0.001	-0.042	0.060	0.001	-0.008	-0.019	0.003	0.002	-0.011	-0.009	-0.058	-0.081	0.001	-0.027	0.006	-0.002	-0.001	-0.018	0.074	0.033	0.003	0.174	-0.031	-0.046	21.231	4.527	3.568	2.544	20.610	28.063	48.575	8.608
-10.183	3.450	35.753	-12.240	3.328	12.725	5.272	-16.893	0.153	29.569	15.075	-15.064	-11.337	-5.603	-6.473	-4.570	-1.551	23.865	11.538	0.121	-6.577	40.640	20.777	6.668	0.000	0.000	0.000	-0.281	-1.131	-4.685	-3.045	16.177	0.705	-14.702	-4.137	0.000	-4.147	52.642	0.000	-0.195	-0.016	-0.011	-0.074	-0.024	-0.004	-0.023	-0.003	0.005	0.000	0.000	0.000	-0.216	0.013	-0.009	-0.107	-0.008	-0.011	-0.034	-0.004	-0.004	0.000	0.000	0.000	-0.002	-0.052	0.070	0.001	-0.009	-0.022	0.003	0.002	-0.011	-0.010	-0.059	-0.092	0.001	-0.028	0.005	-0.002	-0.001	-0.019	0.095	0.033	0.005	0.209	-0.025	-0.044	23.545	4.317	3.894	2.719	18.450	30.606	52.130	9.189
