Version	3.0
Starting Frame	73
Avg Step Width (cm)	  10.54
R_Velocity	133.554	133.349
R_Stride_Len	142.859	139.661
R_Cadence	113.386	114.286
L_Velocity	135.061	130.038
L_Stride_Len	143.298	141.716
L_Cadence	113.386	109.924
R_Support_Time	62.205	61.905
L_Support_Time	62.205	61.069
R_Non_Support	37.795	38.095
L_Non_Support	37.795	38.931
R_Step_Len	73.217	69.580
L_Step_Len	69.642	70.081	72.136
R_Dbl_Support	12.598	11.905
L_Dbl_Support	12.598	11.450
RHS	48.000	175.000	301.000
LHS	111.000	238.000	369.000
RTO	127.000	253.000	383.000
LTO	64.000	190.000	318.000
RHS FP	
LHS FP	111.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-9.368	-7.055	-7.031	-17.812	-4.914	40.089	21.569	2.960	-24.918	39.869	13.059	-9.458	5.952	6.360	16.347	-17.899	2.092	9.953	13.483	9.813	-2.824	31.356	14.958	-16.113	0.000	0.000	0.000	1.056	-4.013	6.078	4.697	3.573	1.540	-2.396	72.568	0.000	1.213	-2.258	0.000	-0.024	-0.002	0.001	-0.007	-0.003	0.001	-0.003	0.000	-0.001	0.000	0.000	0.000	-0.023	0.004	-0.001	-0.009	0.000	-0.000	-0.002	0.000	-0.000	0.000	0.000	0.000	-0.001	-0.007	-0.013	0.000	-0.004	0.005	-0.000	-0.000	-0.002	-0.000	-0.007	-0.017	0.000	-0.002	0.002	-0.000	-0.000	-0.002	0.032	-0.023	-0.002	-0.026	0.001	0.001	0.003	0.002	0.002	0.015	0.024	0.004	0.003	0.006
-8.491	-7.217	-5.625	-18.576	-4.834	42.104	21.459	2.551	-25.116	38.811	12.945	-9.515	6.520	6.484	15.528	-18.551	2.127	9.638	13.499	9.813	-2.437	31.742	15.008	-15.907	0.000	0.000	0.000	1.103	-3.883	5.841	4.761	3.564	1.380	-2.703	73.452	0.000	1.234	-2.120	0.000	-0.050	-0.003	0.002	-0.014	-0.005	0.001	-0.006	0.001	-0.001	0.000	0.000	0.000	-0.049	0.008	-0.003	-0.020	0.000	-0.001	-0.005	0.000	-0.001	0.000	0.000	0.000	-0.001	-0.007	-0.030	-0.000	-0.007	0.011	-0.001	-0.000	-0.004	-0.000	-0.010	-0.023	0.000	-0.003	0.002	-0.001	-0.000	-0.003	0.074	-0.048	-0.002	-0.035	0.001	0.002	0.417	0.218	0.253	2.048	3.097	0.571	0.326	0.841
-7.628	-7.343	-4.213	-19.337	-4.732	44.072	21.401	2.162	-25.175	37.775	12.839	-9.569	7.043	6.591	14.716	-19.170	2.147	9.324	13.530	9.824	-2.057	32.141	15.059	-15.704	0.000	0.000	0.000	1.146	-3.753	5.592	4.808	3.558	1.220	-3.004	74.135	0.000	1.253	-1.985	0.000	-0.074	-0.002	0.003	-0.021	-0.006	0.002	-0.009	0.002	-0.002	0.000	0.000	0.000	-0.074	0.012	-0.004	-0.030	0.000	-0.001	-0.008	0.000	-0.002	0.000	0.000	0.000	-0.001	-0.007	-0.046	-0.000	-0.010	0.017	-0.001	-0.000	-0.005	-0.000	-0.012	-0.028	0.000	-0.003	0.002	-0.001	-0.000	-0.004	0.115	-0.068	0.000	-0.042	0.001	0.003	1.315	0.791	0.790	6.980	10.103	1.922	1.053	2.835
-6.797	-7.412	-2.798	-20.103	-4.621	45.940	21.424	1.818	-24.994	36.784	12.746	-9.617	7.485	6.667	13.912	-19.726	2.147	9.008	13.588	9.861	-1.690	32.560	15.108	-15.508	0.000	0.000	0.000	1.182	-3.622	5.321	4.826	3.560	1.063	-3.297	74.470	0.000	1.272	-1.856	0.000	-0.096	-0.001	0.004	-0.027	-0.008	0.002	-0.012	0.003	-0.003	0.000	0.000	0.000	-0.097	0.014	-0.005	-0.039	-0.000	-0.001	-0.010	0.000	-0.002	0.000	0.000	0.000	-0.001	-0.006	-0.061	-0.000	-0.012	0.022	-0.001	-0.000	-0.007	-0.000	-0.014	-0.031	0.000	-0.004	0.002	-0.001	-0.000	-0.004	0.154	-0.084	0.003	-0.049	0.001	0.004	2.499	1.724	1.453	13.859	19.447	3.782	1.985	5.619
-6.015	-7.409	-1.383	-20.866	-4.515	47.659	21.527	1.546	-24.536	35.856	12.670	-9.662	7.813	6.699	13.118	-20.188	2.124	8.692	13.679	9.940	-1.341	33.002	15.156	-15.318	0.000	0.000	0.000	1.210	-3.492	5.023	4.805	3.569	0.910	-3.585	74.376	0.000	1.288	-1.734	0.000	-0.114	0.002	0.005	-0.031	-0.009	0.003	-0.014	0.004	-0.003	0.000	0.000	0.000	-0.117	0.015	-0.006	-0.047	-0.001	-0.002	-0.012	0.001	-0.002	0.000	0.000	0.000	-0.001	-0.005	-0.075	-0.000	-0.014	0.027	-0.001	-0.001	-0.008	-0.000	-0.016	-0.033	0.000	-0.005	0.002	-0.001	-0.000	-0.005	0.191	-0.093	0.007	-0.053	0.001	0.004	3.887	3.066	2.133	21.804	29.958	5.904	2.980	8.892
-5.296	-7.324	0.027	-21.607	-4.423	49.193	21.687	1.369	-23.811	35.005	12.614	-9.708	7.999	6.677	12.338	-20.526	2.076	8.382	13.803	10.068	-1.006	33.463	15.201	-15.135	0.000	0.000	0.000	1.230	-3.362	4.697	4.736	3.586	0.765	-3.870	73.833	0.000	1.303	-1.620	0.000	-0.128	0.005	0.005	-0.035	-0.009	0.003	-0.016	0.005	-0.003	0.000	0.000	0.000	-0.133	0.015	-0.006	-0.054	-0.002	-0.002	-0.014	0.001	-0.003	0.000	0.000	0.000	-0.001	-0.004	-0.088	-0.000	-0.016	0.031	-0.001	-0.001	-0.009	-0.000	-0.018	-0.034	0.000	-0.005	0.001	-0.001	-0.001	-0.006	0.222	-0.096	0.012	-0.055	0.001	0.005	5.428	4.901	2.746	30.018	40.669	8.086	3.940	12.343
-4.650	-7.159	1.429	-22.297	-4.353	50.519	21.862	1.296	-22.855	34.245	12.581	-9.763	8.024	6.598	11.572	-20.712	2.010	8.085	13.951	10.237	-0.677	33.938	15.242	-14.955	0.000	0.000	0.000	1.242	-3.237	4.343	4.619	3.610	0.631	-4.157	72.860	0.000	1.315	-1.515	0.000	-0.137	0.008	0.005	-0.037	-0.009	0.004	-0.017	0.006	-0.003	0.000	0.000	0.000	-0.146	0.014	-0.006	-0.059	-0.002	-0.002	-0.016	0.001	-0.003	0.000	0.000	0.000	0.000	-0.002	-0.098	-0.000	-0.017	0.034	-0.001	-0.001	-0.010	-0.000	-0.019	-0.033	0.000	-0.005	0.001	-0.001	-0.001	-0.007	0.248	-0.093	0.016	-0.054	0.000	0.005	7.076	7.344	3.257	38.038	50.806	10.180	4.804	15.608
-4.083	-6.922	2.816	-22.901	-4.306	51.629	22.008	1.319	-21.709	33.586	12.572	-9.838	7.878	6.462	10.817	-20.725	1.931	7.805	14.107	10.419	-0.342	34.422	15.279	-14.775	0.000	0.000	0.000	1.249	-3.117	3.967	4.456	3.638	0.507	-4.450	71.494	0.000	1.321	-1.418	0.000	-0.143	0.011	0.005	-0.039	-0.009	0.004	-0.018	0.007	-0.003	0.000	0.000	0.000	-0.155	0.012	-0.007	-0.062	-0.003	-0.002	-0.016	0.001	-0.003	0.000	0.000	0.000	0.001	0.000	-0.104	-0.000	-0.017	0.037	-0.001	-0.001	-0.010	-0.000	-0.020	-0.030	0.000	-0.006	-0.000	-0.001	-0.001	-0.007	0.266	-0.084	0.020	-0.051	-0.000	0.006	8.777	10.523	3.680	45.640	59.642	12.079	5.542	18.352
-3.592	-6.625	4.186	-23.390	-4.280	52.525	22.079	1.419	-20.403	33.034	12.588	-9.942	7.569	6.277	10.070	-20.560	1.844	7.542	14.251	10.574	0.013	34.908	15.310	-14.594	0.000	0.000	0.000	1.253	-3.005	3.573	4.252	3.666	0.393	-4.751	69.776	0.000	1.321	-1.327	0.000	-0.145	0.013	0.005	-0.039	-0.008	0.005	-0.018	0.007	-0.003	0.000	0.000	0.000	-0.161	0.010	-0.007	-0.065	-0.004	-0.002	-0.017	0.001	-0.004	0.000	0.000	0.000	0.002	0.003	-0.108	-0.000	-0.016	0.038	-0.001	-0.001	-0.010	-0.000	-0.021	-0.026	0.000	-0.006	-0.002	-0.002	-0.001	-0.007	0.275	-0.071	0.024	-0.045	-0.001	0.006	10.461	14.545	4.049	52.625	66.471	13.677	6.137	20.416
-3.170	-6.282	5.533	-23.746	-4.269	53.216	22.042	1.576	-18.959	32.590	12.629	-10.084	7.121	6.050	9.327	-20.230	1.757	7.291	14.367	10.662	0.396	35.395	15.335	-14.409	0.000	0.000	0.000	1.256	-2.902	3.170	4.015	3.692	0.290	-5.061	67.743	0.000	1.313	-1.237	0.000	-0.144	0.014	0.005	-0.038	-0.008	0.005	-0.018	0.008	-0.003	0.000	0.000	0.000	-0.164	0.007	-0.006	-0.066	-0.005	-0.002	-0.017	0.001	-0.004	0.000	0.000	0.000	0.003	0.007	-0.109	-0.000	-0.015	0.038	-0.001	-0.001	-0.011	-0.000	-0.022	-0.020	0.000	-0.006	-0.003	-0.002	-0.001	-0.008	0.274	-0.055	0.027	-0.036	-0.002	0.006	12.002	19.458	4.402	58.648	70.793	14.858	6.582	21.809
