Version	3																																																																																													
Starting Frame	66																																																																																													
Avg Step Width (cm)	13.57									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																																
R_Velocity	137.002	138.663								137.8325	137.8325	120.555	137.876	121.014																																																																																
R_Stride_Len	138.918	134.928								136.923																																																																																				
R_Cadence	118.033	123.077								120.555																																																																																				
L_Velocity	139.816	135.867	137.945							137.876																																																																																				
L_Stride_Len	140.929	135.173	135.983							137.3616667																																																																																				
L_Cadence	120	121.008	122.034							121.014																																																																																				
R_Support_Time	60.656	61.538								61.097																																																																																				
L_Support_Time	62.5	63.025	61.864							62.463																																																																																				
R_Non_Support	39.344	38.462								38.903																																																																																				
L_Non_Support	37.5	36.975	38.136							37.537																																																																																				
R_Step_Len	72.188	70.177	69.932							70.76566667																																																																																				
L_Step_Len	68.741	64.996	66.051							66.596																																																																																				
R_Dbl_Support	13.115	11.966								12.5405																																																																																				
L_Dbl_Support	13.333	10.924	11.864							12.04033333																																																																																				
RHS	94	216	333																																																																																											
LHS	35	155	274	392																																																																																										
RTO	51	168	288	406																																																																																										
LTO	110	230	347																																																																																											
RHS FP	95	215																																																																																												
LHS FP	274																																																																																													
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
