Version	3																																																																																													
Starting Frame	34																																																																																													
Avg Step Width (cm)	17.01									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence		ave veloc																																																																														
R_Velocity	135.199	136.445	133.946							135.1966667	135.1966667	123.467	136.2405	123.6075		1.4																																																																														
R_Stride_Len	135.772	133.215	126.566							131.851																																																																																				
R_Cadence	121.008	123.077	126.316							123.467																																																																																				
L_Velocity	136.28	136.201								136.2405																																																																																				
L_Stride_Len	133.305	131.735								132.52																																																																																				
L_Cadence	123.077	124.138								123.6075																																																																																				
R_Support_Time	63.025	61.538	62.281							62.28133333																																																																																				
L_Support_Time	60.684	62.069								61.3765																																																																																				
R_Non_Support	36.975	38.462	37.719							37.71866667																																																																																				
L_Non_Support	39.316	37.931								38.6235																																																																																				
R_Step_Len	68.069	67.979	62.81							66.286																																																																																				
L_Step_Len	67.703	65.236	63.756							65.565																																																																																				
R_Dbl_Support	11.765	11.111	12.281							11.719																																																																																				
L_Dbl_Support	11.966	11.207								11.5865																																																																																				
RHS	11	130	247	361																																																																																										
LHS	72	189	305																																																																																											
RTO	86	202	318																																																																																											
LTO	25	143	261	376																																																																																										
RHS FP	130	247																																																																																												
LHS FP	72																																																																																													
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS
-14.468	2.022	31.954	-15.261	-2.921	23.646	6.373	7.647	-1.147	32.584	25.698	-11.547	-11.213	-3.35	-1.958	-4.406	-0.482	1.392	8.159	-9.046	9.325	48.417	20.875	-4.523	0	0	0	1.17	4.301	-7.263	-4.922	13.316	-1.191	-22.43	4.873	0	-5.633	8.773	0	-0.025	0.003	0	-0.01	-0.009	0.003	-0.002	-0.005	0	0	0	0	-0.021	0	0	-0.008	0	0.001	-0.002	0	0.001	0	0	0	-0.001	0.003	0.045	0	0.012	-0.035	0	0	0	0	0.007	0.003	0	0.002	0.001	0	0	-0.001	0.02	-0.318	0	0.007	0.001	-0.001	0.005	0.036	0.002	0.001	0.025	0.004	0.027	0.003
-13.866	1.889	31.383	-15.818	-2.432	19.571	6.225	7.827	-0.979	32.233	25.729	-11.843	-11.429	-3.08	-3.093	-4.631	-0.423	0.912	8.551	-9.047	9.232	48.883	20.943	-4.339	0	0	0	1.231	4.234	-7.308	-4.672	13.203	-1.046	-22.698	1.175	0	-5.792	9.475	0	-0.056	0.007	0.001	-0.023	-0.02	0.007	-0.005	-0.012	0.001	0	0	0	-0.046	0.003	0	-0.019	0.001	0.001	-0.005	-0.001	0.001	0	0	0	-0.002	0.003	0.081	-0.001	0.021	-0.061	0.001	0	0	0	0.008	-0.005	0	0.003	0.004	0.001	0.001	-0.002	0.035	-0.534	0	-0.012	0.003	-0.001	0.631	4.498	0.28	0.167	3.168	0.575	3.504	0.381
-13.279	1.744	30.819	-16.462	-2.014	15.492	6.203	7.979	-0.806	31.888	25.757	-12.135	-11.653	-2.815	-4.192	-4.825	-0.372	0.481	8.954	-9.008	9.142	49.336	21.005	-4.149	0	0	0	1.293	4.172	-7.346	-4.417	13.097	-0.881	-22.838	-2.531	0	-5.948	10.19	0	-0.086	0.01	0.002	-0.036	-0.029	0.01	-0.008	-0.019	0.002	0	0	0	-0.071	0.005	-0.001	-0.029	0.002	0.002	-0.008	-0.001	0.002	0	0	0	-0.003	0.003	0.116	-0.001	0.03	-0.087	0.001	0.001	0	0	0.009	-0.014	-0.001	0.004	0.008	0.001	0.001	-0.003	0.046	-0.721	0	-0.029	0.004	-0.001	1.998	14.084	0.886	0.541	10.013	1.892	11.669	1.268
-12.718	1.582	30.269	-17.157	-1.674	11.477	6.305	8.086	-0.631	31.554	25.78	-12.421	-11.899	-2.561	-5.226	-4.952	-0.337	0.141	9.364	-8.908	9.062	49.766	21.058	-3.952	0	0	0	1.358	4.117	-7.372	-4.158	13.003	-0.678	-22.824	-6.183	0	-6.096	10.926	0	-0.112	0.013	0.002	-0.049	-0.037	0.013	-0.012	-0.024	0.003	0	0	0	-0.094	0.008	-0.001	-0.038	0.003	0.002	-0.01	-0.001	0.003	0	0	0	-0.004	0.003	0.149	-0.001	0.038	-0.111	0.001	0.001	0	0	0.009	-0.024	-0.001	0.004	0.011	0.001	0.001	-0.004	0.053	-0.867	0	-0.045	0.004	-0.001	3.66	25.474	1.628	1.034	18.678	3.616	22.758	2.459
-12.189	1.402	29.74	-17.859	-1.415	7.6	6.506	8.153	-0.452	31.234	25.796	-12.697	-12.18	-2.329	-6.173	-4.982	-0.326	-0.073	9.776	-8.744	8.996	50.165	21.096	-3.747	0	0	0	1.424	4.07	-7.38	-3.896	12.925	-0.43	-22.642	-9.714	0	-6.233	11.693	0	-0.136	0.016	0.002	-0.061	-0.042	0.015	-0.016	-0.03	0.004	0	0	0	-0.114	0.011	-0.001	-0.047	0.004	0.003	-0.013	-0.002	0.004	0	0	0	-0.004	0.003	0.179	-0.001	0.046	-0.133	0.001	0.001	0	0	0.008	-0.034	-0.001	0.004	0.015	0.002	0.001	-0.005	0.055	-0.963	0	-0.059	0.001	-0.001	5.284	36.176	2.394	1.587	27.887	5.474	35.266	3.794
-11.685	1.209	29.243	-18.517	-1.235	3.944	6.762	8.203	-0.27	30.932	25.802	-12.962	-12.499	-2.132	-7.02	-4.904	-0.344	-0.135	10.184	-8.515	8.947	50.531	21.118	-3.54	0	0	0	1.491	4.03	-7.368	-3.639	12.864	-0.133	-22.294	-13.057	0	-6.353	12.498	0	-0.156	0.019	0.003	-0.071	-0.045	0.017	-0.019	-0.034	0.004	0	0	0	-0.132	0.014	-0.002	-0.054	0.006	0.003	-0.015	-0.002	0.004	0	0	0	-0.005	0.004	0.205	-0.002	0.052	-0.152	0.002	0.001	0	0	0.007	-0.046	-0.001	0.004	0.018	0.002	0.001	-0.006	0.049	-1	0	-0.07	-0.003	-0.001	6.656	44.542	3.113	2.164	36.812	7.266	47.753	5.147
-11.198	1.006	28.795	-19.085	-1.128	0.601	7.02	8.254	-0.081	30.646	25.797	-13.216	-12.852	-1.981	-7.759	-4.714	-0.394	-0.033	10.581	-8.229	8.914	50.86	21.123	-3.336	0	0	0	1.559	3.994	-7.337	-3.395	12.823	0.208	-21.794	-16.138	0	-6.451	13.35	0	-0.171	0.022	0.003	-0.08	-0.047	0.018	-0.022	-0.037	0.004	0	0	0	-0.147	0.018	-0.003	-0.06	0.007	0.003	-0.016	-0.002	0.005	0	0	0	-0.006	0.004	0.226	-0.002	0.058	-0.168	0.002	0.001	0	0	0.004	-0.059	-0.001	0.004	0.022	0.002	0.001	-0.007	0.035	-0.972	0	-0.078	-0.009	0	7.647	49.899	3.717	2.741	45.004	8.83	58.819	6.434
-10.722	0.8	28.416	-19.521	-1.086	-2.329	7.236	8.317	0.111	30.377	25.785	-13.458	-13.234	-1.883	-8.391	-4.427	-0.484	0.237	10.964	-7.895	8.896	51.154	21.109	-3.144	0	0	0	1.627	3.957	-7.287	-3.17	12.799	0.581	-21.168	-18.879	0	-6.523	14.255	0	-0.183	0.024	0.003	-0.086	-0.048	0.018	-0.025	-0.04	0.004	0	0	0	-0.159	0.023	-0.004	-0.065	0.009	0.003	-0.017	-0.002	0.005	0	0	0	-0.006	0.006	0.243	-0.002	0.063	-0.18	0.002	0.001	0	0	0	-0.073	-0.001	0.003	0.026	0.002	0.001	-0.007	0.014	-0.88	0	-0.081	-0.018	0	8.216	52.419	4.169	3.292	52.287	10.048	67.231	7.595
-10.25	0.596	28.126	-19.794	-1.095	-4.752	7.373	8.393	0.298	30.124	25.768	-13.689	-13.647	-1.838	-8.925	-4.058	-0.617	0.669	11.328	-7.525	8.887	51.413	21.077	-2.976	0	0	0	1.697	3.915	-7.224	-2.969	12.79	0.968	-20.448	-21.196	0	-6.567	15.22	0	-0.192	0.026	0.003	-0.09	-0.048	0.018	-0.027	-0.041	0.005	0	0	0	-0.17	0.028	-0.006	-0.07	0.011	0.003	-0.019	-0.002	0.005	0	0	0	-0.007	0.008	0.256	-0.002	0.067	-0.189	0.002	0.001	0	0	-0.006	-0.087	-0.001	0.002	0.029	0.002	0.001	-0.008	-0.013	-0.732	0	-0.078	-0.03	-0.001	8.386	52.458	4.463	3.789	58.508	10.875	72.195	8.581
-9.779	0.402	27.942	-19.884	-1.138	-6.582	7.407	8.488	0.458	29.884	25.75	-13.914	-14.096	-1.844	-9.375	-3.621	-0.796	1.253	11.671	-7.127	8.875	51.64	21.03	-2.842	0	0	0	1.772	3.86	-7.149	-2.795	12.791	1.343	-19.673	-23.004	0	-6.584	16.258	0	-0.198	0.028	0.004	-0.093	-0.047	0.018	-0.028	-0.042	0.005	0	0	0	-0.178	0.033	-0.007	-0.074	0.013	0.002	-0.02	-0.001	0.005	0	0	0	-0.007	0.011	0.264	-0.002	0.069	-0.194	0.002	0.001	-0.001	0	-0.013	-0.102	-0.001	0.001	0.033	0.002	0.001	-0.009	-0.043	-0.542	0	-0.069	-0.043	-0.001	8.232	50.463	4.609	4.206	63.565	11.357	73.635	9.352
-9.312	0.228	27.874	-19.773	-1.197	-7.76	7.321	8.615	0.558	29.652	25.731	-14.133	-14.588	-1.895	-9.758	-3.139	-1.02	1.977	11.993	-6.712	8.842	51.836	20.969	-2.756	0	0	0	1.852	3.786	-7.068	-2.651	12.793	1.681	-18.88	-24.225	0	-6.574	17.388	0	-0.202	0.029	0.005	-0.094	-0.046	0.017	-0.028	-0.042	0.005	0	0	0	-0.185	0.038	-0.01	-0.078	0.014	0.001	-0.021	-0.001	0.004	0	0	0	-0.007	0.015	0.268	-0.002	0.07	-0.194	0.002	0.001	-0.001	0.001	-0.021	-0.117	-0.001	-0.001	0.036	0.002	0.001	-0.01	-0.073	-0.328	0	-0.052	-0.059	-0.002	7.853	46.944	4.622	4.532	67.419	11.567	72.139	9.886
-8.867	0.086	27.923	-19.453	-1.256	-8.259	7.112	8.795	0.553	29.426	25.715	-14.347	-15.121	-1.987	-10.088	-2.633	-1.285	2.835	12.292	-6.289	8.761	52.003	20.899	-2.725	0	0	0	1.94	3.688	-6.985	-2.539	12.787	1.962	-18.103	-24.794	0	-6.541	18.635	0	-0.205	0.029	0.006	-0.094	-0.045	0.017	-0.028	-0.041	0.005	0	0	0	-0.192	0.043	-0.012	-0.081	0.016	0	-0.022	0	0.004	0	0	0	-0.007	0.02	0.269	-0.003	0.071	-0.191	0.002	0.001	-0.002	0.001	-0.031	-0.131	0	-0.004	0.039	0.002	0.001	-0.01	-0.101	-0.109	-0.001	-0.028	-0.077	-0.004	7.365	42.452	4.536	4.764	70.074	11.535	68.442	10.189
-8.477	-0.015	28.083	-18.926	-1.303	-8.09	6.79	9.047	0.394	29.202	25.702	-14.551	-15.681	-2.118	-10.368	-2.13	-1.591	3.829	12.574	-5.856	8.602	52.143	20.821	-2.753	0	0	0	2.036	3.568	-6.904	-2.461	12.766	2.183	-17.37	-24.67	0	-6.489	20.028	0	-0.208	0.027	0.008	-0.094	-0.043	0.017	-0.027	-0.04	0.004	0	0	0	-0.197	0.047	-0.015	-0.085	0.018	-0.002	-0.023	0	0.003	0	0	0	-0.007	0.027	0.267	-0.003	0.07	-0.185	0.002	0.001	-0.002	0.001	-0.041	-0.143	0	-0.006	0.041	0.001	0.001	-0.011	-0.123	0.093	-0.002	0.004	-0.096	-0.007	6.901	37.488	4.415	4.89	71.669	11.285	63.461	10.332
-8.18	-0.069	28.342	-18.216	-1.336	-7.309	6.387	9.379	0.039	28.977	25.693	-14.74	-16.249	-2.296	-10.587	-1.658	-1.935	4.972	12.845	-5.416	8.333	52.256	20.738	-2.838	0	0	0	2.136	3.431	-6.827	-2.42	12.728	2.353	-16.695	-23.847	0	-6.43	21.597	0	-0.211	0.024	0.01	-0.093	-0.042	0.017	-0.026	-0.038	0.004	0	0	0	-0.203	0.05	-0.017	-0.09	0.019	-0.003	-0.024	0.001	0.003	0	0	0	-0.007	0.034	0.263	-0.003	0.069	-0.176	0.002	0.001	-0.003	0.001	-0.052	-0.154	0	-0.009	0.043	0.001	0.001	-0.012	-0.138	0.265	-0.003	0.043	-0.115	-0.01	6.604	32.383	4.303	4.89	72.316	10.949	58.174	10.437
-8.009	-0.069	28.677	-17.369	-1.358	-6.004	5.945	9.787	-0.535	28.748	25.685	-14.903	-16.8	-2.532	-10.725	-1.247	-2.314	6.28	13.119	-4.971	7.919	52.34	20.652	-2.97	0	0	0	2.236	3.282	-6.752	-2.421	12.675	2.492	-16.083	-22.372	0	-6.376	23.373	0	-0.213	0.02	0.012	-0.092	-0.04	0.018	-0.025	-0.036	0.004	0	0	0	-0.207	0.052	-0.02	-0.094	0.02	-0.005	-0.026	0.002	0.002	0	0	0	-0.007	0.041	0.257	-0.003	0.066	-0.165	0.002	0.001	-0.004	0	-0.063	-0.162	0.001	-0.012	0.044	0.001	0.001	-0.013	-0.145	0.396	-0.005	0.086	-0.133	-0.014	6.646	27.324	4.22	4.762	72.032	10.752	53.404	10.585
-7.977	-0.009	29.061	-16.448	-1.381	-4.293	5.51	10.248	-1.312	28.513	25.675	-15.035	-17.315	-2.841	-10.761	-0.929	-2.725	7.769	13.407	-4.524	7.324	52.385	20.564	-3.137	0	0	0	2.333	3.13	-6.678	-2.47	12.608	2.618	-15.532	-20.342	0	-6.342	25.388	0	-0.216	0.014	0.014	-0.091	-0.039	0.018	-0.024	-0.033	0.004	0	0	0	-0.212	0.054	-0.022	-0.099	0.02	-0.007	-0.028	0.002	0.001	0	0	0	-0.006	0.049	0.251	-0.003	0.064	-0.153	0.002	0.001	-0.005	0	-0.074	-0.168	0.001	-0.016	0.043	0	0	-0.014	-0.144	0.483	-0.006	0.133	-0.148	-0.02	7.197	22.479	4.168	4.547	70.54	10.91	49.648	10.828
-8.064	0.113	29.459	-15.523	-1.417	-2.298	5.121	10.724	-2.24	28.271	25.663	-15.131	-17.788	-3.228	-10.684	-0.733	-3.161	9.443	13.718	-4.08	6.509	52.383	20.476	-3.331	0	0	0	2.421	2.979	-6.6	-2.572	12.527	2.731	-15.033	-17.899	0	-6.346	27.668	0	-0.219	0.008	0.016	-0.091	-0.038	0.019	-0.024	-0.03	0.004	0	0	0	-0.216	0.054	-0.024	-0.103	0.02	-0.009	-0.029	0.002	0	0	0	0	-0.006	0.055	0.246	-0.003	0.061	-0.14	0.002	0.001	-0.006	-0.001	-0.084	-0.17	0.001	-0.019	0.042	0	0	-0.014	-0.136	0.528	-0.007	0.18	-0.159	-0.026	8.417	18.031	4.16	4.296	67.511	11.579	47.061	11.212
-8.218	0.298	29.842	-14.666	-1.468	-0.127	4.806	11.149	-3.236	28.022	25.65	-15.19	-18.231	-3.684	-10.494	-0.682	-3.617	11.3	14.054	-3.643	5.445	52.323	20.388	-3.542	0	0	0	2.503	2.827	-6.515	-2.725	12.432	2.819	-14.577	-15.206	0	-6.402	30.232	0	-0.222	0	0.018	-0.091	-0.038	0.02	-0.024	-0.026	0.003	0	0	0	-0.22	0.053	-0.025	-0.108	0.018	-0.01	-0.031	0.002	-0.001	0	0	0	-0.005	0.061	0.241	-0.003	0.058	-0.126	0.002	0.001	-0.007	-0.002	-0.093	-0.17	0.001	-0.022	0.04	0	0	-0.015	-0.121	0.537	-0.007	0.225	-0.164	-0.033	10.475	14.138	4.219	4.048	62.975	12.846	45.607	11.77
