Version	3																																																																																					
Starting Frame	22																																																																																					
Avg Step Width (cm)	17.15									Average	R_Velocity	R_Cadence	L_Velocity	L_Cadence																																																																								
R_Velocity	122.137	127.226								124.6815	124.6815	102.878	123.2095	102.1325																																																																								
R_Stride_Len	142.142	148.11								145.126																																																																												
R_Cadence	101.408	104.348								102.878																																																																												
L_Velocity	121.711	124.708								123.2095																																																																												
L_Stride_Len	143.408	145.497								144.4525																																																																												
L_Cadence	101.408	102.857								102.1325																																																																												
R_Support_Time	66.197	65.942								66.0695																																																																												
L_Support_Time	61.972	62.857								62.4145																																																																												
R_Non_Support	33.803	34.058								33.9305																																																																												
L_Non_Support	38.028	37.143								37.5855																																																																												
R_Step_Len	71.508	70.242	72.855							71.535																																																																												
L_Step_Len	71.9	75.254								73.577																																																																												
R_Dbl_Support	14.789	15.217								15.003																																																																												
L_Dbl_Support	12.676	13.571								13.1235																																																																												
RHS	139	281	419																																																																																			
LHS	72	214	354																																																																																			
RTO	90	233	372																																																																																			
LTO	20	160	302																																																																																			
RHS FP																																																																																						
LHS FP	73	214																																																																																				
