Version	3.0
Starting Frame	42
Avg Step Width (cm)	  12.81
R_Velocity	142.364	140.225
R_Stride_Len	140.914	141.524
R_Cadence	121.008	119.008
L_Velocity	140.853	136.980
L_Stride_Len	140.601	139.591
L_Cadence	120.000	118.033
R_Support_Time	56.303	57.025
L_Support_Time	62.500	63.115
R_Non_Support	43.697	42.975
L_Non_Support	37.500	36.885
R_Step_Len	69.516	70.439
L_Step_Len	71.398	71.085	69.152
R_Dbl_Support	10.924	12.397
L_Dbl_Support	6.667	7.377
RHS	57.000	176.000	297.000
LHS	116.000	236.000	358.000
RTO	4.000	124.000	245.000	368.000
LTO	70.000	191.000	313.000
RHS FP	
LHS FP	115.000	237.000
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-10.335	-0.395	-10.698	-10.239	-0.333	8.725	11.824	-19.476	12.728	56.984	22.207	-6.805	-21.698	-2.986	30.227	-5.830	-0.501	2.500	15.243	-5.120	1.886	15.030	19.882	-22.950	0.000	0.000	0.000	-1.797	-2.013	4.817	0.622	9.835	-3.043	-12.025	20.423	0.000	-9.390	-18.536	0.000	-0.027	-0.001	0.000	-0.014	0.002	-0.001	-0.004	0.000	0.001	0.000	0.000	0.000	-0.030	0.004	0.005	-0.012	-0.001	0.002	-0.004	-0.001	0.001	0.000	0.000	0.000	-0.001	-0.010	-0.034	0.000	-0.007	0.006	0.001	0.001	-0.003	0.000	0.026	-0.003	-0.000	0.008	0.001	0.001	0.000	-0.003	-0.000	-0.025	-0.006	-0.002	-0.001	-0.007	0.031	0.003	0.006	0.005	0.003	0.004	0.002	0.002
-11.393	-0.264	-10.823	-10.270	-0.617	10.431	11.846	-18.829	11.689	57.069	22.207	-7.585	-21.244	-2.797	29.714	-6.427	-0.603	3.050	16.282	-5.058	0.567	14.948	19.946	-23.020	0.000	0.000	0.000	-1.870	-2.360	4.980	0.392	9.626	-2.319	-12.356	22.870	0.000	-9.296	-16.283	0.000	-0.061	0.000	-0.001	-0.032	0.005	-0.004	-0.009	0.002	0.002	0.000	0.000	0.000	-0.067	0.005	0.010	-0.027	-0.002	0.004	-0.008	-0.002	0.002	0.000	0.000	0.000	-0.002	-0.022	-0.071	0.001	-0.013	0.012	0.001	0.001	-0.005	0.000	0.039	0.003	-0.001	0.011	-0.002	0.001	0.000	-0.004	0.019	-0.051	-0.013	0.002	0.002	-0.010	3.601	0.398	0.799	0.669	0.413	0.513	0.295	0.318
-12.376	-0.175	-10.886	-10.379	-0.904	12.184	11.890	-18.171	10.546	57.131	22.201	-8.347	-20.840	-2.617	29.216	-6.914	-0.717	3.640	17.205	-5.087	-0.666	14.873	20.000	-23.064	0.000	0.000	0.000	-1.936	-2.691	5.137	0.180	9.429	-1.634	-12.704	25.407	0.000	-9.190	-14.077	0.000	-0.093	0.003	-0.002	-0.049	0.007	-0.006	-0.014	0.003	0.003	0.000	0.000	0.000	-0.102	0.006	0.015	-0.041	-0.005	0.007	-0.013	-0.003	0.002	0.000	0.000	0.000	-0.003	-0.034	-0.107	0.001	-0.019	0.018	0.001	0.001	-0.008	0.000	0.050	0.011	-0.001	0.015	-0.004	0.001	0.001	-0.006	0.059	-0.079	-0.022	0.008	0.007	-0.011	10.346	1.403	2.631	2.091	1.488	1.681	0.959	1.046
-13.217	-0.162	-10.837	-10.608	-1.169	14.028	11.939	-17.529	9.225	57.144	22.182	-9.076	-20.539	-2.446	28.744	-7.190	-0.844	4.307	17.924	-5.245	-1.708	14.813	20.035	-23.064	0.000	0.000	0.000	-1.990	-2.991	5.281	-0.001	9.249	-1.029	-13.100	28.096	0.000	-9.073	-11.975	0.000	-0.123	0.006	-0.004	-0.065	0.009	-0.008	-0.019	0.003	0.004	0.000	0.000	0.000	-0.133	0.005	0.019	-0.053	-0.007	0.009	-0.016	-0.004	0.003	0.000	0.000	0.000	-0.004	-0.047	-0.143	0.001	-0.025	0.024	0.002	0.001	-0.010	0.001	0.060	0.018	-0.001	0.018	-0.008	0.002	0.001	-0.007	0.120	-0.109	-0.033	0.013	0.013	-0.011	17.274	2.947	5.072	3.769	3.191	3.195	1.824	2.009
-13.869	-0.254	-10.640	-10.979	-1.395	15.995	11.969	-16.934	7.658	57.090	22.144	-9.762	-20.376	-2.286	28.309	-7.178	-0.989	5.083	18.370	-5.539	-2.471	14.771	20.046	-23.003	0.000	0.000	0.000	-2.028	-3.251	5.411	-0.140	9.088	-0.531	-13.563	30.990	0.000	-8.946	-10.034	0.000	-0.150	0.010	-0.005	-0.080	0.010	-0.010	-0.024	0.004	0.004	0.000	0.000	0.000	-0.160	0.004	0.023	-0.063	-0.010	0.011	-0.020	-0.005	0.004	0.000	0.000	0.000	-0.006	-0.059	-0.176	0.002	-0.031	0.029	0.002	0.001	-0.013	0.001	0.068	0.026	-0.001	0.021	-0.011	0.002	0.001	-0.008	0.203	-0.140	-0.045	0.020	0.020	-0.009	22.589	5.017	7.771	5.369	5.514	4.780	2.754	3.077
-14.321	-0.463	-10.277	-11.476	-1.567	18.105	11.952	-16.419	5.797	56.953	22.083	-10.401	-20.351	-2.135	27.911	-6.859	-1.152	5.986	18.515	-5.952	-2.890	14.750	20.033	-22.871	0.000	0.000	0.000	-2.045	-3.467	5.523	-0.233	8.946	-0.151	-14.094	34.127	0.000	-8.813	-8.301	0.000	-0.172	0.016	-0.006	-0.092	0.010	-0.011	-0.028	0.003	0.005	0.000	0.000	0.000	-0.182	0.001	0.025	-0.071	-0.013	0.013	-0.022	-0.006	0.004	0.000	0.000	0.000	-0.008	-0.071	-0.208	0.002	-0.037	0.034	0.002	0.001	-0.015	0.001	0.073	0.034	-0.001	0.023	-0.015	0.002	0.001	-0.010	0.306	-0.173	-0.057	0.027	0.029	-0.006	25.755	7.679	10.374	6.724	8.468	6.218	3.668	4.142
-14.598	-0.788	-9.740	-12.042	-1.683	20.366	11.845	-16.012	3.615	56.720	21.995	-10.994	-20.415	-1.987	27.543	-6.289	-1.326	7.006	18.380	-6.444	-2.950	14.751	19.998	-22.664	0.000	0.000	0.000	-2.042	-3.640	5.618	-0.280	8.821	0.122	-14.683	37.515	0.000	-8.676	-6.809	0.000	-0.190	0.023	-0.008	-0.102	0.010	-0.013	-0.032	0.003	0.005	0.000	0.000	0.000	-0.198	-0.002	0.026	-0.077	-0.016	0.014	-0.024	-0.007	0.005	0.000	0.000	0.000	-0.010	-0.082	-0.236	0.003	-0.042	0.039	0.002	0.001	-0.017	0.001	0.074	0.042	-0.001	0.024	-0.019	0.002	0.001	-0.010	0.427	-0.206	-0.069	0.035	0.038	-0.003	27.170	11.065	12.537	7.792	12.099	7.408	4.549	5.108
-14.758	-1.214	-9.032	-12.585	-1.751	22.778	11.596	-15.727	1.120	56.387	21.878	-11.546	-20.489	-1.835	27.187	-5.583	-1.500	8.108	18.022	-6.962	-2.680	14.775	19.945	-22.385	0.000	0.000	0.000	-2.020	-3.774	5.699	-0.285	8.711	0.313	-15.306	41.131	0.000	-8.539	-5.570	0.000	-0.202	0.030	-0.010	-0.109	0.009	-0.015	-0.035	0.003	0.004	0.000	0.000	0.000	-0.208	-0.006	0.025	-0.081	-0.019	0.015	-0.025	-0.007	0.005	0.000	0.000	0.000	-0.012	-0.092	-0.261	0.003	-0.048	0.044	0.002	0.001	-0.019	0.001	0.073	0.049	-0.001	0.025	-0.024	0.003	0.001	-0.011	0.559	-0.240	-0.079	0.043	0.046	0.001	27.436	15.293	13.994	8.585	16.460	8.285	5.393	5.898
-14.876	-1.722	-8.158	-13.000	-1.797	25.332	11.155	-15.550	-1.639	55.951	21.731	-12.066	-20.484	-1.670	26.820	-4.871	-1.653	9.237	17.514	-7.458	-2.140	14.823	19.880	-22.039	0.000	0.000	0.000	-1.979	-3.876	5.767	-0.254	8.613	0.453	-15.929	44.906	0.000	-8.406	-4.576	0.000	-0.211	0.036	-0.011	-0.114	0.008	-0.016	-0.037	0.002	0.004	0.000	0.000	0.000	-0.214	-0.010	0.023	-0.082	-0.021	0.014	-0.025	-0.007	0.005	0.000	0.000	0.000	-0.014	-0.102	-0.282	0.004	-0.053	0.049	0.001	0.001	-0.020	0.001	0.068	0.056	-0.001	0.024	-0.028	0.003	0.001	-0.012	0.696	-0.274	-0.087	0.052	0.053	0.006	27.032	20.433	14.621	9.103	21.589	8.793	6.185	6.474
-15.021	-2.292	-7.126	-13.200	-1.856	28.018	10.495	-15.450	-4.571	55.415	21.553	-12.557	-20.341	-1.483	26.420	-4.265	-1.764	10.329	16.925	-7.898	-1.410	14.896	19.810	-21.631	0.000	0.000	0.000	-1.921	-3.949	5.825	-0.189	8.528	0.566	-16.519	48.728	0.000	-8.286	-3.801	0.000	-0.215	0.042	-0.012	-0.115	0.007	-0.018	-0.038	0.002	0.003	0.000	0.000	0.000	-0.215	-0.014	0.020	-0.082	-0.023	0.013	-0.025	-0.006	0.005	0.000	0.000	0.000	-0.017	-0.111	-0.298	0.004	-0.057	0.054	0.001	0.001	-0.022	0.001	0.061	0.062	-0.001	0.023	-0.032	0.003	0.001	-0.012	0.827	-0.307	-0.090	0.061	0.057	0.010	26.317	26.444	14.432	9.356	27.488	8.967	6.886	6.847
