Version	3.0
Starting Frame	59
Avg Step Width (cm)	  13.90
R_Velocity	118.802	116.453
R_Stride_Len	145.397	144.834
R_Cadence	97.959	96.000
L_Velocity	118.599	118.527	112.545
L_Stride_Len	145.703	145.976	142.891
L_Cadence	98.630	97.297	93.506
R_Support_Time	61.905	61.333
L_Support_Time	63.699	64.189	62.987
R_Non_Support	38.095	38.667
L_Non_Support	36.301	35.811	37.013
R_Step_Len	74.446	74.139	72.997
L_Step_Len	71.257	71.837	69.894
R_Dbl_Support	12.925	13.333
L_Dbl_Support	13.014	12.838	12.338
RHS	103.000	250.000	400.000
LHS	29.000	175.000	323.000	477.000
RTO	48.000	194.000	342.000
LTO	122.000	270.000	420.000
RHS FP	103.000	250.000
LHS FP	
R_HIP Rot ANG	R_HIP Abd ANG	R_HIP Flex ANG	R_KNEE Rot ANG	R_KNEE Abd ANG	R_KNEE Flex ANG	R_ANK Rot ANG	R_ANK Abd ANG	R_ANK  Flex ANG	R_Elbow_Ang	R_Shl_Add_Ang	R_Shl_Flex_Ang	L_HIP Rot ANG	L_HIP Abd ANG	L_HIP Flex ANG	L_KNEE Rot ANG	L_KNEE Abd ANG	L_KNEE Flex ANG	L_ANK Rot ANG	L_ANK Abd ANG	L_ANK Flex ANG	L_Elbow_Ang	L_Shl_Add_Ang	L_Shl_Flex_Ang	Head_Lat_Tilt	Head_Fwd_Tilt	Head_Rotation	Trunk_Lat_Tilt	Trunk_Fwd_Tilt	Trunk_Rotation	Pelvis_Lat_Tilt	Pelvis_Fwd_Tilt	Pelvis_Rotation	R_Foot_Orientation	R_Foot_Elevation	R_Foot_Null	L_Foot_Orientation	L_Foot_Elevation	L_Foot_Null	R_HIP Rot FRC	R_HIP Abd FRC	R_HIP Flex FRC	R_KNEE Rot FRC	R_KNEE Abd FRC	R_KNEE Flex FRC	R_ANK Rot FRC	R_ANK Abd FRC	R_ANK  Flex FRC	R_GRF_FWD	R_GRF_LAT	R_GRF_VRT	L_HIP Rot FRC	L_HIP Abd FRC	L_HIP Flex FRC	L_KNEE Rot FRC	L_KNEE Abd FRC	L_KNEE Flex FRC	L_ANK Rot FRC	L_ANK Abd FRC	L_ANK  Flex FRC	L_GRF_FWD	L_GRF_LAT	L_GRF_VRT	R_HIP Rot MOM	R_HIP Abd MOM	R_HIP Flex MOM	R_KNEE Rot MOM	R_KNEE Abd MOM	R_KNEE Flex MOM	R_ANK Rot MOM	R_ANK Abd MOM	R_ANK  Flex MOM	L_HIP Rot MOM	L_HIP Abd MOM	L_HIP Flex MOM	L_KNEE Rot MOM	L_KNEE Abd MOM	L_KNEE Flex MOM	L_ANK Rot MOM	L_ANK Abd MOM	L_ANK  Flex MOM	R_HIP PWR	R_KNEE PWR	R_ANK PWR	L_HIP PWR	L_KNEE PWR	L_ANK PWR	L TIBIALIS ANT	L GASTROCNEMIUS	L MEDIAL HAM	L RECTUS	R TIBIALIS ANT	R GASTROCNEMIUS	R MEDIAL HAM	R RECTUS	
-9.854	-1.525	11.210	-15.719	3.667	12.467	14.796	-6.282	12.617	39.085	19.373	0.624	0.119	-2.409	27.450	-27.483	3.442	44.438	17.853	-14.503	5.747	30.451	10.375	-15.743	0.000	0.000	0.000	2.531	-1.283	2.778	0.739	11.221	0.126	-11.233	1.793	0.000	-12.229	26.573	0.000	-0.022	0.000	-0.000	-0.009	-0.002	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	-0.020	0.003	0.002	-0.009	-0.004	0.003	-0.004	-0.001	0.001	0.000	0.000	0.000	0.000	-0.002	0.001	0.000	-0.001	-0.002	0.000	0.000	-0.002	0.003	0.011	-0.008	-0.000	0.011	-0.014	0.001	0.001	-0.003	0.002	-0.001	0.002	0.005	-0.071	-0.000	0.001	0.002	0.003	0.002	0.005	0.004	0.003	0.002
-9.903	-1.582	10.502	-15.479	3.625	12.235	14.612	-5.830	12.899	39.699	19.517	0.914	0.638	-2.268	27.811	-27.820	3.808	42.385	17.670	-14.768	5.729	30.465	10.426	-15.899	0.000	0.000	0.000	2.539	-1.330	3.144	0.863	11.242	0.130	-11.204	1.870	0.000	-12.240	24.305	0.000	-0.047	0.001	-0.001	-0.019	-0.003	-0.000	-0.005	0.000	0.001	0.000	0.000	0.000	-0.045	0.006	0.005	-0.021	-0.010	0.006	-0.008	-0.003	0.003	0.000	0.000	0.000	-0.000	-0.003	0.003	0.000	-0.001	-0.004	0.000	0.000	-0.003	0.003	0.016	-0.011	-0.001	0.014	-0.019	0.002	0.001	-0.004	0.005	-0.002	0.003	0.007	-0.102	-0.001	0.181	0.287	0.361	0.196	0.617	0.499	0.324	0.250
-9.930	-1.619	9.795	-15.267	3.593	11.977	14.411	-5.426	13.177	40.291	19.663	1.206	1.182	-2.143	28.127	-28.292	4.145	40.204	17.493	-15.021	5.633	30.484	10.472	-16.049	0.000	0.000	0.000	2.542	-1.375	3.498	0.967	11.274	0.149	-11.181	1.948	0.000	-12.340	22.036	0.000	-0.071	0.001	-0.001	-0.029	-0.005	-0.000	-0.008	0.000	0.001	0.000	0.000	0.000	-0.069	0.010	0.007	-0.033	-0.014	0.008	-0.012	-0.004	0.005	0.000	0.000	0.000	-0.000	-0.004	0.005	0.000	-0.002	-0.006	0.000	0.000	-0.004	0.003	0.020	-0.014	-0.001	0.018	-0.024	0.003	0.002	-0.006	0.007	-0.004	0.004	0.008	-0.132	-0.002	0.668	0.919	1.225	0.647	1.952	1.605	1.042	0.799
-9.941	-1.634	9.090	-15.101	3.573	11.688	14.215	-5.097	13.455	40.859	19.811	1.499	1.741	-2.032	28.403	-28.886	4.436	37.908	17.326	-15.264	5.471	30.506	10.514	-16.193	0.000	0.000	0.000	2.539	-1.416	3.837	1.048	11.318	0.182	-11.169	2.028	0.000	-12.522	19.765	0.000	-0.093	0.000	-0.002	-0.038	-0.007	-0.000	-0.011	0.000	0.001	0.000	0.000	0.000	-0.091	0.013	0.009	-0.044	-0.018	0.010	-0.017	-0.005	0.006	0.000	0.000	0.000	-0.000	-0.005	0.007	0.000	-0.002	-0.009	0.001	0.000	-0.006	0.003	0.024	-0.017	-0.001	0.020	-0.029	0.003	0.002	-0.008	0.010	-0.005	0.005	0.008	-0.159	-0.003	1.481	1.712	2.446	1.249	3.600	3.002	1.951	1.501
-9.945	-1.628	8.390	-14.996	3.563	11.366	14.040	-4.860	13.736	41.403	19.962	1.794	2.298	-1.936	28.643	-29.579	4.666	35.512	17.173	-15.495	5.256	30.531	10.549	-16.333	0.000	0.000	0.000	2.532	-1.455	4.158	1.105	11.376	0.230	-11.173	2.111	0.000	-12.774	17.495	0.000	-0.113	-0.001	-0.002	-0.046	-0.008	-0.001	-0.013	0.000	0.001	0.000	0.000	0.000	-0.111	0.015	0.011	-0.054	-0.021	0.011	-0.020	-0.006	0.008	0.000	0.000	0.000	-0.000	-0.006	0.009	0.000	-0.002	-0.011	0.001	0.000	-0.007	0.004	0.028	-0.019	-0.001	0.023	-0.032	0.004	0.002	-0.010	0.012	-0.007	0.005	0.008	-0.183	-0.004	2.673	2.534	3.908	1.929	5.285	4.451	2.906	2.245
-9.942	-1.603	7.700	-14.958	3.565	11.017	13.902	-4.729	14.024	41.922	20.114	2.091	2.833	-1.853	28.854	-30.343	4.822	33.032	17.032	-15.712	5.000	30.557	10.578	-16.470	0.000	0.000	0.000	2.523	-1.492	4.461	1.140	11.450	0.289	-11.191	2.198	0.000	-13.085	15.225	0.000	-0.129	-0.002	-0.002	-0.053	-0.009	-0.001	-0.014	0.000	0.001	0.000	0.000	0.000	-0.128	0.018	0.012	-0.064	-0.023	0.012	-0.024	-0.007	0.009	0.000	0.000	0.000	-0.000	-0.007	0.011	0.000	-0.003	-0.013	0.001	0.001	-0.008	0.003	0.030	-0.021	-0.001	0.025	-0.035	0.005	0.003	-0.011	0.014	-0.009	0.005	0.007	-0.203	-0.005	4.334	3.302	5.506	2.641	6.820	5.819	3.815	2.960
-9.924	-1.565	7.029	-14.986	3.582	10.650	13.807	-4.715	14.320	42.417	20.266	2.392	3.317	-1.778	29.041	-31.136	4.892	30.486	16.898	-15.910	4.713	30.581	10.598	-16.601	0.000	0.000	0.000	2.512	-1.522	4.743	1.156	11.542	0.347	-11.220	2.291	0.000	-13.440	12.955	0.000	-0.142	-0.003	-0.003	-0.058	-0.010	-0.001	-0.016	0.000	0.002	0.000	0.000	0.000	-0.142	0.020	0.013	-0.072	-0.024	0.013	-0.027	-0.007	0.010	0.000	0.000	0.000	0.000	-0.008	0.012	0.000	-0.003	-0.015	0.001	0.001	-0.009	0.003	0.031	-0.022	-0.001	0.026	-0.037	0.005	0.003	-0.012	0.016	-0.011	0.005	0.006	-0.218	-0.005	6.574	3.970	7.151	3.359	8.110	7.060	4.621	3.602
-9.879	-1.522	6.384	-15.076	3.615	10.280	13.758	-4.816	14.627	42.887	20.419	2.700	3.716	-1.712	29.205	-31.914	4.867	27.892	16.760	-16.084	4.408	30.601	10.610	-16.723	0.000	0.000	0.000	2.502	-1.545	5.003	1.156	11.652	0.393	-11.256	2.395	0.000	-13.827	10.683	0.000	-0.151	-0.004	-0.003	-0.062	-0.011	-0.001	-0.017	0.000	0.002	0.000	0.000	0.000	-0.153	0.021	0.013	-0.078	-0.024	0.013	-0.029	-0.008	0.010	0.000	0.000	0.000	0.000	-0.009	0.013	0.000	-0.003	-0.016	0.001	0.001	-0.009	0.003	0.032	-0.021	-0.002	0.026	-0.039	0.006	0.003	-0.013	0.017	-0.013	0.005	0.005	-0.229	-0.006	9.504	4.512	8.748	4.078	9.140	8.150	5.298	4.150
-9.795	-1.478	5.770	-15.216	3.666	9.920	13.749	-5.002	14.938	43.332	20.570	3.017	4.007	-1.653	29.346	-32.634	4.747	25.260	16.610	-16.221	4.094	30.613	10.613	-16.834	0.000	0.000	0.000	2.494	-1.558	5.242	1.144	11.776	0.414	-11.290	2.514	0.000	-14.233	8.402	0.000	-0.158	-0.004	-0.003	-0.064	-0.012	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	-0.162	0.022	0.013	-0.084	-0.024	0.012	-0.030	-0.008	0.011	0.000	0.000	0.000	0.000	-0.009	0.014	0.000	-0.003	-0.018	0.001	0.001	-0.010	0.003	0.031	-0.020	-0.002	0.027	-0.040	0.006	0.003	-0.014	0.017	-0.014	0.005	0.004	-0.236	-0.005	13.235	4.912	10.181	4.806	9.922	9.047	5.840	4.597
-9.658	-1.437	5.188	-15.392	3.735	9.586	13.772	-5.220	15.246	43.748	20.719	3.343	4.167	-1.605	29.459	-33.261	4.537	22.599	16.440	-16.304	3.780	30.614	10.607	-16.931	0.000	0.000	0.000	2.488	-1.559	5.460	1.119	11.914	0.400	-11.314	2.655	0.000	-14.648	6.105	0.000	-0.162	-0.003	-0.003	-0.066	-0.012	-0.001	-0.018	0.000	0.002	0.000	0.000	0.000	-0.168	0.022	0.012	-0.087	-0.024	0.012	-0.031	-0.009	0.011	0.000	0.000	0.000	0.000	-0.009	0.014	0.000	-0.003	-0.019	0.001	0.001	-0.010	0.002	0.029	-0.017	-0.002	0.026	-0.040	0.006	0.003	-0.014	0.017	-0.015	0.004	0.002	-0.239	-0.004	17.817	5.177	11.328	5.557	10.501	9.758	6.250	4.953
