// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
21355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.497751	-9.115087	-1.827206	0.000000	-0.000000	-0.396389	-0.055929	-0.030006	-0.325014	0.014832	-0.091180	-0.018244	0.999999	-0.000280	-0.000150	-0.001625	-101.314947	-9.062692	-144.625951	NaN	NaN	0.000000	NaN	NaN	NaN
21356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.360711	-9.080035	-1.774789	0.000000	-0.000000	-0.461305	-0.087136	-0.068101	-0.346665	0.013456	-0.090831	-0.017704	0.999998	-0.000436	-0.000341	-0.001733	-101.029093	-8.273016	-144.871614	NaN	NaN	0.000000	NaN	NaN	NaN
21357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.344193	-9.046140	-1.810327	0.040063	0.052183	-0.490008	-0.123868	-0.109458	-0.364365	0.013287	-0.090497	-0.018040	0.999998	-0.000619	-0.000547	-0.001822	-101.239127	-8.772426	-144.664750	NaN	NaN	0.000000	NaN	NaN	NaN
21358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.521478	-9.114536	-1.872275	-0.085088	0.002734	-0.384659	-0.152268	-0.109704	-0.385908	0.015049	-0.091189	-0.018645	0.999998	-0.000761	-0.000549	-0.001930	-101.342755	-8.976948	-144.558549	NaN	NaN	0.000000	NaN	NaN	NaN
21359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.670031	-9.183398	-1.854463	-0.139806	-0.095938	-0.297754	-0.165487	-0.103337	-0.413240	0.016520	-0.091884	-0.018460	0.999997	-0.000827	-0.000517	-0.002066	-101.453699	-9.196528	-144.452531	NaN	NaN	0.000000	NaN	NaN	NaN
21360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.886771	-9.273244	-1.914964	-0.283059	-0.170143	-0.163293	-0.155690	-0.114524	-0.446114	0.018672	-0.092789	-0.019067	0.999997	-0.000778	-0.000573	-0.002231	-101.561815	-9.433903	-144.335699	NaN	NaN	0.000000	NaN	NaN	NaN
21361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.974983	-9.288158	-1.906236	-0.301309	-0.219248	-0.134612	-0.128337	-0.144802	-0.480589	0.019540	-0.092941	-0.018989	0.999997	-0.000642	-0.000724	-0.002403	-101.658422	-9.687612	-144.197080	NaN	NaN	0.000000	NaN	NaN	NaN
21362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.998713	-9.203427	-1.902240	-0.295162	-0.217931	-0.211560	-0.095017	-0.185505	-0.503677	0.019773	-0.092093	-0.018960	0.999996	-0.000475	-0.000928	-0.002518	-101.741002	-9.948649	-144.032065	NaN	NaN	0.000000	NaN	NaN	NaN
21363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.972654	-9.098474	-1.798730	-0.200229	-0.265265	-0.336487	-0.084647	-0.186275	-0.520646	0.019506	-0.091043	-0.017931	0.999996	-0.000423	-0.000931	-0.002603	-101.818961	-10.221331	-143.864077	NaN	NaN	0.000000	NaN	NaN	NaN
21364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.995844	-8.995509	-1.668652	-0.129832	-0.361514	-0.456447	-0.076320	-0.169889	-0.533140	0.019733	-0.090014	-0.016635	0.999996	-0.000382	-0.000849	-0.002666	-101.891579	-10.500284	-143.703440	NaN	NaN	0.000000	NaN	NaN	NaN
21365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.974710	-9.042138	-1.482060	0.047036	-0.484914	-0.452201	-0.077686	-0.127955	-0.532804	0.019516	-0.090479	-0.014773	0.999996	-0.000388	-0.000640	-0.002664	-101.960408	-10.788384	-143.566444	NaN	NaN	0.000000	NaN	NaN	NaN
21366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.079638	-9.180210	-1.419856	0.081158	-0.585445	-0.311761	-0.083284	-0.077502	-0.530909	0.020558	-0.091863	-0.014152	0.999996	-0.000416	-0.000388	-0.002655	-102.028726	-11.076704	-143.457821	NaN	NaN	0.000000	NaN	NaN	NaN
21367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.226392	-9.340106	-1.386416	0.074149	-0.684816	-0.135815	-0.067881	-0.023920	-0.526718	0.022019	-0.093464	-0.013830	0.999996	-0.000339	-0.000120	-0.002634	-102.077657	-11.375772	-143.380887	NaN	NaN	0.000000	NaN	NaN	NaN
21368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.413976	-9.448007	-1.377673	0.007622	-0.784294	0.004374	-0.070340	0.028128	-0.524724	0.023890	-0.094548	-0.013747	0.999996	-0.000352	0.000141	-0.002624	-102.127598	-11.673114	-143.332638	NaN	NaN	0.000000	NaN	NaN	NaN
21369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.529129	-9.453230	-1.461110	-0.080735	-0.757133	0.052144	-0.065441	0.080078	-0.520618	0.025039	-0.094602	-0.014590	0.999996	-0.000327	0.000400	-0.002603	-102.157307	-11.985255	-143.316686	NaN	NaN	0.000000	NaN	NaN	NaN
21370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.652778	-9.411465	-1.485763	-0.157940	-0.780649	0.045599	-0.049725	0.132200	-0.521192	0.026273	-0.094187	-0.014852	0.999996	-0.000249	0.000661	-0.002606	-102.183413	-12.293133	-143.328027	NaN	NaN	0.000000	NaN	NaN	NaN
21371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.656947	-9.328596	-1.418721	-0.104083	-0.799910	-0.043147	-0.030094	0.187891	-0.522988	0.026312	-0.093357	-0.014198	0.999996	-0.000150	0.000939	-0.002615	-102.173418	-12.625968	-143.374870	NaN	NaN	0.000000	NaN	NaN	NaN
21372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.627382	-9.178723	-1.262362	0.002228	-0.871217	-0.221733	-0.006744	0.218026	-0.525417	0.026019	-0.091856	-0.012649	0.999996	-0.000034	0.001090	-0.002627	-102.163970	-12.946578	-143.435018	NaN	NaN	0.000000	NaN	NaN	NaN
21373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.486974	-9.079521	-1.177227	0.169548	-0.815948	-0.362086	0.010931	0.217043	-0.519840	0.024621	-0.090859	-0.011804	0.999996	0.000055	0.001085	-0.002599	-102.117660	-13.287794	-143.501414	NaN	NaN	0.000000	NaN	NaN	NaN
21374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.432994	-9.046461	-1.186283	0.235537	-0.742709	-0.402168	0.028195	0.174939	-0.516039	0.024086	-0.090525	-0.011897	0.999996	0.000141	0.000875	-0.002580	-102.092901	-13.597908	-143.538428	NaN	NaN	0.000000	NaN	NaN	NaN
21375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.373067	-9.085277	-1.252613	0.296041	-0.614420	-0.364016	0.051883	0.124113	-0.507597	0.023492	-0.090909	-0.012564	0.999997	0.000259	0.000621	-0.002538	-102.024233	-13.924628	-143.556108	NaN	NaN	0.000000	NaN	NaN	NaN
21376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.325639	-9.090277	-1.507127	0.233545	-0.345890	-0.318543	0.072357	0.053293	-0.515407	0.023018	-0.090957	-0.015110	0.999997	0.000362	0.000266	-0.002577	-101.990688	-14.219827	-143.523563	NaN	NaN	0.000000	NaN	NaN	NaN
21377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.344354	-9.143425	-1.717915	0.157760	-0.142773	-0.220817	0.093876	0.024063	-0.529609	0.023199	-0.091488	-0.017225	0.999996	0.000469	0.000120	-0.002648	-101.905244	-14.547152	-143.483509	NaN	NaN	0.000000	NaN	NaN	NaN
21378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.428316	-9.174864	-1.792378	0.098874	-0.094302	-0.155122	0.121670	-0.004684	-0.549179	0.024032	-0.091804	-0.017979	0.999996	0.000608	-0.000023	-0.002746	-101.853212	-14.854518	-143.413830	NaN	NaN	0.000000	NaN	NaN	NaN
21379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.542190	-9.205578	-1.825698	0.038585	-0.086038	-0.090062	0.138788	-0.038716	-0.567644	0.025164	-0.092115	-0.018316	0.999996	0.000694	-0.000194	-0.002838	-101.751901	-15.194344	-143.334127	NaN	NaN	0.000000	NaN	NaN	NaN
21380	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.631028	-9.259898	-1.899642	-0.014452	-0.037896	-0.000717	0.149703	-0.086496	-0.586514	0.026047	-0.092661	-0.019054	0.999995	0.000749	-0.000432	-0.002933	-101.698200	-15.513310	-143.212989	NaN	NaN	0.000000	NaN	NaN	NaN
21381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.744402	-9.284820	-2.020395	-0.121410	0.043905	0.076938	0.171189	-0.138964	-0.605361	0.027177	-0.092913	-0.020265	0.999995	0.000856	-0.000695	-0.003027	-101.597263	-15.862381	-143.071139	NaN	NaN	0.000000	NaN	NaN	NaN
21382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.868153	-9.290159	-1.996855	-0.163457	-0.004951	0.111716	0.209728	-0.173757	-0.618148	0.028412	-0.092969	-0.020041	0.999994	0.001049	-0.000869	-0.003091	-101.525499	-16.189417	-142.895807	NaN	NaN	0.000000	NaN	NaN	NaN
