// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
16976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.846594	-9.070829	3.935233	0.000000	-0.000000	0.245936	-0.005700	0.002787	0.000169	0.018467	-0.090707	0.039355	1.000000	-0.000029	0.000014	0.000001	-66.545665	-10.578902	-160.551272	NaN	NaN	0.000000	NaN	NaN	NaN
16977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.823763	-9.020423	3.887193	0.000000	0.000000	0.177528	0.003887	0.004635	0.000854	0.018239	-0.090205	0.038870	1.000000	0.000019	0.000023	0.000004	-66.688544	-10.519361	-160.452548	NaN	NaN	0.000000	NaN	NaN	NaN
16978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.833805	-8.971704	3.921615	0.002943	-0.039198	0.148831	0.011063	0.015281	-0.003296	0.018340	-0.089720	0.039210	1.000000	0.000055	0.000076	-0.000016	-66.607397	-10.547858	-160.509700	NaN	NaN	0.000000	NaN	NaN	NaN
16979	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.796511	-8.930246	3.946035	0.044698	-0.064277	0.114135	0.009475	0.018283	-0.000905	0.017968	-0.089304	0.039454	1.000000	0.000047	0.000091	-0.000005	-66.600141	-10.544174	-160.519688	NaN	NaN	0.000000	NaN	NaN	NaN
16980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.736458	-8.838480	3.922142	0.088193	-0.063291	0.011030	0.006591	0.010257	0.001807	0.017367	-0.088386	0.039218	1.000000	0.000033	0.000051	0.000009	-66.595849	-10.541199	-160.524541	NaN	NaN	0.000000	NaN	NaN	NaN
16981	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.703682	-8.821201	3.943519	0.125750	-0.077522	-0.002201	0.003546	-0.002959	-0.000286	0.017036	-0.088213	0.039434	1.000000	0.000018	-0.000015	-0.000001	-66.594094	-10.542023	-160.523024	NaN	NaN	0.000000	NaN	NaN	NaN
16982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.732335	-8.814430	3.924670	0.092339	-0.074104	-0.010434	-0.006349	-0.016952	0.001237	0.017321	-0.088143	0.039251	1.000000	-0.000032	-0.000085	0.000006	-66.599140	-10.545017	-160.513727	NaN	NaN	0.000000	NaN	NaN	NaN
16983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.794833	-8.783065	3.964799	0.049911	-0.143060	-0.011650	-0.019838	-0.021161	-0.001979	0.017943	-0.087827	0.039659	1.000000	-0.000099	-0.000106	-0.000010	-66.612495	-10.550872	-160.502866	NaN	NaN	0.000000	NaN	NaN	NaN
16984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.803360	-8.901063	3.897758	0.022082	-0.040883	0.070196	-0.031710	-0.032921	-0.004227	0.018025	-0.089005	0.038995	1.000000	-0.000159	-0.000165	-0.000021	-66.632797	-10.560225	-160.486399	NaN	NaN	0.000000	NaN	NaN	NaN
16985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.898365	-8.941442	3.958244	-0.039573	-0.108039	0.147616	-0.023096	-0.032231	-0.003750	0.018976	-0.089410	0.039596	1.000000	-0.000115	-0.000161	-0.000019	-66.649033	-10.569520	-160.470020	NaN	NaN	0.000000	NaN	NaN	NaN
