// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
16976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.664292	8.813883	2.121238	0.000000	0.000000	-0.034589	-0.004044	-0.009178	0.003292	-0.036645	0.088139	0.021209	1.000000	-0.000020	-0.000046	0.000016	76.470073	22.010077	160.273651	NaN	NaN	0.000000	NaN	NaN	NaN
16977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.642580	8.834363	2.152585	0.000000	0.000000	-0.017383	-0.011870	-0.011599	0.002831	-0.036428	0.088344	0.021518	1.000000	-0.000059	-0.000058	0.000014	76.310742	21.832567	159.340746	NaN	NaN	0.000000	NaN	NaN	NaN
16978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.613730	8.788290	2.145709	-0.017309	0.024648	-0.071217	-0.009994	-0.013903	0.004817	-0.036141	0.087883	0.021450	1.000000	-0.000050	-0.000070	0.000024	76.383804	21.918245	159.827950	NaN	NaN	0.000000	NaN	NaN	NaN
16979	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.586400	8.800116	2.100249	-0.057041	-0.011575	-0.080680	0.003718	-0.014611	0.006201	-0.035868	0.088000	0.021002	1.000000	0.000019	-0.000073	0.000031	76.382997	21.912821	159.820081	NaN	NaN	0.000000	NaN	NaN	NaN
16980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.614428	8.812444	2.151438	-0.024485	0.026383	-0.047922	0.004033	-0.006307	-0.000539	-0.036145	0.088124	0.021515	1.000000	0.000020	-0.000032	-0.000003	76.383879	21.912721	159.816183	NaN	NaN	0.000000	NaN	NaN	NaN
16981	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.590787	8.843011	2.134099	-0.062208	0.014489	-0.032969	-0.001986	-0.006736	0.001427	-0.035909	0.088430	0.021339	1.000000	-0.000010	-0.000034	0.000007	76.381309	21.911018	159.812347	NaN	NaN	0.000000	NaN	NaN	NaN
16982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.637056	8.815805	2.126818	-0.012068	-0.005270	-0.041824	-0.004006	-0.011325	0.003073	-0.036373	0.088158	0.021264	1.000000	-0.000020	-0.000057	0.000015	76.376634	21.907636	159.805993	NaN	NaN	0.000000	NaN	NaN	NaN
16983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.614299	8.841371	2.133744	-0.040679	0.005458	-0.025749	0.000014	-0.008816	0.001267	-0.036144	0.088413	0.021336	1.000000	0.000000	-0.000044	0.000006	76.374736	21.905741	159.800886	NaN	NaN	0.000000	NaN	NaN	NaN
16984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.638178	8.839843	2.132314	-0.019129	-0.003573	-0.018528	0.007820	-0.013063	0.003212	-0.036385	0.088397	0.021324	1.000000	0.000039	-0.000065	0.000016	76.376504	21.901933	159.793527	NaN	NaN	0.000000	NaN	NaN	NaN
16985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.615309	8.865568	2.138753	-0.047740	0.007155	-0.002453	0.002004	-0.014229	0.001850	-0.036155	0.088655	0.021386	1.000000	0.000010	-0.000071	0.000009	76.374568	21.898982	159.785257	NaN	NaN	0.000000	NaN	NaN	NaN
