// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
43633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.488221	-8.574935	3.653144	-0.000000	0.000000	0.139330	-0.003477	0.039939	-0.026895	0.034878	-0.085753	0.036526	1.000000	-0.000017	0.000200	-0.000134	-66.928811	-20.515535	-174.736673	NaN	NaN	0.000000	NaN	NaN	NaN
43634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.499179	-8.549317	3.632161	0.000000	-0.000000	0.113423	-0.005990	0.041099	-0.033766	0.034985	-0.085498	0.036317	1.000000	-0.000030	0.000205	-0.000169	-66.985670	-20.637394	-174.094760	NaN	NaN	0.000000	NaN	NaN	NaN
43635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.497696	-8.544370	3.608972	-0.016493	0.021636	0.100136	-0.010865	0.040330	-0.035555	0.034969	-0.085448	0.036087	1.000000	-0.000054	0.000202	-0.000178	-66.956538	-20.583474	-174.476526	NaN	NaN	0.000000	NaN	NaN	NaN
43636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.427855	-8.531331	3.645293	0.054830	-0.009414	0.077654	-0.012671	0.043413	-0.040454	0.034269	-0.085318	0.036451	1.000000	-0.000063	0.000217	-0.000202	-66.951791	-20.595066	-174.510669	NaN	NaN	0.000000	NaN	NaN	NaN
43637	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.450614	-8.542523	3.641181	0.038242	-0.001949	0.093784	-0.012856	0.049749	-0.050276	0.034494	-0.085432	0.036409	1.000000	-0.000064	0.000249	-0.000251	-66.945361	-20.611155	-174.550532	NaN	NaN	0.000000	NaN	NaN	NaN
43638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.374014	-8.496127	3.684011	0.108902	-0.052089	0.042540	-0.018656	0.056636	-0.061724	0.033724	-0.084968	0.036838	1.000000	-0.000093	0.000283	-0.000309	-66.939603	-20.630985	-174.597233	NaN	NaN	0.000000	NaN	NaN	NaN
43639	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.398300	-8.506944	3.679355	0.092145	-0.044576	0.058671	-0.027591	0.056567	-0.073960	0.033962	-0.085077	0.036796	1.000000	-0.000138	0.000283	-0.000370	-66.937825	-20.657079	-174.646872	NaN	NaN	0.000000	NaN	NaN	NaN
43640	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.402724	-8.505284	3.679103	0.092145	-0.044576	0.058671	-0.026334	0.063506	-0.081992	0.034004	-0.085062	0.036791	1.000000	-0.000132	0.000318	-0.000410	-66.933338	-20.686047	-174.702324	NaN	NaN	0.000000	NaN	NaN	NaN
43641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.404642	-8.499311	3.655171	0.088257	-0.024390	0.045393	-0.031094	0.077924	-0.092600	0.034021	-0.085003	0.036552	1.000000	-0.000155	0.000390	-0.000463	-66.927407	-20.716747	-174.768590	NaN	NaN	0.000000	NaN	NaN	NaN
43642	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.355452	-8.514242	3.584007	0.128415	0.051697	0.014689	-0.031581	0.075410	-0.103509	0.033524	-0.085154	0.035841	1.000000	-0.000158	0.000377	-0.000518	-66.921653	-20.754374	-174.835948	NaN	NaN	0.000000	NaN	NaN	NaN
