// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
43633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.596636	-2.666124	3.559112	0.000000	-0.000000	-0.133966	0.020749	0.059183	-0.044102	-0.085962	-0.026646	0.035614	1.000000	0.000104	0.000296	-0.000221	-36.803568	62.641869	-103.206841	NaN	NaN	0.000000	NaN	NaN	NaN
43634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.615691	-2.696970	3.544527	-0.000000	-0.000000	-0.113850	0.021076	0.072220	-0.039439	-0.086149	-0.026956	0.035474	1.000000	0.000105	0.000361	-0.000197	-37.231314	62.653513	-102.830000	NaN	NaN	0.000000	NaN	NaN	NaN
43635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.636526	-2.704066	3.524262	-0.030739	0.029782	-0.100832	0.016381	0.077162	-0.044894	-0.086358	-0.027024	0.035274	1.000000	0.000082	0.000386	-0.000224	-37.066096	62.661747	-103.066686	NaN	NaN	0.000000	NaN	NaN	NaN
43636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.638057	-2.707498	3.517867	-0.030739	0.029782	-0.100832	0.009423	0.078993	-0.045112	-0.086373	-0.027057	0.035212	1.000000	0.000047	0.000395	-0.000226	-37.153429	62.682246	-103.171068	NaN	NaN	0.000000	NaN	NaN	NaN
43637	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.672390	-2.657651	3.539791	0.033087	0.039048	-0.076109	0.015915	0.083352	-0.052477	-0.086716	-0.026557	0.035432	1.000000	0.000080	0.000417	-0.000262	-37.246839	62.702047	-103.286431	NaN	NaN	0.000000	NaN	NaN	NaN
43638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.638560	-2.605765	3.551619	0.087836	0.026513	-0.116281	0.015433	0.093242	-0.056964	-0.086376	-0.026036	0.035554	1.000000	0.000077	0.000466	-0.000285	-37.351086	62.724767	-103.413681	NaN	NaN	0.000000	NaN	NaN	NaN
43639	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.683719	-2.547003	3.500107	0.130798	0.103149	-0.111286	0.026526	0.108176	-0.064866	-0.086827	-0.025447	0.035045	1.000000	0.000133	0.000541	-0.000324	-37.465967	62.751554	-103.560081	NaN	NaN	0.000000	NaN	NaN	NaN
43640	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.648761	-2.520037	3.515296	0.166000	0.077791	-0.144422	0.033397	0.111778	-0.081196	-0.086478	-0.025171	0.035197	1.000000	0.000167	0.000559	-0.000406	-37.594297	62.774003	-103.725936	NaN	NaN	0.000000	NaN	NaN	NaN
43641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.650488	-2.526180	3.506627	0.165853	0.077700	-0.144419	0.036327	0.109005	-0.089126	-0.086497	-0.025230	0.035109	1.000000	0.000182	0.000545	-0.000446	-37.724714	62.792974	-103.896365	NaN	NaN	0.000000	NaN	NaN	NaN
43642	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.601553	-2.480004	3.498392	0.208247	0.073360	-0.203987	0.029271	0.102788	-0.102432	-0.086010	-0.024761	0.035024	1.000000	0.000146	0.000514	-0.000512	-37.868399	62.803543	-104.076774	NaN	NaN	0.000000	NaN	NaN	NaN
