,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,57,1.524,45.594,19.747,0.994837673636768,0.026598817800394,0.795765419154295,0.34465016739132,2.55097323471493,1.54566358556618,2.58029476614838,0.531976356007879,25.1327412287156,16.0849543863803,18.5982285092481,11.8123883774969
MIN,,20.339,-26.852,15.738,11.669,0.354982516563127,-0.468655810745517,0.274679917678868,0.203662470415218,-2.44625347959525,-1.65038334068585,-1.94988184032807,-0.68277280338019,-25.8867234655782,-22.8707945181338,-25.6353960532889,-8.29380460547788
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
0,0,30.133,-11.008,23.473,13.153,0.525920063503451,-0.192125844059536,0.409681135320629,0.229563156514814,-2.24309715466311,-1.22103234469522,0.645073691537101,-0.477522083345646,-1.00530964914931,-1.00530964914731,2.01061929829702,0.502654824575055
1,0.008333333333333,31.204,-10.425,23.165,13.381,0.544612539792311,-0.181950574520409,0.404305521224486,0.233542507209361,-2.23471957425354,-1.21265476428566,0.62831853071796,-0.481710873550438,-1.75929188600895,-0.502654824574682,3.26725635973367,-1.21236354289067E-12
2,0.016666666666667,32.271,-9.846,22.865,13.611,0.56323520291109,-0.171845118151362,0.399069533468503,0.237556764488948,-2.2200588085368,-1.20846597408087,0.601091394386846,-0.481710873550428,-2.26194671058664,-1.00530964914886,2.76460153515898,-0.251327412285702
3,0.025,33.331,-9.269,22.578,13.841,0.58173569298223,-0.161774568367354,0.39406043851528,0.241571021768535,-2.20120925261524,-1.2000883936713,0.578053048260521,-0.479616478448047,-1.7592918860089,-1.50796447372277,2.51327412287168,-0.753982236862383
4,0.033333333333333,34.382,-8.696,22.302,14.07,0.60007910342069,-0.151773831753427,0.389243329779775,0.245567825755602,-2.1865484868985,-1.18752202305694,0.55710909723659,-0.473333293140861,-2.01061929829724,-1.00530964914902,1.75929188601055,-1.50796447372281
5,0.041666666666667,35.426,-8.129,22.036,14.296,0.618300340811511,-0.141877814894619,0.38460075396947,0.249512269865109,-2.16979332607936,-1.17914444264737,0.542448331519836,-0.460766922526504,-2.51327412287466,-1.25663706143592,1.00530964914766,-2.01061929829817
6,0.05,36.462,-7.566,21.777,14.516,0.636381951862172,-0.132051611205891,0.380080351206805,0.253351994219497,-2.1488493750554,-1.1686724671354,0.534070751110272,-0.444011761707353,-2.76460153515501,-0.502654824574469,-0.251327412286528,-2.26194671058435
7,0.058333333333333,37.488,-7.008,21.522,14.728,0.654289029987634,-0.122312673979763,0.37562976161422,0.257052092233725,-2.12581102892911,-1.16448367693062,0.536165146212659,-0.425162205785816,-3.26725635973446,-0.251327412287115,-1.25663706143584,-2.76460153515821
8,0.066666666666667,38.503,-6.452,21.266,14.931,0.672004121895377,-0.112608643338674,0.371161718729114,0.260595110615273,-2.09858389259799,-1.16238928182822,0.546637121724625,-0.402123859659498,-3.26725635973446,0.75398223686137,-1.00530964914851,-3.01592894744633
9,0.075,39.505,-5.897,21.005,15.123,0.68949232100036,-0.102922065990106,0.366606409381409,0.263946142779102,-2.07135675626687,-1.1686724671354,0.555014702134196,-0.376991118430778,-3.51858377202099,0.753982236862196,-2.01061929829702,-3.01592894744634
10,0.083333333333333,40.494,-5.339,20.74,15.303,0.706753627302584,-0.093183128763977,0.361981286863624,0.267087735432692,-2.04203522483336,-1.17495565244259,0.571769862953338,-0.351858377202059,-3.76991118430635,1.00530964914787,-1.75929188601038,-3.01592894744719
11,0.091666666666667,41.469,-4.778,20.467,15.471,0.723770587509528,-0.083391831660289,0.357216538005679,0.270019888576043,-2.01061929829747,-1.18333323285215,0.586430628670091,-0.326725635973332,-4.52389342117147,0.251327412287754,-1.75929188601141,-3.01592894744547
12,0.1,42.429,-4.213,20.187,15.627,0.740525748328674,-0.073530721386521,0.352329616100095,0.272742602209154,-1.97292018645438,-1.18542762795455,0.601091394386852,-0.30159289474462,-5.52920307031801,-0.753982236861584,-1.00530964914771,-3.26725635973366
13,0.108333333333333,43.371,-3.647,19.9,15.771,0.756966749882461,-0.063652157820233,0.347320521146872,0.275255876332026,-1.92684349420173,-1.17914444264737,0.609468974796417,-0.274365758413506,-6.03185789488787,-1.50796447372317,0.251327412286528,-3.26725635973286
14,0.116666666666667,44.291,-3.084,19.609,15.902,0.773023779000808,-0.053825954131505,0.342241613023568,0.277542257652138,-1.87657801174433,-1.16657807203301,0.607374579694029,-0.247138622082399,-6.78584013175705,-3.01592894744623,1.50796447372317,-3.26725635973366
15,0.125,45.187,-2.527,19.319,16.02,0.788661929098678,-0.044104470197897,0.337180158192784,0.279601746169492,-1.82002934397969,-1.14144533080429,0.594808209079669,-0.219911485751285,-7.53982236861504,-3.76991118430768,3.01592894744713,-3.26725635973366
16,0.133333333333333,46.056,-1.982,19.035,16.125,0.803828840298508,-0.034592425774528,0.332223423117121,0.281434341884086,-1.75719749090789,-1.11002940426839,0.569675467850943,-0.192684349420171,-9.047786842339,-4.52389342116939,3.76991118430672,-3.51858377201939
