PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\br_20feb2013\trimmed_br2_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	204	31	mm	120	1	204																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-170.80238	226.00156	1107.93262	-62.60415	231.38136	981.96375	-253.94655	124.92353	971.78339	-278.64102	213.10927	589.60773	-280.87265	251.70634	595.28687	-277.81836	290.55856	589.82361	-192.09052	102.87286	653.68134	-180.12598	400.46619	663.59271	-117.63047	130.81654	631.4408	-105.22332	357.56958	631.04742	-95.88958	75.99686	1029.14893	-9.61981	21.18775	904.90326	33.71494	-11.9154	737.1178	35.94654	-85.353	796.02808	142.59737	-60.19845	811.36194	279.99472	-80.72626	744.49945	275.50317	-16.8901	786.48914	-117.38165	382.37091	1060.67957	16.18294	444.9754	899.89923	-71.52475	473.01971	932.40717	-1.03892	441.29822	771.77429	60.6738	492.16287	826.34418	140.3434	362.74854	842.84998	160.92696	269.60666	823.9743	216.10463	318.92264	799.3064	680.40393	-347.56055	748.76508	102.88597	-355.20618	751.41132	85.09198	832.44196	750.90796	664.32733	839.48578	749.6073	-114.55562	129.78777	632.11676	-98.48097	356.33627	634.19965	-114.55403	129.78767	632.11682	-98.47953	356.33517	634.19952	188.51579	294.26465	811.64032	29.81744	466.73053	799.0592
2	0.008	-170.91307	225.15137	1107.92407	-62.78957	230.24879	982.03308	-254.51483	124.63509	971.59918	-278.65054	213.24066	589.5636	-280.79773	251.87242	595.27936	-277.69598	290.74887	589.91467	-192.37335	102.80095	653.49683	-179.65164	400.34714	663.82837	-117.86483	130.63191	631.38354	-105.12075	357.46564	631.25562	-96.66959	75.07748	1029.04077	-10.15551	20.58848	904.98486	33.73826	-11.96257	737.17529	35.88743	-85.59409	795.9007	142.58231	-60.42123	811.33325	279.96344	-80.75465	744.34882	275.48819	-17.02169	786.55078	-117.02332	381.48111	1061.01062	16.92201	444.32043	900.67755	-70.85588	472.65518	933.4859	-0.69607	441.85806	772.46918	61.38263	492.01883	827.42017	140.43806	362.09125	842.69708	160.80659	269.03461	822.64038	216.1778	318.52481	798.97229	680.39227	-347.55121	748.7699	102.87093	-355.20981	751.40942	85.08738	832.44287	750.91113	664.31879	839.4834	749.61609	-114.76704	129.54799	631.98071	-98.11532	356.0498	634.3844	-114.76553	129.54829	631.98059	-98.11391	356.0495	634.38409	188.4922	293.77972	810.80634	30.34328	466.93845	799.9447
3	0.017	-171.03889	224.27396	1107.92493	-62.97079	229.13068	982.125	-255.06352	124.32319	971.39075	-278.61319	213.3741	589.5274	-280.65857	252.03609	595.27142	-277.56326	290.92957	590.04651	-192.59367	102.71983	653.33411	-179.1739	400.2164	664.07764	-118.03629	130.4541	631.36572	-104.98008	357.319	631.47253	-97.45159	74.15127	1028.94043	-10.69602	19.98132	905.06635	33.7756	-12.00733	737.24469	35.84081	-85.83254	795.76508	142.5419	-60.63032	811.30762	279.92126	-80.7868	744.19952	275.47345	-17.15028	786.61188	-116.76896	380.60477	1061.37195	17.51629	443.83633	901.52533	-70.39542	472.29846	934.49426	-0.34371	442.37448	773.2439	61.92871	491.99713	828.55347	140.45682	361.67773	842.92889	160.66684	268.68225	821.91968	216.24896	318.31454	799.15009	680.38074	-347.54803	748.77478	102.85788	-355.2197	751.40942	85.08306	832.44135	750.9162	664.3114	839.48267	749.6236	-114.91519	129.31247	631.88739	-97.72988	355.76611	634.60754	-114.9138	129.31316	631.88708	-97.72855	355.76654	634.60706	188.4579	293.49838	810.53491	30.7925	467.18579	800.89868
4	0.025	-171.19054	223.37122	1107.93103	-63.14377	228.04323	982.23615	-255.5956	123.98369	971.16138	-278.53671	213.50244	589.50165	-280.46353	252.19142	595.26477	-277.41937	291.09293	590.20996	-192.75639	102.63177	653.18909	-178.7011	400.07431	664.33783	-118.14782	130.28191	631.38171	-104.79933	357.12924	631.70099	-98.23332	73.22044	1028.84717	-11.2359	19.37105	905.14648	33.82243	-12.05468	737.32471	35.81179	-86.0666	795.62396	142.47809	-60.83182	811.28589	279.86859	-80.82634	744.05621	275.45865	-17.27766	786.6731	-116.62178	379.73734	1061.7677	17.96887	443.50165	902.461	-70.14066	471.9321	935.43707	0.04617	442.81613	774.11859	62.34711	492.05576	829.76782	140.4529	361.44403	843.51068	160.52533	268.48123	821.75061	216.32391	318.22501	799.77032	680.37134	-347.55023	748.7782	102.84797	-355.23361	751.41101	85.08008	832.43774	750.92352	664.30768	839.48456	749.62756	-115.00622	129.08467	631.82935	-97.33372	355.48679	634.86243	-115.00501	129.08557	631.82886	-97.3325	355.48773	634.86182	188.42462	293.35312	810.7605	31.19664	467.43594	801.94318
5	0.033	-171.37701	222.44292	1107.93591	-63.30821	226.99875	982.36169	-256.1156	123.61179	970.91388	-278.43005	213.61954	589.48865	-280.22742	252.33298	595.26563	-277.26382	291.23358	590.39264	-192.86772	102.5377	653.05408	-178.23619	399.92169	664.6059	-118.20658	130.11369	631.41565	-104.58103	356.9032	631.94403	-99.0132	72.28526	1028.75696	-11.76874	18.76276	905.22345	33.87338	-12.10928	737.41302	35.80328	-86.29409	795.47974	142.39796	-61.03467	811.26868	279.80963	-80.87508	743.92169	275.44492	-17.40641	786.73566	-116.57979	378.86707	1062.20313	18.2933	443.2854	903.49915	-70.07614	471.5415	936.33685	0.48568	443.177	775.10828	62.67916	492.1507	831.08954	140.46828	361.31128	844.36853	160.38632	268.35373	821.99622	216.39743	318.18503	800.72058	680.367	-347.55591	748.77802	102.84311	-355.24841	751.41418	85.07967	832.43231	750.93323	664.30969	839.4895	749.62659	-115.04897	128.86559	631.78912	-96.93392	355.21274	635.13416	-115.048	128.86647	631.78839	-96.93289	355.21384	635.13336	188.39188	293.26938	811.3584	31.58242	467.66385	803.09894
6	0.042	-171.60359	221.48636	1107.93262	-63.46703	226.00175	982.49713	-256.62769	123.20298	970.6499	-278.30103	213.72136	589.49042	-279.97012	252.45641	595.28284	-277.09784	291.34747	590.58289	-192.93298	102.4372	652.92029	-177.77998	399.75931	664.87927	-118.22221	129.94978	631.44537	-104.32981	356.65143	632.20306	-99.79099	71.34541	1028.66296	-12.28914	18.15956	905.29504	33.92283	-12.17457	737.5061	35.81491	-86.51401	795.33307	142.31277	-61.24738	811.25641	279.75085	-80.9329	743.79669	275.4357	-17.53922	786.80084	-116.63064	377.97699	1062.68115	18.51005	443.14362	904.64178	-70.16538	471.11462	937.23071	0.96784	443.47128	776.21478	62.96557	492.23996	832.53876	140.51714	361.19733	845.41455	160.23308	268.22891	822.49011	216.4556	318.12653	801.88629	680.37036	-347.56299	748.77289	102.8454	-355.26114	751.41901	85.08292	832.42566	750.94495	664.31866	839.49774	749.62091	-115.05252	128.6548	631.74396	-96.5371	354.94492	635.4035	-115.05182	128.65546	631.74316	-96.53631	354.94586	635.40265	188.34435	293.17773	812.18817	31.96671	467.85562	804.37677
7	0.05	-171.869	220.49747	1107.91553	-63.62444	225.04793	982.63824	-257.13235	122.75304	970.37012	-278.15469	213.80673	589.50665	-279.71158	252.55919	595.32367	-276.92438	291.43121	590.77197	-192.95679	102.32809	652.7804	-177.33594	399.58725	665.15558	-118.20526	129.79227	631.45087	-104.05161	356.38666	632.47711	-100.56572	70.40031	1028.5575	-12.79327	17.56072	905.35962	33.96616	-12.25112	737.59955	35.84326	-86.72677	795.18292	142.23497	-61.47641	811.24915	279.69931	-80.99873	743.68085	275.43661	-17.67814	786.87006	-116.74911	377.05005	1063.19995	18.64624	443.01941	905.87347	-70.3476	470.64163	938.1615	1.46987	443.72357	777.42358	63.23856	492.289	834.11987	140.58011	361.03134	846.56995	160.02939	268.05551	823.08356	216.47612	317.99023	803.17853	680.3819	-347.56982	748.76282	102.85619	-355.26971	751.42511	85.09016	832.41821	750.95758	664.33496	839.5094	749.61188	-115.02499	128.45096	631.6745	-96.15137	354.68439	635.65363	-115.02457	128.45122	631.67371	-96.15086	354.68494	635.65277	188.25275	293.02286	813.13104	32.35421	468.00629	805.77173
8	0.058	-172.16431	219.4735	1107.8811	-63.78426	224.12466	982.78033	-257.62631	122.25881	970.07526	-277.99368	213.8768	589.53381	-279.46631	252.64056	595.3891	-276.74689	291.48343	590.953	-192.94456	102.20642	652.63068	-176.91185	399.40482	665.43298	-118.16628	129.6429	631.42206	-103.75569	356.12491	632.76135	-101.33274	69.4479	1028.43457	-13.27714	16.96246	905.41461	34.00065	-12.33546	737.68787	35.88346	-86.93394	795.02734	142.17378	-61.72598	811.2464	279.66116	-81.07138	743.57385	275.4538	-17.82397	786.94482	-116.90034	376.07291	1063.7533	18.73563	442.85025	907.16302	-70.54423	470.1156	939.1651	1.96116	443.95865	778.70728	63.51737	492.27454	835.81598	140.61414	360.76376	847.77728	159.72781	267.80289	823.67523	216.42885	317.72592	804.54211	680.40002	-347.5755	748.74908	102.87525	-355.27338	751.43158	85.10046	832.4104	750.9696	664.35742	839.52423	749.60077	-114.97344	128.25121	631.57214	-95.78592	354.43152	635.87701	-114.97327	128.25104	631.57129	-95.78568	354.43164	635.87616	188.07834	292.7644	814.10864	32.73927	468.11661	807.26166
