PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\br_20feb2013\Trimmed_br3_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	968	31	mm	120	1	968																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-147.78751	231.72662	1096.74976	-45.11816	231.33655	969.87781	-240.08324	132.47511	973.44348	-289.24948	211.52948	582.21375	-290.59778	250.06308	588.90082	-288.57385	289.29272	583.36511	-202.88293	100.69383	650.95862	-187.0728	396.21042	660.71692	-128.25526	128.84857	630.73273	-116.3682	355.18231	631.12665	-79.27238	78.06315	1027.26624	-18.77782	10.90888	890.37915	-4.76317	-31.81975	722.88568	-7.11773	-103.55952	782.93481	94.43786	-81.01237	807.3009	232.77512	-93.82802	750.16614	228.65793	-35.23558	800.89838	-91.97934	381.68277	1059.18274	32.67154	454.01004	898.98029	-52.61473	479.57074	938.78741	5.90038	467.05203	772.65161	72.43884	510.55676	830.35181	139.14235	375.44122	840.58881	150.46442	282.39429	819.07086	212.18808	323.70535	796.72583	680.3783	-347.54053	748.75067	102.22605	-353.48828	751.28925	84.14059	832.5564	750.79913	664.36237	839.56927	749.6814	-124.53381	126.4923	631.02881	-105.44147	350.90143	633.13049	-124.53376	126.4921	631.02875	-105.44131	350.90106	633.13049	181.32625	303.04984	807.89832	39.16961	488.80441	801.50171
2	0.008	-147.65208	231.22148	1096.80884	-44.97577	230.77693	969.96814	-240.14177	132.28429	973.40143	-289.14685	211.54974	582.30646	-290.4866	250.04195	589.00977	-288.4346	289.2984	583.50995	-202.84819	100.65111	650.93372	-186.69757	396.07581	660.90057	-128.18628	128.74797	630.71997	-116.11761	355.09595	631.20575	-79.45708	77.59531	1027.28613	-18.89255	10.50892	890.4184	-4.82758	-32.03285	722.94055	-7.10582	-103.86387	782.8775	94.41469	-81.29366	807.27014	232.72108	-93.90134	750.09344	228.61766	-35.33917	800.89136	-91.79832	381.21432	1059.52319	32.96167	453.41348	899.30579	-52.38863	479.30002	939.354	5.85369	466.8631	773.01379	72.41145	510.24707	830.71417	139.1559	375.14853	840.27069	150.89728	282.15253	817.93878	212.16393	323.58826	795.93939	680.36542	-347.55405	748.76172	102.22255	-353.49393	751.28802	84.15325	832.54395	750.79303	664.34412	839.56244	749.69495	-124.48285	126.37524	630.97131	-105.13628	350.6944	633.22607	-124.48287	126.37481	630.97101	-105.13627	350.69397	633.22583	181.53061	302.87039	806.93909	39.13257	488.55508	801.86395
3	0.017	-147.55371	230.72145	1096.875	-44.84235	230.28564	970.07751	-240.17548	132.05792	973.35248	-289.02753	211.54863	582.42157	-290.35614	250.00273	589.13562	-288.28464	289.27679	583.66461	-202.74257	100.58897	650.91864	-186.33072	395.94391	661.091	-128.06659	128.66394	630.70032	-115.85475	355.02081	631.28888	-79.62408	77.16478	1027.32678	-18.97765	10.12708	890.48419	-4.88828	-32.18454	722.98749	-7.09043	-104.14599	782.83789	94.40097	-81.55418	807.24585	232.67926	-93.97307	750.01715	228.57959	-35.45904	800.88239	-91.77436	380.78198	1059.86353	33.01611	453.01367	899.70856	-52.50756	479.04077	939.76617	5.78984	466.54437	773.4104	72.21813	509.98962	831.09412	139.17805	374.98907	840.26569	151.30986	282.09216	817.18048	212.15848	323.56705	795.57336	680.36365	-347.56805	748.76483	102.23151	-353.49792	751.28998	84.18107	832.53174	750.78821	664.34125	839.56061	749.69977	-124.37057	126.26019	630.91431	-104.83036	350.51254	633.31921	-124.37061	126.25964	630.91376	-104.83047	350.51205	633.31866	181.73418	302.82962	806.37689	39.00398	488.267	802.25226
4	0.025	-147.49246	230.22038	1096.94153	-44.72723	229.86519	970.20575	-240.18626	131.78775	973.29181	-288.89322	211.52333	582.55182	-290.20331	249.94748	589.2702	-288.12631	289.23029	583.82709	-202.56343	100.50435	650.90863	-185.98267	395.81299	661.28473	-127.89494	128.59845	630.67322	-115.58846	354.95026	631.37518	-79.77272	76.76542	1027.3866	-19.02844	9.77061	890.5769	-4.93991	-32.28671	723.03278	-7.07219	-104.39732	782.8111	94.39903	-81.78643	807.22864	232.65369	-94.03923	749.93866	228.5448	-35.59499	800.8761	-91.88167	380.36728	1060.20923	32.87038	452.79587	900.20038	-52.92483	478.79312	940.07336	5.70463	466.15411	773.85437	71.90393	509.784	831.51862	139.23462	374.93173	840.50024	151.66658	282.19611	816.77979	212.14038	323.60251	795.51965	680.3736	-347.58084	748.75958	102.25249	-353.4996	751.29517	84.22031	832.52209	750.78668	664.35559	839.56531	749.69525	-124.19411	126.14742	630.85797	-104.53046	350.35748	633.4115	-124.19415	126.14684	630.85718	-104.53059	350.35703	633.41064	181.90347	302.89929	806.14972	38.80428	487.96906	802.68646
5	0.033	-147.46478	229.71414	1097.00354	-44.63604	229.50536	970.35126	-240.17708	131.46779	973.216	-288.74625	211.47235	582.68793	-290.02853	249.87749	589.40387	-287.96423	289.1615	583.99487	-202.31187	100.39561	650.89789	-185.66454	395.68002	661.47876	-127.67309	128.55391	630.63727	-115.32911	354.87668	631.46497	-79.90484	76.38538	1027.46362	-19.04152	9.44363	890.69403	-4.98042	-32.35205	723.08325	-7.05182	-104.61237	782.79193	94.41033	-81.9874	807.21906	232.6474	-94.09667	749.86176	228.51678	-35.74376	800.87842	-92.07412	379.94836	1060.56177	32.58195	452.72064	900.76874	-53.54834	478.55344	940.33752	5.58213	465.76395	774.34155	71.50787	509.638	831.99591	139.31482	374.95245	840.90479	151.92722	282.44373	816.71179	212.06749	323.66354	795.68329	680.39313	-347.59048	748.74756	102.28242	-353.49884	751.30328	84.26675	832.51575	750.78961	664.3844	839.57617	749.68268	-123.95408	126.0379	630.80188	-104.24443	350.229	633.505	-123.95405	126.03741	630.80084	-104.24452	350.22858	633.50385	181.99734	303.05362	806.19757	38.545	487.70099	803.16876
6	0.042	-147.46077	229.20087	1097.05652	-44.56887	229.18312	970.50977	-240.15091	131.09686	973.12433	-288.58948	211.39609	582.81915	-289.83694	249.79301	589.5285	-287.80338	289.07233	584.16455	-201.99634	100.26263	650.88177	-185.38788	395.54233	661.66943	-127.40828	128.5302	630.59229	-115.08691	354.79303	631.55969	-80.02568	76.0102	1027.55579	-19.01661	9.1442	890.83234	-5.01307	-32.39001	723.14362	-7.03007	-104.78949	782.77637	94.43428	-82.15632	807.21857	232.66225	-94.14346	749.79211	228.50049	-35.89949	800.89606	-92.29197	379.50436	1060.91907	32.21779	452.73502	901.37659	-54.25484	478.31485	940.61658	5.40182	465.44046	774.85291	71.05426	509.56955	832.51172	139.37988	375.04312	841.42365	152.05032	282.81229	816.94672	211.89867	323.73505	795.98944	680.41754	-347.59531	748.73187	102.31548	-353.49649	751.31305	84.31551	832.51178	750.79694	664.42084	839.59143	749.66516	-123.65805	125.93219	630.74548	-103.98199	350.12497	633.60022	-123.65791	125.93188	630.7442	-103.98195	350.12466	633.59882	181.97449	303.27365	806.46808	38.22804	487.505	803.68231
7	0.05	-147.46359	228.67976	1097.09607	-44.51971	228.86838	970.67413	-240.10919	130.68068	973.02008	-288.42621	211.29642	582.9353	-289.63754	249.69345	589.63983	-287.64755	288.96378	584.33093	-201.63527	100.10699	650.85968	-185.16386	395.39929	661.85126	-127.11486	128.52217	630.54169	-114.87038	354.69348	631.6604	-80.14146	75.62529	1027.66162	-18.95887	8.86462	890.98853	-5.04522	-32.40693	723.21527	-7.00743	-104.93068	782.76202	94.46799	-82.29471	807.22736	232.69839	-94.17794	749.73486	228.49983	-36.0555	800.93549	-92.47404	379.01849	1061.27637	31.83574	452.78915	901.97064	-54.91942	478.07172	940.94867	5.142	465.23077	775.35864	70.54811	509.60391	833.03174	139.38765	375.21667	842.01385	151.99719	283.27832	817.45313	211.60387	323.81876	796.38165	680.44025	-347.59479	748.71686	102.34476	-353.49359	751.32269	84.36188	832.50848	750.80804	664.4563	839.60791	749.64722	-123.32307	125.82941	630.69049	-103.75449	350.04221	633.69556	-123.32276	125.82931	630.68903	-103.75423	350.04202	633.69391	181.80054	303.54855	806.91736	37.84505	487.41733	804.19519
8	0.058	-147.45189	228.15091	1097.11755	-44.47797	228.5312	970.83392	-240.05154	130.23277	972.91034	-288.26019	211.17668	583.02948	-289.4404	249.57797	589.73676	-287.49973	288.83676	584.48743	-201.25517	99.93141	650.83417	-185.00073	395.25348	662.0174	-126.81221	128.51917	630.49261	-114.6855	354.57404	631.76636	-80.25615	75.21763	1027.77942	-18.8796	8.59336	891.15918	-5.0862	-32.40765	723.29675	-6.98428	-105.04102	782.74713	94.50729	-82.40784	807.24219	232.75359	-94.19852	749.69354	228.51596	-36.20672	801.00122	-92.57059	378.48059	1061.62671	31.46945	452.85248	902.49463	-55.44959	477.82474	941.34161	4.77965	465.15665	775.82178	69.97794	509.76563	833.50818	139.30896	375.50192	842.63947	151.73628	283.81931	818.20087	211.17018	323.92786	796.81824	680.4549	-347.59006	748.70605	102.36513	-353.4906	751.33057	84.40269	832.50366	750.82166	664.48297	839.62195	749.633	-122.97346	125.72671	630.64069	-103.5722	349.97717	633.78778	-122.97298	125.72681	630.63916	-103.5717	349.97708	633.78607	181.45323	303.87357	807.50958	37.3788	487.46112	804.66498
