PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\jf_13mar2013\Trimmed_jf3_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	799	31	mm	120	1	799																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-274.25949	267.87082	1124.23743	-119.61189	271.29654	1012.1264	-345.77335	164.47031	994.33185	-352.30365	234.82236	606.21387	-346.94479	277.38123	608.96954	-355.24628	322.8266	604.46106	-233.44385	92.8873	681.21844	-238.69664	462.89825	677.66693	-128.71832	147.08801	607.36096	-133.51115	406.47244	618.78247	-218.2347	102.55921	1068.7146	-92.96469	7.62171	895.39374	-60.61184	30.43134	733.56116	-58.51873	-48.56591	767.89008	92.17141	-44.14419	800.80536	191.327	-59.78131	756.75067	196.47353	18.10414	784.36188	-197.18233	442.34689	1075.38428	-44.69376	488.24933	903.80402	-164.68192	530.93689	881.41455	-38.01714	500.27426	737.21265	1.59914	553.52728	794.05035	62.21925	464.72894	838.55164	108.09594	320.69821	812.95575	174.70351	367.58942	805.63855	647.85809	-379.31152	719.35248	62.66174	-386.79782	724.18536	48.83153	853.55548	723.21851	635.30902	859.95734	719.42328	-128.71832	147.08801	607.36096	-133.51115	406.47244	618.78247	-128.71794	147.08821	607.36102	-133.51097	406.4726	618.78235	141.39972	344.1438	809.29718	-18.209	526.90076	765.63147
2	0.008	-274.06915	267.52359	1124.24316	-119.4104	270.68802	1012.10187	-345.79144	164.36839	994.26648	-352.2626	234.81964	606.22784	-346.87564	277.35599	608.97693	-355.13074	322.79764	604.54175	-233.53583	92.66922	681.11847	-238.42926	462.7056	677.83112	-128.75156	146.82117	607.30829	-133.29372	406.21985	618.91486	-218.4296	102.16333	1068.61328	-93.16854	7.31201	895.32898	-60.63857	30.02754	733.4386	-58.55173	-48.69204	767.80377	92.12541	-44.31478	800.75494	191.34166	-59.83936	756.69153	196.51207	17.98679	784.38318	-196.54886	441.89862	1075.53735	-44.23588	488.05957	903.80884	-164.21173	531.06213	881.8866	-38.16275	500.4119	737.13525	1.53069	553.67688	793.83575	62.61297	465.26141	838.34027	108.74554	321.41647	813.28851	175.30098	368.33472	804.56232	647.87067	-379.31992	719.35138	62.65646	-386.79636	724.18671	48.83224	853.55109	723.22345	635.30957	859.95605	719.41907	-128.75156	146.82117	607.30829	-133.29372	406.21985	618.91486	-128.75121	146.82124	607.30847	-133.29355	406.21994	618.91486	142.02327	344.87561	808.92542	-18.31603	527.04437	765.48547
3	0.017	-273.84525	267.16302	1124.23486	-119.16303	270.07239	1012.05341	-345.79489	164.27422	994.20923	-352.21927	234.81596	606.24988	-346.81772	277.32977	608.98694	-355.01563	322.76514	604.61615	-233.61182	92.44141	681.01233	-238.17104	462.49564	678.00134	-128.77814	146.55389	607.24316	-133.08617	405.95905	619.04352	-218.58743	101.76169	1068.50366	-93.35437	6.98884	895.2514	-60.65069	29.57212	733.2962	-58.5844	-48.84145	767.71381	92.10539	-44.51092	800.69421	191.36644	-59.90742	756.62952	196.54559	17.85161	784.40723	-195.892	441.45175	1075.70032	-43.93791	488.06213	903.67627	-163.8777	531.2063	882.25934	-38.38673	500.5343	737.03363	1.25699	553.9978	793.50275	62.83804	466.15521	838.25385	109.21229	322.33676	814.185	175.77925	369.30026	803.91711	647.89008	-379.33221	719.34973	62.66272	-386.79865	724.18933	48.83988	853.54834	723.23492	635.31067	859.95551	719.41321	-128.77814	146.55389	607.24316	-133.08617	405.95905	619.04352	-128.77788	146.55386	607.24341	-133.08606	405.95905	619.04346	142.49577	345.81851	809.05109	-18.56487	527.26605	765.26819
4	0.025	-273.5928	266.78741	1124.21777	-118.87734	269.45325	1011.98334	-345.78418	164.18895	994.16077	-352.17404	234.81166	606.2818	-346.77145	277.30228	609.00378	-354.90689	322.73071	604.6814	-233.67853	92.21205	680.90118	-237.93166	462.27066	678.18506	-128.80283	146.29654	607.17114	-132.89581	405.69412	619.1781	-218.70674	101.35368	1068.3905	-93.50991	6.6589	895.16101	-60.64967	29.09477	733.14581	-58.61294	-49.015	767.62109	92.10548	-44.72236	800.62585	191.40083	-59.98463	756.56744	196.57881	17.70562	784.43335	-195.22197	441.00397	1075.88098	-43.78438	488.27234	903.43951	-163.69086	531.34308	882.51874	-38.6702	500.65219	736.93018	0.80362	554.47589	793.08923	62.92055	467.36615	838.25049	109.50489	323.41425	815.4422	176.13464	370.42596	803.65741	647.9126	-379.34695	719.34808	62.67883	-386.8042	724.19397	48.85312	853.54694	723.25122	635.31256	859.95569	719.40576	-128.80283	146.29654	607.17114	-132.89581	405.69412	619.1781	-128.80269	146.29648	607.17126	-132.89575	405.69412	619.17804	142.81976	346.9201	809.5498	-18.93329	527.56403	765.0097
5	0.033	-273.31778	266.39404	1124.19861	-118.5666	268.83432	1011.89661	-345.75781	164.11131	994.12067	-352.12613	234.80772	606.32458	-346.73514	277.27292	609.03088	-354.80963	322.69708	604.73749	-233.74013	91.98948	680.78644	-237.71854	462.03195	678.38873	-128.82782	146.05948	607.09784	-132.72752	405.42825	619.32806	-218.7903	100.9376	1068.27747	-93.62852	6.32987	895.0592	-60.64796	28.63463	733.00189	-58.63378	-49.2113	767.52563	92.11714	-44.93854	800.55225	191.44328	-60.06991	756.50806	196.61241	17.55966	784.46381	-194.54788	440.55359	1076.08533	-43.75427	488.70419	903.14484	-163.65613	531.44287	882.66113	-39.00237	500.78094	736.83618	0.20351	555.08594	792.63098	62.89606	468.83014	838.28131	109.64978	324.60486	816.84119	176.37547	371.65656	803.71069	647.93365	-379.36197	719.34711	62.70103	-386.8121	724.20074	48.86967	853.54633	723.26959	635.31476	859.95605	719.3974	-128.82782	146.05948	607.09784	-132.72752	405.42825	619.32806	-128.82777	146.05942	607.09784	-132.72752	405.42822	619.32794	143.01263	348.13071	810.27594	-19.39943	527.93341	764.73358
6	0.042	-273.02399	265.97934	1124.18237	-118.24278	268.21826	1011.7998	-345.71368	164.03772	994.08795	-352.07428	234.80524	606.3783	-346.70581	277.24091	609.07056	-354.72797	322.66751	604.7865	-233.79601	91.78115	680.66888	-237.53566	461.78061	678.61823	-128.85121	145.85252	607.02753	-132.58304	405.16464	619.50104	-218.84338	100.51254	1068.16675	-93.70798	6.00859	894.94751	-60.66923	28.22619	732.87659	-58.64294	-49.42709	767.42645	92.13425	-45.15261	800.47363	191.49164	-60.16224	756.45282	196.64659	17.42107	784.50122	-193.87523	440.09988	1076.31616	-43.83144	489.36569	902.83716	-163.77229	531.47388	882.69269	-39.3782	500.9332	736.7522	-0.50895	555.79608	792.15466	62.80033	470.46707	838.30359	109.68481	325.86673	818.1944	176.52449	372.94839	803.98761	647.94946	-379.37527	719.34735	62.72491	-386.82147	724.20831	48.88677	853.54553	723.28638	635.31683	859.95593	719.38885	-128.85121	145.85252	607.02753	-132.58304	405.16464	619.50104	-128.85127	145.85251	607.02747	-132.58308	405.16464	619.50085	143.10466	349.40756	811.091	-19.94357	528.36462	764.45343
7	0.05	-272.71255	265.5412	1124.17102	-117.91116	267.60614	1011.70032	-345.65125	163.96277	994.06207	-352.01776	234.80495	606.44208	-346.68002	277.20587	609.12354	-354.66461	322.64496	604.8313	-233.84067	91.59253	680.54932	-237.38271	461.51761	678.8783	-128.86719	145.68346	606.96332	-132.4603	404.90646	619.70282	-218.87193	100.07893	1068.05884	-93.74905	5.69884	894.82727	-60.74561	27.89169	732.77881	-58.63732	-49.65732	767.32245	92.15374	-45.36178	800.38947	191.54401	-60.26016	756.401	196.68381	17.28948	784.5462	-193.2047	439.64362	1076.57178	-44.00504	490.25192	902.54822	-164.03134	531.40485	882.62634	-39.79297	501.11292	736.67188	-1.30207	556.57086	791.67694	62.66351	472.18823	838.28894	109.65754	327.16101	819.37323	176.6162	374.27011	804.38873	647.95789	-379.38544	719.34894	62.74678	-386.83151	724.21387	48.90173	853.54376	723.29785	635.31805	859.95459	719.38123	-128.86719	145.68346	606.96332	-132.4603	404.90646	619.70282	-128.86731	145.6835	606.96313	-132.46036	404.90643	619.7027	143.13687	350.71555	811.88098	-20.54752	528.84186	764.17438
8	0.058	-272.38559	265.08304	1124.16357	-117.57182	266.99844	1011.60602	-345.57205	163.87967	994.04272	-351.9563	234.80743	606.51373	-346.6546	277.16858	609.18921	-354.62082	322.63165	604.87482	-233.86638	91.4267	680.42883	-237.25449	461.24384	679.17072	-128.8683	145.55626	606.90656	-132.35368	404.6554	619.93524	-218.88188	99.63756	1067.95361	-93.75538	5.40042	894.70044	-60.91454	27.64408	732.71747	-58.61704	-49.89543	767.21265	92.17386	-45.5661	800.29956	191.59956	-60.36093	756.35065	196.72812	17.1586	784.59711	-192.53276	439.18726	1076.84656	-44.26237	491.33813	902.29199	-164.4166	531.2088	882.47876	-40.23636	501.31119	736.58575	-2.14742	557.37036	791.20782	62.50993	473.90683	838.22498	109.62616	328.45428	820.31531	176.6929	375.60089	804.81561	647.95868	-379.39169	719.3515	62.76444	-386.84167	724.21478	48.91266	853.54028	723.30103	635.31769	859.9519	719.37506	-128.8683	145.55626	606.90656	-132.35368	404.6554	619.93524	-128.86847	145.55634	606.90613	-132.35378	404.65533	619.93512	143.15953	352.02759	812.56543	-21.19189	529.34076	763.89679
