PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kw_5mar2013\Trimmed_kw5_5.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	319	31	mm	120	1	319																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-285.18161	200.45065	1069.0697	-151.18161	191.65126	963.00208	-348.41559	105.95366	944.76013	-381.42941	195.29749	617.28979	-375.47961	227.39557	614.9364	-381.13556	254.84891	611.18597	-297.47626	60.96162	687.91003	-306.75769	394.20856	677.98669	-191.80194	85.13212	659.74396	-197.55608	371.5524	647.06262	-230.15347	39.90833	1014.29584	-133.84334	-72.47997	882.27734	-105.57639	-58.4907	731.71326	-89.368	-132.4523	802.15363	4.67337	-114.22614	814.93597	129.40714	-137.89328	768.04028	128.79276	-61.78224	780.88733	-198.11899	350.40747	1034.26917	-73.70196	403.51169	879.84485	-164.27219	428.20984	872.06952	-74.80219	365.61032	730.78973	-36.29284	437.92511	780.08368	32.95968	336.99774	850.18628	62.75262	244.14923	850.42896	112.71877	300.68454	850.36621	669.62506	-371.55432	720.82941	88.25441	-380.52603	725.63654	70.95008	861.43976	722.42157	656.99011	869.24603	719.73425	-192.08977	95.87753	670.63312	-193.73758	348.96967	667.07983	-192.08908	95.87453	670.6311	-193.7366	348.96667	667.07794	87.73569	272.41687	850.39758	-55.54751	401.76773	755.43671
2	0.008	-285.63034	199.31525	1069.03076	-151.53629	190.3685	963.10724	-349.10364	105.11818	944.54767	-381.56726	195.15508	617.23785	-375.62357	227.28383	614.94281	-381.12	254.7225	611.18225	-297.79153	60.6326	687.61597	-306.52231	393.60699	678.33911	-192.10425	84.71511	659.42798	-197.59041	370.96497	647.52411	-231.02222	38.77676	1014.034	-134.30673	-73.34621	882.28845	-105.56243	-58.90689	731.64874	-89.3629	-133.05455	801.93848	4.68014	-114.87971	815.02936	129.53217	-137.99731	767.93494	128.72633	-61.93362	781.17358	-198.22391	349.00323	1034.88403	-74.01134	403.09357	880.51965	-164.72774	427.41483	873.27484	-75.46799	366.06967	731.24475	-36.78579	438.23044	780.96265	32.61591	336.68787	850.20245	62.7793	243.9509	849.5979	112.66424	300.5885	850.22559	669.62726	-371.55273	720.83051	88.25654	-380.52841	725.62354	70.94316	861.43964	722.41248	656.98383	869.24664	719.73938	-192.35724	95.4071	670.34821	-193.58287	348.20233	667.28479	-192.35646	95.40504	670.34601	-193.58168	348.20026	667.28296	87.72177	272.26971	849.91174	-56.12689	402.15005	756.1037
3	0.017	-286.11069	198.13602	1069.00232	-151.94791	189.0298	963.23364	-349.84561	104.25397	944.32306	-381.70938	195.01352	617.19794	-375.72632	227.15619	614.95355	-381.10342	254.58324	611.20032	-298.1087	60.29822	687.3252	-306.28088	392.97369	678.73004	-192.38722	84.27154	659.16827	-197.61794	370.33218	648.02411	-231.94969	37.60723	1013.75928	-134.79982	-74.24635	882.30676	-105.56607	-59.3049	731.62036	-89.37163	-133.68213	801.71936	4.68653	-115.62659	815.14233	129.65298	-138.13991	767.80957	128.683	-62.15422	781.55176	-198.40176	347.55203	1035.53723	-74.28583	402.69522	881.39258	-165.14969	426.67819	874.57813	-76.03475	366.71112	731.84436	-37.19608	438.67419	782.05841	32.31371	336.49966	850.40985	62.86046	243.88554	848.94318	112.6841	300.61237	850.26672	669.6297	-371.55096	720.83173	88.25895	-380.53146	725.61389	70.93683	861.44031	722.40454	656.97607	869.24976	719.74237	-192.61974	94.93127	670.11121	-193.41879	347.40295	667.56647	-192.61876	94.93068	670.10913	-193.41734	347.40228	667.56482	87.77228	272.24896	849.60492	-56.61542	402.69266	756.95142
4	0.025	-286.621	196.91513	1068.98535	-152.41901	187.62814	963.37848	-350.64511	103.36983	944.08026	-381.84985	194.87291	617.17108	-375.78049	227.01045	614.9657	-381.08945	254.43077	611.24518	-298.43216	59.95973	687.04395	-306.03622	392.31354	679.16156	-192.64998	83.79829	658.98608	-197.63773	369.6532	648.56305	-232.95172	36.40054	1013.47015	-135.33556	-75.18019	882.31805	-105.57574	-59.67668	731.63214	-89.40784	-134.33499	801.4942	4.68595	-116.48473	815.26941	129.75473	-138.3335	767.66681	128.6512	-62.47002	782.04828	-198.64716	346.05069	1036.22485	-74.51205	402.30548	882.46667	-165.53139	425.97867	875.9646	-76.44521	367.48804	732.59753	-37.49138	439.20435	783.36761	32.08305	336.40988	850.83966	63.01245	243.92668	848.51929	112.78233	300.72488	850.51111	669.63208	-371.54929	720.83289	88.26136	-380.53369	725.60858	70.93227	861.44202	722.39886	656.97009	869.25488	719.74323	-192.87938	94.45087	669.94147	-193.2469	346.57602	667.94141	-192.87813	94.45198	669.93958	-193.24507	346.577	667.94012	87.89739	272.32578	849.5152	-56.96829	403.34619	757.9826
5	0.033	-287.16177	195.65582	1068.98047	-152.9456	186.16136	963.54218	-351.5014	102.47577	943.81396	-381.98398	194.73038	617.1571	-375.78787	226.84402	614.97949	-381.07922	254.26434	611.31836	-298.76401	59.61515	686.77484	-305.7861	391.63	679.63318	-192.89487	83.29256	658.88269	-197.64555	368.92801	649.1394	-234.04097	35.1601	1013.16327	-135.92537	-76.14529	882.30664	-105.58498	-60.0119	731.6828	-89.48788	-135.01108	801.2558	4.66126	-117.47327	815.40155	129.81938	-138.59181	767.51422	128.60619	-62.90599	782.69464	-198.95197	344.49448	1036.94617	-74.6837	401.91296	883.73505	-165.86862	425.29504	877.42395	-76.66145	368.3468	733.50922	-37.65386	439.76865	784.88434	31.94343	336.39365	851.5141	63.23911	244.04419	848.37781	112.95577	300.89496	850.97131	669.63397	-371.548	720.83362	88.26326	-380.53387	725.60754	70.9304	861.44482	722.39648	656.96881	869.26099	719.74268	-193.13795	93.96223	669.84076	-193.06569	345.72342	668.40906	-193.13637	93.96491	669.83893	-193.06345	345.72583	668.40802	88.09744	272.46957	849.67456	-57.15765	404.05771	759.19678
6	0.042	-287.73181	194.36221	1068.98755	-153.52023	184.63159	963.72565	-352.41129	101.5801	943.52155	-382.10797	194.58127	617.15314	-375.75937	226.65466	614.99792	-381.07043	254.08388	611.41772	-299.1055	59.25899	686.51648	-305.52567	390.92557	680.1402	-193.12849	82.75127	658.84045	-197.63487	368.15948	649.74823	-235.2245	33.89047	1012.8349	-136.57855	-77.13651	882.25653	-105.59783	-60.29904	731.76611	-89.63057	-135.70604	800.99127	4.5849	-118.60815	815.52704	129.82787	-138.92955	767.36523	128.51826	-63.48645	783.52582	-199.30807	342.8775	1037.70386	-74.80161	401.50336	885.18329	-166.15707	424.61063	878.95026	-76.67309	369.22949	734.58374	-37.67949	440.31729	786.60272	31.90603	336.42584	852.44098	63.53288	244.20335	848.55664	113.19808	301.09442	851.65063	669.63483	-371.54761	720.83368	88.26406	-380.53149	725.61029	70.93163	861.44867	722.39758	656.97375	869.26752	719.74103	-193.39816	93.45727	669.79315	-192.87279	344.84494	668.95013	-193.39635	93.46105	669.79156	-192.87021	344.84833	668.94946	88.36548	272.6489	850.10364	-57.17629	404.77338	760.5932
7	0.05	-288.32639	193.03874	1069.0061	-154.13478	183.04373	963.92694	-353.3688	100.68815	943.20349	-382.21869	194.42065	617.15424	-375.71194	226.44197	615.02545	-381.05814	253.89084	611.53986	-299.45602	58.88438	686.2655	-305.25024	390.20255	680.67487	-193.35966	82.17411	658.83002	-197.60089	367.35336	650.38269	-236.50067	32.59511	1012.48383	-137.30498	-78.1468	882.15088	-105.63389	-60.5294	731.87323	-89.85955	-136.4124	800.68262	4.41954	-119.89733	815.63318	129.76042	-139.36067	767.24078	128.35739	-64.23502	784.57703	-199.70776	341.19455	1038.50232	-74.87233	401.05905	886.7926	-166.39296	423.91147	880.54077	-76.49482	370.07474	735.82391	-37.58097	440.80106	788.51233	31.97449	336.48166	853.61115	63.87531	244.36812	849.07336	113.49761	301.2959	852.54236	669.63428	-371.54831	720.83282	88.2635	-380.52713	725.61646	70.93559	861.45319	722.40192	656.98395	869.27405	719.73828	-193.66237	92.9269	669.77307	-192.66672	343.94073	669.53467	-193.66045	92.93111	669.77179	-192.66399	343.9444	669.5343	88.68646	272.832	850.80786	-57.0379	405.4379	762.16815
8	0.058	-288.93896	191.68887	1069.03455	-154.78217	181.40387	964.13953	-354.36505	99.80294	942.86377	-382.31351	194.24435	617.15442	-375.66269	226.20889	615.06549	-381.03622	253.68748	611.68127	-299.81097	58.48683	686.01862	-304.95651	389.46466	681.22992	-193.59456	81.56772	658.82117	-197.54375	366.51712	651.03601	-237.85721	31.27581	1012.11322	-138.11609	-79.1689	881.97186	-105.72621	-60.69954	731.99402	-90.20464	-137.12154	800.30737	4.11971	-121.33908	815.70697	129.59348	-139.89711	767.17114	128.09239	-65.17344	785.88013	-200.14279	339.44263	1039.34631	-74.90671	400.55875	888.54102	-166.57394	423.18457	882.19275	-76.16061	370.82077	737.22803	-37.39022	441.17136	790.59198	32.14416	336.53513	855.00067	64.23941	244.50502	849.92163	113.83486	301.46924	853.63049	669.63281	-371.54984	720.83124	88.26202	-380.52209	725.62524	70.94138	861.45795	722.40839	656.9964	869.28021	719.73419	-193.92938	92.36628	669.7547	-192.44646	343.01431	670.13257	-193.92755	92.37022	669.75372	-192.44382	343.01752	670.13257	89.03714	272.98712	851.77606	-56.77541	405.99606	763.90997
