PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\kz_11mar2013\Trimmed_kz5_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	407	31	mm	120	1	407																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-269.28964	228.66354	1052.50085	-136.85381	218.89615	972.96545	-342.99612	145.97496	964.5946	-352.28445	192.26427	621.41687	-350.50995	223.78011	623.79199	-357.03717	262.75079	622.2276	-246.32295	63.96225	671.15631	-255.55603	387.84	670.78046	-159.31288	103.13113	633.2088	-164.70912	355.49048	632.51666	-220.67529	85.43459	1034.12964	-184.80794	-53.19399	874.68134	-175.60201	-56.91387	717.14709	-190.50212	-128.15442	747.91205	-65.30753	-137.98938	809.8125	45.9295	-158.31458	800.09857	44.51342	-86.50595	824.97009	-215.2094	359.43268	1044.59009	-91.70665	433.49759	881.70441	-193.57431	467.08008	904.31927	-78.87565	449.92532	727.43695	-57.24864	514.13708	777.77979	-7.16094	433.21097	845.80774	42.24876	309.80554	863.38544	96.57191	360.43481	847.41095	642.93372	-373.50067	720.80365	58.49209	-376.76135	724.23492	51.49289	862.95685	719.81775	635.85315	868.41406	720.1814	-156.18851	100.3271	631.62579	-158.64787	350.74283	628.51733	-249.4465	173.53009	671.02917	-158.64537	350.74359	628.51385	69.41033	335.12018	855.39819	-68.06214	482.03122	752.6084
2	0.008	-269.90631	228.06624	1052.38733	-137.40364	218.23177	972.98065	-343.57339	145.4716	964.3385	-352.51859	192.25671	621.12952	-350.64005	223.72707	623.48096	-357.29236	262.64145	622.00281	-246.66679	63.91078	671.00299	-255.81415	387.48709	670.81366	-159.36967	103.27635	633.28137	-165.02557	355.41852	632.65918	-221.33167	84.7792	1033.88708	-186.82312	-53.72506	873.85187	-178.43103	-57.07676	716.29089	-193.79289	-128.30302	746.8999	-68.75806	-139.06165	808.87347	42.42652	-159.82979	799.17743	41.14174	-88.22781	824.62	-215.61147	358.66125	1044.89734	-92.30184	431.9834	881.48657	-193.34555	466.88181	905.42346	-80.0834	449.64847	727.44489	-58.18281	513.66614	777.92511	-8.0126	432.42239	845.50085	41.78621	309.16821	862.35455	95.84263	360.11914	846.81519	642.92841	-373.49945	720.80725	58.49247	-376.76144	724.23224	51.4653	862.95251	719.7832	635.85553	868.41382	720.18488	-156.41687	100.27971	631.74219	-158.80043	350.3942	628.79071	-249.76134	173.37665	670.93896	-158.79741	350.39532	628.78699	68.81441	334.64368	854.5849	-69.1331	481.65732	752.685
3	0.017	-270.57263	227.45267	1052.28479	-138.00201	217.54271	973.04089	-344.19363	144.98083	964.06757	-352.73352	192.25183	620.86115	-350.73959	223.68053	623.17535	-357.51987	262.52847	621.79474	-246.99406	63.88416	670.86151	-256.03012	387.14691	670.86163	-159.40747	103.405	633.37433	-165.33586	355.36377	632.82068	-222.05164	84.10819	1033.6488	-188.81616	-54.23265	873.05078	-181.216	-57.17983	715.46442	-197.03883	-128.40778	745.90527	-72.17625	-140.14252	807.96362	38.95771	-161.40169	798.2937	37.82138	-90.00948	824.31348	-216.08582	357.86908	1045.24023	-92.88555	430.5448	881.36719	-193.18132	466.58334	906.45117	-81.18858	449.33932	727.57349	-59.06541	513.17291	778.18115	-8.92439	431.64725	845.38513	41.25866	308.53281	861.63354	95.10651	359.80084	846.53418	642.9173	-373.49829	720.81201	58.52118	-376.75781	724.21906	51.4388	862.94849	719.74609	635.85828	868.41345	720.1886	-156.62337	100.25034	631.87695	-158.91112	350.05096	629.08508	-250.05096	173.24394	670.86157	-158.90797	350.05231	629.08167	68.18259	334.16684	854.08386	-70.12699	481.2561	752.87732
4	0.025	-271.28922	226.82512	1052.19531	-138.64964	216.82957	973.14539	-344.86746	144.50911	963.77997	-352.93961	192.24605	620.62213	-350.83032	223.63992	622.89246	-357.72134	262.4158	621.61462	-247.30194	63.87537	670.73114	-256.20404	386.83142	670.92517	-159.44632	103.51209	633.46136	-165.63747	355.32471	632.99921	-222.84525	83.4231	1033.41602	-190.79826	-54.72336	872.28009	-183.93837	-57.23577	714.67114	-200.23576	-128.47369	744.93542	-75.56411	-141.2341	807.09338	35.52341	-163.03471	797.45911	34.55362	-91.85269	824.06488	-216.63721	357.05911	1045.61584	-93.4335	429.23096	881.38177	-193.11975	466.18805	907.37775	-82.14761	448.99377	727.83826	-59.86613	512.66699	778.56598	-9.8565	430.89917	845.48462	40.69921	307.91013	861.26758	94.39023	359.48029	846.57831	642.90179	-373.49673	720.81757	58.57729	-376.75058	724.19598	51.41576	862.94489	719.71124	635.86102	868.41302	720.19177	-156.81451	100.23259	632.00842	-158.9895	349.7258	629.37866	-250.31352	173.13141	670.79675	-158.98663	349.72711	629.37604	67.54472	333.69522	853.92291	-71.00687	480.83038	753.20209
5	0.033	-272.05386	226.18701	1052.11987	-139.34219	216.09425	973.29041	-345.59644	144.05699	963.47217	-353.14243	192.23888	620.4173	-350.93384	223.60869	622.64807	-357.90326	262.3089	621.47131	-247.58669	63.87755	670.61096	-256.33871	386.54803	671.00366	-159.50624	103.59657	633.51758	-165.92706	355.29745	633.19019	-223.718	82.72543	1033.19019	-192.78046	-55.20369	871.54004	-186.58084	-57.26394	713.91492	-203.37959	-128.50482	743.99518	-78.92346	-142.33884	806.27258	32.12227	-164.73267	796.68573	31.33517	-93.76151	823.88739	-217.26546	356.23288	1046.02063	-93.93333	428.08139	881.56854	-193.19711	465.69934	908.18762	-82.92635	448.61676	728.25183	-60.55429	512.15985	779.09943	-10.75264	430.18842	845.81189	40.14861	307.30704	861.26959	93.72765	359.15283	846.93286	642.88446	-373.49472	720.82336	58.65308	-376.74075	724.16614	51.39878	862.94226	719.68207	635.86377	868.41284	720.19385	-156.99585	100.22111	632.11523	-159.04684	349.4277	629.64941	-250.5475	173.03696	670.74384	-159.04463	349.4288	629.64783	66.93813	333.22992	854.10126	-71.74033	480.38831	753.67566
6	0.042	-272.86227	225.54271	1052.05933	-140.07399	215.34175	973.46936	-346.37509	143.6199	963.14197	-353.34143	192.23346	620.24548	-351.06537	223.59238	622.45117	-358.07483	262.21548	621.37018	-247.84413	63.8845	670.49976	-256.43848	386.29926	671.09601	-159.60184	103.65965	633.52771	-166.20186	355.27933	633.38983	-224.66977	82.01623	1032.97388	-194.77115	-55.67892	870.82959	-189.13399	-57.28026	713.19873	-206.46471	-128.50372	743.08521	-82.25642	-143.46004	805.50977	28.74818	-166.49911	795.98676	28.15913	-95.74221	823.79346	-217.96606	355.39185	1046.4502	-94.38686	427.12204	881.96503	-193.43686	465.1239	908.87878	-83.50187	448.22134	728.82202	-61.10161	511.6629	779.79913	-11.54901	429.52289	846.36829	39.64738	306.72794	861.62201	93.15279	358.81311	847.56647	642.86792	-373.4928	720.82831	58.73698	-376.72983	724.13416	51.39011	862.94153	719.66083	635.86658	868.4129	720.19476	-157.16959	100.2119	632.18335	-159.09242	349.16159	629.88269	-250.7516	172.95741	670.70148	-159.091	349.16229	629.8819	66.40009	332.77054	854.59424	-72.30174	479.94214	754.31061
7	0.05	-273.71109	224.89645	1052.01245	-140.84099	214.58051	973.67535	-347.19711	143.19009	962.79004	-353.53296	192.23506	620.10089	-351.23148	223.59537	622.30219	-358.24496	262.14505	621.31207	-248.07181	63.89031	670.39728	-256.50842	386.08411	671.20233	-159.73955	103.70351	633.49127	-166.46117	355.27017	633.59772	-225.6978	81.29621	1032.77002	-196.77473	-56.1527	870.14709	-191.59641	-57.29324	712.52533	-209.48398	-128.47311	742.20184	-85.5657	-144.60263	804.81042	25.39044	-168.33894	795.37476	25.01778	-97.80289	823.79492	-218.73178	354.53799	1046.89954	-94.80459	426.36996	882.60535	-193.8446	464.47244	909.46545	-83.86446	447.82443	729.55176	-61.48733	511.18661	780.67712	-12.18603	428.90894	847.14618	39.2301	306.17691	862.28772	92.69348	358.45972	848.43958	642.85468	-373.492	720.83167	58.81455	-376.71967	724.10559	51.39082	862.94379	719.64941	635.86908	868.41327	720.19452	-157.33498	100.20122	632.21021	-159.13142	348.9288	630.07617	-250.92592	172.88847	670.66962	-159.1308	348.92905	630.07587	65.96179	332.31833	855.36365	-72.6759	479.50552	755.11444
8	0.058	-274.59933	224.25117	1051.97717	-141.64244	213.81938	973.90302	-348.05905	142.75868	962.41846	-353.71527	192.24814	619.97601	-351.43155	223.61845	622.19568	-358.41891	262.10718	621.29352	-248.27032	63.88926	670.3028	-256.55313	385.89899	671.32513	-159.91679	103.73325	633.42102	-166.70668	355.26947	633.8158	-226.80141	80.56575	1032.58093	-198.7928	-56.62671	869.49072	-193.97174	-57.30431	711.89789	-212.43109	-128.41628	741.33875	-88.85541	-145.77307	804.17682	22.03756	-170.25876	794.85925	21.90457	-99.95171	823.90137	-219.55383	353.67288	1047.36279	-95.19791	425.83975	883.5155	-194.40883	463.75934	909.97504	-84.01922	447.44171	730.44006	-61.70459	510.74069	781.73755	-12.61946	428.35211	848.13141	38.92196	305.65921	863.22351	92.36865	358.09689	849.5116	642.84619	-373.49335	720.8327	58.87085	-376.71225	724.08594	51.40065	862.94934	719.64948	635.87024	868.41364	720.19312	-157.49059	100.18488	632.20135	-159.16528	348.72739	630.23804	-251.0724	172.82515	670.64868	-159.16527	348.7272	630.23804	65.6453	331.87805	856.36755	-72.86191	479.09119	756.08881
