PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\ok_4mar2013\Trimmed_ok1_1.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	639	31	mm	120	1	639																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31												
																																																																																																										
1	0	-243.74304	223.41205	1106.46057	-129.00247	219.05289	998.2934	-362.4263	138.9335	982.57312	-343.23697	208.32912	593.71729	-344.75702	251.39206	595.73132	-337.6489	295.75562	601.65649	-245.80176	92.60715	652.82043	-252.01135	400.01889	653.02472	-168.92068	124.45691	620.01904	-150.17517	361.73221	634.48541	-231.51804	54.00639	1030.22485	-241.29442	-55.82628	876.94507	-168.20981	-63.00425	694.67828	-173.8459	-146.58849	750.79297	-9.30499	-142.44263	787.07397	109.27419	-150.02881	766.30859	99.68815	-65.24747	781.2489	-190.81937	398.21982	1059.11206	-85.1118	485.21884	902.05182	-172.50201	517.25842	915.02197	-80.61483	497.72421	731.86407	-41.45668	561.09344	803.73901	15.77403	470.50674	847.63708	93.04443	314.06403	832.08075	155.44252	367.43463	815.61615	648.12531	-374.8031	721.53436	66.66285	-375.85416	723.1402	63.28701	864.82855	722.23779	648.23334	866.41174	717.97406	-171.5444	124.19862	617.06982	-155.01079	359.70273	624.35724	-171.54385	124.19883	617.06921	-155.01001	359.70261	624.35645	124.24347	340.74933	823.84845	-61.03576	529.40881	767.80151
2	0.008	-243.52179	222.86772	1106.46899	-128.89758	218.53745	998.25616	-362.44559	138.88684	982.54572	-343.18396	208.32947	593.74469	-344.63354	251.38727	595.78259	-337.54868	295.75357	601.71521	-245.87354	92.52869	652.77454	-251.73164	399.95242	653.13306	-168.8907	124.32323	620.01196	-150.03305	361.62286	634.56494	-231.66629	53.63313	1030.0459	-241.47612	-56.07254	876.81873	-168.38496	-63.27211	694.49585	-173.91405	-146.84686	750.67731	-9.39865	-142.56172	787.02069	109.23089	-150.06274	766.29688	99.57362	-65.30996	781.24371	-190.34384	397.72534	1059.56165	-84.46175	484.81638	902.6897	-171.68137	517.31677	916.1875	-80.03034	498.47928	732.65973	-40.69024	561.3689	804.87256	16.32832	470.52582	848.26221	93.61159	314.17188	831.99524	156.05367	367.48709	815.5542	648.13062	-374.80139	721.52905	66.66025	-375.85437	723.13715	63.28101	864.83069	722.23279	648.23047	866.40924	717.97418	-171.58278	124.05303	617.03394	-154.7793	359.53949	624.43781	-171.58235	124.05331	617.03326	-154.77872	359.53958	624.43695	124.83263	340.82947	823.77472	-60.36029	529.92407	768.76611
3	0.017	-243.28998	222.33762	1106.47949	-128.77312	218.03835	998.23041	-362.45224	138.82974	982.52393	-343.12854	208.32634	593.77295	-344.50922	251.37949	595.83801	-337.43896	295.75101	601.77673	-245.92427	92.45451	652.73029	-251.49959	399.89636	653.26575	-168.85579	124.20862	620.02002	-149.8876	361.50345	634.64105	-231.8035	53.27598	1029.87256	-241.646	-56.31387	876.69348	-168.53958	-63.54827	694.31842	-173.98329	-147.10608	750.57556	-9.48609	-142.69273	786.97089	109.19103	-150.09474	766.28424	99.45422	-65.37583	781.25262	-189.9185	397.25607	1059.9989	-83.95878	484.56747	903.28265	-171.03995	517.40308	917.26361	-79.5301	499.20193	733.42548	-40.12289	561.71149	805.92249	16.69906	470.73462	848.9696	94.05771	314.44302	832.20056	156.54703	367.70987	815.78351	648.13806	-374.79932	721.52283	66.65937	-375.84875	723.13373	63.27581	864.8327	722.22809	648.22949	866.4115	717.97198	-171.60211	123.93098	617.01257	-154.58249	359.41055	624.55328	-171.60182	123.93132	617.0119	-154.58208	359.41083	624.55243	125.30237	341.07645	823.992	-59.8265	530.45673	769.67395
4	0.025	-243.0509	221.82112	1106.49365	-128.63599	217.55811	998.21332	-362.44525	138.75432	982.50568	-343.06934	208.31966	593.80035	-344.38861	251.37175	595.89801	-337.31854	295.74954	601.83746	-245.95508	92.38854	652.68628	-251.30791	399.84738	653.41467	-168.81693	124.12008	620.03284	-149.74022	361.37915	634.71478	-231.92068	52.9381	1029.70386	-241.79474	-56.55507	876.57184	-168.66476	-63.83357	694.14734	-174.05289	-147.36481	750.48474	-9.56876	-142.83626	786.92181	109.15358	-150.12544	766.26923	99.32832	-65.44473	781.27466	-189.5592	396.79764	1060.4176	-83.59625	484.46399	903.85608	-170.57985	517.49225	918.242	-79.10933	499.88803	734.17456	-39.72874	562.10284	806.91583	16.93242	471.08401	849.74249	94.39378	314.82147	832.60687	156.92877	368.05997	816.22803	648.14789	-374.79657	721.51624	66.66026	-375.83743	723.12939	63.27182	864.83466	722.22388	648.23047	866.41901	717.96765	-171.60541	123.83361	616.99786	-154.41632	359.30936	624.68915	-171.60521	123.83396	616.99731	-154.41605	359.30972	624.68842	125.66127	341.4407	824.41748	-59.41903	530.99542	770.54517
5	0.033	-242.80887	221.31145	1106.51172	-128.49391	217.09955	998.20361	-362.42404	138.65228	982.48926	-343.00497	208.30922	593.82495	-344.27689	251.36749	595.96259	-337.18918	295.7493	601.89496	-245.96848	92.33342	652.64264	-251.14047	399.80133	653.56793	-168.77832	124.0612	620.03857	-149.5925	361.25482	634.78857	-232.00925	52.61781	1029.53821	-241.91576	-56.80304	876.45526	-168.7531	-64.12605	693.98181	-174.12039	-147.62253	750.39777	-9.64765	-142.99171	786.86987	109.11643	-150.15651	766.25061	99.195	-65.51671	781.30786	-189.27881	396.33356	1060.80896	-83.36153	484.48486	904.4375	-170.29749	517.55951	919.12299	-78.7685	500.54138	734.91504	-39.48396	562.52338	807.87469	17.07233	471.51828	850.55219	94.63126	315.26221	833.11469	157.20561	368.49872	816.78839	648.15936	-374.79324	721.51007	66.6619	-375.82248	723.12415	63.26918	864.83636	722.2204	648.23334	866.43005	717.96179	-171.59694	123.75764	616.9812	-154.27003	359.22464	624.82507	-171.59683	123.75796	616.98065	-154.26985	359.22507	624.82452	125.91843	341.88046	824.95154	-59.12623	531.53235	771.39484
6	0.042	-242.56721	220.79884	1106.53186	-128.35316	216.66415	998.20044	-362.38779	138.51546	982.47339	-342.93411	208.29506	593.84576	-344.17786	251.36961	596.03101	-337.05511	295.74918	601.94904	-245.96721	92.29057	652.60071	-250.98428	399.75586	653.71649	-168.74455	124.03364	620.03058	-149.44719	361.13528	634.86493	-232.0616	52.30945	1029.37537	-242.00522	-57.06445	876.34393	-168.80196	-64.42089	693.82001	-174.18272	-147.88034	750.30542	-9.72153	-143.15752	786.81091	109.07767	-150.18979	766.22736	99.05676	-65.59152	781.34924	-189.0799	395.84976	1061.16467	-83.23811	484.60254	905.04749	-170.1834	517.58447	919.91437	-78.51653	501.16776	735.64819	-39.37159	562.95496	808.80994	17.14978	471.98901	851.36505	94.78255	315.73969	833.63751	157.38931	368.99771	817.36639	648.17078	-374.78967	721.50519	66.66309	-375.80719	723.1189	63.26784	864.83759	722.21802	648.23798	866.44183	717.95581	-171.58029	123.6995	616.95746	-154.13461	359.14825	624.94696	-171.58023	123.69974	616.95715	-154.13451	359.14862	624.94659	126.08593	342.36868	825.50195	-58.94406	532.06134	772.22906
7	0.05	-242.3273	220.27647	1106.55005	-128.21657	216.25099	998.20209	-362.33456	138.33688	982.45679	-342.85583	208.27791	593.86316	-344.09329	251.37982	596.10175	-336.92294	295.74783	602.0022	-245.95346	92.26036	652.56183	-250.83606	399.71152	653.85651	-168.71884	124.03745	620.00946	-149.30777	361.02496	634.94543	-232.07117	52.00526	1029.21619	-242.06171	-57.34254	876.23663	-168.8145	-64.71168	693.6601	-174.23712	-148.14023	750.19897	-9.7864	-143.33116	786.74139	109.03693	-150.22701	766.19763	98.92117	-65.66758	781.39435	-188.95166	395.34143	1061.4812	-83.20865	484.78955	905.69226	-170.22177	517.55389	920.62769	-78.37126	501.76886	736.36859	-39.38332	563.38367	809.71692	17.18038	472.4671	852.1474	94.86198	316.24902	834.11591	157.49692	369.5412	817.88391	648.17993	-374.78668	721.50208	66.66305	-375.79468	723.11456	63.26773	864.83813	722.21716	648.24432	866.45117	717.9516	-171.55737	123.65759	616.92712	-154.00774	359.07843	625.05084	-171.55737	123.65775	616.92694	-154.00769	359.07877	625.0506	126.17945	342.89511	825.99994	-58.87729	532.57629	773.04279
8	0.058	-242.0883	219.74342	1106.56287	-128.08284	215.85622	998.20502	-362.26114	138.1131	982.43829	-342.77124	208.25937	593.87872	-344.02365	251.3989	596.17303	-336.8006	295.74481	602.05817	-245.92819	92.24174	652.52649	-250.69911	399.66974	653.98779	-168.7032	124.0703	619.98004	-149.1768	360.9277	635.02936	-232.03268	51.69688	1029.0614	-242.08521	-57.6358	876.13086	-168.79605	-64.99285	693.50092	-174.2816	-148.40341	750.07214	-9.83681	-143.50951	786.65887	108.99562	-150.26964	766.15955	98.79863	-65.74232	781.43872	-188.87291	394.81482	1061.76306	-83.25915	485.0231	906.35986	-170.39114	517.46423	921.27295	-78.35655	502.33865	737.06268	-39.51919	563.80139	810.57501	17.16771	472.94617	852.86884	94.8868	316.80005	834.52057	157.54588	370.12479	818.29059	648.18494	-374.785	721.50067	66.66153	-375.78711	723.11188	63.26881	864.83771	722.21802	648.2522	866.45605	717.95068	-171.52859	123.63136	616.89227	-153.89175	359.01724	625.13873	-171.52863	123.63148	616.89209	-153.89177	359.01755	625.13861	126.21634	343.4624	826.40558	-58.93787	533.07001	773.81885
