PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\able_bodied\pk_25feb2013\Trimmed_pk1_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	667	31	mm	120	1	667																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-313.58716	263.435	1047.3241	-164.34485	266.89862	964.22614	-351.52048	128.96651	910.93866	-373.12982	213.05193	617.6778	-369.90088	251.27597	616.47687	-382.22156	292.02341	619.26593	-255.91673	61.56572	665.98474	-259.01443	469.58841	664.03064	-111.61515	129.18983	615.99988	-132.46753	406.10577	609.92609	-210.91722	108.7666	1029.21887	-98.54993	57.99804	874.76807	-98.92181	86.63127	702.20392	-55.09658	18.65172	776.41541	0.12613	77.73184	803.58417	107.09608	155.30046	794.49854	58.18842	213.64127	799.89355	-239.59283	432.32928	1022.54614	-164.46407	535.2973	839.79694	-253.65938	535.58716	856.04028	-174.82672	494.11679	688.27875	-168.66052	581.90479	738.15533	-10.70966	557.12634	785.30713	56.98135	517.50134	767.77765	48.06026	592.01147	750.70538	646.48334	-368.77551	721.36023	64.27074	-365.73218	723.3418	69.63864	875.69482	723.3501	653.20404	872.33313	719.75507	-111.61515	129.18983	615.99988	-132.46753	406.10577	609.92609	-111.61515	129.18999	615.99969	-132.46761	406.10599	609.92596	82.64225	184.47086	797.19604	-77.00919	52.64149	739.30969
2	0.008	-313.44217	263.76511	1047.38306	-164.1245	267.23865	964.28845	-351.24698	129.1862	911.09735	-372.99384	213.15331	617.76361	-369.82437	251.33476	616.59296	-382.16299	292.12714	619.31183	-255.69769	61.71228	666.15552	-259.0033	469.72272	663.95593	-111.46004	129.37906	616.04413	-132.45628	406.27124	609.81494	-210.76004	109.00274	1029.43604	-98.54666	57.8066	874.9054	-99.02312	86.21603	702.1842	-55.25388	18.51341	776.69232	-0.52268	77.81628	803.88354	106.74614	155.43761	794.73969	57.76223	213.71713	799.76733	-239.38495	432.67502	1022.53821	-164.3297	535.5661	839.70618	-253.54201	535.90295	856.03235	-174.85316	494.43518	688.17651	-168.62863	582.21503	738.09937	-10.71811	557.20856	785.25049	57.01513	517.55933	767.76965	48.1033	592.06763	750.69196	646.48334	-368.77554	721.36023	64.25591	-365.73041	723.33801	69.63618	875.68927	723.34692	653.20166	872.33191	719.75824	-111.46004	129.37906	616.04413	-132.45628	406.27124	609.81494	-111.46008	129.3793	616.04388	-132.45644	406.27161	609.81464	82.25419	184.57736	797.25348	-77.1385	52.36472	739.43823
3	0.017	-313.29977	264.12631	1047.43799	-163.9162	267.54666	964.35388	-351.06284	129.4579	911.24414	-372.85379	213.26547	617.8324	-369.76276	251.42101	616.71094	-382.11084	292.26279	619.36603	-255.50458	61.89679	666.33667	-258.95935	469.86295	663.87122	-111.32416	129.58281	616.08673	-132.42458	406.42169	609.68951	-210.71774	109.24887	1029.66626	-98.63644	57.59731	875.11316	-99.15549	85.7261	702.23462	-55.48603	18.28844	777.06708	-1.29884	77.79368	804.336	106.30923	155.51451	795.19208	57.22403	213.70839	799.91925	-239.11273	433.01126	1022.5415	-164.15317	535.83545	839.61194	-253.37378	536.23401	856.02972	-174.86971	494.74426	688.0788	-168.5687	582.52405	738.04419	-10.73259	557.29285	785.18701	57.03286	517.60059	767.75476	48.15202	592.12262	750.685	646.48334	-368.77554	721.36023	64.24109	-365.72995	723.33344	69.63436	875.68372	723.34406	653.19696	872.33081	719.76251	-111.32416	129.58281	616.08673	-132.42458	406.42169	609.68951	-111.32427	129.58313	616.08636	-132.42482	406.42212	609.68903	81.76663	184.61145	797.55566	-77.32076	52.00727	739.65088
4	0.025	-313.15948	264.521	1047.47937	-163.72789	267.8158	964.41833	-350.96976	129.78682	911.37506	-372.71634	213.38083	617.8866	-369.71255	251.53178	616.82452	-382.06213	292.42413	619.42609	-255.3423	62.11749	666.52106	-258.88376	470.01019	663.78015	-111.20916	129.79942	616.13007	-132.37135	406.55847	609.55847	-210.79034	109.51614	1029.91077	-98.80805	57.40057	875.40936	-99.30672	85.2029	702.37787	-55.75079	18.00745	777.53058	-2.09419	77.6832	804.90015	105.84978	155.54031	795.77655	56.64661	213.63692	800.2995	-238.78424	433.33569	1022.55237	-163.933	536.10333	839.51355	-253.15404	536.58057	856.02954	-174.87936	495.04297	687.98285	-168.47823	582.82965	737.98322	-10.75089	557.37811	785.11841	57.02118	517.61938	767.73486	48.20682	592.17615	750.68384	646.48334	-368.77557	721.36023	64.22858	-365.73087	723.32898	69.63322	875.67914	723.34204	653.19135	872.32965	719.76746	-111.20916	129.79942	616.13007	-132.37135	406.55847	609.55847	-111.20934	129.79974	616.12964	-132.37163	406.55893	609.55792	81.2482	184.58861	798.03802	-77.52876	51.60518	739.95422
5	0.033	-313.0224	264.95041	1047.50134	-163.56808	268.04297	964.47626	-350.96936	130.17505	911.48846	-372.58771	213.49319	617.92914	-369.67151	251.66216	616.92828	-382.01331	292.60376	619.48987	-255.21323	62.3683	666.6991	-258.77652	470.16592	663.68707	-111.11555	130.02371	616.17108	-132.29535	406.68423	609.42773	-210.97188	109.8149	1030.16992	-99.04683	57.24081	875.8042	-99.4684	84.69009	702.63196	-56.01284	17.70109	778.06335	-2.8006	77.49957	805.52631	105.42147	155.51558	796.41791	56.09465	213.51642	800.84918	-238.40912	433.65085	1022.56647	-163.66843	536.3667	839.40845	-252.88199	536.93945	856.02765	-174.88374	495.32962	687.88397	-168.35852	583.12988	737.91003	-10.76861	557.46259	785.04633	56.98125	517.61835	767.71161	48.26818	592.22778	750.68781	646.48334	-368.77557	721.36023	64.22028	-365.7327	723.32581	69.63311	875.67627	723.34119	653.18658	872.32849	719.77216	-111.11555	130.02371	616.17108	-132.29535	406.68423	609.42773	-111.11581	130.024	616.17059	-132.29564	406.68469	609.42706	80.75806	184.51599	798.63354	-77.74062	51.19559	740.34766
6	0.042	-312.8916	265.41278	1047.50317	-163.44453	268.23096	964.5224	-351.06107	130.62155	911.58618	-372.47263	213.59941	617.96246	-369.63806	251.80603	617.01929	-381.96155	292.79355	619.55554	-255.11879	62.63821	666.86273	-258.63586	470.33163	663.59521	-111.04395	130.24492	616.20453	-132.19501	406.80096	609.2995	-211.24951	110.15239	1030.44189	-99.33381	57.13568	876.29547	-99.63489	84.22894	703.00684	-56.24912	17.39572	778.64117	-3.3309	77.25208	806.16461	105.0617	155.43327	797.05365	55.61714	213.34946	801.50958	-237.99864	433.9632	1022.57806	-163.36119	536.62274	839.29187	-252.55719	537.30536	856.01941	-174.88399	495.60129	687.7774	-168.2142	583.42218	737.81934	-10.78053	557.54541	784.9715	56.9288	517.60809	767.68677	48.33677	592.27679	750.69592	646.48334	-368.77557	721.36023	64.21711	-365.73459	723.32526	69.63467	875.6756	723.34198	653.18451	872.32739	719.77545	-111.04395	130.24492	616.20453	-132.19501	406.80096	609.2995	-111.04423	130.24516	616.20398	-132.19527	406.80133	609.29871	80.33942	184.39136	799.28162	-77.942	50.81232	740.82404
7	0.05	-312.77139	265.90475	1047.49048	-163.36118	268.38901	964.55377	-351.23904	131.12241	911.67194	-372.37433	213.69946	617.98859	-369.61005	251.95662	617.09747	-381.90613	292.98471	619.62207	-255.06152	62.9114	667.00842	-258.45908	470.50702	663.50653	-110.99601	130.446	616.22784	-132.06847	406.90741	609.1748	-211.60391	110.53165	1030.7218	-99.64767	57.09521	876.86627	-99.80634	83.85127	703.50098	-56.45162	17.10951	779.24042	-3.63242	76.945	806.77338	104.79034	155.28102	797.63513	55.24232	213.12817	802.23035	-237.5657	434.28146	1022.58032	-163.01591	536.86902	839.15906	-252.18137	537.67389	856.00049	-174.88109	495.85413	687.65985	-168.05211	583.70343	737.70697	-10.78221	557.62665	784.89441	56.88741	517.60248	767.66199	48.41368	592.32202	750.70697	646.48334	-368.77557	721.36023	64.21903	-365.73569	723.3277	69.63885	875.67719	723.34503	653.18677	872.3266	719.77631	-110.99601	130.446	616.22784	-132.06847	406.90741	609.1748	-110.99622	130.4462	616.22723	-132.06862	406.90771	609.17407	80.01633	184.20459	799.93274	-78.12898	50.48039	741.37073
8	0.058	-312.66565	266.42523	1047.47229	-163.31567	268.53128	964.57056	-351.49103	131.67157	911.75031	-372.29483	213.79558	618.00909	-369.58417	252.10689	617.16492	-381.84885	293.16864	619.68939	-255.04483	63.17077	667.13696	-258.24481	470.68829	663.42242	-110.97398	130.60826	616.24304	-131.91473	406.9985	609.05609	-212.01204	110.95255	1031.00244	-99.97036	57.12125	877.48676	-99.98802	83.57435	704.10034	-56.62731	16.85086	779.84009	-3.69303	76.57842	807.32349	104.60941	155.04353	798.12646	54.97717	212.83788	802.9754	-237.12367	434.6145	1022.56671	-162.63988	537.10217	839.00647	-251.7601	538.04376	855.96729	-174.87416	496.08383	687.52966	-167.87949	583.97003	737.56915	-10.77149	557.70721	784.81506	56.87811	517.61224	767.63849	48.49966	592.36224	750.7193	646.48334	-368.77557	721.36023	64.22501	-365.73532	723.33264	69.64624	875.68079	723.35083	653.19434	872.32605	719.77454	-110.97398	130.60826	616.24304	-131.91473	406.9985	609.05609	-110.97404	130.60843	616.24231	-131.91476	406.99863	609.05536	79.79329	183.9407	800.5509	-78.30766	50.2126	741.97021
