PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_am2_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	595	31	mm	120	1	595																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-155.17812	309.48111	1135.25171	-27.46253	325.01059	1030.38879	-208.68901	203.78484	1061.3689	-327.42117	237.07121	667.06317	-329.56076	283.25391	668.87256	-328.71762	333.58386	666.90808	-188.98782	114.62183	696.47095	-215.90352	467.49698	683.3891	-125.35992	154.88719	631.97412	-126.27168	418.40482	622.57428	-50.68873	171.26721	1097.03137	82.92441	177.01297	938.58173	77.10049	236.64674	800.75018	148.12885	160.17375	853.86444	220.78598	226.67467	867.80548	337.87018	312.2825	797.91022	309.8624	349.73428	863.09662	-88.74133	495.93735	1080.42639	1.08909	559.42206	888.64508	-91.83256	577.97162	925.77606	3.41326	506.95944	741.0816	13.70109	596.53925	751.91211	143.34264	610.14685	762.77911	264.85861	550.54578	817.53864	263.25653	592.0166	741.38867	671.89063	-355.18176	721.50586	84.8712	-357.7272	721.82471	77.91726	885.83759	720.08649	664.18866	887.00592	718.79474	-121.97348	158.65585	617.65332	-128.83792	418.82217	605.20007	-121.97348	158.65585	617.65332	-128.83792	418.82217	605.20007	323.8663	331.00839	830.50342	112.61467	198.41025	827.30731
2	0.008	-154.5705	309.78036	1135.2262	-26.98911	325.27332	1030.26355	-208.20248	204.04721	1061.43408	-327.25851	237.1805	667.19989	-329.35342	283.33224	668.99103	-328.55298	333.6496	667.03052	-188.79744	114.7215	696.5423	-215.69122	467.59216	683.36792	-125.31614	154.91628	631.98889	-126.23551	418.52051	622.51068	-50.18184	171.55533	1097.08582	83.2662	176.9953	938.44507	77.18024	236.36337	800.67529	148.4438	159.93916	853.55096	221.06555	226.50887	867.414	337.97382	312.25522	797.36249	310.05133	349.62143	862.65228	-88.40703	496.08084	1080.4873	1.19928	559.56525	888.65186	-91.63458	578.08716	925.85699	3.66575	506.8847	741.03748	13.723	596.56592	751.89575	143.3625	610.16211	762.75909	264.87921	550.58636	817.59137	263.27783	592.01605	741.41119	671.8924	-355.18393	721.50726	84.8666	-357.7323	721.82776	77.92711	885.83331	720.08551	664.19067	887.00903	718.79523	-121.83314	158.72488	617.6651	-128.68329	418.88519	605.1347	-121.83314	158.72488	617.6651	-128.68329	418.88519	605.1347	324.01257	330.93832	830.00739	112.81203	198.15126	827.11316
3	0.017	-153.98424	310.10065	1135.20789	-26.53276	325.52219	1030.14978	-207.75572	204.33336	1061.50415	-327.10754	237.30106	667.33948	-329.15585	283.41928	669.1062	-328.38745	333.7251	667.1452	-188.61908	114.82256	696.61151	-215.47473	467.69507	683.34454	-125.27719	154.94814	632.00269	-126.19119	418.62564	622.44708	-49.72328	171.84305	1097.16125	83.58621	176.91095	938.35156	77.28874	236.06462	800.66565	148.752	159.64589	853.2431	221.33521	226.26665	867.07721	338.07565	312.19656	796.93524	310.23807	349.4303	862.35504	-88.06287	496.21918	1080.5481	1.31384	559.70264	888.65698	-91.43713	578.20441	925.93848	3.8835	506.81839	741.00122	13.74888	596.59033	751.8786	143.38255	610.17303	762.74243	264.896	550.61334	817.63806	263.30493	592.01025	741.43121	671.89417	-355.18723	721.50665	84.86237	-357.73834	721.83044	77.93349	885.82806	720.08331	664.1936	887.01233	718.79395	-121.70264	158.79219	617.67487	-128.52664	418.95184	605.06738	-121.70264	158.79219	617.67487	-128.52664	418.95184	605.06738	324.15686	330.81342	829.64514	113.02037	197.85526	826.95441
4	0.025	-153.41861	310.43973	1135.19702	-26.09517	325.75623	1030.05005	-207.34724	204.64154	1061.57861	-326.96545	237.42786	667.48047	-328.9711	283.5152	669.21954	-328.22174	333.81064	667.25244	-188.4532	114.9247	696.67822	-215.25232	467.80261	683.31927	-125.23326	154.98615	632.01306	-126.14005	418.71954	622.38763	-49.311	172.13268	1097.25452	83.88583	176.77335	938.29944	77.43491	235.77943	800.7019	149.04129	159.31445	852.93994	221.58702	225.96332	866.79694	338.1825	312.11057	796.63959	310.42401	349.17212	862.20746	-87.71342	496.35629	1080.6106	1.43001	559.83508	888.6615	-91.24307	578.32239	926.01923	4.07128	506.75812	740.97394	13.77723	596.61145	751.86084	143.40277	610.17908	762.72943	264.90823	550.63	817.68414	263.33612	591.99902	741.4483	671.89557	-355.19159	721.50439	84.85889	-357.74524	721.83276	77.93568	885.82208	720.08032	664.19751	887.0152	718.79126	-121.58345	158.85707	617.68127	-128.36783	419.01859	604.99695	-121.58345	158.85707	617.68127	-128.36783	419.01859	604.99695	324.30325	330.64133	829.42352	113.2381	197.54695	826.82092
5	0.033	-152.8716	310.79327	1135.19324	-25.67693	325.97604	1029.9657	-206.9725	204.9684	1061.65649	-326.82883	237.55557	667.62054	-328.7999	283.61954	669.3324	-328.05679	333.90567	667.3526	-188.29945	115.02733	696.74323	-215.02184	467.91104	683.29224	-125.17564	155.03365	632.0191	-126.08566	418.8056	622.33557	-48.94115	172.42535	1097.36169	84.1625	176.60118	938.28162	77.62134	235.5379	800.75647	149.29694	158.966	852.63934	221.81157	225.61807	866.57208	338.29883	311.99991	796.47888	310.60904	348.86066	862.20178	-87.36356	496.49564	1080.67639	1.54548	559.96393	888.66638	-91.05494	578.44067	926.09845	4.23094	506.70398	740.95703	13.80613	596.62878	751.8432	143.42268	610.18005	762.72034	264.91534	550.63983	817.73474	263.36841	591.98242	741.46252	671.89709	-355.19662	721.50159	84.85638	-357.75284	721.83502	77.93514	885.81549	720.07727	664.20197	887.01709	718.78766	-121.47575	158.91841	617.68439	-128.20567	419.08102	604.92279	-121.47575	158.91841	617.68439	-128.20567	419.08102	604.92279	324.45392	330.4303	829.34033	113.45914	197.25195	826.69794
6	0.042	-152.34055	311.15494	1135.19653	-25.27715	326.18411	1029.89734	-206.62358	205.30873	1061.73584	-326.69455	237.68057	667.75702	-328.64069	283.73163	669.44537	-327.89346	334.00879	667.44629	-188.15717	115.12961	696.80756	-214.78149	468.01669	683.26324	-125.09795	155.09282	632.02087	-126.03334	418.89218	622.29211	-48.60718	172.7207	1097.47827	84.41164	176.41629	938.28461	77.84341	235.36778	800.79846	149.504	158.6214	852.33746	221.9995	225.25211	866.39734	338.42532	311.86627	796.44696	310.79074	348.51126	862.32037	-87.0183	496.63937	1080.74658	1.65862	560.09052	888.67194	-90.87496	578.55957	926.17535	4.3638	506.65701	740.95105	13.83368	596.64227	751.82617	143.44156	610.17657	762.71539	264.91681	550.64612	817.79327	263.3985	591.96106	741.47455	671.89935	-355.20154	721.49921	84.85481	-357.76099	721.83746	77.9342	885.80859	720.07483	664.20618	887.01794	718.78369	-121.37881	158.97487	617.685	-128.03856	419.13495	604.84497	-121.37881	158.97487	617.685	-128.03856	419.13495	604.84497	324.60803	330.18875	829.38367	113.67371	196.99458	826.56799
7	0.05	-151.82315	311.51758	1135.20569	-24.89377	326.38434	1029.84314	-206.29048	205.65576	1061.8136	-326.56024	237.80199	667.88745	-328.49103	283.85071	669.55798	-327.73203	334.11829	667.53381	-188.02524	115.23108	696.8717	-214.53033	468.11682	683.23218	-124.9978	155.16386	632.01898	-125.99007	418.99115	622.25732	-48.29986	173.01688	1097.59851	84.62977	176.24228	938.29156	78.09092	235.29065	800.79956	149.65027	158.2999	852.0296	222.14294	224.88589	866.26343	338.55951	311.71054	796.52789	310.96494	348.13885	862.53748	-86.68273	496.78854	1080.82092	1.76856	560.216	888.67792	-90.70502	578.68005	926.24902	4.47371	506.6174	740.95471	13.85841	596.65228	751.80994	143.45869	610.16998	762.71436	264.91229	550.65167	817.86072	263.42355	591.93628	741.48535	671.90295	-355.20569	721.49799	84.85431	-357.7691	721.83972	77.93401	885.80249	720.07349	664.20947	887.01788	718.77972	-121.29107	159.02597	617.68402	-127.86496	419.17767	604.76398	-121.29107	159.02597	617.68402	-127.86496	419.17767	604.76398	324.76224	329.92468	829.53265	113.8706	196.79527	826.41461
8	0.058	-151.31857	311.87387	1135.21899	-24.52412	326.58157	1029.79944	-205.96347	206.00229	1061.88611	-326.42398	237.92099	668.00946	-328.34927	283.97586	669.66858	-327.5723	334.23291	667.61554	-187.9021	115.33224	696.93555	-214.26901	468.21057	683.1991	-124.87788	155.24428	632.01459	-125.96138	419.11029	622.23022	-48.00879	173.31111	1097.71582	84.81701	176.1032	938.28613	78.34928	235.31744	800.73901	149.72826	158.01735	851.71112	222.23676	224.5365	866.1579	338.69748	311.53284	796.69861	311.12637	347.7565	862.82349	-86.36146	496.94281	1080.89856	1.8752	560.34113	888.68372	-90.54623	578.80334	926.31854	4.56738	506.58383	740.96515	13.87948	596.65955	751.79413	143.47368	610.16144	762.71698	264.90204	550.65869	817.93506	263.44208	591.91003	741.49591	671.90784	-355.20856	721.49805	84.85526	-357.77621	721.84076	77.93368	885.79828	720.0733	664.21124	887.01746	718.77576	-121.21017	159.07281	617.68225	-127.6841	419.20901	604.68103	-121.21017	159.07281	617.68225	-127.6841	419.20901	604.68103	324.91193	329.64465	829.76105	114.03876	196.6674	826.22504
