PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\am_25jun2013\Trimmed_Trimmed_am3_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	1421	31	mm	120	1	1421																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31												
																																																																																																										
1	0	-141.54803	274.23541	1145.32385	-12.99332	295.59256	1045.56726	-180.11697	170.2865	1065.79663	-311.20895	228.71693	679.57355	-311.50873	274.15973	682.97595	-311.04922	323.37671	681.36621	-173.12846	102.90919	695.24469	-193.73102	452.42776	696.25928	-115.81918	142.64442	628.74188	-118.25352	408.56808	627.33557	-18.68393	141.83791	1116.77368	115.17415	132.31792	939.89777	100.11647	131.36591	782.28308	185.91656	103.94579	860.78387	213.15141	199.11537	870.5152	314.95865	330.71613	803.82153	232.03757	348.21194	852.53625	-89.57603	468.28711	1080.19702	-10.43149	536.57983	884.26538	-101.99744	540.62372	918.63812	2.91404	474.42511	739.48376	-1.50035	564.31769	745.77118	118.3834	610.5304	764.39203	240.6469	586.77747	831.80768	240.24925	621.42053	753.10327	671.96405	-355.16403	721.45233	84.68375	-357.74933	721.95612	77.85403	885.88513	720.15485	664.15308	887.05414	718.73425	-110.60547	148.59857	613.72485	-112.96893	405.11584	610.80609	-110.60547	148.59857	613.72485	-112.96893	405.11584	610.80609	273.49811	339.46402	828.17889	143.01653	117.65585	821.53351
2	0.008	-140.9453	274.24936	1145.23645	-12.55249	295.62454	1045.38757	-179.67845	170.38426	1065.66919	-311.12469	228.74768	679.59973	-311.4375	274.19125	682.99347	-311.00928	323.40146	681.36676	-173.00546	102.9678	695.21704	-193.7021	452.50372	696.20135	-115.7498	142.72072	628.69104	-118.17245	408.60352	627.21509	-18.28037	141.8936	1116.6875	115.33822	132.33688	939.63849	100.11691	131.34773	781.85645	185.87134	103.77175	860.44812	212.99892	198.97966	870.40686	315.50842	330.94708	803.83362	231.85165	348.12167	852.77393	-89.18118	468.30127	1080.25867	-10.28213	536.64752	884.27667	-101.80597	540.6684	918.74194	2.88981	474.47314	739.51276	-1.48772	564.34296	745.77283	118.4043	610.52502	764.41321	240.66301	586.71289	831.83221	240.25769	621.40497	753.14691	671.96246	-355.16135	721.45001	84.67892	-357.74652	721.95374	77.84924	885.88507	720.15399	664.14862	887.05719	718.73578	-110.53277	148.66452	613.66272	-112.96735	405.20358	610.71582	-110.53277	148.66452	613.66272	-112.96735	405.20358	610.71582	273.68002	339.53439	828.30377	142.99413	117.55975	821.15228
3	0.017	-140.38145	274.25281	1145.15125	-12.15111	295.64453	1045.21643	-179.26775	170.46014	1065.54004	-311.05841	228.77696	679.61542	-311.38516	274.22232	683.00452	-310.97681	323.42545	681.36102	-172.91205	103.01559	695.18787	-193.68626	452.57513	696.14087	-115.70316	142.77621	628.64526	-118.08441	408.62344	627.08649	-17.89543	141.94971	1116.61389	115.46063	132.40422	939.35876	100.08479	131.37097	781.41193	185.75589	103.64657	860.11261	212.81509	198.88136	870.26019	315.96066	331.13339	803.88904	231.66576	348.05731	852.90765	-88.83192	468.31067	1080.31604	-10.14822	536.69788	884.29047	-101.62498	540.72107	918.84772	2.91341	474.48911	739.52759	-1.48416	564.35706	745.7746	118.41502	610.51263	764.43677	240.67146	586.64832	831.8493	240.24702	621.38293	753.18048	671.95844	-355.15933	721.45142	84.67151	-357.74301	721.95166	77.84377	885.88361	720.15253	664.14246	887.05908	718.73969	-110.4845	148.71654	613.60138	-112.97804	405.28275	610.62598	-110.4845	148.71654	613.60138	-112.97804	405.28275	610.62598	273.8132	339.59534	828.39832	142.92033	117.50877	820.76227
4	0.025	-139.85706	274.24561	1145.06909	-11.78564	295.6524	1045.05078	-178.88564	170.51411	1065.41101	-311.01132	228.80579	679.62274	-311.35132	274.25314	683.0105	-310.95291	323.44833	681.35089	-172.84439	103.05563	695.15771	-193.68259	452.64197	696.07721	-115.67593	142.81483	628.60461	-117.99722	408.63223	626.95526	-17.53375	142.00412	1116.55554	115.54561	132.5134	939.06628	100.04076	131.4332	780.95947	185.584	103.56805	859.78558	212.6145	198.81868	870.07703	316.31519	331.27499	803.98212	231.48407	348.01709	852.93054	-88.52364	468.31305	1080.3667	-10.02912	536.72876	884.30524	-101.45593	540.78101	918.95538	3.00188	474.4678	739.52301	-1.48988	564.36115	745.77704	118.41611	610.4939	764.46063	240.67412	586.58398	831.85529	240.21716	621.35608	753.20178	671.95313	-355.15814	721.45587	84.66376	-357.73996	721.9502	77.83821	885.8808	720.15112	664.13544	887.0592	718.745	-110.45826	148.75792	613.54028	-113.00074	405.35373	610.53516	-110.45826	148.75792	613.54028	-113.00074	405.35373	610.53516	273.89963	339.64603	828.4563	142.81238	117.50062	820.37256
5	0.033	-139.37392	274.22849	1144.99048	-11.45366	295.64883	1044.88806	-178.53271	170.54813	1065.2832	-310.98416	228.83456	679.62347	-311.33508	274.28333	683.01208	-310.9389	323.46973	681.33807	-172.79774	103.09118	695.12622	-193.68997	452.70428	696.01031	-115.66509	142.84093	628.5683	-117.9189	408.63461	626.82776	-17.20163	142.05544	1116.51489	115.6003	132.65584	938.77356	100.00578	131.53088	780.51239	185.37431	103.53088	859.47748	212.41191	198.78746	869.86536	316.57132	331.37158	804.10712	231.31102	347.99655	852.84985	-88.25232	468.30692	1080.40894	-9.92457	536.73975	884.32013	-101.30163	540.84552	919.06421	3.16558	474.40659	739.49683	-1.50422	564.35687	745.78101	118.4088	610.46991	764.48383	240.67313	586.52063	831.84808	240.17014	621.3255	753.20996	671.94781	-355.15768	721.46191	84.65775	-357.73819	721.9491	77.83295	885.87701	720.15033	664.12842	887.0575	718.75031	-110.4505	148.79266	613.47864	-113.03455	405.41748	610.4425	-110.4505	148.79266	613.47864	-113.03455	405.41748	610.4425	273.94116	339.68408	828.47852	142.69005	117.53088	819.99493
6	0.042	-138.93417	274.20294	1144.91516	-11.15394	295.63544	1044.72742	-178.20898	170.56592	1065.15686	-310.97711	228.86334	679.61859	-311.33566	274.31207	683.00958	-310.9357	323.48923	681.32361	-172.76752	103.12512	695.09283	-193.70677	452.76172	695.93988	-115.66892	142.85802	628.53479	-117.85666	408.6348	626.70978	-16.90516	142.10385	1116.49451	115.63378	132.82167	938.4967	99.9949	131.6572	780.08673	185.14772	103.52739	859.19922	212.22153	198.78162	869.63922	316.72794	331.42273	804.2583	231.15123	347.98941	852.68542	-88.01478	468.29202	1080.44238	-9.83467	536.73175	884.33539	-101.16584	540.91064	919.17297	3.40544	474.30591	739.45038	-1.52549	564.34595	745.7876	118.39462	610.44208	764.50629	240.67047	586.45862	831.82745	240.11023	621.29169	753.20502	671.94324	-355.15768	721.46777	84.65466	-357.73776	721.94818	77.82822	885.87256	720.15009	664.12231	887.0545	718.75488	-110.45763	148.82422	613.41541	-113.07804	405.47443	610.34723	-110.45763	148.82422	613.41541	-113.07804	405.47443	610.34723	273.93958	339.70609	828.47186	142.5713	117.59229	819.64301
7	0.05	-138.53932	274.17111	1144.84216	-10.88645	295.61414	1044.56946	-177.91483	170.57237	1065.03149	-310.99005	228.89171	679.60864	-311.35251	274.3385	683.00299	-310.94385	323.50662	681.30786	-172.74992	103.15957	695.05719	-193.73145	452.81342	695.86566	-115.68741	142.86798	628.5025	-117.81573	408.63547	626.60559	-16.64973	142.15088	1116.49731	115.65646	133.00027	938.25415	100.0119	131.80042	779.70074	184.92467	103.54797	858.96021	212.05566	198.79408	869.41632	316.78339	331.4278	804.43005	231.01089	347.98953	852.46722	-87.80843	468.26923	1080.46753	-9.75968	536.70715	884.35205	-101.05246	540.97217	919.27997	3.70756	474.17123	739.38873	-1.55164	564.32977	745.79755	118.37549	610.41144	764.52856	240.66757	586.39801	831.79468	240.04361	621.2547	753.18793	671.93921	-355.15781	721.47192	84.65446	-357.7381	721.9472	77.82395	885.86786	720.15002	664.11761	887.05103	718.75861	-110.47652	148.85516	613.34998	-113.12968	405.52429	610.24866	-110.47652	148.85516	613.34998	-113.12968	405.52429	610.24866	273.89713	339.70868	828.44867	142.46829	117.67419	819.33051
8	0.058	-138.18933	274.13556	1144.77026	-10.65227	295.58624	1044.41638	-177.65176	170.57243	1064.90649	-311.02274	228.91893	679.59381	-311.38531	274.36169	682.99231	-310.96384	323.52182	681.29089	-172.74223	103.19553	695.01971	-193.76349	452.85828	695.7876	-115.72221	142.87085	628.4704	-117.79779	408.63739	626.51678	-16.4395	142.1987	1116.52649	115.67918	133.18066	938.06439	100.05022	131.94591	779.37177	184.72375	103.58209	858.76593	211.92296	198.81766	869.2135	316.73557	331.38596	804.61676	230.8985	347.99255	852.23053	-87.63099	468.2399	1080.48547	-9.69986	536.66943	884.3714	-100.9643	541.02612	919.38306	4.0394	474.01443	739.32166	-1.58092	564.30975	745.8114	118.35352	610.37842	764.55151	240.66513	586.33862	831.75195	239.97731	621.21393	753.15967	671.93506	-355.15778	721.47382	84.65607	-357.73813	721.94629	77.81976	885.86346	720.14954	664.11469	887.04779	718.76172	-110.50471	148.88678	613.28278	-113.18859	405.56631	610.14685	-110.50471	148.88678	613.28278	-113.18859	405.56631	610.14685	273.81702	339.68927	828.42365	142.38699	117.764	819.06885
