PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\aw_31oct2013\Trimmed_aw4_4.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	386	31	mm	120	1	386																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-267.16284	211.84496	1090.97144	-117.2281	242.32292	991.81757	-325.06403	125.34624	938.45844	-327.03787	207.23785	617.71082	-320.6264	245.00989	621.28833	-323.76535	284.43713	620.0968	-221.5863	50.21867	665.27386	-221.76465	439.82983	672.90143	-105.00888	91.69569	622.71173	-112.27808	403.98276	640.85034	-162.3902	78.47575	1043.30078	-72.87376	-4.35947	934.7207	-7.63826	18.2002	742.60706	-3.07032	-61.8483	813.91022	138.7955	-44.09853	813.68353	235.95244	-53.66422	776.13873	230.28148	23.06716	791.79352	-216.28049	361.71216	1083.47449	-129.29547	459.20206	927.82611	-221.68129	462.46603	973.93671	-124.85589	437.48367	780.86902	-94.59254	522.03583	835.02936	26.8988	452.40799	775.88025	89.53563	362.82141	856.9151	109.18855	377.82224	780.26428	662.06763	-337.80319	735.99121	76.41938	-348.13074	733.57086	56.87754	894.88678	731.44781	638.36938	905.46045	737.49005	-105.00888	91.69569	622.71173	-112.27808	403.98276	640.85034	-105.00888	91.69569	622.71173	-112.27808	403.98276	640.85034	99.36208	370.32181	818.58972	-109.72422	479.75974	807.94916
2	0.008	-267.3526	211.51228	1090.91357	-117.39365	242.00577	991.82025	-325.16339	125.04299	938.36005	-327.09204	207.22339	617.66443	-320.69156	244.99696	621.25867	-323.80554	284.43234	620.06372	-221.70691	50.11645	665.19025	-221.86276	439.69659	673.00348	-105.10516	91.60591	622.70691	-112.36241	403.85742	640.99066	-162.50705	78.16924	1043.31482	-72.92322	-4.57512	934.74377	-7.74268	18.00363	742.64258	-3.0923	-62.05574	813.92133	138.75948	-44.25913	813.65704	235.92859	-53.69559	776.12579	230.21582	23.03421	791.81146	-216.84207	361.28226	1083.40601	-128.99916	458.19171	928.21631	-221.87408	461.84088	973.91425	-124.06856	436.81558	781.95892	-94.52972	521.70392	835.85394	27.70712	452.46921	777.77502	90.45433	363.69858	859.52826	110.64568	378.57245	782.91681	662.0752	-337.79166	735.98303	76.42553	-348.11676	733.57568	56.88254	894.89807	731.45374	638.37256	905.47113	737.47961	-105.10516	91.60591	622.70691	-112.36241	403.85742	640.99066	-105.10516	91.60591	622.70691	-112.36241	403.85742	640.99066	100.55	371.1355	821.22253	-109.29914	479.25974	808.90643
3	0.017	-267.5361	211.15285	1090.84521	-117.56062	241.71536	991.85199	-325.22476	124.6698	938.25531	-327.13879	207.21208	617.61816	-320.74918	244.97983	621.23572	-323.83661	284.42325	620.03748	-221.82925	50.0194	665.11493	-221.93597	439.5517	673.12762	-105.19807	91.51467	622.71814	-112.42267	403.71393	641.15753	-162.5972	77.87451	1043.35645	-72.87641	-4.73109	934.80804	-7.82852	17.82591	742.68817	-3.10386	-62.23978	813.94202	138.73621	-44.40048	813.63599	235.91364	-53.71627	776.11548	230.16484	23.00947	791.83386	-217.48206	360.81778	1083.40466	-128.71548	457.3551	928.85724	-222.13715	461.14456	973.88495	-122.92869	436.43048	783.31555	-94.3026	521.54865	837.21613	28.84936	452.6369	780.74164	91.1694	364.4765	863.33063	112.08617	379.26642	786.84564	662.08923	-337.77597	735.97113	76.43745	-348.09808	733.58447	56.89091	894.91437	731.46344	638.38177	905.48553	737.46747	-105.19807	91.51467	622.71814	-112.42267	403.71393	641.15753	-105.19807	91.51467	622.71814	-112.42267	403.71393	641.15753	101.62778	371.87146	825.08813	-108.61565	478.98956	810.26581
4	0.025	-267.71454	210.75209	1090.76929	-117.73086	241.44818	991.91663	-325.25217	124.22696	938.14246	-327.17542	207.20169	617.57343	-320.79782	244.95656	621.2207	-323.85843	284.40765	620.02063	-221.94994	49.92719	665.04004	-221.98207	439.39618	673.27277	-105.28667	91.42283	622.73199	-112.45819	403.55432	641.34357	-162.66559	77.58601	1043.42065	-72.74802	-4.83895	934.90741	-7.89435	17.6678	742.74323	-3.10657	-62.40305	813.96954	138.72885	-44.52378	813.61835	235.90987	-53.72607	776.10999	230.12785	22.99316	791.85883	-218.19058	360.28836	1083.48621	-128.5069	456.75537	929.85663	-222.49571	460.38193	973.89984	-121.4603	436.39737	784.89911	-93.88876	521.56354	839.17566	30.3052	453.02188	784.57904	91.72646	365.08267	867.91327	113.46042	379.93463	791.6413	662.10565	-337.759	735.95935	76.45235	-348.07828	733.59601	56.90071	894.93243	731.47534	638.39331	905.5014	737.45587	-105.28667	91.42283	622.73199	-112.45819	403.55432	641.34357	-105.28667	91.42283	622.73199	-112.45819	403.55432	641.34357	102.59344	372.50864	829.77728	-107.67453	478.98047	812.03741
5	0.033	-267.88974	210.29924	1090.69141	-117.90704	241.19795	992.01807	-325.24991	123.71607	938.02118	-327.20044	207.18987	617.5329	-320.83563	244.92578	621.21448	-323.87122	284.38388	620.01526	-222.06355	49.83925	664.95856	-222.00238	439.23157	673.43671	-105.36819	91.33245	622.73669	-112.47111	403.38251	641.54095	-162.71552	77.29672	1043.50037	-72.55262	-4.91024	935.03308	-7.94018	17.53028	742.80457	-3.1013	-62.54974	813.99957	138.73662	-44.6303	813.60168	235.91727	-53.72549	776.11108	230.1021	22.98528	791.88324	-218.95816	359.67157	1083.65723	-128.4157	456.42242	931.28833	-222.96521	459.56754	974.00964	-119.71019	436.73648	786.69196	-93.27576	521.74231	841.72357	32.03315	453.67673	789.06702	92.17982	365.49033	872.92657	114.77193	380.59598	796.94769	662.1192	-337.74445	735.95123	76.46594	-348.06128	733.60834	56.90993	894.94867	731.48706	638.40308	905.5152	737.44708	-105.36819	91.33245	622.73669	-112.47111	403.38251	641.54095	-105.36819	91.33245	622.73669	-112.47111	403.38251	641.54095	103.47588	373.04315	834.93713	-106.49298	479.23938	814.20776
6	0.042	-268.06412	209.78853	1090.61816	-118.09132	240.95726	992.15796	-325.22186	123.14056	937.89319	-327.21353	207.17442	617.49957	-320.86053	244.8869	621.21741	-323.87512	284.35114	620.02258	-222.16345	49.75416	664.86591	-222.00159	439.05963	673.61676	-105.43843	91.24577	622.72455	-112.46593	403.20364	641.74384	-162.74655	77.00024	1043.5874	-72.30379	-4.95615	935.17401	-7.96812	17.41314	742.86621	-3.08756	-62.68473	814.02618	138.75568	-44.7221	813.58325	235.9337	-53.71652	776.11841	230.0834	22.98486	791.90308	-219.7769	358.95721	1083.91943	-128.45016	456.35031	933.16254	-223.54494	458.72278	974.25861	-117.74757	437.42508	788.69	-92.46641	522.07312	844.7948	33.95319	454.56943	793.98138	92.57958	365.70645	878.1004	116.04774	381.25729	802.48248	662.12585	-337.73544	735.94867	76.47463	-348.05029	733.61896	56.91675	894.96014	731.49622	638.40826	905.52344	737.44269	-105.43843	91.24577	622.72455	-112.46593	403.20364	641.74384	-105.43843	91.24577	622.72455	-112.46593	403.20364	641.74384	104.31367	373.48187	840.29144	-105.10699	479.74911	816.74243
7	0.05	-268.2399	209.21806	1090.55408	-118.2833	240.71933	992.33466	-325.17029	122.50586	937.76062	-327.2146	207.15332	617.47638	-320.87036	244.83989	621.22949	-323.87036	284.3096	620.04291	-222.24171	49.66893	664.76019	-221.9866	438.8819	673.81036	-105.49148	91.16419	622.69238	-112.44853	403.02341	641.94855	-162.75436	76.69183	1043.67334	-72.01429	-4.98716	935.31696	-7.9819	17.31353	742.92047	-3.06348	-62.81291	814.04272	138.78064	-44.80267	813.56049	235.95634	-53.70295	776.13	230.06754	22.98937	791.9151	-220.64162	358.14453	1084.27112	-128.58563	456.49994	935.42499	-224.21979	457.87067	974.68225	-115.65314	438.40976	790.88507	-91.48231	522.53339	848.29089	35.96019	455.60767	799.11816	92.95982	365.75507	883.24396	117.30443	381.91611	808.04041	662.12421	-337.73337	735.95142	76.47735	-348.04715	733.62579	56.91993	894.96497	731.5011	638.40784	905.52423	737.44269	-105.49148	91.16419	622.69238	-112.44853	403.02341	641.94855	-105.49148	91.16419	622.69238	-112.44853	403.02341	641.94855	105.13213	373.8356	845.64215	-103.56773	480.47159	819.58801
8	0.058	-268.41772	208.58841	1090.50171	-118.47978	240.47914	992.54413	-325.09598	121.81999	937.62433	-327.20361	207.12503	617.46582	-320.86313	244.78513	621.25073	-323.85657	284.26007	620.07581	-222.28897	49.57927	664.64233	-221.96521	438.69922	674.01563	-105.51968	91.08827	622.64099	-112.42502	402.84732	642.15369	-162.7334	76.36858	1043.74963	-71.69618	-5.01285	935.44843	-7.9851	17.22635	742.95905	-3.02726	-62.93898	814.04224	138.80585	-44.8769	813.53198	235.98326	-53.68989	776.14282	230.05174	22.9948	791.9187	-221.54733	357.23761	1084.70862	-128.77939	456.80695	937.98151	-224.96477	457.03253	975.3056	-113.50465	439.61981	793.25336	-90.36224	523.08893	852.10107	37.95552	456.69202	804.31659	93.33408	365.66342	888.23694	118.54034	382.56592	813.48816	662.11621	-337.73792	735.9574	76.47588	-348.05179	733.62805	56.91955	894.96307	731.50134	638.40271	905.51782	737.44598	-105.51968	91.08827	622.64099	-112.42502	402.84732	642.15369	-105.51968	91.08827	622.64099	-112.42502	402.84732	642.15369	105.93721	374.11465	850.86255	-101.93344	481.35437	822.67725
