PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\em_22aug2013\Trimmed_em2_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	821	31	mm	120	1	821																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-249.58228	325.8266	1100.29639	-112.79072	317.59433	949.09412	-330.76782	209.33772	995.71643	-393.95844	249.77197	591.78735	-396.95035	295.95047	596.02252	-399.49731	344.17618	592.94867	-290.1282	112.93756	647.7829	-319.76764	492.68677	645.15674	-183.24113	155.11568	618.94904	-200.67517	458.72705	615.24664	-163.46526	183.63646	1084.55896	-42.30395	141.03214	962.41394	7.75772	191.92798	765.25787	78.40505	114.65524	837.23822	134.98299	219.78856	860.84631	222.72121	311.36133	792.12854	174.88431	343.81931	854.01257	-157.45757	482.29977	1051.55847	-22.30546	570.41125	892.95129	-112.76534	593.4599	895.40283	10.91866	546.55109	747.23834	0.65726	636.54132	786.2334	134.48273	647.83862	800.40546	271.03754	586.72717	803.35693	266.70004	648.67438	747.63733	660.24976	-345.18637	732.58502	77.47009	-360.61301	731.05872	46.0507	882.52228	727.0506	627.91016	897.7132	728.91119	-183.24113	155.11568	618.94904	-200.67517	458.72705	615.24664	-183.24113	155.11568	618.94904	-200.67517	458.72705	615.24664	198.80276	327.5903	823.07056	43.08139	153.29161	801.24805
2	0.008	-249.49342	326.21686	1100.29529	-112.73618	318.33368	948.96588	-330.46085	209.52301	995.80035	-393.88925	249.84236	591.86761	-396.88968	296.01419	596.0683	-399.44638	344.22446	592.9693	-289.89856	113.10207	647.93652	-319.8078	492.80228	645.00238	-183.05614	155.3317	619.0127	-200.70628	458.90192	615.06104	-163.12625	184.10526	1084.46387	-41.97638	141.51936	962.85431	8.22979	191.45053	765.23499	79.05434	115.38161	838.39545	134.57668	221.25386	861.39404	221.90515	312.991	792.3642	173.44418	345.58075	853.74207	-157.7079	482.89224	1051.53833	-22.53035	570.8916	892.90863	-113.04332	593.87848	895.27557	10.71866	546.71979	747.36047	0.56468	636.71271	786.08667	134.42831	648.05737	800.3075	270.9639	586.85431	803.42584	266.62634	648.71729	747.64172	660.26575	-345.17508	732.57617	77.46819	-360.65036	731.06757	45.9726	882.48322	727.06915	627.81268	897.69684	728.90039	-183.05614	155.3317	619.0127	-200.70628	458.90192	615.06104	-183.05614	155.3317	619.0127	-200.70628	458.90192	615.06104	197.67467	329.28586	823.0531	43.64207	153.41608	801.81525
3	0.017	-249.47701	326.64761	1100.29504	-112.72559	319.01022	948.8656	-330.32016	209.75458	995.80817	-393.82623	249.91182	591.94159	-396.83496	296.07477	596.11365	-399.39911	344.27432	592.99457	-289.6998	113.24221	648.05804	-319.84851	492.91296	644.87195	-182.89836	155.5186	619.05133	-200.74063	459.06638	614.89502	-163.049	184.66368	1084.45337	-41.68882	141.98418	963.57233	8.76879	191.33057	766.02765	80.04643	116.03923	839.60559	134.45078	222.49431	862.68445	221.0946	314.99344	793.8606	172.11124	347.18158	855.06305	-157.95477	483.43335	1051.54224	-22.75301	571.3277	892.88208	-113.31935	594.26483	895.16766	10.56877	546.87872	747.45996	0.4752	636.88348	785.9826	134.37143	648.258	800.23621	270.89258	586.96948	803.48383	266.5701	648.76581	747.64996	660.28802	-345.14377	732.56219	77.47576	-360.66177	731.08081	45.9069	882.46423	727.09052	627.7251	897.69556	728.88129	-182.89836	155.5186	619.05133	-200.74063	459.06638	614.89502	-182.89836	155.5186	619.05133	-200.74063	459.06638	614.89502	196.60292	331.08752	824.46185	44.40761	153.68489	802.81665
4	0.025	-249.537	327.11798	1100.30127	-112.76003	319.63147	948.80267	-330.32565	210.03951	995.75476	-393.77203	249.97783	592.00806	-396.78653	296.13083	596.1582	-399.35617	344.32553	593.02325	-289.52924	113.36475	648.15143	-319.8866	493.01764	644.76575	-182.76498	155.68297	619.06891	-200.77486	459.21906	614.75006	-163.15869	185.27876	1084.52893	-41.42028	142.39604	964.47394	9.31549	191.61514	767.49786	81.28315	116.65322	840.74939	134.60597	223.50972	864.50061	220.31813	317.26898	796.29059	170.9749	348.59717	857.65045	-158.20042	483.92957	1051.56775	-22.96419	571.71149	892.87701	-113.57575	594.62225	895.08527	10.49795	547.01575	747.52673	0.39812	637.05731	785.92041	134.31665	648.43951	800.18481	270.82587	587.07483	803.52563	266.53491	648.82452	747.65985	660.31177	-345.0929	732.54584	77.49024	-360.64346	731.09552	45.85799	882.46826	727.11084	627.65784	897.71259	728.85852	-182.76498	155.68297	619.06891	-200.77486	459.21906	614.75006	-182.76498	155.68297	619.06891	-200.77486	459.21906	614.75006	195.64651	332.93307	826.97052	45.29932	154.13419	804.12366
5	0.033	-249.66502	327.61627	1100.31848	-112.8337	320.20651	948.78119	-330.44159	210.37697	995.67065	-393.72803	250.03882	592.06653	-396.74426	296.18219	596.20129	-399.31793	344.37817	593.05341	-289.38956	113.47447	648.22858	-319.91956	493.11575	644.68097	-182.65678	155.82732	619.08099	-200.80544	459.35696	614.63	-163.36496	185.90588	1084.68262	-41.15877	142.74025	965.46497	9.88599	192.29858	769.40338	82.61907	117.27674	841.81183	134.96223	224.35634	866.67743	219.64648	319.67368	799.39862	170.06738	349.845	861.14636	-158.44449	484.39023	1051.61023	-23.15455	572.0401	892.89459	-113.79429	594.95447	895.03253	10.52212	547.12805	747.55548	0.33726	637.23505	785.88757	134.26845	648.60828	800.14197	270.76416	587.17328	803.55042	266.51907	648.89386	747.66974	660.33081	-345.02762	732.52936	77.50744	-360.59854	731.10889	45.82634	882.49237	727.12787	627.61951	897.74774	728.8363	-182.65678	155.82732	619.08099	-200.80544	459.35696	614.63	-182.65678	155.82732	619.08099	-200.80544	459.35696	614.63	194.85693	334.75934	830.27246	46.25253	154.78766	805.6076
6	0.042	-249.84453	328.12674	1100.34937	-112.93699	320.74323	948.80084	-330.62381	210.75671	995.59674	-393.69443	250.09465	592.11786	-396.70792	296.22943	596.24243	-399.28421	344.43259	593.08276	-289.28568	113.57431	648.30591	-319.94553	493.20764	644.61285	-182.5761	155.95139	619.10864	-200.82912	459.4769	614.53943	-163.58696	186.50916	1084.89661	-40.90049	143.04164	966.4649	10.5312	193.33315	771.466	83.89445	117.96974	842.8468	135.39091	225.1169	869.10724	219.16251	322.05356	803.01215	169.37167	350.96799	865.22046	-158.68462	484.82556	1051.66333	-23.31617	572.31763	892.93109	-113.95978	595.26483	895.01013	10.63794	547.22003	747.54712	0.29421	637.41431	785.86951	134.23004	648.77142	800.09912	270.7074	587.26758	803.56158	266.51642	648.9696	747.67841	660.341	-344.95651	732.51447	77.52369	-360.5369	731.1189	45.80844	882.52887	727.14044	627.61298	897.79681	728.81799	-182.5761	155.95139	619.10864	-200.82912	459.4769	614.53943	-182.5761	155.95139	619.10864	-200.82912	459.4769	614.53943	194.26709	336.51077	834.11627	47.21282	155.65144	807.15643
7	0.05	-250.05566	328.63596	1100.39502	-113.05975	321.2471	948.85779	-330.82877	211.16072	995.57404	-393.67078	250.14629	592.16455	-396.67746	296.27353	596.28217	-399.25427	344.48901	593.11005	-289.22153	113.66638	648.39929	-319.96295	493.29346	644.5556	-182.52487	156.05429	619.17059	-200.84335	459.57584	614.4801	-163.77208	187.07187	1085.14563	-40.65054	143.36212	967.41516	11.28898	194.65157	773.44781	84.97092	118.77798	843.92297	135.76166	225.86476	871.72217	218.92789	324.2778	807.01862	168.84489	352.009	869.61053	-158.9162	485.24396	1051.72009	-23.44304	572.55328	892.97943	-114.06259	595.55591	895.01599	10.81994	547.30072	747.50977	0.27129	637.59076	785.85577	134.20125	648.93066	800.05261	270.65475	587.35913	803.56531	266.51886	649.04456	747.685	660.34253	-344.88965	732.5022	77.53702	-360.47272	731.12463	45.79851	882.56708	727.14832	627.63141	897.85126	728.80609	-182.52487	156.05429	619.17059	-200.84335	459.57584	614.4801	-182.52487	156.05429	619.17059	-200.84335	459.57584	614.4801	193.8864	338.1434	838.31458	48.12995	156.71477	808.68542
8	0.058	-250.27892	329.13535	1100.45605	-113.19372	321.7215	948.94659	-331.02283	211.56863	995.63226	-393.6557	250.19498	592.21027	-396.65295	296.31573	596.32233	-399.22736	344.54755	593.13538	-289.19733	113.75285	648.51996	-319.97015	493.37283	644.50415	-182.50282	156.13655	619.27728	-200.8463	459.65167	614.44946	-163.90164	187.59319	1085.40417	-40.42473	143.77159	968.28052	12.16096	196.19171	775.20203	85.75922	119.72054	845.07556	135.98366	226.63866	874.47003	218.96275	326.26111	811.33514	168.44299	352.98984	874.13977	-159.13342	485.65125	1051.77515	-23.53078	572.75818	893.03082	-114.10007	595.83014	895.04602	11.02616	547.38049	747.45679	0.27082	637.75928	785.83887	134.17897	649.08307	800.00006	270.60605	587.44617	803.56738	266.52011	649.11023	747.68915	660.33838	-344.83624	732.49323	77.54704	-360.4201	731.12598	45.79164	882.59698	727.15216	627.66156	897.90021	728.80133	-182.50282	156.13655	619.27728	-200.8463	459.65167	614.44946	-182.50282	156.13655	619.27728	-200.8463	459.65167	614.44946	193.70288	339.62546	842.73743	48.96009	157.95613	810.13879
