PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\mo_12feb2014\Trimmed_mo4_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	581	31	mm	120	1	581																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-276.41803	247.95772	1097.26758	-165.10443	263.95441	978.81921	-372.96103	139.57083	999.0368	-398.76334	202.39928	615.87415	-405.93552	247.03377	612.05151	-402.74536	304.97128	612.75012	-307.41638	89.09211	681.31976	-306.91757	415.4671	678.92529	-216.42696	137.71989	647.00494	-217.96126	362.07047	650.4209	-221.64314	86.12135	1043.13989	-157.06613	-5.11587	917.84802	-89.19649	12.14822	756.05859	-62.41875	-60.59517	822.54407	55.99237	-36.37983	826.55872	178.87717	-23.74402	762.99475	174.91182	44.05662	810.36053	-242.93929	418.42154	1058.63318	-137.78841	519.00781	949.00226	-230.73245	511.2558	963.3772	-99.44132	510.06171	806.24011	-46.99325	576.7547	870.99548	50.19286	435.53058	882.03577	90.80795	348.66553	869.95679	140.95142	387.17957	814.06494	636.16998	-346.93536	744.82336	50.5729	-350.54678	741.35626	43.29988	894.4765	739.09979	625.14557	896.1463	741.19586	-224.95897	132.49883	643.03796	-225.82365	372.59637	641.65448	-224.95897	132.49883	643.03796	-225.82365	372.59637	641.65448	115.87968	367.92255	842.01086	-73.21729	543.4082	838.6178
2	0.008	-276.24307	247.44894	1097.50244	-164.8548	263.39783	979.22137	-372.88046	139.28685	999.15411	-398.51126	202.38721	616.08429	-405.67102	247.04536	612.27173	-402.45001	304.95288	613.00446	-307.17407	88.93508	681.36932	-306.42914	415.31516	679.24341	-216.17285	137.6003	646.98828	-217.59985	362.02341	650.49585	-221.64601	85.66492	1043.27832	-157.05565	-5.53329	918.0351	-89.25249	11.7244	756.27759	-62.27125	-60.98009	822.77362	56.14699	-36.60567	826.6994	178.90993	-23.71308	763.00726	174.9146	44.08501	810.41779	-242.7612	417.76373	1059.2561	-137.28381	518.85779	950.49707	-230.03761	510.97504	965.11499	-99.08633	510.97037	807.63611	-46.40697	577.15735	872.74146	50.3975	435.54584	883.03461	90.72207	348.61237	870.47253	140.94171	387.25555	814.76862	636.17053	-346.92911	744.82056	50.57132	-350.5462	741.3606	43.30523	894.47626	739.099	625.14465	896.1543	741.19122	-224.71204	132.31076	643.06232	-225.39537	372.41364	641.87732	-224.71204	132.31076	643.06232	-225.39537	372.41364	641.87732	115.83189	367.93396	842.62054	-72.74665	544.06384	840.18878
3	0.017	-276.06149	246.92455	1097.75391	-164.61555	262.84805	979.65082	-372.79382	138.98767	999.27979	-398.2507	202.38753	616.30292	-405.39554	247.06898	612.49762	-402.14902	304.94443	613.26959	-306.91562	88.78522	681.41083	-305.9234	415.16492	679.58807	-215.91043	137.49289	646.96985	-217.22186	362.00467	650.56964	-221.63603	85.20161	1043.42603	-157.05045	-5.97871	918.26074	-89.28752	11.23885	756.54883	-62.08085	-61.41889	823.06305	56.32487	-36.86161	826.87219	178.95628	-23.68293	763.02936	174.92993	44.12267	810.47876	-242.63612	417.11377	1059.89807	-137.00233	518.82666	951.8858	-229.54509	510.63968	966.62256	-98.80117	511.79791	808.99365	-45.9845	577.49988	874.50555	50.43714	435.52893	884.19604	90.48584	348.52661	871.22876	140.85168	387.29828	815.76587	636.17804	-346.92065	744.8147	50.57053	-350.54456	741.36646	43.31412	894.47693	739.0993	625.14636	896.16736	741.18146	-224.44905	132.13371	643.08282	-224.95018	372.23651	642.12177	-224.44905	132.13371	643.08282	-224.95018	372.23651	642.12177	115.66876	367.91245	843.49731	-72.39284	544.64886	841.74957
4	0.025	-275.88141	246.38341	1098.02161	-164.3909	262.31223	980.10699	-372.70139	138.66879	999.40869	-397.98175	202.39966	616.52844	-405.11218	247.1033	612.72833	-401.84814	304.94556	613.54468	-306.63297	88.64231	681.43811	-305.40567	415.01727	679.95789	-215.6413	137.40161	646.94214	-216.8344	362.01105	650.6394	-221.61519	84.73105	1043.58008	-157.04401	-6.45384	918.53156	-89.28889	10.6817	756.87756	-61.83733	-61.91897	823.42096	56.53397	-37.15354	827.07935	179.01778	-23.65436	763.06378	174.95818	44.17025	810.54199	-242.56892	416.46567	1060.56311	-136.91147	518.86688	953.19971	-229.27992	510.25745	967.85956	-98.55879	512.5318	810.30402	-45.69757	577.73474	876.30951	50.36503	435.44028	885.43542	90.15851	348.37726	872.07825	140.72171	387.31793	816.9176	636.19226	-346.91092	744.80707	50.57172	-350.54221	741.37323	43.32624	894.47821	739.10071	625.15125	896.18323	741.16821	-224.16536	131.97141	643.09039	-224.49326	372.0697	642.38232	-224.16536	131.97141	643.09039	-224.49326	372.0697	642.38232	115.44011	367.8476	844.49792	-72.12818	545.1333	843.30676
5	0.033	-275.70895	245.82397	1098.30518	-164.18173	261.79565	980.58966	-372.60205	138.32469	999.53552	-397.70377	202.42209	616.76007	-404.82327	247.14624	612.96417	-401.55106	304.95493	613.82831	-306.3158	88.50509	681.44702	-304.88281	414.87292	680.35065	-215.367	137.32971	646.89948	-216.4453	362.04111	650.70569	-221.58542	84.25325	1043.73853	-157.02739	-6.95912	918.85443	-89.25001	10.04159	757.26733	-61.53273	-62.48644	823.85626	56.78396	-37.4869	827.32343	179.0945	-23.62737	763.11334	174.99947	44.22702	810.60773	-242.5575	415.81378	1061.25586	-136.96742	518.92853	954.46344	-229.24443	509.84277	968.80682	-98.3396	513.1604	811.56354	-45.51506	577.82837	878.15955	50.2314	435.2533	886.67883	89.79765	348.14441	872.90094	140.58545	387.32034	818.10052	636.21185	-346.90115	744.7995	50.57522	-350.5397	741.38068	43.34089	894.4798	739.10345	625.15936	896.19958	741.1543	-223.85457	131.82716	643.07764	-224.03084	371.91849	642.65308	-223.85457	131.82716	643.07764	-224.03084	371.91849	642.65308	115.19155	367.73239	845.50073	-71.92733	545.49438	844.86151
6	0.042	-275.54849	245.24487	1098.60388	-163.98524	261.30005	981.09845	-372.49402	137.95052	999.65466	-397.41583	202.45238	616.99683	-404.53122	247.19543	613.20569	-401.25861	304.97076	614.11847	-305.95435	88.37183	681.43567	-304.36261	414.73132	680.76355	-215.09081	137.27917	646.83942	-216.06168	362.0957	650.77264	-221.54845	83.76877	1043.89966	-156.99039	-7.4937	919.23541	-89.17204	9.30657	757.71912	-61.16279	-63.12514	824.37677	57.08316	-37.86604	827.60645	179.18414	-23.60168	763.1806	175.05345	44.29027	810.67816	-242.59439	415.15417	1061.97937	-137.12453	518.96997	955.69037	-229.41376	509.41211	969.46765	-98.12994	513.67065	812.77271	-45.40623	577.76361	880.04352	50.07964	434.95605	887.87415	89.45271	347.82004	873.62244	140.47189	387.30573	819.22882	636.23456	-346.89297	744.79419	50.58006	-350.53754	741.3891	43.35697	894.48132	739.10754	625.1701	896.21417	741.14276	-223.51067	131.70364	643.03961	-223.56976	371.78659	642.92834	-223.51067	131.70364	643.03961	-223.56976	371.78659	642.92834	114.9623	367.56287	846.42566	-71.76808	545.71716	846.40814
7	0.05	-275.40277	244.64519	1098.91565	-163.79602	260.82312	981.63257	-372.37506	137.54338	999.76044	-397.11795	202.48735	617.2373	-404.2388	247.2484	613.4527	-400.96936	304.99124	614.41241	-305.54214	88.24096	681.40454	-303.8537	414.59076	681.19312	-214.8183	137.24991	646.76355	-215.68858	362.17688	650.84595	-221.50652	83.27773	1044.06226	-156.92256	-8.05648	919.67908	-89.06087	8.4656	758.23193	-60.72776	-63.83585	824.98682	57.43652	-38.29417	827.92975	179.28226	-23.57735	763.26666	175.11951	44.35545	810.75598	-242.66951	414.48492	1062.73438	-137.34334	518.96228	956.88239	-229.73859	508.97864	969.86761	-97.91975	514.04742	813.93329	-45.34452	577.53882	881.9339	49.94384	434.54883	888.99506	89.16193	347.40604	874.21802	140.4043	387.26776	820.26215	636.25745	-346.88794	744.79291	50.58474	-350.53613	741.39886	43.37301	894.48267	739.11243	625.18243	896.22516	741.1358	-223.12982	131.60265	642.97491	-223.11736	371.67572	643.20398	-223.12982	131.60265	642.97491	-223.11736	371.67572	643.20398	114.78311	367.33688	847.24011	-71.63214	545.79309	847.93359
8	0.058	-275.27274	244.02477	1099.23694	-163.60928	260.35922	982.18945	-372.24332	137.10292	999.8479	-396.81137	202.52371	617.47955	-403.94815	247.30241	613.70386	-400.68149	305.01456	614.70685	-305.07758	88.11133	681.35571	-303.36496	414.44949	681.6355	-214.5564	137.23875	646.67773	-215.33023	362.28625	650.93097	-221.4624	82.77851	1044.22534	-156.81514	-8.64775	920.18781	-88.92239	7.50995	758.80261	-60.23262	-64.61572	825.6864	57.84541	-38.77379	828.29321	179.38348	-23.55499	763.37158	175.19719	44.4165	810.84381	-242.77167	413.80533	1063.51843	-137.59402	518.888	958.03271	-230.15454	508.54749	970.05518	-97.70278	514.27557	815.04645	-45.30986	577.1637	883.79297	49.84723	434.04053	890.03992	88.95222	346.91116	874.70764	140.39993	387.19342	821.20245	636.2774	-346.88693	744.79584	50.5882	-350.53619	741.40961	43.38766	894.48376	739.11731	625.19495	896.23145	741.13416	-222.71141	131.52504	642.88586	-222.68068	371.58603	643.47784	-222.71141	131.52504	642.88586	-222.68068	371.58603	643.47784	114.67608	367.05228	847.95508	-71.50632	545.71967	849.41974
