PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\re_7jun2013\Trimmed_re2_2.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	849	31	mm	120	1	849																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_R_Wrist			V_R_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-306.0018	285.79266	1081.2002	-173.94186	258.09076	913.32141	-390.6936	171.15401	1003.85669	-458.76157	202.69868	561.07318	-450.07291	236.67923	554.39124	-463.26328	278.62671	548.4873	-345.66019	47.2733	657.63898	-323.86273	428.49149	626.52679	-265.21555	60.59758	632.42859	-232.29097	383.40253	596.62909	-216.43614	143.69893	1066.45313	-125.19398	28.17675	952.51324	-85.00513	1.28673	750.65784	-38.35205	-69.48386	852.74969	52.49182	49.16985	857.39886	170.86426	84.42998	792.26898	127.84303	137.93903	841.7088	-220.31812	429.75433	1024.85522	-66.25117	491.62561	878.22546	-174.17738	525.01648	882.11847	-11.91275	452.81708	737.46887	-16.97927	545.32843	758.46948	136.31873	555.25348	789.578	253.35059	505.78564	789.37579	249.16057	573.46716	738.19397	669.0907	-374.94919	719.54449	81.92446	-382.86838	720.29639	69.88621	860.23315	717.63165	649.79486	867.48096	717.80792	-262.08942	64.39771	621.63263	-229.74014	377.35022	604.50739	-262.08942	64.39771	621.63263	-229.74014	377.35022	604.50739	149.35364	111.1845	816.98889	-61.67859	-34.09856	801.7038
2	0.008	-305.9411	286.61349	1081.02185	-174.0833	258.87894	913.03564	-390.45926	171.60187	1004.02979	-458.83237	202.66478	560.9812	-450.16095	236.64404	554.27679	-463.33575	278.63068	548.34229	-345.71777	47.38262	657.73529	-324.10605	428.64294	626.37292	-265.25192	60.67484	632.51111	-232.46742	383.43423	596.57306	-216.10866	144.97534	1066.79126	-124.61623	29.22842	953.12085	-85.17019	1.03733	751.38947	-37.9899	-70.01818	853.0293	52.8463	48.62204	857.51843	170.89703	84.08329	791.84717	128.14761	137.43027	841.66693	-220.69621	430.51312	1024.50476	-66.53448	492.00162	878.1333	-174.48532	525.44135	881.74011	-12.00245	452.89111	737.55975	-16.95727	545.38989	758.40125	136.32961	555.32507	789.54181	253.36713	505.82861	789.39709	249.17926	573.47095	738.1604	669.09399	-374.95505	719.5426	81.93464	-382.88016	720.2984	69.89035	860.22852	717.63452	649.8031	867.4715	717.80963	-262.12915	64.52883	621.78076	-229.93823	377.53903	604.46039	-262.12915	64.52883	621.78076	-229.93823	377.53903	604.46039	149.52232	110.75677	816.75702	-61.58004	-34.49043	802.20935
3	0.017	-305.8808	287.41992	1080.8457	-174.22107	259.65796	912.76221	-390.23199	172.03616	1004.19434	-458.89911	202.62813	560.88495	-450.24603	236.60866	554.16211	-463.4061	278.63303	548.19556	-345.76596	47.4878	657.8208	-324.35489	428.79504	626.22406	-265.27301	60.74974	632.57794	-232.64668	383.47336	596.51984	-215.79459	146.22852	1067.13	-124.06624	30.21889	953.7337	-85.32168	0.72078	752.11292	-37.6315	-70.53765	853.36353	53.15902	48.11887	857.67157	170.89743	83.77711	791.50507	128.38234	136.98328	841.64081	-221.0705	431.25732	1024.15161	-66.81315	492.36322	878.04199	-174.78191	525.86084	881.37122	-12.08474	452.95959	737.65399	-16.94299	545.44952	758.33618	136.34715	555.3916	789.50604	253.38843	505.86884	789.41809	249.19466	573.47577	738.12335	669.099	-374.96298	719.54248	81.94366	-382.89252	720.29993	69.89355	860.2262	717.63593	649.80463	867.46472	717.81335	-262.16064	64.66067	621.91785	-230.14024	377.73318	604.4151	-262.16064	64.66067	621.91785	-230.14024	377.73318	604.4151	149.63988	110.3802	816.57294	-61.47659	-34.90844	802.73822
4	0.025	-305.82935	288.21078	1080.67285	-174.3568	260.42328	912.50592	-390.02139	172.45996	1004.3512	-458.9606	202.5896	560.7854	-450.32617	236.57196	554.04681	-463.47363	278.63116	548.04614	-345.80099	47.58952	657.89783	-324.60699	428.94632	626.07825	-265.28195	60.82212	632.63373	-232.82632	383.51852	596.4679	-215.50465	147.45139	1067.46777	-123.55135	31.14842	954.35718	-85.46594	0.36482	752.84985	-37.26108	-71.01979	853.75739	53.45318	47.68102	857.84943	170.871	83.53327	791.20752	128.56946	136.61421	841.6109	-221.4422	431.98706	1023.79565	-67.08663	492.71262	877.95068	-175.06952	526.27673	881.01221	-12.16365	453.02469	737.75049	-16.93758	545.5094	758.27277	136.36929	555.45508	789.47009	253.4115	505.90781	789.43744	249.20468	573.48309	738.08215	669.104	-374.97183	719.54541	81.94859	-382.90332	720.30005	69.89452	860.22644	717.6355	649.8006	867.45966	717.81903	-262.1803	64.79376	622.04584	-230.34377	377.93127	604.36987	-262.1803	64.79376	622.04584	-230.34377	377.93127	604.36987	149.72023	110.07375	816.40924	-61.36351	-35.32748	803.30365
5	0.033	-305.79483	288.98315	1080.50403	-174.49118	261.1698	912.27026	-389.83542	172.87555	1004.50128	-459.01593	202.54993	560.68341	-450.40036	236.533	553.92993	-463.53802	278.62253	547.89319	-345.82056	47.68879	657.96869	-324.85974	429.09552	625.93347	-265.28394	60.89126	632.68347	-233.00421	383.56732	596.41559	-215.24686	148.6376	1067.80139	-123.07536	32.02469	954.99243	-85.60551	0.00374	753.61621	-36.87218	-71.44783	854.20782	53.74856	47.31671	858.05042	170.83134	83.35852	790.93787	128.73418	136.32353	841.5769	-221.81212	432.70148	1023.43689	-67.35374	493.05203	877.85852	-175.35106	526.68896	880.66248	-12.23951	453.0889	737.84717	-16.94061	545.5705	758.20947	136.39287	555.51758	789.43365	253.43295	505.94785	789.45422	249.2083	573.49384	738.03674	669.10724	-374.98016	719.55121	81.94803	-382.91052	720.29803	69.89288	860.22949	717.63306	649.79462	867.45465	717.82568	-262.1857	64.92863	622.16681	-230.54622	378.13171	604.32336	-262.1857	64.92863	622.16681	-230.54622	378.13171	604.32336	149.78276	109.84103	816.25739	-61.23885	-35.72205	803.91199
6	0.042	-305.78378	289.73303	1080.33984	-174.62564	261.89307	912.05597	-389.67993	173.28427	1004.64502	-459.06451	202.50995	560.57959	-450.4689	236.49147	553.81018	-463.59964	278.60599	547.7359	-345.82416	47.78717	658.03546	-325.11035	429.242	625.78815	-265.28458	60.95671	632.73187	-233.17877	383.61673	596.36127	-215.02594	149.78223	1068.1272	-122.63669	32.86182	955.63678	-85.73322	-0.32973	754.41626	-36.46713	-71.80952	854.70996	54.05608	47.02709	858.27802	170.79601	83.24849	790.69788	128.89734	136.10452	841.54974	-222.18039	433.39893	1023.07623	-67.61285	493.38348	877.76538	-175.6284	527.09491	880.32019	-12.30441	453.15155	737.94318	-16.95023	545.63257	758.14508	136.41469	555.58112	789.39661	253.45013	505.99167	789.46863	249.20601	573.50836	737.98737	669.10754	-374.98651	719.55786	81.94278	-382.91281	720.2934	69.88918	860.23547	717.62909	649.79047	867.44928	717.83173	-262.1763	65.06592	622.28278	-230.74516	378.33304	604.27454	-262.1763	65.06592	622.28278	-230.74516	378.33304	604.27454	149.84666	109.67651	816.12384	-61.10018	-36.06962	804.56311
7	0.05	-305.80084	290.4567	1080.18115	-174.76332	262.59012	911.86163	-389.55792	173.68694	1004.78186	-459.10596	202.47067	560.4743	-450.53308	236.44786	553.68683	-463.65942	278.58224	547.57434	-345.81329	47.88667	658.1001	-325.35577	429.38531	625.6416	-265.2886	61.01945	632.78284	-233.3486	383.66333	596.30383	-214.84381	150.88185	1068.44153	-122.22872	33.67705	956.28412	-85.83427	-0.61258	755.24304	-36.05379	-72.09673	855.26141	54.37613	46.81105	858.53815	170.78055	83.19344	790.50208	129.07062	135.95007	841.54285	-222.54703	434.07733	1022.71558	-67.86288	493.70892	877.67212	-175.90219	527.4903	879.98346	-12.34096	453.20648	738.04132	-16.96417	545.69574	758.07904	136.43254	555.64758	789.35962	253.46146	506.04208	789.48224	249.19965	573.52679	737.93433	669.10486	-374.98978	719.56256	81.9355	-382.90991	720.28656	69.88473	860.24438	717.62445	649.78986	867.44489	717.83557	-262.15338	65.20637	622.39545	-230.93816	378.53351	604.22308	-262.15338	65.20637	622.39545	-230.93816	378.53351	604.22308	149.92558	109.57175	816.02246	-60.94403	-36.35465	805.25226
8	0.058	-305.84891	291.15152	1080.02905	-174.90807	263.259	911.68524	-389.46957	174.08411	1004.91046	-459.14035	202.43317	560.36816	-450.59448	236.40349	553.56061	-463.71835	278.55338	547.40955	-345.79117	47.98934	658.16473	-325.59311	429.52466	625.49353	-265.30011	61.08192	632.84021	-233.51201	383.70404	596.24274	-214.70065	151.93427	1068.74133	-121.84296	34.48589	956.92712	-85.89365	-0.83612	756.08325	-35.64223	-72.3053	855.86377	54.70073	46.66771	858.83655	170.79472	83.18272	790.36847	129.2563	135.85518	841.56653	-222.9127	434.7348	1022.35754	-68.10434	494.03012	877.58093	-176.17357	527.87122	879.65118	-12.32688	453.24307	738.14764	-16.98026	545.75989	758.01154	136.44565	555.71893	789.32336	253.46628	506.10172	789.4978	249.19197	573.54938	737.87781	669.10071	-374.98941	719.56335	81.92963	-382.90262	720.27905	69.88127	860.25555	717.62048	649.79156	867.44427	717.83618	-262.12003	65.35038	622.50653	-231.12325	378.73056	604.16864	-262.12003	65.35038	622.50653	-231.12325	378.73056	604.16864	150.02551	109.51894	815.96747	-60.76794	-36.57071	805.97351
