PathFileType	4	(X/Y/Z)	C:\VACMARL\ILimb\Pathological\sc_13feb2014\Trimmed_sc2_3.trc																																																																																																							
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																																																																																			
120	120	835	31	mm	120	1	835																																																																																																			
Frame#	Time	C7			Sternum			R.Offset			R.PSIS			V.Sacrum			L.PSIS			R.Illiac.Crest			L.Illiac.Crest			R.ASIS			L.ASIS			R.Shoulder			R.Humerus			R.Medial.Elbow			R.Lateral.Elbow			R.Forearm			R.Radius			R.Ulna			L.Shoulder			L.Humerus			L.Offset			L.Medial.Elbow			L.Lateral.Elbow			L.Forearm			L.Ulna			L.Radius			R.FrontTable			R.RearTable			L.RearTable			L.FrontTable			V.R.ASIS			V.L.ASIS			V_R.ASIS			V_L.ASIS			V_L_Wrist			V_L_Elbow		
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35
																																																																																																										
1	0	-236.25436	262.68784	1117.74036	-105.86048	220.90317	1004.94409	-339.79761	211.95413	1005.24915	-371.40698	251.3362	645.10529	-370.03094	293.52872	644.91443	-370.65729	339.86258	646.40424	-236.28944	106.90459	673.03967	-255.9801	456.07953	696.82208	-156.5179	130.78513	614.81415	-138.50728	411.45023	659.64307	-200.01216	103.12485	1061.29395	-142.3598	31.92466	944.32239	-95.54851	47.21813	754.57288	-112.39937	-47.84326	805.33069	12.73502	-43.9508	830.88116	113.83829	-91.96633	770.13409	136.50769	-20.56743	801.04279	-92.61847	358.42261	1071.80078	38.3196	371.53009	957.55359	-45.47661	419.79083	976.21869	91.24639	286.1925	817.56616	140.90416	363.24585	872.69031	227.43497	301.62952	862.62488	300.54523	225.89081	875.40765	279.57532	187.91626	808.69659	633.3374	-351.42072	746.38794	49.18479	-346.68292	742.14807	58.83247	897.52014	740.55988	639.87097	892.4209	741.52686	-156.26689	133.8118	618.98694	-127.04602	406.32303	649.59546	-156.26689	133.8118	618.98694	-127.04602	406.32303	649.59546	290.06027	206.90353	842.05212	116.07527	324.71918	845.12823
2	0.008	-236.35236	261.21271	1117.79236	-105.81689	219.8806	1004.9809	-339.98294	210.67384	1005.22607	-371.28815	251.17949	645.23151	-369.89066	293.39447	645.12744	-370.55789	339.742	646.69043	-236.041	106.57648	672.84845	-255.83298	455.81485	697.28314	-156.37767	130.77066	614.60272	-138.4337	411.25565	659.95959	-200.03386	102.12386	1061.31519	-142.32468	31.19354	944.13092	-95.63438	47.00104	754.33044	-112.43252	-48.26769	804.94653	12.73067	-44.09344	830.76788	113.93466	-91.97048	770.18103	136.5239	-20.53341	801.07947	-93.203	357.38666	1072.16003	37.7717	370.70059	958.76495	-45.8727	419.28976	977.39624	91.10303	285.90839	818.47052	140.54527	363.44141	873.04407	227.27142	302.06503	863.34784	300.64917	226.65594	876.60272	279.77155	188.18188	810.16211	633.38452	-351.41592	746.37268	49.22042	-346.67584	742.1806	58.86444	897.52771	740.57458	639.90607	892.43402	741.49548	-156.05135	133.60631	618.80823	-126.90545	406.18353	649.9071	-156.05135	133.60631	618.80823	-126.90545	406.18353	649.9071	290.21036	207.41891	843.38239	115.82415	324.6749	845.75726
3	0.017	-236.55644	259.66824	1117.83215	-105.81716	218.85703	1005.03033	-340.25519	209.23376	1005.17822	-371.15588	251.0262	645.3396	-369.73819	293.26517	645.32904	-370.44281	339.62729	646.96198	-235.7368	106.25409	672.64935	-255.67833	455.54453	697.7619	-156.24261	130.74582	614.42889	-138.3506	411.06128	660.29297	-200.06201	101.1245	1061.36804	-142.28101	30.46436	944.0047	-95.75491	46.6763	754.13013	-112.43577	-48.73661	804.66058	12.75356	-44.26711	830.68433	114.05189	-91.96425	770.21802	136.54814	-20.49899	801.1297	-94.00357	356.38382	1072.5835	37.0993	369.99649	959.88458	-46.48259	418.86517	978.65106	90.80875	285.6875	819.55237	140.00642	363.77017	873.48218	226.93161	302.62613	864.25592	300.57327	227.56842	878.09045	279.80063	188.5101	811.96631	633.42853	-351.4025	746.35919	49.2547	-346.66193	742.21283	58.89574	897.54163	740.58752	639.94092	892.45282	741.46442	-155.77829	133.42136	618.63196	-126.74617	406.05951	650.24567	-155.77829	133.42136	618.63196	-126.74617	406.05951	650.24567	290.18695	208.03926	845.02838	115.40759	324.72882	846.51727
4	0.025	-236.84077	258.08704	1117.85413	-105.85339	217.84163	1005.073	-340.59134	207.66296	1005.11005	-371.0098	250.87489	645.42346	-369.57788	293.13809	645.51337	-370.30923	339.51364	647.2113	-235.38379	105.9316	672.43671	-255.52393	455.26578	698.25537	-156.11014	130.71553	614.28558	-138.26399	410.87018	660.63867	-200.09215	100.1321	1061.44885	-142.24055	29.73124	943.94678	-95.91295	46.23486	753.99274	-112.40865	-49.25601	804.49359	12.79856	-44.48706	830.62012	114.18315	-91.94818	770.24078	136.5708	-20.46401	801.18744	-95.01556	355.41077	1073.07825	36.28822	369.49982	960.84259	-47.34717	418.45975	979.87494	90.33138	285.53882	820.80127	139.26108	364.20715	874.05359	226.39069	303.29413	865.33771	300.29352	228.59973	879.79291	279.63101	188.92551	814.0022	633.46301	-351.38135	746.34912	49.2826	-346.64285	742.2403	58.9208	897.56049	740.59705	639.96893	892.47607	741.43933	-155.45357	133.25156	618.45447	-126.57497	405.94855	650.61047	-155.45357	133.25156	618.45447	-126.57497	405.94855	650.61047	289.96228	208.76262	846.89758	114.79623	324.87299	847.42743
5	0.033	-237.18254	256.49646	1117.85535	-105.91672	216.84503	1005.09607	-340.96826	205.99187	1005.0257	-370.85318	250.72253	645.47852	-369.41437	293.00906	645.6756	-370.1561	339.3952	647.43207	-234.99274	105.59961	672.20276	-255.37886	454.97766	698.75696	-155.98016	130.68188	614.16412	-138.1821	410.68491	660.99109	-200.11986	99.14899	1061.55176	-142.21237	28.98668	943.95093	-96.1062	45.68263	753.93469	-112.35712	-49.82996	804.45032	12.85553	-44.76765	830.5636	114.32179	-91.92538	770.2464	136.58235	-20.42969	801.24536	-96.23792	354.45398	1073.65845	35.30942	369.26959	961.64429	-48.50447	418.03021	981.00677	89.64689	285.49335	822.20074	138.29878	364.74396	874.80658	225.63283	304.05673	866.5907	299.78613	229.71909	881.64905	279.23315	189.45053	816.17755	633.48352	-351.35602	746.34314	49.30008	-346.62155	742.2594	58.93641	897.58154	740.60236	639.98602	892.50104	741.42389	-155.08803	133.08699	618.26776	-126.40144	405.84897	650.99445	-155.08803	133.08699	618.26776	-126.40144	405.84897	650.99445	289.50964	209.58481	848.91327	113.97284	325.11865	848.50366
6	0.042	-237.56447	254.91513	1117.83557	-105.99879	215.87599	1005.0957	-341.36597	204.24829	1004.9278	-370.69205	250.56516	645.50293	-369.25171	292.87308	645.81201	-369.98441	339.26566	647.61993	-234.57449	105.24899	671.93829	-255.25215	454.68085	699.2572	-155.85233	130.64568	614.05347	-138.11224	410.50674	661.3432	-200.14365	98.17467	1061.66919	-142.20131	28.223	944.00439	-96.33015	45.03801	753.96356	-112.29128	-50.46077	804.51587	12.91079	-45.11924	830.50507	114.46173	-91.90122	770.2334	136.57639	-20.39973	801.29718	-97.67026	353.49164	1074.33923	34.12634	369.32794	962.36053	-49.97786	417.55469	982.04181	88.74105	285.60455	823.72235	137.12442	365.39154	875.77954	224.64966	304.91132	868.01642	299.02655	230.89648	883.61395	278.57993	190.10538	818.41547	633.48822	-351.3317	746.34106	49.30489	-346.60153	742.26855	58.94218	897.60095	740.60345	639.99146	892.52399	741.41919	-154.69385	132.91783	618.06049	-126.23619	405.7605	651.38507	-154.69385	132.91783	618.06049	-126.23619	405.7605	651.38507	288.80325	210.50093	851.01471	112.93274	325.49805	849.75098
7	0.05	-237.97586	253.35161	1117.79504	-106.09398	214.93896	1005.07629	-341.76971	202.45573	1004.81683	-370.53354	250.39844	645.49817	-369.09256	292.72473	645.9212	-369.79791	339.11905	647.77313	-234.13698	104.87417	671.63434	-255.15137	454.37692	699.74506	-155.72684	130.60643	613.94147	-138.058	410.33508	661.68707	-200.16646	97.20666	1061.79407	-142.20818	27.4341	944.0918	-96.58066	44.32698	754.07391	-112.22283	-51.14958	804.65808	12.95027	-45.54594	830.43951	114.59772	-91.8829	770.20135	136.55061	-20.38075	801.34033	-99.31107	352.49802	1075.13293	32.70526	369.65625	963.10272	-51.76903	417.0332	983.02783	87.60978	285.94617	825.32281	135.75378	366.17706	876.99939	223.43779	305.8645	869.61847	297.98819	232.10382	885.65674	277.64743	190.91049	820.65161	633.47876	-351.314	746.34143	49.2976	-346.5867	742.26788	58.93954	897.61493	740.60107	639.98688	892.54034	741.42401	-154.28191	132.73802	617.81915	-126.08928	405.68442	651.76508	-154.28191	132.73802	617.81915	-126.08928	405.68442	651.76508	287.81781	211.50716	853.15417	111.68179	326.06161	851.16113
8	0.058	-238.4119	251.80467	1117.73413	-106.20091	214.03287	1005.04761	-342.17111	200.63321	1004.69098	-370.38397	250.21825	645.46863	-368.93811	292.55896	646.00397	-369.60327	338.95038	647.89288	-233.68576	104.47365	671.28424	-255.08109	454.06735	700.20898	-155.60419	130.56352	613.81708	-138.0183	410.16711	662.01544	-200.1947	96.24123	1061.92004	-142.23154	26.61678	944.1994	-96.85306	43.57701	754.24695	-112.16261	-51.89685	804.83612	12.96291	-46.04509	830.36713	114.72588	-91.87875	770.15082	136.50633	-20.3822	801.37708	-101.1572	351.44897	1076.04395	31.02599	370.20129	963.9884	-53.85815	416.48453	984.04901	86.25751	286.60645	826.94635	134.20723	367.13663	878.48413	221.99626	306.92841	871.40265	296.64136	233.31561	887.75787	276.41611	191.88867	822.83032	633.45978	-351.30701	746.34253	49.28191	-346.58051	742.25903	58.93052	897.62067	740.59668	639.97491	892.54663	741.43567	-153.86142	132.5451	617.53137	-125.96845	405.62155	652.11542	-153.86142	132.5451	617.53137	-125.96845	405.62155	652.11542	286.52872	212.60214	855.29407	110.23238	326.87155	852.71527
